date,mktname,sbtype,transformation,middleprice,quantity
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北二,甘藍芽,null,30,1414
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北一,甘藍芽,null,23,5668
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),西螺鎮,甘藍芽,null,25,70
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),高雄市,甘藍芽,null,18,1700
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北二,甘藍芽,null,12,1846
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北一,甘藍芽,null,23,4007
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),高雄市,甘藍芽,null,20,1780
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),高雄市,甘藍芽,null,18,1680
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北二,甘藍芽,null,15,2819
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北一,甘藍芽,null,30,5585
Thu Apr 04 1996 00:00:00 GMT+0800 (CST),高雄市,甘藍芽,null,14,1700
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北二,甘藍芽,null,30.8,1266
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北一,甘藍芽,null,35,5107
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),花蓮市,甘藍芽,null,31,146
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),高雄市,甘藍芽,null,19,1640
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),花蓮市,甘藍芽,null,32,215
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北二,甘藍芽,null,39.1,1674
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北一,甘藍芽,null,30,5631
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),西螺鎮,甘藍芽,null,20,18
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),西螺鎮,甘藍芽,null,5.4,300
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),高雄市,甘藍芽,null,24,1340
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),花蓮市,甘藍芽,null,19,253
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北二,甘藍芽,null,30,2516
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北一,甘藍芽,null,35,6224
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),西螺鎮,甘藍芽,null,10,100
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),高雄市,甘藍芽,null,20,1940
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北二,甘藍芽,null,27,2593
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北一,甘藍芽,null,30,7263
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北二,甘藍芽,null,25,2791
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北一,甘藍芽,null,25,8391
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),高雄市,甘藍芽,null,22,1480
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),高雄市,甘藍芽,null,25,1590
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台北二,甘藍芽,null,25.6,2720
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台北一,甘藍芽,null,24,7801
Fri Apr 12 1996 00:00:00 GMT+0800 (CST),西螺鎮,甘藍芽,null,30,110
Fri Apr 12 1996 00:00:00 GMT+0800 (CST),高雄市,甘藍芽,null,20,1090
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),台北一,甘藍芽,null,25,8385
