date,mktname,sbtype,transformation,middleprice,quantity
Thu Apr 01 1999 00:00:00 GMT+0800 (CST),台北一,水耕,null,18,40
Sat Apr 03 1999 00:00:00 GMT+0800 (CST),台北一,水耕,null,7.7,80
Sun Apr 04 1999 00:00:00 GMT+0800 (CST),台北一,水耕,null,11.4,85
Sat Apr 10 1999 00:00:00 GMT+0800 (CST),台北一,水耕,null,5.8,60
Mon Apr 12 1999 00:00:00 GMT+0800 (CST),台北一,水耕,null,9.3,263
Wed Apr 14 1999 00:00:00 GMT+0800 (CST),台北一,水耕,null,5.5,440
Thu Apr 15 1999 00:00:00 GMT+0800 (CST),台北一,水耕,null,9,226
Fri Apr 16 1999 00:00:00 GMT+0800 (CST),台北一,水耕,null,7,20
Mon Apr 19 1999 00:00:00 GMT+0800 (CST),台北一,水耕,null,8,40
Wed Apr 21 1999 00:00:00 GMT+0800 (CST),台北一,水耕,null,4.6,46
Thu Apr 22 1999 00:00:00 GMT+0800 (CST),台北一,水耕,null,6,75
Fri Apr 23 1999 00:00:00 GMT+0800 (CST),台北一,水耕,null,6,50
Sat Apr 24 1999 00:00:00 GMT+0800 (CST),台北一,水耕,null,6,20
Mon Apr 26 1999 00:00:00 GMT+0800 (CST),台北一,水耕,null,4,100
Tue Apr 27 1999 00:00:00 GMT+0800 (CST),台北一,水耕,null,6,60
Wed Apr 28 1999 00:00:00 GMT+0800 (CST),台北一,水耕,null,7,20
Thu Apr 29 1999 00:00:00 GMT+0800 (CST),台北一,水耕,null,11,40
Fri Apr 30 1999 00:00:00 GMT+0800 (CST),台北一,水耕,null,10.3,100
Sat Apr 01 2000 00:00:00 GMT+0800 (CST),台北一,水耕,null,6,20
Sun Apr 02 2000 00:00:00 GMT+0800 (CST),台北二,水耕,null,15,20
Sun Apr 02 2000 00:00:00 GMT+0800 (CST),台北一,水耕,null,11.1,220
Mon Apr 03 2000 00:00:00 GMT+0800 (CST),台北二,水耕,null,15,20
Mon Apr 03 2000 00:00:00 GMT+0800 (CST),台北一,水耕,null,8,40
Thu Apr 06 2000 00:00:00 GMT+0800 (CST),台北二,水耕,null,10,40
Thu Apr 06 2000 00:00:00 GMT+0800 (CST),台北一,水耕,null,6.3,100
Fri Apr 07 2000 00:00:00 GMT+0800 (CST),台北二,水耕,null,8,40
Fri Apr 07 2000 00:00:00 GMT+0800 (CST),台北一,水耕,null,5.8,83
Sat Apr 08 2000 00:00:00 GMT+0800 (CST),台北二,水耕,null,8,40
Sat Apr 08 2000 00:00:00 GMT+0800 (CST),台北一,水耕,null,10,80
Sun Apr 09 2000 00:00:00 GMT+0800 (CST),台北二,水耕,null,8,20
Sun Apr 09 2000 00:00:00 GMT+0800 (CST),台北一,水耕,null,10,84
Mon Apr 10 2000 00:00:00 GMT+0800 (CST),台北一,水耕,null,10,66
Tue Apr 11 2000 00:00:00 GMT+0800 (CST),台北一,水耕,null,8,60
Wed Apr 12 2000 00:00:00 GMT+0800 (CST),台北一,水耕,null,12,60
Thu Apr 13 2000 00:00:00 GMT+0800 (CST),台北一,水耕,null,11,104
Sat Apr 15 2000 00:00:00 GMT+0800 (CST),台北一,水耕,null,9.7,100
Sun Apr 16 2000 00:00:00 GMT+0800 (CST),台北一,水耕,null,11,62
Wed Apr 19 2000 00:00:00 GMT+0800 (CST),台北一,水耕,null,8,40
Thu Apr 20 2000 00:00:00 GMT+0800 (CST),台北一,水耕,null,10,20
Sat Apr 22 2000 00:00:00 GMT+0800 (CST),台北一,水耕,null,12,40
Sun Apr 23 2000 00:00:00 GMT+0800 (CST),台北一,水耕,null,11.9,184
Mon Apr 24 2000 00:00:00 GMT+0800 (CST),台北一,水耕,null,11,123
Tue Apr 25 2000 00:00:00 GMT+0800 (CST),台北一,水耕,null,10,40
Fri Apr 28 2000 00:00:00 GMT+0800 (CST),台北一,水耕,null,12,20
Sun Apr 30 2000 00:00:00 GMT+0800 (CST),台北一,水耕,null,15,20
Sun Apr 01 2001 00:00:00 GMT+0800 (CST),台北一,水耕,null,17,80
Thu Apr 26 2001 00:00:00 GMT+0800 (CST),台北一,水耕,null,22,63
Fri Apr 27 2001 00:00:00 GMT+0800 (CST),台北一,水耕,null,20,66
Sat Apr 28 2001 00:00:00 GMT+0800 (CST),台北一,水耕,null,20,40
Sun Apr 29 2001 00:00:00 GMT+0800 (CST),台北一,水耕,null,18,100
Mon Apr 30 2001 00:00:00 GMT+0800 (CST),台北一,水耕,null,15,84
Wed Apr 03 2002 00:00:00 GMT+0800 (CST),台北一,水耕,null,18,80
Thu Apr 04 2002 00:00:00 GMT+0800 (CST),台北一,水耕,null,40,60
Mon Apr 08 2002 00:00:00 GMT+0800 (CST),台北二,水耕,null,25,40
Wed Apr 10 2002 00:00:00 GMT+0800 (CST),台北一,水耕,null,18,80
Thu Apr 11 2002 00:00:00 GMT+0800 (CST),台北二,水耕,null,18,80
Thu Apr 11 2002 00:00:00 GMT+0800 (CST),台北一,水耕,null,15,100
Fri Apr 12 2002 00:00:00 GMT+0800 (CST),台北二,水耕,null,18,40
Fri Apr 12 2002 00:00:00 GMT+0800 (CST),台北一,水耕,null,16.6,60
Sat Apr 13 2002 00:00:00 GMT+0800 (CST),台北二,水耕,null,20,80
Sun Apr 14 2002 00:00:00 GMT+0800 (CST),台北二,水耕,null,20,80
Tue Apr 16 2002 00:00:00 GMT+0800 (CST),台北二,水耕,null,20,80
Tue Apr 16 2002 00:00:00 GMT+0800 (CST),台北一,水耕,null,18,60
Wed Apr 17 2002 00:00:00 GMT+0800 (CST),台北二,水耕,null,22,80
Wed Apr 17 2002 00:00:00 GMT+0800 (CST),台北一,水耕,null,18,40
Fri Apr 19 2002 00:00:00 GMT+0800 (CST),台北一,水耕,null,18,40
Sat Apr 20 2002 00:00:00 GMT+0800 (CST),台北二,水耕,null,25,80
Sun Apr 21 2002 00:00:00 GMT+0800 (CST),台北二,水耕,null,18,100
Sun Apr 21 2002 00:00:00 GMT+0800 (CST),三重市,水耕,null,15,20
Tue Apr 23 2002 00:00:00 GMT+0800 (CST),台北二,水耕,null,11,162
Tue Apr 23 2002 00:00:00 GMT+0800 (CST),三重市,水耕,null,12,20
Wed Apr 24 2002 00:00:00 GMT+0800 (CST),台北二,水耕,null,9,80
Thu Apr 25 2002 00:00:00 GMT+0800 (CST),台北二,水耕,null,13,40
Fri Apr 26 2002 00:00:00 GMT+0800 (CST),台北二,水耕,null,12,60
Sat Apr 27 2002 00:00:00 GMT+0800 (CST),台北二,水耕,null,15,60
Sun Apr 28 2002 00:00:00 GMT+0800 (CST),台北二,水耕,null,18,60
Sun Apr 28 2002 00:00:00 GMT+0800 (CST),台北一,水耕,null,10,40
Tue Apr 30 2002 00:00:00 GMT+0800 (CST),台北二,水耕,null,13,80
Tue Apr 01 2003 00:00:00 GMT+0800 (CST),台北一,水耕,null,10,135
Tue Apr 01 2003 00:00:00 GMT+0800 (CST),三重市,水耕,null,12,20
Wed Apr 02 2003 00:00:00 GMT+0800 (CST),台北二,水耕,null,12,20
Wed Apr 02 2003 00:00:00 GMT+0800 (CST),台北一,水耕,null,8,20
Wed Apr 02 2003 00:00:00 GMT+0800 (CST),三重市,水耕,null,12,20
Thu Apr 03 2003 00:00:00 GMT+0800 (CST),台北二,水耕,null,6,40
Thu Apr 03 2003 00:00:00 GMT+0800 (CST),三重市,水耕,null,13,40
Fri Apr 04 2003 00:00:00 GMT+0800 (CST),台北一,水耕,null,8,20
Sat Apr 05 2003 00:00:00 GMT+0800 (CST),台北二,水耕,null,7,20
Sat Apr 05 2003 00:00:00 GMT+0800 (CST),台北一,水耕,null,8,40
Sat Apr 05 2003 00:00:00 GMT+0800 (CST),三重市,水耕,null,14,60
