date,mktname,sbtype,transformation,middleprice,quantity
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北二,蚵仔白,未洗,4,140
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北一,蚵仔白,未洗,6,1540
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北二,蚵仔白,未洗,4,120
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北一,蚵仔白,未洗,7,955
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北二,蚵仔白,未洗,6,40
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北一,蚵仔白,未洗,8,1130
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北一,蚵仔白,未洗,15,431
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北二,蚵仔白,未洗,10,650
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北一,蚵仔白,未洗,12,1056
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北二,蚵仔白,未洗,6,705
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北一,蚵仔白,未洗,15,933
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北二,蚵仔白,未洗,8.3,550
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北一,蚵仔白,未洗,15,1360
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台北二,蚵仔白,未洗,10,405
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台北一,蚵仔白,未洗,16,1570
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),台北一,蚵仔白,未洗,15,2246
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),台北一,蚵仔白,未洗,15,1887
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),台北二,蚵仔白,未洗,26.4,220
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),台北一,蚵仔白,未洗,15,1931
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),台北二,蚵仔白,未洗,12,320
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),台北一,蚵仔白,未洗,20,1867
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),台北二,蚵仔白,未洗,12,280
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),台北一,蚵仔白,未洗,20,1947
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),台北二,蚵仔白,未洗,12,460
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),台北一,蚵仔白,未洗,24,1800
Fri Apr 19 1996 00:00:00 GMT+0800 (CST),台北二,蚵仔白,未洗,10,860
Fri Apr 19 1996 00:00:00 GMT+0800 (CST),台北一,蚵仔白,未洗,24,2678
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),台北二,蚵仔白,未洗,10,975
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),台北一,蚵仔白,未洗,26,4056
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),台北二,蚵仔白,未洗,10,1671
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),台北一,蚵仔白,未洗,20,4724
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),西螺鎮,蚵仔白,未洗,8,1050
Tue Apr 23 1996 00:00:00 GMT+0800 (CST),台北二,蚵仔白,未洗,15,520
Tue Apr 23 1996 00:00:00 GMT+0800 (CST),台北一,蚵仔白,未洗,25,1305
Tue Apr 23 1996 00:00:00 GMT+0800 (CST),西螺鎮,蚵仔白,未洗,8,420
Wed Apr 24 1996 00:00:00 GMT+0800 (CST),台北二,蚵仔白,未洗,15,1860
Wed Apr 24 1996 00:00:00 GMT+0800 (CST),台北一,蚵仔白,未洗,25,3503
Thu Apr 25 1996 00:00:00 GMT+0800 (CST),台北二,蚵仔白,未洗,15,1225
Thu Apr 25 1996 00:00:00 GMT+0800 (CST),台北一,蚵仔白,未洗,25,3061
Thu Apr 25 1996 00:00:00 GMT+0800 (CST),西螺鎮,蚵仔白,未洗,8,420
Fri Apr 26 1996 00:00:00 GMT+0800 (CST),台北二,蚵仔白,未洗,15,925
Fri Apr 26 1996 00:00:00 GMT+0800 (CST),台北一,蚵仔白,未洗,28,3468
Sat Apr 27 1996 00:00:00 GMT+0800 (CST),西螺鎮,蚵仔白,未洗,17,400
Sun Apr 28 1996 00:00:00 GMT+0800 (CST),台北二,蚵仔白,未洗,24.4,845
Sun Apr 28 1996 00:00:00 GMT+0800 (CST),台北一,蚵仔白,未洗,15,4461
