date,mktname,sbtype,transformation,middleprice,quantity
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台北一,其他,null,6,372
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),台北一,其他,null,6,363
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),台北一,其他,null,7.7,279
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),台北一,其他,null,8,143
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),台北一,其他,null,9,192
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),台北一,其他,null,8,267
Fri Apr 19 1996 00:00:00 GMT+0800 (CST),台北一,其他,null,10,14
Fri Apr 26 1996 00:00:00 GMT+0800 (CST),台北一,其他,null,8,110
Sun Apr 28 1996 00:00:00 GMT+0800 (CST),台北一,其他,null,30,444
Tue Apr 30 1996 00:00:00 GMT+0800 (CST),台北一,其他,null,8.1,1527
Sun Apr 05 1998 00:00:00 GMT+0800 (CST),高雄市,其他,null,17.7,11500
Thu Apr 06 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,7.3,100
Fri Apr 07 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,4,75
Sat Apr 08 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,5,124
Sun Apr 30 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,21,10
Mon Apr 01 2002 00:00:00 GMT+0800 (CST),三重市,其他,null,1,22
Sat Apr 13 2002 00:00:00 GMT+0800 (CST),台北一,其他,null,5,14
Sat Apr 12 2003 00:00:00 GMT+0800 (CST),台北一,其他,null,15,39
Tue Apr 25 2006 00:00:00 GMT+0800 (CST),三重市,其他,null,20,55
Wed Apr 26 2006 00:00:00 GMT+0800 (CST),三重市,其他,null,15,80
Sun Apr 01 2007 00:00:00 GMT+0800 (CST),三重市,其他,null,21,48
Tue Apr 03 2007 00:00:00 GMT+0800 (CST),台北一,其他,null,25,160
Wed Apr 04 2007 00:00:00 GMT+0800 (CST),三重市,其他,null,26,24
Sat Apr 07 2007 00:00:00 GMT+0800 (CST),台北一,其他,null,40,60
Sun Apr 08 2007 00:00:00 GMT+0800 (CST),台北一,其他,null,40,60
Tue Apr 10 2007 00:00:00 GMT+0800 (CST),台北一,其他,null,40,60
Wed Apr 11 2007 00:00:00 GMT+0800 (CST),台北一,其他,null,40,10
Tue Apr 17 2007 00:00:00 GMT+0800 (CST),台北一,其他,null,40,60
Wed Apr 18 2007 00:00:00 GMT+0800 (CST),台中市,其他,null,37,84
