date,mktname,sbtype,transformation,middleprice,quantity
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北二,天津白,null,50,125
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北一,天津白,null,15,2125
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北二,天津白,null,10,200
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北一,天津白,null,15,1815
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北二,天津白,null,63.7,102
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北一,天津白,null,16,890
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北一,天津白,null,20,740
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北二,天津白,null,25,250
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北一,天津白,null,25,700
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北一,天津白,null,25,650
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北二,天津白,null,15,704
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北一,天津白,null,25,521
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北二,天津白,null,5.4,900
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北一,天津白,null,25,750
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台北二,天津白,null,15,266
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台北一,天津白,null,25,950
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),台北一,天津白,null,25,2000
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),台北一,天津白,null,24,750
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),台北二,天津白,null,25,192
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),台北一,天津白,null,24,925
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),台北二,天津白,null,25,125
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),台北一,天津白,null,25,1195
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),台北二,天津白,null,28,125
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),台北一,天津白,null,25,888
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),台北二,天津白,null,21,125
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),台北一,天津白,null,25,925
Fri Apr 19 1996 00:00:00 GMT+0800 (CST),台北一,天津白,null,25,125
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),台北二,天津白,null,52.7,92
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),台北二,天津白,null,28,70
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),台北一,天津白,null,25,425
Tue Apr 23 1996 00:00:00 GMT+0800 (CST),台北二,天津白,null,30,50
Tue Apr 23 1996 00:00:00 GMT+0800 (CST),台北一,天津白,null,25,25
Thu Apr 25 1996 00:00:00 GMT+0800 (CST),台北二,天津白,null,25,50
Thu Apr 25 1996 00:00:00 GMT+0800 (CST),台北一,天津白,null,25,210
Sun Apr 28 1996 00:00:00 GMT+0800 (CST),台北二,天津白,null,25,50
Sun Apr 28 1996 00:00:00 GMT+0800 (CST),台北一,天津白,null,25,98
Mon Apr 29 1996 00:00:00 GMT+0800 (CST),台北二,天津白,null,25,100
Mon Apr 29 1996 00:00:00 GMT+0800 (CST),台北一,天津白,null,25,16
Tue Apr 30 1996 00:00:00 GMT+0800 (CST),台北一,天津白,null,23,22
Tue Apr 01 1997 00:00:00 GMT+0800 (CST),台北二,天津白,null,34.1,301
Tue Apr 01 1997 00:00:00 GMT+0800 (CST),台北一,天津白,null,15,1302
Wed Apr 02 1997 00:00:00 GMT+0800 (CST),台北二,天津白,null,4.5,94
Wed Apr 02 1997 00:00:00 GMT+0800 (CST),台北一,天津白,null,15,1638
Thu Apr 03 1997 00:00:00 GMT+0800 (CST),台北二,天津白,null,5,570
Thu Apr 03 1997 00:00:00 GMT+0800 (CST),台北一,天津白,null,18,1876
Fri Apr 04 1997 00:00:00 GMT+0800 (CST),台北一,天津白,null,18,2205
Tue Apr 08 1997 00:00:00 GMT+0800 (CST),台北一,天津白,null,16,140
Wed Apr 09 1997 00:00:00 GMT+0800 (CST),台北一,天津白,null,13,660
Fri Apr 11 1997 00:00:00 GMT+0800 (CST),台北一,天津白,null,13,1425
Sat Apr 12 1997 00:00:00 GMT+0800 (CST),台北一,天津白,null,15,725
Mon Apr 14 1997 00:00:00 GMT+0800 (CST),台北一,天津白,null,15,1784
Tue Apr 15 1997 00:00:00 GMT+0800 (CST),台北一,天津白,null,15,1285
Tue Apr 15 1997 00:00:00 GMT+0800 (CST),高雄市,天津白,null,4,225
Thu Apr 17 1997 00:00:00 GMT+0800 (CST),台北二,天津白,null,3,240
Thu Apr 17 1997 00:00:00 GMT+0800 (CST),台北一,天津白,null,15,875
Fri Apr 18 1997 00:00:00 GMT+0800 (CST),台北一,天津白,null,15,1775
Sat Apr 19 1997 00:00:00 GMT+0800 (CST),台北一,天津白,null,15,400
Sun Apr 20 1997 00:00:00 GMT+0800 (CST),台北一,天津白,null,15,225
Mon Apr 21 1997 00:00:00 GMT+0800 (CST),台北一,天津白,null,15,805
Tue Apr 22 1997 00:00:00 GMT+0800 (CST),台北二,天津白,null,15,12
Tue Apr 22 1997 00:00:00 GMT+0800 (CST),台北一,天津白,null,15,981
Thu Apr 24 1997 00:00:00 GMT+0800 (CST),台北一,天津白,null,18,1090
Fri Apr 25 1997 00:00:00 GMT+0800 (CST),台北一,天津白,null,15,1700
Sat Apr 26 1997 00:00:00 GMT+0800 (CST),台北一,天津白,null,15,572
Sun Apr 27 1997 00:00:00 GMT+0800 (CST),台北一,天津白,null,18,1390
Mon Apr 28 1997 00:00:00 GMT+0800 (CST),台北一,天津白,null,15,869
Tue Apr 29 1997 00:00:00 GMT+0800 (CST),台北一,天津白,null,15,1275
Wed Apr 30 1997 00:00:00 GMT+0800 (CST),台北二,天津白,null,18,120
Wed Apr 01 1998 00:00:00 GMT+0800 (CST),台北二,天津白,null,12,142
Thu Apr 02 1998 00:00:00 GMT+0800 (CST),台北一,天津白,null,20,276
Fri Apr 03 1998 00:00:00 GMT+0800 (CST),台北一,天津白,null,18,331
Sat Apr 04 1998 00:00:00 GMT+0800 (CST),台北一,天津白,null,20,248
Wed Apr 15 1998 00:00:00 GMT+0800 (CST),台北一,天津白,null,15,323
Thu Apr 16 1998 00:00:00 GMT+0800 (CST),台北一,天津白,null,15,161
Fri Apr 17 1998 00:00:00 GMT+0800 (CST),台北二,天津白,null,3,250
Fri Apr 17 1998 00:00:00 GMT+0800 (CST),台北一,天津白,null,18,69
Fri Apr 17 1998 00:00:00 GMT+0800 (CST),高雄市,天津白,null,8,250
Sat Apr 18 1998 00:00:00 GMT+0800 (CST),高雄市,天津白,null,10,60
