date,mktname,sbtype,transformation,middleprice,quantity
Wed Apr 01 1998 00:00:00 GMT+0800 (CST),台北一,進口,null,20,3000
Thu Apr 02 1998 00:00:00 GMT+0800 (CST),台北一,進口,null,16,4200
Fri Apr 03 1998 00:00:00 GMT+0800 (CST),台北一,進口,null,12.3,6630
Sat Apr 04 1998 00:00:00 GMT+0800 (CST),台北一,進口,null,17.1,4266
Tue Apr 07 1998 00:00:00 GMT+0800 (CST),台北一,進口,null,13.8,2280
Wed Apr 08 1998 00:00:00 GMT+0800 (CST),台北一,進口,null,13.8,2076
Thu Apr 09 1998 00:00:00 GMT+0800 (CST),台北一,進口,null,11,1600
Fri Apr 10 1998 00:00:00 GMT+0800 (CST),台北一,進口,null,13,800
Sat Apr 11 1998 00:00:00 GMT+0800 (CST),台北一,進口,null,13.5,800
Sun Apr 12 1998 00:00:00 GMT+0800 (CST),台北一,進口,null,13.5,800
Tue Apr 14 1998 00:00:00 GMT+0800 (CST),台北一,進口,null,8.4,4500
Wed Apr 15 1998 00:00:00 GMT+0800 (CST),台北一,進口,null,5.8,5600
Thu Apr 16 1998 00:00:00 GMT+0800 (CST),台北一,進口,null,5,2100
Fri Apr 17 1998 00:00:00 GMT+0800 (CST),台北一,進口,null,3.3,3400
Sat Apr 18 1998 00:00:00 GMT+0800 (CST),台北一,進口,null,3.4,2100
Sun Apr 19 1998 00:00:00 GMT+0800 (CST),台北一,進口,null,3,2400
Mon Apr 20 1998 00:00:00 GMT+0800 (CST),台北一,進口,null,3.5,1080
Wed Apr 22 1998 00:00:00 GMT+0800 (CST),台北一,進口,null,3.5,2700
Thu Apr 23 1998 00:00:00 GMT+0800 (CST),台北一,進口,null,3.1,2000
Fri Apr 24 1998 00:00:00 GMT+0800 (CST),台北一,進口,null,2.1,2000
Sat Apr 25 1998 00:00:00 GMT+0800 (CST),台北一,進口,null,1.8,2000
Sun Apr 26 1998 00:00:00 GMT+0800 (CST),台北一,進口,null,2,2000
Wed Apr 29 1998 00:00:00 GMT+0800 (CST),台北一,進口,null,2.3,2616
Tue Apr 25 2000 00:00:00 GMT+0800 (CST),高雄市,進口,null,40,250
Thu Apr 26 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,13.3,200
Fri Apr 27 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,10.7,150
Sun Apr 07 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,25,300
Mon Apr 08 2002 00:00:00 GMT+0800 (CST),台北二,進口,null,18,1215
Tue Apr 09 2002 00:00:00 GMT+0800 (CST),台北二,進口,null,15,900
Thu Apr 11 2002 00:00:00 GMT+0800 (CST),台北二,進口,null,10,750
Thu Apr 11 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,22,450
Fri Apr 12 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,18,525
Sat Apr 13 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,25,300
