date,mktname,sbtype,transformation,middleprice,quantity
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北二,小梗,null,4,4460
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北一,小梗,null,6,20046
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台中市,小梗,null,8.6,427
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),西螺鎮,小梗,null,5.9,3912
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),高雄市,小梗,null,12,3869
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),鳳山區,小梗,null,6,720
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北二,小梗,null,5,2640
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北一,小梗,null,9,13964
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台中市,小梗,null,7.5,938.5
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),永靖鄉,小梗,null,9.5,450
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),西螺鎮,小梗,null,6.1,5295
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),高雄市,小梗,null,11,2245
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),鳳山區,小梗,null,5.9,1425
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北二,小梗,null,6,6765
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北一,小梗,null,9,25495
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台中市,小梗,null,7,655
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),永靖鄉,小梗,null,8.5,247
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),西螺鎮,小梗,null,6.6,1880
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),高雄市,小梗,null,11,2790
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),鳳山區,小梗,null,8.2,2180
Thu Apr 04 1996 00:00:00 GMT+0800 (CST),台中市,小梗,null,9.6,694
Thu Apr 04 1996 00:00:00 GMT+0800 (CST),高雄市,小梗,null,14,2003
Fri Apr 05 1996 00:00:00 GMT+0800 (CST),西螺鎮,小梗,null,5.8,3250
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北二,小梗,null,10,5430
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北一,小梗,null,17,24245
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台中市,小梗,null,10.3,1914
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),永靖鄉,小梗,null,10,447
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),西螺鎮,小梗,null,8.7,3186
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北二,小梗,null,12,6545
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北一,小梗,null,12,33363
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台中市,小梗,null,11.2,843
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),永靖鄉,小梗,null,12,618
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),西螺鎮,小梗,null,10.1,3855
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),高雄市,小梗,null,15,3169
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),鳳山區,小梗,null,10,385
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北二,小梗,null,9,9206
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北一,小梗,null,10,37751
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台中市,小梗,null,11.8,966.5
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),永靖鄉,小梗,null,12,638
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),西螺鎮,小梗,null,9.8,4898
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),高雄市,小梗,null,14,2750
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),鳳山區,小梗,null,10,1025
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北二,小梗,null,6,9207
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北一,小梗,null,9,25109
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台中市,小梗,null,12.1,657.5
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),永靖鄉,小梗,null,12.5,994
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),西螺鎮,小梗,null,9.2,5390
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),高雄市,小梗,null,17,2795
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北二,小梗,null,10,4765
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北一,小梗,null,10,24702
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台中市,小梗,null,14,613.5
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),永靖鄉,小梗,null,12,1258
