date,mktname,sbtype,transformation,middleprice,quantity
Thu Apr 20 2006 00:00:00 GMT+0800 (CST),台北一,大葉,null,50,36
Sun Apr 01 2007 00:00:00 GMT+0800 (CST),台北二,大葉,null,7.1,26
Sun Apr 01 2007 00:00:00 GMT+0800 (CST),台北一,大葉,null,30,6
Sun Apr 01 2007 00:00:00 GMT+0800 (CST),三重市,大葉,null,11,21
Tue Apr 03 2007 00:00:00 GMT+0800 (CST),台北一,大葉,null,4.5,122
Wed Apr 04 2007 00:00:00 GMT+0800 (CST),台北二,大葉,null,5,6
Wed Apr 04 2007 00:00:00 GMT+0800 (CST),台北一,大葉,null,5.2,58
Wed Apr 04 2007 00:00:00 GMT+0800 (CST),三重市,大葉,null,4,8
Sat Apr 07 2007 00:00:00 GMT+0800 (CST),台北一,大葉,null,8.8,35
Sun Apr 08 2007 00:00:00 GMT+0800 (CST),台北一,大葉,null,15.3,24
Tue Apr 10 2007 00:00:00 GMT+0800 (CST),台北一,大葉,null,13.1,25
Wed Apr 11 2007 00:00:00 GMT+0800 (CST),台北一,大葉,null,13.8,68
Thu Apr 12 2007 00:00:00 GMT+0800 (CST),台北二,大葉,null,10,7
Thu Apr 12 2007 00:00:00 GMT+0800 (CST),台北一,大葉,null,17,5
Fri Apr 13 2007 00:00:00 GMT+0800 (CST),台北一,大葉,null,26.4,20
Sat Apr 14 2007 00:00:00 GMT+0800 (CST),台北一,大葉,null,21.8,83
Sun Apr 15 2007 00:00:00 GMT+0800 (CST),台北一,大葉,null,26.7,57
Sun Apr 15 2007 00:00:00 GMT+0800 (CST),三重市,大葉,null,10,7
Tue Apr 17 2007 00:00:00 GMT+0800 (CST),台北二,大葉,null,7,6
Tue Apr 17 2007 00:00:00 GMT+0800 (CST),台北一,大葉,null,8.5,83
Tue Apr 17 2007 00:00:00 GMT+0800 (CST),三重市,大葉,null,10,8
Wed Apr 18 2007 00:00:00 GMT+0800 (CST),台北二,大葉,null,6,6
Wed Apr 18 2007 00:00:00 GMT+0800 (CST),台北一,大葉,null,9.7,83
Wed Apr 18 2007 00:00:00 GMT+0800 (CST),三重市,大葉,null,7,20
Thu Apr 19 2007 00:00:00 GMT+0800 (CST),台北一,大葉,null,7,44
Thu Apr 19 2007 00:00:00 GMT+0800 (CST),三重市,大葉,null,10,29
Fri Apr 20 2007 00:00:00 GMT+0800 (CST),台北二,大葉,null,10,6
Fri Apr 20 2007 00:00:00 GMT+0800 (CST),台北一,大葉,null,15.6,91
Sat Apr 21 2007 00:00:00 GMT+0800 (CST),台北二,大葉,null,10,5
Sat Apr 21 2007 00:00:00 GMT+0800 (CST),台北一,大葉,null,19.7,87
