date,mktname,sbtype,transformation,middleprice,quantity
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北二,小葉,null,30,86
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北一,小葉,null,35,514
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北二,小葉,null,30,45
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北一,小葉,null,25,663
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北二,小葉,null,42.8,37
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北一,小葉,null,45,480
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北一,小葉,null,56.5,211
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北二,小葉,null,35,20
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北一,小葉,null,60,177
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北二,小葉,null,30.1,36
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北一,小葉,null,50,301
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北二,小葉,null,29.5,37
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北一,小葉,null,40,537
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北二,小葉,null,20,20
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北一,小葉,null,35,615
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台北二,小葉,null,48,27
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台北一,小葉,null,40,737
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),台北一,小葉,null,40,642
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),台北一,小葉,null,55,352
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),台北二,小葉,null,35,15
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),台北一,小葉,null,50,464
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),台北二,小葉,null,22,40
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),台北一,小葉,null,45,650
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),台北二,小葉,null,40,25
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),台北一,小葉,null,45,709
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),台北二,小葉,null,38,35
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),台北一,小葉,null,50,793
Fri Apr 19 1996 00:00:00 GMT+0800 (CST),台北二,小葉,null,40,15
Fri Apr 19 1996 00:00:00 GMT+0800 (CST),台北一,小葉,null,40,994
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),台北二,小葉,null,40,30
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),台北一,小葉,null,36.4,1287
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),台北二,小葉,null,50,23
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),台北一,小葉,null,45,455
Tue Apr 23 1996 00:00:00 GMT+0800 (CST),台北一,小葉,null,45,374
Wed Apr 24 1996 00:00:00 GMT+0800 (CST),台北二,小葉,null,42,20
Wed Apr 24 1996 00:00:00 GMT+0800 (CST),台北一,小葉,null,50,367
Thu Apr 25 1996 00:00:00 GMT+0800 (CST),台北二,小葉,null,25.8,44
Thu Apr 25 1996 00:00:00 GMT+0800 (CST),台北一,小葉,null,50,358
Fri Apr 26 1996 00:00:00 GMT+0800 (CST),台北二,小葉,null,46,13
Fri Apr 26 1996 00:00:00 GMT+0800 (CST),台北一,小葉,null,45,661
Sun Apr 28 1996 00:00:00 GMT+0800 (CST),台北二,小葉,null,20.7,21
Sun Apr 28 1996 00:00:00 GMT+0800 (CST),台北一,小葉,null,50,780
Mon Apr 29 1996 00:00:00 GMT+0800 (CST),台北二,小葉,null,45,25
