date,mktname,sbtype,transformation,middleprice,quantity
Wed Apr 01 1998 00:00:00 GMT+0800 (CST),台北一,進口,null,20,360
Sat Apr 04 1998 00:00:00 GMT+0800 (CST),台北一,進口,null,25,175
Wed Apr 08 1998 00:00:00 GMT+0800 (CST),台北一,進口,null,18.6,480
Thu Apr 09 1998 00:00:00 GMT+0800 (CST),台北一,進口,null,15,270
Fri Apr 10 1998 00:00:00 GMT+0800 (CST),台北一,進口,null,1.5,460
Sat Apr 11 1998 00:00:00 GMT+0800 (CST),台北一,進口,null,15,330
Sun Apr 12 1998 00:00:00 GMT+0800 (CST),台北一,進口,null,15,1010
Tue Apr 14 1998 00:00:00 GMT+0800 (CST),台北一,進口,null,15,100
Sat Apr 18 1998 00:00:00 GMT+0800 (CST),台北一,進口,null,10,150
Mon Apr 20 1998 00:00:00 GMT+0800 (CST),台北一,進口,null,15,360
Thu Apr 06 2000 00:00:00 GMT+0800 (CST),台北一,進口,null,8,525
Sat Apr 22 2000 00:00:00 GMT+0800 (CST),高雄市,進口,null,12,400
Sun Apr 23 2000 00:00:00 GMT+0800 (CST),高雄市,進口,null,20,320
Tue Apr 25 2000 00:00:00 GMT+0800 (CST),高雄市,進口,null,15.8,544
Wed Apr 26 2000 00:00:00 GMT+0800 (CST),高雄市,進口,null,12.5,200
Thu Apr 27 2000 00:00:00 GMT+0800 (CST),高雄市,進口,null,25,200
Sun Apr 01 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,23.3,200
Tue Apr 03 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,23.1,160
Wed Apr 04 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,23.3,300
Fri Apr 06 2001 00:00:00 GMT+0800 (CST),高雄市,進口,null,24.5,620
Sun Apr 08 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,22.8,120
Thu Apr 12 2001 00:00:00 GMT+0800 (CST),高雄市,進口,null,14,940
Fri Apr 13 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,25,300
Sat Apr 14 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,24.2,400
Sun Apr 15 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,25,300
Mon Apr 16 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,23.3,200
Thu Apr 19 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,23.3,590
Thu Apr 19 2001 00:00:00 GMT+0800 (CST),高雄市,進口,null,13.9,180
Fri Apr 20 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,22.2,300
Sat Apr 21 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,22.6,436
Mon Apr 23 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,24.2,200
Mon Apr 23 2001 00:00:00 GMT+0800 (CST),高雄市,進口,null,11.1,180
Tue Apr 24 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,20.5,650
Thu Apr 26 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,23.3,600
Fri Apr 27 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,23.6,700
Fri Apr 27 2001 00:00:00 GMT+0800 (CST),高雄市,進口,null,23.7,1225
Sat Apr 28 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,21.4,1110
Sat Apr 28 2001 00:00:00 GMT+0800 (CST),高雄市,進口,null,28,250
Sun Apr 29 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,23.6,700
Mon Apr 30 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,35,160
Thu Apr 04 2002 00:00:00 GMT+0800 (CST),台北二,進口,null,5,300
Sun Apr 07 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,19.7,718
Mon Apr 08 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,18,474
Mon Apr 08 2002 00:00:00 GMT+0800 (CST),高雄市,進口,null,10.1,1396
Sat Apr 13 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,21.7,200
Tue Apr 16 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,15,306
Thu Apr 18 2002 00:00:00 GMT+0800 (CST),高雄市,進口,null,30,100
Sat Apr 20 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,22.8,600
Tue Apr 23 2002 00:00:00 GMT+0800 (CST),高雄市,進口,null,20,400
Wed Apr 24 2002 00:00:00 GMT+0800 (CST),高雄市,進口,null,21.1,300
Thu Apr 25 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,22.1,400
Sat Apr 27 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,22.4,140
Sat Apr 27 2002 00:00:00 GMT+0800 (CST),高雄市,進口,null,28,250
Sun Apr 28 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,21.7,500
Sun Apr 28 2002 00:00:00 GMT+0800 (CST),高雄市,進口,null,25,100
Tue Apr 30 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,22.8,960
Tue Apr 01 2003 00:00:00 GMT+0800 (CST),台北二,進口,null,30,100
Wed Apr 02 2003 00:00:00 GMT+0800 (CST),台北二,進口,null,30,100
Wed Apr 02 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,18.9,300
Thu Apr 03 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,20,20
Tue Apr 08 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,20,60
Sun Apr 13 2003 00:00:00 GMT+0800 (CST),高雄市,進口,null,17,200
Tue Apr 15 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,20,100
Wed Apr 16 2003 00:00:00 GMT+0800 (CST),高雄市,進口,null,15,940
Thu Apr 17 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,30,100
Sat Apr 19 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,19.1,160
Sat Apr 19 2003 00:00:00 GMT+0800 (CST),高雄市,進口,null,16,225
Sun Apr 20 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,20,1100
Tue Apr 22 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,18.4,300
Wed Apr 23 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,19,1026
Thu Apr 24 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,28.3,100
Fri Apr 25 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,20,400
Sat Apr 26 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,18.2,300
Sun Apr 27 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,20,530
Sun Apr 27 2003 00:00:00 GMT+0800 (CST),高雄市,進口,null,16,300
Tue Apr 29 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,19.8,460
Tue Apr 29 2003 00:00:00 GMT+0800 (CST),高雄市,進口,null,15.3,500
Wed Apr 30 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,19.1,1750
Thu Apr 01 2004 00:00:00 GMT+0800 (CST),台北一,進口,null,25,20
Fri Apr 02 2004 00:00:00 GMT+0800 (CST),台北一,進口,null,24.8,910
Sat Apr 03 2004 00:00:00 GMT+0800 (CST),台北一,進口,null,25,100
Tue Apr 06 2004 00:00:00 GMT+0800 (CST),台北一,進口,null,12.3,100
Thu Apr 08 2004 00:00:00 GMT+0800 (CST),台北一,進口,null,25,20
Fri Apr 09 2004 00:00:00 GMT+0800 (CST),台北一,進口,null,30,72
Sat Apr 10 2004 00:00:00 GMT+0800 (CST),台北一,進口,null,30,40
Sun Apr 11 2004 00:00:00 GMT+0800 (CST),台北一,進口,null,30,20
Tue Apr 13 2004 00:00:00 GMT+0800 (CST),台北一,進口,null,35,60
Wed Apr 14 2004 00:00:00 GMT+0800 (CST),台北一,進口,null,29.6,38
