date,mktname,sbtype,transformation,middleprice,quantity
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北二,青梗,null,27.6,1089
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北一,青梗,null,18,2623
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台中市,青梗,null,24.3,538.5
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),鳳山區,青梗,null,10.8,6725
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),屏東市,青梗,null,8.3,2700
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北二,青梗,null,29.3,540
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北一,青梗,null,18,3850
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台中市,青梗,null,22,163.5
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),鳳山區,青梗,null,10.7,5625
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),屏東市,青梗,null,9.6,2560
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北一,青梗,null,28,3210
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台中市,青梗,null,25,456.5
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),鳳山區,青梗,null,15.9,6005
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),屏東市,青梗,null,10.1,2455
Thu Apr 04 1996 00:00:00 GMT+0800 (CST),台中市,青梗,null,29.4,491.5
Thu Apr 04 1996 00:00:00 GMT+0800 (CST),屏東市,青梗,null,9.8,2560
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北二,青梗,null,31.8,832
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北一,青梗,null,35,1993
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台中市,青梗,null,31.1,514
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),鳳山區,青梗,null,13.5,5300
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),屏東市,青梗,null,14,1880
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北一,青梗,null,45,2148
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台中市,青梗,null,36.3,229
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),屏東市,青梗,null,15.2,1980
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北一,青梗,null,40,3872
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台中市,青梗,null,40.2,308
