date,mktname,sbtype,transformation,middleprice,quantity
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北二,廣東菜,null,20,50
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北一,廣東菜,null,18,1333
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),鳳山區,廣東菜,null,4.5,405
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北二,廣東菜,null,17,100
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北一,廣東菜,null,18,585
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台中市,廣東菜,null,11.6,30
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),鳳山區,廣東菜,null,14.1,5200
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北一,廣東菜,null,18,915
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北二,廣東菜,null,15,100
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北一,廣東菜,null,20,1370
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北二,廣東菜,null,18,100
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北一,廣東菜,null,25,1190
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北一,廣東菜,null,25,1964
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北二,廣東菜,null,25,50
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北一,廣東菜,null,25,805
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台中市,廣東菜,null,18,40
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北二,廣東菜,null,20.9,86
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北一,廣東菜,null,25,720
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台中市,廣東菜,null,20,45
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台北一,廣東菜,null,25,2375
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台中市,廣東菜,null,20,15
Fri Apr 12 1996 00:00:00 GMT+0800 (CST),台中市,廣東菜,null,17.5,30
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),台北一,廣東菜,null,25,1035
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),台中市,廣東菜,null,15,15
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),台北一,廣東菜,null,25,1137
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),台中市,廣東菜,null,18,30
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),台北二,廣東菜,null,25,50
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),台北一,廣東菜,null,25,1095
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),台中市,廣東菜,null,15,20
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),台北二,廣東菜,null,25,50
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),台北一,廣東菜,null,25,645
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),台北二,廣東菜,null,16.4,175
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),台北一,廣東菜,null,25,805
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),台北一,廣東菜,null,25,890
Fri Apr 19 1996 00:00:00 GMT+0800 (CST),台北二,廣東菜,null,25,50
Fri Apr 19 1996 00:00:00 GMT+0800 (CST),台北一,廣東菜,null,25,1190
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),台北二,廣東菜,null,30,50
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),台北一,廣東菜,null,25,1055
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),鳳山區,廣東菜,null,19.1,2300
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),台北二,廣東菜,null,25,50
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),台北一,廣東菜,null,25,780
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),台中市,廣東菜,null,25,45
Tue Apr 23 1996 00:00:00 GMT+0800 (CST),台北二,廣東菜,null,25,40
Tue Apr 23 1996 00:00:00 GMT+0800 (CST),台北一,廣東菜,null,25,670
Wed Apr 24 1996 00:00:00 GMT+0800 (CST),台北二,廣東菜,null,35,50
Wed Apr 24 1996 00:00:00 GMT+0800 (CST),台北一,廣東菜,null,25,710
Wed Apr 24 1996 00:00:00 GMT+0800 (CST),台中市,廣東菜,null,35,15
Thu Apr 25 1996 00:00:00 GMT+0800 (CST),台北二,廣東菜,null,25,40
Thu Apr 25 1996 00:00:00 GMT+0800 (CST),台北一,廣東菜,null,30,950
Thu Apr 25 1996 00:00:00 GMT+0800 (CST),台中市,廣東菜,null,32.5,30
Fri Apr 26 1996 00:00:00 GMT+0800 (CST),台北二,廣東菜,null,25,40
Fri Apr 26 1996 00:00:00 GMT+0800 (CST),台北一,廣東菜,null,30,1440
Fri Apr 26 1996 00:00:00 GMT+0800 (CST),台中市,廣東菜,null,30,45
Sat Apr 27 1996 00:00:00 GMT+0800 (CST),台中市,廣東菜,null,32.3,45
Sat Apr 27 1996 00:00:00 GMT+0800 (CST),鳳山區,廣東菜,null,16.5,387
Sun Apr 28 1996 00:00:00 GMT+0800 (CST),台北二,廣東菜,null,22,20
Sun Apr 28 1996 00:00:00 GMT+0800 (CST),台北一,廣東菜,null,30,1310
Sun Apr 28 1996 00:00:00 GMT+0800 (CST),台中市,廣東菜,null,33,45
Mon Apr 29 1996 00:00:00 GMT+0800 (CST),台北二,廣東菜,null,30,50
Mon Apr 29 1996 00:00:00 GMT+0800 (CST),台北一,廣東菜,null,30,915
Tue Apr 30 1996 00:00:00 GMT+0800 (CST),台北二,廣東菜,null,40,50
Tue Apr 30 1996 00:00:00 GMT+0800 (CST),台北一,廣東菜,null,25,810
Tue Apr 01 1997 00:00:00 GMT+0800 (CST),台北二,廣東菜,null,7.5,150
Tue Apr 01 1997 00:00:00 GMT+0800 (CST),台北一,廣東菜,null,12,967
Tue Apr 01 1997 00:00:00 GMT+0800 (CST),台中市,廣東菜,null,14,145
Tue Apr 01 1997 00:00:00 GMT+0800 (CST),高雄市,廣東菜,null,15.1,2528
Wed Apr 02 1997 00:00:00 GMT+0800 (CST),台北二,廣東菜,null,5.3,270
Wed Apr 02 1997 00:00:00 GMT+0800 (CST),台北一,廣東菜,null,12,1117
Wed Apr 02 1997 00:00:00 GMT+0800 (CST),台中市,廣東菜,null,9.9,90
