date,mktname,sbtype,transformation,middleprice,quantity
Thu Apr 01 1999 00:00:00 GMT+0800 (CST),台北二,本島尖葉,null,13.7,2785
Thu Apr 01 1999 00:00:00 GMT+0800 (CST),台北一,本島尖葉,null,14,11353
Thu Apr 01 1999 00:00:00 GMT+0800 (CST),台中市,本島尖葉,null,12.5,680
Fri Apr 02 1999 00:00:00 GMT+0800 (CST),台北二,本島尖葉,null,10.2,2910
Fri Apr 02 1999 00:00:00 GMT+0800 (CST),台北一,本島尖葉,null,12,11920
Fri Apr 02 1999 00:00:00 GMT+0800 (CST),台中市,本島尖葉,null,12.4,140
Sat Apr 03 1999 00:00:00 GMT+0800 (CST),台北二,本島尖葉,null,10.4,2370
Sat Apr 03 1999 00:00:00 GMT+0800 (CST),台北一,本島尖葉,null,11,11558
Sat Apr 03 1999 00:00:00 GMT+0800 (CST),台中市,本島尖葉,null,12.4,305
Sun Apr 04 1999 00:00:00 GMT+0800 (CST),台北二,本島尖葉,null,13.7,1930
Sun Apr 04 1999 00:00:00 GMT+0800 (CST),台北一,本島尖葉,null,13,8586
Sun Apr 04 1999 00:00:00 GMT+0800 (CST),台中市,本島尖葉,null,9.8,240
Wed Apr 07 1999 00:00:00 GMT+0800 (CST),台北二,本島尖葉,null,12.4,2410
Wed Apr 07 1999 00:00:00 GMT+0800 (CST),台北一,本島尖葉,null,12,5354
Wed Apr 07 1999 00:00:00 GMT+0800 (CST),台中市,本島尖葉,null,15.3,115
Thu Apr 08 1999 00:00:00 GMT+0800 (CST),台北二,本島尖葉,null,9.3,2520
Thu Apr 08 1999 00:00:00 GMT+0800 (CST),台北一,本島尖葉,null,12,6606
Thu Apr 08 1999 00:00:00 GMT+0800 (CST),台中市,本島尖葉,null,8.5,425
Fri Apr 09 1999 00:00:00 GMT+0800 (CST),台北二,本島尖葉,null,6.1,2415
Fri Apr 09 1999 00:00:00 GMT+0800 (CST),台北一,本島尖葉,null,10,11176
Fri Apr 09 1999 00:00:00 GMT+0800 (CST),台中市,本島尖葉,null,11.5,355
Sat Apr 10 1999 00:00:00 GMT+0800 (CST),台北二,本島尖葉,null,15.6,1500
Sat Apr 10 1999 00:00:00 GMT+0800 (CST),台北一,本島尖葉,null,16.7,7884
Sat Apr 10 1999 00:00:00 GMT+0800 (CST),台中市,本島尖葉,null,7.3,455
Mon Apr 12 1999 00:00:00 GMT+0800 (CST),台北二,本島尖葉,null,11,2225
Mon Apr 12 1999 00:00:00 GMT+0800 (CST),台北一,本島尖葉,null,10,5310
Mon Apr 12 1999 00:00:00 GMT+0800 (CST),台中市,本島尖葉,null,8.5,115
Tue Apr 13 1999 00:00:00 GMT+0800 (CST),台北二,本島尖葉,null,6.8,980
Tue Apr 13 1999 00:00:00 GMT+0800 (CST),台北一,本島尖葉,null,13,9046
Tue Apr 13 1999 00:00:00 GMT+0800 (CST),台中市,本島尖葉,null,10,150
Wed Apr 14 1999 00:00:00 GMT+0800 (CST),台北二,本島尖葉,null,5.8,2325
Wed Apr 14 1999 00:00:00 GMT+0800 (CST),台北一,本島尖葉,null,9,11428
Wed Apr 14 1999 00:00:00 GMT+0800 (CST),台中市,本島尖葉,null,5.5,300
Thu Apr 15 1999 00:00:00 GMT+0800 (CST),台北二,本島尖葉,null,4.7,1830
Thu Apr 15 1999 00:00:00 GMT+0800 (CST),台北一,本島尖葉,null,6,7724
Thu Apr 15 1999 00:00:00 GMT+0800 (CST),台中市,本島尖葉,null,5.8,370
Fri Apr 16 1999 00:00:00 GMT+0800 (CST),台北二,本島尖葉,null,6.3,2745
Fri Apr 16 1999 00:00:00 GMT+0800 (CST),台北一,本島尖葉,null,7,8450
Fri Apr 16 1999 00:00:00 GMT+0800 (CST),台中市,本島尖葉,null,5.4,490
Sat Apr 17 1999 00:00:00 GMT+0800 (CST),台北二,本島尖葉,null,11.1,1725
Sat Apr 17 1999 00:00:00 GMT+0800 (CST),台北一,本島尖葉,null,8,11598
Sat Apr 17 1999 00:00:00 GMT+0800 (CST),台中市,本島尖葉,null,7.2,315
Mon Apr 19 1999 00:00:00 GMT+0800 (CST),台北二,本島尖葉,null,6.2,3900
Mon Apr 19 1999 00:00:00 GMT+0800 (CST),台北一,本島尖葉,null,7,11442
Mon Apr 19 1999 00:00:00 GMT+0800 (CST),台中市,本島尖葉,null,7.7,395
Tue Apr 20 1999 00:00:00 GMT+0800 (CST),台北二,本島尖葉,null,4.7,2260
Tue Apr 20 1999 00:00:00 GMT+0800 (CST),台北一,本島尖葉,null,7,5863
Tue Apr 20 1999 00:00:00 GMT+0800 (CST),台中市,本島尖葉,null,7,75
Wed Apr 21 1999 00:00:00 GMT+0800 (CST),台北二,本島尖葉,null,12.1,1290
