date,mktname,sbtype,transformation,middleprice,quantity
Mon Apr 20 1998 00:00:00 GMT+0800 (CST),台北一,進口,null,9,780
Wed Apr 21 1999 00:00:00 GMT+0800 (CST),高雄市,進口,null,25,900
Tue Apr 11 2000 00:00:00 GMT+0800 (CST),高雄市,進口,null,25,200
Tue Apr 25 2000 00:00:00 GMT+0800 (CST),高雄市,進口,null,23.8,2025
Wed Apr 26 2000 00:00:00 GMT+0800 (CST),高雄市,進口,null,25,200
Thu Apr 27 2000 00:00:00 GMT+0800 (CST),高雄市,進口,null,25,400
Sun Apr 01 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,10,25
Tue Apr 03 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,10,35
Wed Apr 04 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,13,50
Thu Apr 05 2001 00:00:00 GMT+0800 (CST),高雄市,進口,null,18,975
Sun Apr 08 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,13.8,130
Wed Apr 11 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,19,80
Thu Apr 12 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,13,30
Thu Apr 12 2001 00:00:00 GMT+0800 (CST),高雄市,進口,null,25.7,1305
Sat Apr 14 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,14.6,75
Sat Apr 14 2001 00:00:00 GMT+0800 (CST),高雄市,進口,null,25,100
Mon Apr 16 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,25,25
Tue Apr 17 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,22.2,435
Thu Apr 19 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,24,190
Sat Apr 21 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,25,30
Sun Apr 22 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,25,50
Fri Apr 27 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,23,1560
Fri Apr 27 2001 00:00:00 GMT+0800 (CST),高雄市,進口,null,30,1600
Sat Apr 28 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,23,1926
Sun Apr 29 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,23.5,690
Mon Apr 30 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,31.8,1370
Sun Apr 07 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,18,445
Mon Apr 08 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,18,180
Sat Apr 13 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,18,225
Thu Apr 18 2002 00:00:00 GMT+0800 (CST),高雄市,進口,null,25,12
Sat Apr 20 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,21.7,200
Wed Apr 24 2002 00:00:00 GMT+0800 (CST),高雄市,進口,null,16.7,300
Thu Apr 25 2002 00:00:00 GMT+0800 (CST),高雄市,進口,null,33.3,198
Sat Apr 27 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,21.7,300
Sat Apr 27 2002 00:00:00 GMT+0800 (CST),高雄市,進口,null,35.3,990
Sun Apr 28 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,22.4,700
Tue Apr 30 2002 00:00:00 GMT+0800 (CST),台北二,進口,null,6,480
Tue Apr 30 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,22.3,1460
Tue Apr 01 2003 00:00:00 GMT+0800 (CST),高雄市,進口,null,20,75
Wed Apr 02 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,35,30
Wed Apr 02 2003 00:00:00 GMT+0800 (CST),高雄市,進口,null,19.7,390
Thu Apr 03 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,21.1,140
