date,mktname,sbtype,transformation,middleprice,quantity
Sat Apr 22 2006 00:00:00 GMT+0800 (CST),台北一,水耕,null,30,45
Sun Apr 08 2007 00:00:00 GMT+0800 (CST),台北二,水耕,null,5,30
Thu Apr 12 2007 00:00:00 GMT+0800 (CST),三重市,水耕,null,7,45
Fri Apr 13 2007 00:00:00 GMT+0800 (CST),台北一,水耕,null,13,90
Sat Apr 14 2007 00:00:00 GMT+0800 (CST),台北一,水耕,null,13,45
Tue Apr 17 2007 00:00:00 GMT+0800 (CST),三重市,水耕,null,35,15
Wed Apr 18 2007 00:00:00 GMT+0800 (CST),台北二,水耕,null,18,18
Thu Apr 19 2007 00:00:00 GMT+0800 (CST),台北一,水耕,null,10,18
Sun Apr 19 2009 00:00:00 GMT+0800 (CST),屏東市,水耕,null,8,30
Fri Apr 01 2011 00:00:00 GMT+0800 (CST),台北一,水耕,null,20,42
Sun Apr 03 2011 00:00:00 GMT+0800 (CST),台北一,水耕,null,18,30
Fri Dec 01 2006 00:00:00 GMT+0800 (CST),台北一,水耕,null,22.5,60
Fri Dec 01 2006 00:00:00 GMT+0800 (CST),台中市,水耕,null,15,30
Sat Dec 02 2006 00:00:00 GMT+0800 (CST),台北一,水耕,null,20,20
Sat Dec 02 2006 00:00:00 GMT+0800 (CST),台中市,水耕,null,15,10
Sun Dec 03 2006 00:00:00 GMT+0800 (CST),台北一,水耕,null,22,10
Tue Dec 05 2006 00:00:00 GMT+0800 (CST),台北一,水耕,null,23.4,90
Tue Dec 05 2006 00:00:00 GMT+0800 (CST),台中市,水耕,null,20,15
Wed Dec 06 2006 00:00:00 GMT+0800 (CST),台北一,水耕,null,24,90
Thu Dec 07 2006 00:00:00 GMT+0800 (CST),台北一,水耕,null,19.4,80
Fri Dec 08 2006 00:00:00 GMT+0800 (CST),台北一,水耕,null,22,30
Sun Dec 10 2006 00:00:00 GMT+0800 (CST),台北一,水耕,null,12,50
Tue Dec 12 2006 00:00:00 GMT+0800 (CST),台北二,水耕,null,8,20
Tue Dec 12 2006 00:00:00 GMT+0800 (CST),台北一,水耕,null,10.6,148
Tue Dec 12 2006 00:00:00 GMT+0800 (CST),三重市,水耕,null,10,40
Tue Dec 12 2006 00:00:00 GMT+0800 (CST),台中市,水耕,null,10,30
Thu Dec 14 2006 00:00:00 GMT+0800 (CST),台北一,水耕,null,7,120
Fri Dec 15 2006 00:00:00 GMT+0800 (CST),台北一,水耕,null,9,120
Sat Dec 16 2006 00:00:00 GMT+0800 (CST),台北一,水耕,null,14,30
Sat Dec 16 2006 00:00:00 GMT+0800 (CST),高雄市,水耕,null,11.5,84
Wed Dec 20 2006 00:00:00 GMT+0800 (CST),台北一,水耕,null,14.2,45
Thu Dec 21 2006 00:00:00 GMT+0800 (CST),台北一,水耕,null,15,15
Thu Dec 21 2006 00:00:00 GMT+0800 (CST),高雄市,水耕,null,12,15
Fri Dec 22 2006 00:00:00 GMT+0800 (CST),台北一,水耕,null,14,60
Sat Dec 23 2006 00:00:00 GMT+0800 (CST),台北一,水耕,null,17,75
Sun Dec 24 2006 00:00:00 GMT+0800 (CST),台北一,水耕,null,12,75
Tue Dec 26 2006 00:00:00 GMT+0800 (CST),台北一,水耕,null,26,12
Wed Dec 10 2008 00:00:00 GMT+0800 (CST),台北一,水耕,null,15,12
Thu Dec 11 2008 00:00:00 GMT+0800 (CST),台北一,水耕,null,18,8
Sat Dec 13 2008 00:00:00 GMT+0800 (CST),台北一,水耕,null,16,30
Sun Dec 14 2008 00:00:00 GMT+0800 (CST),台北一,水耕,null,18,40
Tue Dec 16 2008 00:00:00 GMT+0800 (CST),台北一,水耕,null,12,72
Wed Dec 17 2008 00:00:00 GMT+0800 (CST),台北一,水耕,null,12,40
Thu Dec 18 2008 00:00:00 GMT+0800 (CST),台北一,水耕,null,13.2,60
Fri Dec 19 2008 00:00:00 GMT+0800 (CST),台北一,水耕,null,8,60
Sat Dec 20 2008 00:00:00 GMT+0800 (CST),台北一,水耕,null,10,90
Sun Dec 21 2008 00:00:00 GMT+0800 (CST),台北二,水耕,null,10,14
Sun Dec 21 2008 00:00:00 GMT+0800 (CST),台北一,水耕,null,10,90
Sun Dec 21 2008 00:00:00 GMT+0800 (CST),三重市,水耕,null,10,14
Tue Dec 23 2008 00:00:00 GMT+0800 (CST),台北一,水耕,null,12,45
Tue Dec 23 2008 00:00:00 GMT+0800 (CST),三重市,水耕,null,10,27
Wed Dec 24 2008 00:00:00 GMT+0800 (CST),台北一,水耕,null,10,30
Thu Dec 25 2008 00:00:00 GMT+0800 (CST),台北二,水耕,null,9,30
Thu Dec 25 2008 00:00:00 GMT+0800 (CST),台北一,水耕,null,10,30
Fri Dec 26 2008 00:00:00 GMT+0800 (CST),台北二,水耕,null,8,13
Fri Dec 26 2008 00:00:00 GMT+0800 (CST),台北一,水耕,null,10,36
Sun Feb 04 2007 00:00:00 GMT+0800 (CST),台北一,水耕,null,10,15
Thu Feb 15 2007 00:00:00 GMT+0800 (CST),台北二,水耕,null,2,30
