date,mktname,sbtype,transformation,middleprice,quantity
Sun Apr 01 2012 00:00:00 GMT+0800 (CST),高雄市,翡翠娃娃菜,null,51,338
Mon Apr 02 2012 00:00:00 GMT+0800 (CST),台中市,翡翠娃娃菜,null,26,40
Tue Apr 03 2012 00:00:00 GMT+0800 (CST),高雄市,翡翠娃娃菜,null,50,565
Wed Apr 04 2012 00:00:00 GMT+0800 (CST),高雄市,翡翠娃娃菜,null,60,120
Sat Apr 07 2012 00:00:00 GMT+0800 (CST),台中市,翡翠娃娃菜,null,10,30
Sat Apr 07 2012 00:00:00 GMT+0800 (CST),高雄市,翡翠娃娃菜,null,60,190
Sun Apr 08 2012 00:00:00 GMT+0800 (CST),台中市,翡翠娃娃菜,null,15,270
Sun Apr 08 2012 00:00:00 GMT+0800 (CST),高雄市,翡翠娃娃菜,null,21.3,1040
Tue Apr 10 2012 00:00:00 GMT+0800 (CST),台中市,翡翠娃娃菜,null,9.7,180
Tue Apr 10 2012 00:00:00 GMT+0800 (CST),高雄市,翡翠娃娃菜,null,60,180
Wed Apr 11 2012 00:00:00 GMT+0800 (CST),台中市,翡翠娃娃菜,null,23,390
Wed Apr 11 2012 00:00:00 GMT+0800 (CST),高雄市,翡翠娃娃菜,null,43.6,320
Wed Apr 11 2012 00:00:00 GMT+0800 (CST),花蓮市,翡翠娃娃菜,null,21.3,150
Thu Apr 12 2012 00:00:00 GMT+0800 (CST),台中市,翡翠娃娃菜,null,12,310
Thu Apr 12 2012 00:00:00 GMT+0800 (CST),高雄市,翡翠娃娃菜,null,28.9,340
Fri Apr 13 2012 00:00:00 GMT+0800 (CST),台中市,翡翠娃娃菜,null,7,60
Fri Apr 13 2012 00:00:00 GMT+0800 (CST),高雄市,翡翠娃娃菜,null,35.2,220
Sat Apr 14 2012 00:00:00 GMT+0800 (CST),台中市,翡翠娃娃菜,null,5,220
Sat Apr 14 2012 00:00:00 GMT+0800 (CST),高雄市,翡翠娃娃菜,null,30.3,396
Sat Apr 14 2012 00:00:00 GMT+0800 (CST),花蓮市,翡翠娃娃菜,null,30.1,240
Sun Apr 15 2012 00:00:00 GMT+0800 (CST),高雄市,翡翠娃娃菜,null,55,120
Wed Apr 18 2012 00:00:00 GMT+0800 (CST),高雄市,翡翠娃娃菜,null,60,100
Sat Apr 21 2012 00:00:00 GMT+0800 (CST),高雄市,翡翠娃娃菜,null,56.9,140
Sun Apr 22 2012 00:00:00 GMT+0800 (CST),高雄市,翡翠娃娃菜,null,45,100
Tue Apr 24 2012 00:00:00 GMT+0800 (CST),台中市,翡翠娃娃菜,null,10,60
Tue Apr 24 2012 00:00:00 GMT+0800 (CST),高雄市,翡翠娃娃菜,null,50,40
Thu Apr 26 2012 00:00:00 GMT+0800 (CST),高雄市,翡翠娃娃菜,null,50,80
Fri Apr 27 2012 00:00:00 GMT+0800 (CST),高雄市,翡翠娃娃菜,null,50,20
Sat Apr 28 2012 00:00:00 GMT+0800 (CST),高雄市,翡翠娃娃菜,null,49.3,140
Tue Apr 02 2013 00:00:00 GMT+0800 (CST),台中市,翡翠娃娃菜,null,54,80
Tue Apr 02 2013 00:00:00 GMT+0800 (CST),高雄市,翡翠娃娃菜,null,41.7,724
Tue Apr 02 2013 00:00:00 GMT+0800 (CST),鳳山區,翡翠娃娃菜,null,15,20
Tue Apr 02 2013 00:00:00 GMT+0800 (CST),台北二,翡翠娃娃菜,null,16.9,930
Tue Apr 02 2013 00:00:00 GMT+0800 (CST),台北一,翡翠娃娃菜,null,25.5,1955
Tue Apr 02 2013 00:00:00 GMT+0800 (CST),三重市,翡翠娃娃菜,null,47.5,100
Wed Apr 03 2013 00:00:00 GMT+0800 (CST),桃園縣,翡翠娃娃菜,null,46.1,100
Wed Apr 03 2013 00:00:00 GMT+0800 (CST),台中市,翡翠娃娃菜,null,34,620
Wed Apr 03 2013 00:00:00 GMT+0800 (CST),高雄市,翡翠娃娃菜,null,45.6,380
