date,mktname,sbtype,transformation,middleprice,quantity
Sat Apr 20 2013 00:00:00 GMT+0800 (CST),台北一,其他,null,160,24
Thu Dec 11 2008 00:00:00 GMT+0800 (CST),三重市,其他,null,12,18
Sun Dec 14 2008 00:00:00 GMT+0800 (CST),台北二,其他,null,40,30
Tue Dec 16 2008 00:00:00 GMT+0800 (CST),台北二,其他,null,40,30
Wed Dec 17 2008 00:00:00 GMT+0800 (CST),台北二,其他,null,38,30
Wed Dec 17 2008 00:00:00 GMT+0800 (CST),三重市,其他,null,3,20
Thu Dec 18 2008 00:00:00 GMT+0800 (CST),台北二,其他,null,28,30
Tue Dec 30 2008 00:00:00 GMT+0800 (CST),台北二,其他,null,19.2,45
Wed Dec 31 2008 00:00:00 GMT+0800 (CST),台北二,其他,null,15,60
Wed Dec 26 2012 00:00:00 GMT+0800 (CST),三重市,其他,null,15,32
Fri Feb 03 2006 00:00:00 GMT+0800 (CST),台中市,其他,null,5,40
Sun Feb 05 2006 00:00:00 GMT+0800 (CST),台中市,其他,null,10.9,75
Tue Feb 07 2006 00:00:00 GMT+0800 (CST),台中市,其他,null,15,38
Wed Feb 08 2006 00:00:00 GMT+0800 (CST),台中市,其他,null,13.4,41
Thu Feb 09 2006 00:00:00 GMT+0800 (CST),台中市,其他,null,12.9,27
Fri Feb 10 2006 00:00:00 GMT+0800 (CST),台中市,其他,null,8.1,89
Sat Feb 11 2006 00:00:00 GMT+0800 (CST),台中市,其他,null,15,19
Sun Feb 12 2006 00:00:00 GMT+0800 (CST),台中市,其他,null,13,26
Wed Feb 15 2006 00:00:00 GMT+0800 (CST),台中市,其他,null,8.3,185
Thu Feb 16 2006 00:00:00 GMT+0800 (CST),台中市,其他,null,10.7,80
Fri Feb 17 2006 00:00:00 GMT+0800 (CST),台中市,其他,null,7.5,193
Sat Feb 18 2006 00:00:00 GMT+0800 (CST),台中市,其他,null,2.3,248
Sun Feb 19 2006 00:00:00 GMT+0800 (CST),台中市,其他,null,4,75
Tue Feb 21 2006 00:00:00 GMT+0800 (CST),台中市,其他,null,4.6,158
Wed Feb 22 2006 00:00:00 GMT+0800 (CST),台中市,其他,null,8,22
Sat Feb 25 2006 00:00:00 GMT+0800 (CST),台中市,其他,null,5,22
Tue Feb 28 2006 00:00:00 GMT+0800 (CST),台中市,其他,null,10,38
Fri Feb 01 2008 00:00:00 GMT+0800 (CST),台北一,其他,null,20,45
Sat Feb 02 2008 00:00:00 GMT+0800 (CST),台北一,其他,null,27,30
Mon Feb 04 2008 00:00:00 GMT+0800 (CST),台北一,其他,null,25,60
Tue Feb 05 2008 00:00:00 GMT+0800 (CST),台北一,其他,null,50,90
Wed Feb 13 2008 00:00:00 GMT+0800 (CST),台北一,其他,null,35,165
Thu Feb 14 2008 00:00:00 GMT+0800 (CST),台北一,其他,null,35,120
Thu Feb 14 2008 00:00:00 GMT+0800 (CST),三重市,其他,null,12,20
Sat Feb 16 2008 00:00:00 GMT+0800 (CST),台北一,其他,null,47,120
Sun Feb 17 2008 00:00:00 GMT+0800 (CST),台北一,其他,null,40,120
Tue Feb 19 2008 00:00:00 GMT+0800 (CST),台北一,其他,null,36,105
Wed Feb 20 2008 00:00:00 GMT+0800 (CST),台北一,其他,null,40,180
Thu Feb 21 2008 00:00:00 GMT+0800 (CST),台北一,其他,null,29.8,120
Sun Feb 24 2008 00:00:00 GMT+0800 (CST),台北一,其他,null,28.2,195
Tue Feb 26 2008 00:00:00 GMT+0800 (CST),台北一,其他,null,23.9,270
Wed Feb 27 2008 00:00:00 GMT+0800 (CST),台北一,其他,null,28.7,255
Thu Feb 28 2008 00:00:00 GMT+0800 (CST),台北一,其他,null,35.4,195
Fri Feb 15 2013 00:00:00 GMT+0800 (CST),鳳山區,其他,null,11.1,1610
Sun Jan 01 2006 00:00:00 GMT+0800 (CST),台中市,其他,null,17.8,207
Tue Jan 03 2006 00:00:00 GMT+0800 (CST),台中市,其他,null,24.5,62
Wed Jan 04 2006 00:00:00 GMT+0800 (CST),台中市,其他,null,18.6,237
Thu Jan 05 2006 00:00:00 GMT+0800 (CST),台中市,其他,null,11.2,161
Fri Jan 06 2006 00:00:00 GMT+0800 (CST),台中市,其他,null,16.2,215
Sat Jan 07 2006 00:00:00 GMT+0800 (CST),台中市,其他,null,16.5,86
Tue Jan 10 2006 00:00:00 GMT+0800 (CST),台中市,其他,null,17.7,221
Wed Jan 11 2006 00:00:00 GMT+0800 (CST),台中市,其他,null,10.7,216
Thu Jan 12 2006 00:00:00 GMT+0800 (CST),台中市,其他,null,29.6,44
Fri Jan 13 2006 00:00:00 GMT+0800 (CST),台中市,其他,null,6.3,220
Sat Jan 14 2006 00:00:00 GMT+0800 (CST),台中市,其他,null,19.5,71
Sun Jan 15 2006 00:00:00 GMT+0800 (CST),台中市,其他,null,6.9,300
Tue Jan 17 2006 00:00:00 GMT+0800 (CST),台中市,其他,null,11.4,173
Wed Jan 18 2006 00:00:00 GMT+0800 (CST),台中市,其他,null,7.2,359
Thu Jan 19 2006 00:00:00 GMT+0800 (CST),台中市,其他,null,6.2,244
Fri Jan 20 2006 00:00:00 GMT+0800 (CST),台中市,其他,null,5.4,249
Sat Jan 21 2006 00:00:00 GMT+0800 (CST),台中市,其他,null,6.5,237
Sun Jan 22 2006 00:00:00 GMT+0800 (CST),台中市,其他,null,5.5,139
Tue Jan 24 2006 00:00:00 GMT+0800 (CST),台中市,其他,null,10.8,100
Wed Jan 25 2006 00:00:00 GMT+0800 (CST),台中市,其他,null,9.5,78
Thu Jan 26 2006 00:00:00 GMT+0800 (CST),台中市,其他,null,10,119
Fri Jan 27 2006 00:00:00 GMT+0800 (CST),台中市,其他,null,10,20
Sat Jan 28 2006 00:00:00 GMT+0800 (CST),台中市,其他,null,8,15
Tue Jan 16 2007 00:00:00 GMT+0800 (CST),三重市,其他,null,5,60
Tue Jan 01 2008 00:00:00 GMT+0800 (CST),三重市,其他,null,15,60
Wed Jan 02 2008 00:00:00 GMT+0800 (CST),三重市,其他,null,26,185
Thu Jan 03 2008 00:00:00 GMT+0800 (CST),三重市,其他,null,25,146
Fri Jan 04 2008 00:00:00 GMT+0800 (CST),三重市,其他,null,23.5,105
Sat Jan 05 2008 00:00:00 GMT+0800 (CST),三重市,其他,null,24.6,80
Thu Jan 10 2008 00:00:00 GMT+0800 (CST),三重市,其他,null,14.6,216
Fri Jan 11 2008 00:00:00 GMT+0800 (CST),台北一,其他,null,18,105
Fri Jan 11 2008 00:00:00 GMT+0800 (CST),三重市,其他,null,25.2,74
Sat Jan 12 2008 00:00:00 GMT+0800 (CST),台北一,其他,null,16,60
Sat Jan 12 2008 00:00:00 GMT+0800 (CST),三重市,其他,null,36.5,91
Sun Jan 13 2008 00:00:00 GMT+0800 (CST),台北二,其他,null,18,45
Tue Jan 15 2008 00:00:00 GMT+0800 (CST),台北二,其他,null,20,45
Tue Jan 15 2008 00:00:00 GMT+0800 (CST),三重市,其他,null,26.5,204
Wed Jan 16 2008 00:00:00 GMT+0800 (CST),台北二,其他,null,19.1,45
Wed Jan 16 2008 00:00:00 GMT+0800 (CST),三重市,其他,null,26.5,129
Thu Jan 17 2008 00:00:00 GMT+0800 (CST),台北一,其他,null,18,45
Thu Jan 17 2008 00:00:00 GMT+0800 (CST),三重市,其他,null,26.5,172
Fri Jan 18 2008 00:00:00 GMT+0800 (CST),台北一,其他,null,25,75
Sat Jan 19 2008 00:00:00 GMT+0800 (CST),台北一,其他,null,23,45
Sat Jan 19 2008 00:00:00 GMT+0800 (CST),三重市,其他,null,27.5,163
Sun Jan 20 2008 00:00:00 GMT+0800 (CST),台北一,其他,null,34,60
Sun Jan 20 2008 00:00:00 GMT+0800 (CST),三重市,其他,null,29.8,136
Tue Jan 22 2008 00:00:00 GMT+0800 (CST),台北一,其他,null,25,45
Tue Jan 22 2008 00:00:00 GMT+0800 (CST),三重市,其他,null,26.7,232
Wed Jan 23 2008 00:00:00 GMT+0800 (CST),台北一,其他,null,25,45
Wed Jan 23 2008 00:00:00 GMT+0800 (CST),三重市,其他,null,20.2,277
Thu Jan 24 2008 00:00:00 GMT+0800 (CST),台北一,其他,null,25,45
Thu Jan 24 2008 00:00:00 GMT+0800 (CST),三重市,其他,null,21,233
Fri Jan 25 2008 00:00:00 GMT+0800 (CST),台北一,其他,null,25,45
Sat Jan 26 2008 00:00:00 GMT+0800 (CST),台北一,其他,null,21,90
Sat Jan 26 2008 00:00:00 GMT+0800 (CST),三重市,其他,null,19.4,184
Sun Jan 27 2008 00:00:00 GMT+0800 (CST),台北一,其他,null,20,75
Sun Jan 27 2008 00:00:00 GMT+0800 (CST),三重市,其他,null,20.1,110
Tue Jan 29 2008 00:00:00 GMT+0800 (CST),台北一,其他,null,20,60
Tue Jan 29 2008 00:00:00 GMT+0800 (CST),三重市,其他,null,22,316
Wed Jan 30 2008 00:00:00 GMT+0800 (CST),台北一,其他,null,20,60
Thu Jan 31 2008 00:00:00 GMT+0800 (CST),台北一,其他,null,20,60
Fri Jan 09 2009 00:00:00 GMT+0800 (CST),台北二,其他,null,14,30
Sun Jan 08 2012 00:00:00 GMT+0800 (CST),鳳山區,其他,null,15,3930
Wed Jan 11 2012 00:00:00 GMT+0800 (CST),高雄市,其他,null,32,16
Fri Jan 04 2013 00:00:00 GMT+0800 (CST),三重市,其他,null,8,9
Sat Jan 05 2013 00:00:00 GMT+0800 (CST),三重市,其他,null,5,18
