date,mktname,sbtype,transformation,middleprice,quantity
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北二,芥藍芽,null,0,471
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北一,芥藍芽,null,25,1182
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北二,芥藍芽,null,0,590
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北一,芥藍芽,null,25,800
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),高雄市,芥藍芽,null,21,175
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北二,芥藍芽,null,22.8,354
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北一,芥藍芽,null,25,690
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),高雄市,芥藍芽,null,20,160
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北二,芥藍芽,null,27.8,490
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北一,芥藍芽,null,30,985
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北二,芥藍芽,null,0,555
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北一,芥藍芽,null,30,891
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北二,芥藍芽,null,28.3,472
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北一,芥藍芽,null,30,1140
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北二,芥藍芽,null,20.6,502
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北一,芥藍芽,null,30,847
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北二,芥藍芽,null,19.6,366
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北一,芥藍芽,null,30,680
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台北二,芥藍芽,null,28.7,284
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台北一,芥藍芽,null,30,940
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),台北一,芥藍芽,null,30,563
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),台北一,芥藍芽,null,30,1060
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),台北二,芥藍芽,null,30,240
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),台北一,芥藍芽,null,30,620
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),台北二,芥藍芽,null,0,146
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),台北一,芥藍芽,null,30,716
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),台北二,芥藍芽,null,0,370
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),台北一,芥藍芽,null,35,910
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),台北二,芥藍芽,null,28,230
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),台北一,芥藍芽,null,35,740
Fri Apr 19 1996 00:00:00 GMT+0800 (CST),台北二,芥藍芽,null,30,361
Fri Apr 19 1996 00:00:00 GMT+0800 (CST),台北一,芥藍芽,null,35,1120
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),台北二,芥藍芽,null,31,214
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),台北一,芥藍芽,null,35,690
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),高雄市,芥藍芽,null,29,190
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),台北二,芥藍芽,null,23,376
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),台北一,芥藍芽,null,35,789
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),高雄市,芥藍芽,null,20,215
Tue Apr 23 1996 00:00:00 GMT+0800 (CST),台北二,芥藍芽,null,20.1,260
Tue Apr 23 1996 00:00:00 GMT+0800 (CST),台北一,芥藍芽,null,48.6,520
Wed Apr 24 1996 00:00:00 GMT+0800 (CST),台北二,芥藍芽,null,24.6,96
Wed Apr 24 1996 00:00:00 GMT+0800 (CST),台北一,芥藍芽,null,35,410
Thu Apr 25 1996 00:00:00 GMT+0800 (CST),台北二,芥藍芽,null,25,150
Thu Apr 25 1996 00:00:00 GMT+0800 (CST),台北一,芥藍芽,null,35,770
Fri Apr 26 1996 00:00:00 GMT+0800 (CST),台北二,芥藍芽,null,25,539
Fri Apr 26 1996 00:00:00 GMT+0800 (CST),台北一,芥藍芽,null,40,1019
Fri Apr 26 1996 00:00:00 GMT+0800 (CST),高雄市,芥藍芽,null,30,100
Sun Apr 28 1996 00:00:00 GMT+0800 (CST),台北二,芥藍芽,null,11.4,390
Sun Apr 28 1996 00:00:00 GMT+0800 (CST),台北一,芥藍芽,null,35,820
Mon Apr 29 1996 00:00:00 GMT+0800 (CST),台北二,芥藍芽,null,12.8,270
Mon Apr 29 1996 00:00:00 GMT+0800 (CST),台北一,芥藍芽,null,30,641
Mon Apr 29 1996 00:00:00 GMT+0800 (CST),高雄市,芥藍芽,null,20,115
Tue Apr 30 1996 00:00:00 GMT+0800 (CST),台北二,芥藍芽,null,9.2,240
Tue Apr 30 1996 00:00:00 GMT+0800 (CST),台北一,芥藍芽,null,30,780
Tue Apr 01 1997 00:00:00 GMT+0800 (CST),台北二,芥藍芽,null,13.9,310
Tue Apr 01 1997 00:00:00 GMT+0800 (CST),台北一,芥藍芽,null,20,1523
Tue Apr 01 1997 00:00:00 GMT+0800 (CST),高雄市,芥藍芽,null,20,20
Wed Apr 02 1997 00:00:00 GMT+0800 (CST),台北二,芥藍芽,null,17,180
Wed Apr 02 1997 00:00:00 GMT+0800 (CST),台北一,芥藍芽,null,20,960
Wed Apr 02 1997 00:00:00 GMT+0800 (CST),高雄市,芥藍芽,null,25,20
Thu Apr 03 1997 00:00:00 GMT+0800 (CST),台北二,芥藍芽,null,12,292
Thu Apr 03 1997 00:00:00 GMT+0800 (CST),台北一,芥藍芽,null,20,1497
Thu Apr 03 1997 00:00:00 GMT+0800 (CST),高雄市,芥藍芽,null,20,60
Fri Apr 04 1997 00:00:00 GMT+0800 (CST),台北二,芥藍芽,null,13.7,204
Fri Apr 04 1997 00:00:00 GMT+0800 (CST),台北一,芥藍芽,null,20,1191
Mon Apr 07 1997 00:00:00 GMT+0800 (CST),台北二,芥藍芽,null,21.2,354
Mon Apr 07 1997 00:00:00 GMT+0800 (CST),台北一,芥藍芽,null,18,1450
Tue Apr 08 1997 00:00:00 GMT+0800 (CST),台北二,芥藍芽,null,23.9,260
Tue Apr 08 1997 00:00:00 GMT+0800 (CST),台北一,芥藍芽,null,18,1233
Tue Apr 08 1997 00:00:00 GMT+0800 (CST),高雄市,芥藍芽,null,20,40
Wed Apr 09 1997 00:00:00 GMT+0800 (CST),台北二,芥藍芽,null,17.2,160
Wed Apr 09 1997 00:00:00 GMT+0800 (CST),台北一,芥藍芽,null,18,882
Thu Apr 10 1997 00:00:00 GMT+0800 (CST),台北二,芥藍芽,null,16.8,185
Thu Apr 10 1997 00:00:00 GMT+0800 (CST),台北一,芥藍芽,null,18,985
Thu Apr 10 1997 00:00:00 GMT+0800 (CST),高雄市,芥藍芽,null,20,20
Fri Apr 11 1997 00:00:00 GMT+0800 (CST),台北二,芥藍芽,null,12,90
Fri Apr 11 1997 00:00:00 GMT+0800 (CST),台北一,芥藍芽,null,18,1018
Fri Apr 11 1997 00:00:00 GMT+0800 (CST),高雄市,芥藍芽,null,25,20
Sat Apr 12 1997 00:00:00 GMT+0800 (CST),台北二,芥藍芽,null,8,50
Sat Apr 12 1997 00:00:00 GMT+0800 (CST),台北一,芥藍芽,null,18,640
Sat Apr 12 1997 00:00:00 GMT+0800 (CST),高雄市,芥藍芽,null,20,40
Sun Apr 13 1997 00:00:00 GMT+0800 (CST),台北二,芥藍芽,null,19,172
