date,mktname,sbtype,transformation,middleprice,quantity
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北二,null,null,10,1275
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北一,null,null,18,4370
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台中市,null,null,12.8,249
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),西螺鎮,null,null,10.3,2645
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,19,810
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),鳳山區,null,null,9.1,420
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北二,null,null,10,690
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北一,null,null,15,3971
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台中市,null,null,15.4,40
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),西螺鎮,null,null,10,2140
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,19,800
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北二,null,null,15,800
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北一,null,null,20,4162
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台中市,null,null,16,150
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),西螺鎮,null,null,10.3,1180
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,22,825
Thu Apr 04 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,24,830
Fri Apr 05 1996 00:00:00 GMT+0800 (CST),西螺鎮,null,null,14.3,1215
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北二,null,null,35.8,374
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北一,null,null,30,2706
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台中市,null,null,26.7,75
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),西螺鎮,null,null,17.5,1660
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北二,null,null,35,595
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北一,null,null,35,2331
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台中市,null,null,31.1,105
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),西螺鎮,null,null,19.1,1575
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,25,400
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北二,null,null,26,1290
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北一,null,null,25,2345
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台中市,null,null,30,75
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),西螺鎮,null,null,21.9,1075
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,25,320
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北二,null,null,20,1124
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北一,null,null,30,1745
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),西螺鎮,null,null,28.7,1020
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,27,440
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北二,null,null,20,855
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北一,null,null,25,2578
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台中市,null,null,26.7,75
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),西螺鎮,null,null,24.5,1400
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,30,450
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台北二,null,null,15,560
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台北一,null,null,25,2521
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台中市,null,null,20,95
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),西螺鎮,null,null,27.3,1940
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,30,550
Fri Apr 12 1996 00:00:00 GMT+0800 (CST),台中市,null,null,22.1,135
Fri Apr 12 1996 00:00:00 GMT+0800 (CST),西螺鎮,null,null,29.2,1110
Fri Apr 12 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,31,498
Fri Apr 12 1996 00:00:00 GMT+0800 (CST),鳳山區,null,null,11.4,317
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),台北一,null,null,25,2386
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),台中市,null,null,25,15
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),西螺鎮,null,null,23,1025
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,30,400
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),台北一,null,null,25,2568
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),台中市,null,null,10,25
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),西螺鎮,null,null,23.3,925
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,32,520
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),台北二,null,null,34.8,1047
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),台北一,null,null,25,2016
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),西螺鎮,null,null,19.9,1580
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,32,460
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),台北二,null,null,32,555
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),台北一,null,null,28,1057
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),西螺鎮,null,null,22,930
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,34,360
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),台北二,null,null,25,724
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),台北一,null,null,30,1488
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),西螺鎮,null,null,30,280
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,35,390
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),台北二,null,null,36.4,296
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),台北一,null,null,30,966
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),西螺鎮,null,null,30.5,980
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,35,440
Fri Apr 19 1996 00:00:00 GMT+0800 (CST),台北二,null,null,30,692
Fri Apr 19 1996 00:00:00 GMT+0800 (CST),台北一,null,null,30,1369
Fri Apr 19 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,33,305
Sat Apr 20 1996 00:00:00 GMT+0800 (CST),西螺鎮,null,null,19.9,325
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),台北二,null,null,30,401
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),台北一,null,null,35,1078
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),西螺鎮,null,null,20,225
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,35,230
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),台北二,null,null,25.5,484
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),台北一,null,null,35,1381
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),西螺鎮,null,null,30,470
Tue Apr 23 1996 00:00:00 GMT+0800 (CST),台北二,null,null,40,140
Tue Apr 23 1996 00:00:00 GMT+0800 (CST),台北一,null,null,35,522
Tue Apr 23 1996 00:00:00 GMT+0800 (CST),西螺鎮,null,null,20.5,550
Wed Apr 24 1996 00:00:00 GMT+0800 (CST),台北二,null,null,41.3,195
Wed Apr 24 1996 00:00:00 GMT+0800 (CST),台北一,null,null,40,786
Wed Apr 24 1996 00:00:00 GMT+0800 (CST),西螺鎮,null,null,30,120
Thu Apr 25 1996 00:00:00 GMT+0800 (CST),台北二,null,null,35,245
Thu Apr 25 1996 00:00:00 GMT+0800 (CST),台北一,null,null,35,648
Thu Apr 25 1996 00:00:00 GMT+0800 (CST),西螺鎮,null,null,30,290
Fri Apr 26 1996 00:00:00 GMT+0800 (CST),台北二,null,null,53.2,310
Fri Apr 26 1996 00:00:00 GMT+0800 (CST),台北一,null,null,40,580
Sat Apr 27 1996 00:00:00 GMT+0800 (CST),西螺鎮,null,null,40,45
Sun Apr 28 1996 00:00:00 GMT+0800 (CST),台北二,null,null,25,150
Sun Apr 28 1996 00:00:00 GMT+0800 (CST),台北一,null,null,35,335
Sun Apr 28 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,30,100
Mon Apr 29 1996 00:00:00 GMT+0800 (CST),台北二,null,null,30,150
Mon Apr 29 1996 00:00:00 GMT+0800 (CST),台北一,null,null,40,287
Mon Apr 29 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,26,70
Tue Apr 30 1996 00:00:00 GMT+0800 (CST),台北二,null,null,35,150
Tue Apr 30 1996 00:00:00 GMT+0800 (CST),台北一,null,null,25,240
Tue Apr 30 1996 00:00:00 GMT+0800 (CST),西螺鎮,null,null,30,120
Tue Apr 01 1997 00:00:00 GMT+0800 (CST),台北二,null,null,10,1390
Tue Apr 01 1997 00:00:00 GMT+0800 (CST),台北一,null,null,10,4493
Tue Apr 01 1997 00:00:00 GMT+0800 (CST),台中市,null,null,9.9,240
Tue Apr 01 1997 00:00:00 GMT+0800 (CST),西螺鎮,null,null,21.4,1080
Tue Apr 01 1997 00:00:00 GMT+0800 (CST),高雄市,null,null,20.5,700
Tue Apr 01 1997 00:00:00 GMT+0800 (CST),鳳山區,null,null,8.2,300
Wed Apr 02 1997 00:00:00 GMT+0800 (CST),台北二,null,null,8,1130
Wed Apr 02 1997 00:00:00 GMT+0800 (CST),台北一,null,null,8,3643
Wed Apr 02 1997 00:00:00 GMT+0800 (CST),台中市,null,null,4.9,470
Wed Apr 02 1997 00:00:00 GMT+0800 (CST),西螺鎮,null,null,15.5,1312
Wed Apr 02 1997 00:00:00 GMT+0800 (CST),高雄市,null,null,19.1,840
Thu Apr 03 1997 00:00:00 GMT+0800 (CST),台北二,null,null,8,1230
Thu Apr 03 1997 00:00:00 GMT+0800 (CST),台北一,null,null,10,2324
Thu Apr 03 1997 00:00:00 GMT+0800 (CST),台中市,null,null,7.1,255
Thu Apr 03 1997 00:00:00 GMT+0800 (CST),西螺鎮,null,null,16.3,1130
Thu Apr 03 1997 00:00:00 GMT+0800 (CST),高雄市,null,null,17.3,1038
Thu Apr 03 1997 00:00:00 GMT+0800 (CST),鳳山區,null,null,6.4,415
Fri Apr 04 1997 00:00:00 GMT+0800 (CST),台北二,null,null,5,1810
Fri Apr 04 1997 00:00:00 GMT+0800 (CST),台北一,null,null,10,4492
Fri Apr 04 1997 00:00:00 GMT+0800 (CST),台中市,null,null,9.4,140
Fri Apr 04 1997 00:00:00 GMT+0800 (CST),西螺鎮,null,null,16.2,1130
Fri Apr 04 1997 00:00:00 GMT+0800 (CST),高雄市,null,null,17.1,869
Sat Apr 05 1997 00:00:00 GMT+0800 (CST),高雄市,null,null,18.1,675
Sun Apr 06 1997 00:00:00 GMT+0800 (CST),西螺鎮,null,null,17.8,1150
Mon Apr 07 1997 00:00:00 GMT+0800 (CST),台北二,null,null,8,470
Mon Apr 07 1997 00:00:00 GMT+0800 (CST),台北一,null,null,15,1730
Mon Apr 07 1997 00:00:00 GMT+0800 (CST),台中市,null,null,12,105
Mon Apr 07 1997 00:00:00 GMT+0800 (CST),西螺鎮,null,null,16.5,870
Tue Apr 08 1997 00:00:00 GMT+0800 (CST),台北二,null,null,0,340
Tue Apr 08 1997 00:00:00 GMT+0800 (CST),台北一,null,null,15,1150
Tue Apr 08 1997 00:00:00 GMT+0800 (CST),台中市,null,null,10.5,135
Tue Apr 08 1997 00:00:00 GMT+0800 (CST),西螺鎮,null,null,16.5,860
Tue Apr 08 1997 00:00:00 GMT+0800 (CST),高雄市,null,null,25,825
Wed Apr 09 1997 00:00:00 GMT+0800 (CST),台北二,null,null,14,485
Wed Apr 09 1997 00:00:00 GMT+0800 (CST),台北一,null,null,13,1268
Wed Apr 09 1997 00:00:00 GMT+0800 (CST),台中市,null,null,8.6,40
Wed Apr 09 1997 00:00:00 GMT+0800 (CST),高雄市,null,null,23.5,505
Thu Apr 10 1997 00:00:00 GMT+0800 (CST),台北二,null,null,17,295
Thu Apr 10 1997 00:00:00 GMT+0800 (CST),台北一,null,null,15,873
Thu Apr 10 1997 00:00:00 GMT+0800 (CST),台中市,null,null,6,15
Thu Apr 10 1997 00:00:00 GMT+0800 (CST),高雄市,null,null,23.8,565
Fri Apr 11 1997 00:00:00 GMT+0800 (CST),台北二,null,null,24.2,70
Fri Apr 11 1997 00:00:00 GMT+0800 (CST),台北一,null,null,20,546
Fri Apr 11 1997 00:00:00 GMT+0800 (CST),高雄市,null,null,23.2,525
Sat Apr 12 1997 00:00:00 GMT+0800 (CST),台北二,null,null,13,475
Sat Apr 12 1997 00:00:00 GMT+0800 (CST),台北一,null,null,18,1758
Sat Apr 12 1997 00:00:00 GMT+0800 (CST),高雄市,null,null,21.4,495
Sun Apr 13 1997 00:00:00 GMT+0800 (CST),台北二,null,null,18.2,297
Sun Apr 13 1997 00:00:00 GMT+0800 (CST),台北一,null,null,18,1105
Sun Apr 13 1997 00:00:00 GMT+0800 (CST),高雄市,null,null,25,260
Mon Apr 14 1997 00:00:00 GMT+0800 (CST),台北二,null,null,0,175
Mon Apr 14 1997 00:00:00 GMT+0800 (CST),台北一,null,null,18,1242
Mon Apr 14 1997 00:00:00 GMT+0800 (CST),高雄市,null,null,28.1,328
Tue Apr 15 1997 00:00:00 GMT+0800 (CST),台北二,null,null,19.7,305
Tue Apr 15 1997 00:00:00 GMT+0800 (CST),台北一,null,null,18,560
Tue Apr 15 1997 00:00:00 GMT+0800 (CST),高雄市,null,null,28,270
Wed Apr 16 1997 00:00:00 GMT+0800 (CST),高雄市,null,null,25,120
Thu Apr 17 1997 00:00:00 GMT+0800 (CST),台北一,null,null,22,125
Thu Apr 17 1997 00:00:00 GMT+0800 (CST),高雄市,null,null,30,80
Fri Apr 18 1997 00:00:00 GMT+0800 (CST),台北二,null,null,39,40
Fri Apr 18 1997 00:00:00 GMT+0800 (CST),台北一,null,null,20,45
Fri Apr 18 1997 00:00:00 GMT+0800 (CST),高雄市,null,null,30,100
Fri Apr 18 1997 00:00:00 GMT+0800 (CST),鳳山區,null,null,20,80
Sat Apr 19 1997 00:00:00 GMT+0800 (CST),台北二,null,null,32,60
Sat Apr 19 1997 00:00:00 GMT+0800 (CST),台北一,null,null,25,43
Sat Apr 19 1997 00:00:00 GMT+0800 (CST),高雄市,null,null,30,130
Sun Apr 20 1997 00:00:00 GMT+0800 (CST),台北二,null,null,32,160
Sun Apr 20 1997 00:00:00 GMT+0800 (CST),台北一,null,null,20,624
Sun Apr 20 1997 00:00:00 GMT+0800 (CST),高雄市,null,null,32.5,160
Mon Apr 21 1997 00:00:00 GMT+0800 (CST),台北二,null,null,35,40
Mon Apr 21 1997 00:00:00 GMT+0800 (CST),台北一,null,null,25,234
Mon Apr 21 1997 00:00:00 GMT+0800 (CST),高雄市,null,null,30,80
Tue Apr 22 1997 00:00:00 GMT+0800 (CST),台北一,null,null,25,651
Tue Apr 22 1997 00:00:00 GMT+0800 (CST),高雄市,null,null,30,150
Thu Apr 24 1997 00:00:00 GMT+0800 (CST),台北一,null,null,25,135
Thu Apr 24 1997 00:00:00 GMT+0800 (CST),高雄市,null,null,35,130
Fri Apr 25 1997 00:00:00 GMT+0800 (CST),台北二,null,null,30,45
Fri Apr 25 1997 00:00:00 GMT+0800 (CST),台北一,null,null,25,120
Fri Apr 25 1997 00:00:00 GMT+0800 (CST),高雄市,null,null,35,140
Sat Apr 26 1997 00:00:00 GMT+0800 (CST),台北二,null,null,0,45
Sat Apr 26 1997 00:00:00 GMT+0800 (CST),台北一,null,null,25,143
Sun Apr 27 1997 00:00:00 GMT+0800 (CST),台北二,null,null,20,75
Sun Apr 27 1997 00:00:00 GMT+0800 (CST),台北一,null,null,25,183
Mon Apr 28 1997 00:00:00 GMT+0800 (CST),台北二,null,null,30,45
Mon Apr 28 1997 00:00:00 GMT+0800 (CST),台北一,null,null,25,596
Mon Apr 28 1997 00:00:00 GMT+0800 (CST),高雄市,null,null,30,15
Tue Apr 29 1997 00:00:00 GMT+0800 (CST),高雄市,null,null,15,20
