date,mktname,sbtype,transformation,middleprice,quantity
Wed Aug 03 2005 00:00:00 GMT+0800 (CST),台北二,水耕,null,50,15
Thu Aug 04 2005 00:00:00 GMT+0800 (CST),台北二,水耕,null,30,45
Sun Aug 14 2005 00:00:00 GMT+0800 (CST),台北二,水耕,null,30,15
Sun Aug 14 2005 00:00:00 GMT+0800 (CST),台北一,水耕,null,40,15
Tue Aug 16 2005 00:00:00 GMT+0800 (CST),台北一,水耕,null,22.5,30
Wed Aug 17 2005 00:00:00 GMT+0800 (CST),台北二,水耕,null,8.4,45
Wed Aug 17 2005 00:00:00 GMT+0800 (CST),台北一,水耕,null,21.5,30
Fri Aug 19 2005 00:00:00 GMT+0800 (CST),三重市,水耕,null,29,30
Sun Dec 03 2000 00:00:00 GMT+0800 (CST),台北一,水耕,null,12,20
Mon Dec 04 2000 00:00:00 GMT+0800 (CST),台北一,水耕,null,15,20
Fri Dec 22 2000 00:00:00 GMT+0800 (CST),台北一,水耕,null,7,20
Sat Dec 29 2001 00:00:00 GMT+0800 (CST),台北一,水耕,null,19.2,105
Sun Dec 30 2001 00:00:00 GMT+0800 (CST),台北一,水耕,null,17.1,105
Fri Dec 12 2003 00:00:00 GMT+0800 (CST),台北二,水耕,null,25,20
Sat Dec 13 2003 00:00:00 GMT+0800 (CST),台北二,水耕,null,25,44
Wed Dec 01 2004 00:00:00 GMT+0800 (CST),台北一,水耕,null,12.8,90
Thu Dec 02 2004 00:00:00 GMT+0800 (CST),台北一,水耕,null,14,15
Sat Dec 04 2004 00:00:00 GMT+0800 (CST),台北一,水耕,null,15.9,105
Sun Dec 05 2004 00:00:00 GMT+0800 (CST),台北一,水耕,null,17.7,117
Tue Dec 07 2004 00:00:00 GMT+0800 (CST),台北一,水耕,null,13.8,300
Wed Dec 08 2004 00:00:00 GMT+0800 (CST),台北一,水耕,null,17.7,60
Fri Dec 10 2004 00:00:00 GMT+0800 (CST),台北一,水耕,null,15,60
Sun Dec 12 2004 00:00:00 GMT+0800 (CST),台北一,水耕,null,12.2,195
Tue Dec 14 2004 00:00:00 GMT+0800 (CST),台北一,水耕,null,12.8,90
Tue Dec 14 2004 00:00:00 GMT+0800 (CST),三重市,水耕,null,15,30
Wed Dec 15 2004 00:00:00 GMT+0800 (CST),台北一,水耕,null,19.3,60
Thu Dec 16 2004 00:00:00 GMT+0800 (CST),台北一,水耕,null,19.2,150
Fri Dec 17 2004 00:00:00 GMT+0800 (CST),台北一,水耕,null,12,45
Sat Dec 18 2004 00:00:00 GMT+0800 (CST),台北一,水耕,null,17.1,90
Sun Dec 19 2004 00:00:00 GMT+0800 (CST),台北一,水耕,null,15,75
Tue Dec 21 2004 00:00:00 GMT+0800 (CST),台北二,水耕,null,14.5,208
Tue Dec 21 2004 00:00:00 GMT+0800 (CST),台北一,水耕,null,15,120
Wed Dec 22 2004 00:00:00 GMT+0800 (CST),台北二,水耕,null,6.8,90
Wed Dec 22 2004 00:00:00 GMT+0800 (CST),台北一,水耕,null,13.2,90
Fri Dec 24 2004 00:00:00 GMT+0800 (CST),三重市,水耕,null,10.2,120
Fri Dec 09 2005 00:00:00 GMT+0800 (CST),台北一,水耕,null,25,15
Tue Dec 13 2005 00:00:00 GMT+0800 (CST),台北二,水耕,null,20,45
Tue Dec 13 2005 00:00:00 GMT+0800 (CST),台北一,水耕,null,27,45
Wed Dec 14 2005 00:00:00 GMT+0800 (CST),台北一,水耕,null,25,120
Thu Dec 15 2005 00:00:00 GMT+0800 (CST),台北一,水耕,null,25,45
Wed Dec 21 2005 00:00:00 GMT+0800 (CST),台北一,水耕,null,32,30
Thu Dec 22 2005 00:00:00 GMT+0800 (CST),台北一,水耕,null,30,120
Sat Dec 24 2005 00:00:00 GMT+0800 (CST),台北一,水耕,null,28,45
Wed Dec 28 2005 00:00:00 GMT+0800 (CST),台北一,水耕,null,22.6,135
Sat Dec 31 2005 00:00:00 GMT+0800 (CST),台北一,水耕,null,20,15
Sat Dec 09 2006 00:00:00 GMT+0800 (CST),台北二,水耕,null,10,10
Sun Dec 23 2007 00:00:00 GMT+0800 (CST),台中市,水耕,null,10,45
Fri Dec 31 2010 00:00:00 GMT+0800 (CST),台北一,水耕,null,30,10
Tue Dec 18 2012 00:00:00 GMT+0800 (CST),台北一,水耕,null,18,30
Tue Dec 25 2012 00:00:00 GMT+0800 (CST),台北一,水耕,null,32,39
Thu Dec 27 2012 00:00:00 GMT+0800 (CST),台北一,水耕,null,18,42
Mon Feb 01 1999 00:00:00 GMT+0800 (CST),台北一,水耕,null,3,60
