date,mktname,sbtype,transformation,middleprice,quantity
Mon Apr 02 2001 00:00:00 GMT+0800 (CST),台北二,水耕,null,18,80
Mon Apr 02 2001 00:00:00 GMT+0800 (CST),台北一,水耕,null,15,20
Tue Apr 03 2001 00:00:00 GMT+0800 (CST),台北二,水耕,null,15,60
Wed Apr 04 2001 00:00:00 GMT+0800 (CST),台北二,水耕,null,15,60
Sun Apr 08 2001 00:00:00 GMT+0800 (CST),台北二,水耕,null,28,60
Mon Apr 09 2001 00:00:00 GMT+0800 (CST),台北二,水耕,null,20,100
Wed Apr 11 2001 00:00:00 GMT+0800 (CST),台北二,水耕,null,20,80
Thu Apr 12 2001 00:00:00 GMT+0800 (CST),台北二,水耕,null,16,80
Fri Apr 20 2001 00:00:00 GMT+0800 (CST),台北二,水耕,null,26,40
Sun Apr 22 2001 00:00:00 GMT+0800 (CST),台北二,水耕,null,22,60
Thu Apr 26 2001 00:00:00 GMT+0800 (CST),台北二,水耕,null,27,60
Sat Apr 28 2001 00:00:00 GMT+0800 (CST),台北二,水耕,null,22.5,120
Sun Apr 29 2001 00:00:00 GMT+0800 (CST),台北二,水耕,null,28,40
Mon Apr 30 2001 00:00:00 GMT+0800 (CST),台北二,水耕,null,19.7,100
Thu Apr 25 2002 00:00:00 GMT+0800 (CST),台北一,水耕,null,9,40
Sat Apr 27 2002 00:00:00 GMT+0800 (CST),台北二,水耕,null,14,40
Tue Apr 01 2003 00:00:00 GMT+0800 (CST),台北二,水耕,null,21.1,465
Wed Apr 02 2003 00:00:00 GMT+0800 (CST),台北二,水耕,null,24.5,405
Thu Apr 03 2003 00:00:00 GMT+0800 (CST),台北二,水耕,null,18.2,300
Fri Apr 04 2003 00:00:00 GMT+0800 (CST),台北二,水耕,null,13.3,390
Sat Apr 05 2003 00:00:00 GMT+0800 (CST),台北二,水耕,null,17.7,150
Wed Apr 09 2003 00:00:00 GMT+0800 (CST),台北二,水耕,null,26.4,135
Thu Apr 10 2003 00:00:00 GMT+0800 (CST),台北二,水耕,null,27,120
Fri Apr 11 2003 00:00:00 GMT+0800 (CST),台北二,水耕,null,35.8,240
Sat Apr 12 2003 00:00:00 GMT+0800 (CST),台北二,水耕,null,26.8,375
Tue Apr 15 2003 00:00:00 GMT+0800 (CST),台北二,水耕,null,27.6,225
Wed Apr 16 2003 00:00:00 GMT+0800 (CST),台北二,水耕,null,29.9,195
Thu Apr 17 2003 00:00:00 GMT+0800 (CST),台北二,水耕,null,27.2,345
Fri Apr 18 2003 00:00:00 GMT+0800 (CST),台北二,水耕,null,19.2,305
Tue Apr 22 2003 00:00:00 GMT+0800 (CST),台北二,水耕,null,18.6,165
Wed Apr 23 2003 00:00:00 GMT+0800 (CST),台北二,水耕,null,15.4,255
Thu Apr 24 2003 00:00:00 GMT+0800 (CST),台北二,水耕,null,13.6,170
Thu Apr 24 2003 00:00:00 GMT+0800 (CST),台北一,水耕,null,18,15
Fri Apr 25 2003 00:00:00 GMT+0800 (CST),台北二,水耕,null,14.2,180
Tue Apr 29 2003 00:00:00 GMT+0800 (CST),台北二,水耕,null,7.6,540
Wed Apr 30 2003 00:00:00 GMT+0800 (CST),台北二,水耕,null,8.3,285
Thu Apr 01 2004 00:00:00 GMT+0800 (CST),台北二,水耕,null,33.1,360
Fri Apr 02 2004 00:00:00 GMT+0800 (CST),台北二,水耕,null,30.6,405
Sat Apr 03 2004 00:00:00 GMT+0800 (CST),台北二,水耕,null,43.9,135
Tue Apr 06 2004 00:00:00 GMT+0800 (CST),台北二,水耕,null,37.6,225
Wed Apr 07 2004 00:00:00 GMT+0800 (CST),台北二,水耕,null,33,90
Thu Apr 08 2004 00:00:00 GMT+0800 (CST),台北二,水耕,null,38.2,150
Fri Apr 09 2004 00:00:00 GMT+0800 (CST),台北二,水耕,null,44.3,225
Sat Apr 10 2004 00:00:00 GMT+0800 (CST),台北二,水耕,null,44.1,165
Sun Apr 11 2004 00:00:00 GMT+0800 (CST),台北二,水耕,null,42.5,255
Tue Apr 13 2004 00:00:00 GMT+0800 (CST),台北二,水耕,null,37.9,465
Wed Apr 14 2004 00:00:00 GMT+0800 (CST),台北二,水耕,null,23.4,420
Thu Apr 15 2004 00:00:00 GMT+0800 (CST),台北二,水耕,null,25.3,420
Fri Apr 16 2004 00:00:00 GMT+0800 (CST),台北二,水耕,null,31.1,330
Sat Apr 17 2004 00:00:00 GMT+0800 (CST),台北二,水耕,null,31.1,375
Sun Apr 18 2004 00:00:00 GMT+0800 (CST),台北二,水耕,null,24.1,435
Wed Apr 21 2004 00:00:00 GMT+0800 (CST),台北二,水耕,null,25.8,525
Thu Apr 22 2004 00:00:00 GMT+0800 (CST),台北二,水耕,null,23,510
Sat Apr 24 2004 00:00:00 GMT+0800 (CST),台北二,水耕,null,18.4,630
Tue Apr 27 2004 00:00:00 GMT+0800 (CST),台北二,水耕,null,18.7,630
Tue Apr 27 2004 00:00:00 GMT+0800 (CST),台北一,水耕,null,12,80
Thu Apr 29 2004 00:00:00 GMT+0800 (CST),台北二,水耕,null,14,840
Sun Apr 02 2006 00:00:00 GMT+0800 (CST),台北二,水耕,null,15,15
Sun Apr 02 2006 00:00:00 GMT+0800 (CST),台北一,水耕,null,22,15
Mon Apr 03 2006 00:00:00 GMT+0800 (CST),台北一,水耕,null,20,45
Tue Apr 04 2006 00:00:00 GMT+0800 (CST),台北二,水耕,null,10,45
Tue Apr 04 2006 00:00:00 GMT+0800 (CST),台北一,水耕,null,20,120
Fri Apr 07 2006 00:00:00 GMT+0800 (CST),台北一,水耕,null,5.5,150
Sat Apr 08 2006 00:00:00 GMT+0800 (CST),台北二,水耕,null,15,30
Sat Apr 08 2006 00:00:00 GMT+0800 (CST),三重市,水耕,null,6,30
Sat Apr 08 2006 00:00:00 GMT+0800 (CST),台中市,水耕,null,10,45
Sun Apr 09 2006 00:00:00 GMT+0800 (CST),台北二,水耕,null,8,45
Sun Apr 09 2006 00:00:00 GMT+0800 (CST),台北一,水耕,null,10,30
Tue Apr 18 2006 00:00:00 GMT+0800 (CST),台北二,水耕,null,18,15
