date,mktname,sbtype,transformation,middleprice,quantity
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北二,白莧菜,null,15,650
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北一,白莧菜,null,20,6019
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台中市,白莧菜,null,16.2,247.5
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),永靖鄉,白莧菜,null,16.5,154
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),西螺鎮,白莧菜,null,19.3,2605
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),高雄市,白莧菜,null,15,1580
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北二,白莧菜,null,15,720
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北一,白莧菜,null,23,5627
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台中市,白莧菜,null,18.5,177
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),永靖鄉,白莧菜,null,16.5,538
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),西螺鎮,白莧菜,null,15.3,1835
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),高雄市,白莧菜,null,13,1090
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北二,白莧菜,null,15,1090
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北一,白莧菜,null,23,5563
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台中市,白莧菜,null,20,60
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),永靖鄉,白莧菜,null,17,695
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),西螺鎮,白莧菜,null,19.6,2526
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),高雄市,白莧菜,null,13,720
Thu Apr 04 1996 00:00:00 GMT+0800 (CST),高雄市,白莧菜,null,13,810
Fri Apr 05 1996 00:00:00 GMT+0800 (CST),西螺鎮,白莧菜,null,18.1,1704
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北二,白莧菜,null,25,490
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北一,白莧菜,null,35,5776
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台中市,白莧菜,null,25,20
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),永靖鄉,白莧菜,null,17.5,266
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),西螺鎮,白莧菜,null,19.4,1385
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北二,白莧菜,null,28,460
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北一,白莧菜,null,30,5491
