date,mktname,sbtype,transformation,middleprice,quantity
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北一,null,null,22,3330
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,24,426
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北二,null,null,40,120
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北一,null,null,15,3224
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,50,180
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北二,null,null,14.6,41
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北一,null,null,40,4286
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,35,260
Thu Apr 04 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,46,310
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北二,null,null,19.8,32
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北一,null,null,160,1294
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北一,null,null,100,2002
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,28,430
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北二,null,null,28,17
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北一,null,null,90,1726
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,41,370
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北二,null,null,78.6,154
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北一,null,null,45,2824
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,34,400
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北二,null,null,70,60
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北一,null,null,40,2112
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,44,240
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台北二,null,null,60,138
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台北一,null,null,35,3784
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,51,360
Fri Apr 12 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,30,360
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),台北一,null,null,60,2462
