date,mktname,sbtype,transformation,middleprice,quantity
Tue Apr 11 2006 00:00:00 GMT+0800 (CST),台中市,白鳳菜,null,7,20
Fri Apr 14 2006 00:00:00 GMT+0800 (CST),台北一,白鳳菜,null,3,12
Sat Apr 15 2006 00:00:00 GMT+0800 (CST),三重市,白鳳菜,null,5,9
Wed Apr 26 2006 00:00:00 GMT+0800 (CST),台北一,白鳳菜,null,25,50
Sun Apr 30 2006 00:00:00 GMT+0800 (CST),台北二,白鳳菜,null,10,9
Wed Apr 11 2007 00:00:00 GMT+0800 (CST),台北一,白鳳菜,null,3,40
Sat Apr 14 2007 00:00:00 GMT+0800 (CST),台中市,白鳳菜,null,5,12
Tue Apr 29 2008 00:00:00 GMT+0800 (CST),台中市,白鳳菜,null,5,16
Wed Apr 30 2008 00:00:00 GMT+0800 (CST),台北一,白鳳菜,null,18,20
Wed Apr 14 2010 00:00:00 GMT+0800 (CST),台中市,白鳳菜,null,16,15
Thu Apr 15 2010 00:00:00 GMT+0800 (CST),台中市,白鳳菜,null,15,10
Sat Apr 07 2012 00:00:00 GMT+0800 (CST),台中市,白鳳菜,null,6,16
Tue Apr 02 2013 00:00:00 GMT+0800 (CST),台北二,白鳳菜,null,15.4,49
Wed Apr 03 2013 00:00:00 GMT+0800 (CST),台北二,白鳳菜,null,9.3,50
Sat Apr 06 2013 00:00:00 GMT+0800 (CST),台北二,白鳳菜,null,19.7,79
Sun Apr 07 2013 00:00:00 GMT+0800 (CST),台北二,白鳳菜,null,20.5,49
Tue Apr 09 2013 00:00:00 GMT+0800 (CST),台北二,白鳳菜,null,10,71
Wed Apr 10 2013 00:00:00 GMT+0800 (CST),台北二,白鳳菜,null,18.9,37
Thu Apr 11 2013 00:00:00 GMT+0800 (CST),台北二,白鳳菜,null,26,44
Fri Apr 12 2013 00:00:00 GMT+0800 (CST),台北二,白鳳菜,null,12.6,58
Sat Apr 13 2013 00:00:00 GMT+0800 (CST),台北二,白鳳菜,null,17,55
Sun Apr 14 2013 00:00:00 GMT+0800 (CST),台北二,白鳳菜,null,21.7,106
Tue Apr 16 2013 00:00:00 GMT+0800 (CST),台北二,白鳳菜,null,10.4,106
