date,mktname,sbtype,transformation,middleprice,quantity
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北一,null,null,20,20
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北一,null,null,20,20
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北一,null,null,20,30
Wed Apr 03 2002 00:00:00 GMT+0800 (CST),台北一,null,null,10,20
Wed Apr 02 2003 00:00:00 GMT+0800 (CST),台北一,null,null,20,30
Fri Apr 04 2003 00:00:00 GMT+0800 (CST),台北一,null,null,25,50
Wed Apr 02 2008 00:00:00 GMT+0800 (CST),台北一,null,null,15,10
Thu Apr 17 2008 00:00:00 GMT+0800 (CST),台北一,null,null,25,20
Tue Aug 13 1996 00:00:00 GMT+0800 (CST),台中市,null,null,25,10
Sat Aug 17 1996 00:00:00 GMT+0800 (CST),台中市,null,null,25,20
Mon Aug 19 1996 00:00:00 GMT+0800 (CST),台中市,null,null,25,70
Thu Aug 22 1996 00:00:00 GMT+0800 (CST),台中市,null,null,20,50
Fri Aug 23 1996 00:00:00 GMT+0800 (CST),台中市,null,null,20,80
Sat Aug 24 1996 00:00:00 GMT+0800 (CST),台中市,null,null,20,60
Sun Aug 25 1996 00:00:00 GMT+0800 (CST),台中市,null,null,30,100
Mon Aug 26 1996 00:00:00 GMT+0800 (CST),台中市,null,null,20,30
Tue Aug 27 1996 00:00:00 GMT+0800 (CST),台中市,null,null,20,60
Wed Aug 28 1996 00:00:00 GMT+0800 (CST),台中市,null,null,20,60
Sat Aug 31 1996 00:00:00 GMT+0800 (CST),台中市,null,null,18.9,90
Mon Dec 02 1996 00:00:00 GMT+0800 (CST),台北一,null,null,20,20
Wed Dec 04 1996 00:00:00 GMT+0800 (CST),台北一,null,null,20,15
Sat Dec 07 1996 00:00:00 GMT+0800 (CST),台北一,null,null,30,30
Sun Dec 08 1996 00:00:00 GMT+0800 (CST),台北一,null,null,45,30
Mon Dec 09 1996 00:00:00 GMT+0800 (CST),台北一,null,null,25.8,80
Tue Dec 10 1996 00:00:00 GMT+0800 (CST),台北一,null,null,45,50
Thu Dec 12 1996 00:00:00 GMT+0800 (CST),台北一,null,null,30,30
Sat Dec 14 1996 00:00:00 GMT+0800 (CST),台北一,null,null,30,30
Sun Dec 15 1996 00:00:00 GMT+0800 (CST),台北一,null,null,30,40
Mon Dec 16 1996 00:00:00 GMT+0800 (CST),台北一,null,null,30,30
Tue Dec 17 1996 00:00:00 GMT+0800 (CST),台北一,null,null,30,30
