date,mktname,sbtype,transformation,middleprice,quantity
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北二,海帶,null,40,60
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北一,海帶,null,25,120
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北二,海帶,null,40,45
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北一,海帶,null,25,120
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北二,海帶,null,40,45
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北一,海帶,null,25,120
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北二,海帶,null,40,30
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北一,海帶,null,25,120
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北二,海帶,null,40,45
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北一,海帶,null,25,120
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台北二,海帶,null,30,45
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台北一,海帶,null,25,120
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),台北一,海帶,null,25,120
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),台北一,海帶,null,25,120
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),台北二,海帶,null,40,15
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),台北一,海帶,null,25,120
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),台北一,海帶,null,25,120
Fri Apr 19 1996 00:00:00 GMT+0800 (CST),台北一,海帶,null,25,120
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),台北一,海帶,null,25,120
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),台北二,海帶,null,40,45
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),台北一,海帶,null,25,120
Thu Apr 25 1996 00:00:00 GMT+0800 (CST),台北一,海帶,null,25,120
Fri Apr 26 1996 00:00:00 GMT+0800 (CST),台北二,海帶,null,40,45
Mon Apr 29 1996 00:00:00 GMT+0800 (CST),台北一,海帶,null,25,90
Tue Apr 30 1996 00:00:00 GMT+0800 (CST),台北二,海帶,null,25,45
Tue Apr 30 1996 00:00:00 GMT+0800 (CST),台北一,海帶,null,25,120
Wed Apr 02 1997 00:00:00 GMT+0800 (CST),台北一,海帶,null,22.5,300
Thu Apr 03 1997 00:00:00 GMT+0800 (CST),台北一,海帶,null,20,120
Fri Apr 04 1997 00:00:00 GMT+0800 (CST),台北二,海帶,null,40,60
Fri Apr 04 1997 00:00:00 GMT+0800 (CST),台北一,海帶,null,20,150
Mon Apr 07 1997 00:00:00 GMT+0800 (CST),台北一,海帶,null,20,150
Tue Apr 08 1997 00:00:00 GMT+0800 (CST),台北一,海帶,null,20,150
