date,mktname,sbtype,transformation,middleprice,quantity
Wed Apr 01 1998 00:00:00 GMT+0800 (CST),台中市,龍鬚菜,null,20,221
Thu Apr 02 1998 00:00:00 GMT+0800 (CST),台中市,龍鬚菜,null,20.7,142
Fri Apr 03 1998 00:00:00 GMT+0800 (CST),台中市,龍鬚菜,null,21,108
Sat Apr 04 1998 00:00:00 GMT+0800 (CST),台中市,龍鬚菜,null,20,96
Sun Apr 05 1998 00:00:00 GMT+0800 (CST),台中市,龍鬚菜,null,12,23
Tue Apr 07 1998 00:00:00 GMT+0800 (CST),台中市,龍鬚菜,null,21.5,161
Wed Apr 08 1998 00:00:00 GMT+0800 (CST),台中市,龍鬚菜,null,19.2,155
Thu Apr 09 1998 00:00:00 GMT+0800 (CST),台中市,龍鬚菜,null,14.4,218
Fri Apr 10 1998 00:00:00 GMT+0800 (CST),台中市,龍鬚菜,null,16.8,253
Sat Apr 11 1998 00:00:00 GMT+0800 (CST),台中市,龍鬚菜,null,15.8,30
Sun Apr 12 1998 00:00:00 GMT+0800 (CST),台中市,龍鬚菜,null,22.1,145
Tue Apr 14 1998 00:00:00 GMT+0800 (CST),台中市,龍鬚菜,null,16.2,128
Wed Apr 15 1998 00:00:00 GMT+0800 (CST),台北一,龍鬚菜,null,25,200
Wed Apr 15 1998 00:00:00 GMT+0800 (CST),台中市,龍鬚菜,null,24.2,122
Thu Apr 16 1998 00:00:00 GMT+0800 (CST),台中市,龍鬚菜,null,15.7,232
Fri Apr 17 1998 00:00:00 GMT+0800 (CST),台中市,龍鬚菜,null,22.1,111
Sat Apr 18 1998 00:00:00 GMT+0800 (CST),台北二,龍鬚菜,null,25,100
Sat Apr 18 1998 00:00:00 GMT+0800 (CST),台中市,龍鬚菜,null,14.5,263
Sun Apr 19 1998 00:00:00 GMT+0800 (CST),台中市,龍鬚菜,null,19,161
Mon Apr 20 1998 00:00:00 GMT+0800 (CST),台中市,龍鬚菜,null,18.2,146
Wed Apr 22 1998 00:00:00 GMT+0800 (CST),台北二,龍鬚菜,null,20,100
Wed Apr 22 1998 00:00:00 GMT+0800 (CST),台北一,龍鬚菜,null,30,100
Wed Apr 22 1998 00:00:00 GMT+0800 (CST),台中市,龍鬚菜,null,20,138
Thu Apr 23 1998 00:00:00 GMT+0800 (CST),台中市,龍鬚菜,null,22.1,111
Fri Apr 24 1998 00:00:00 GMT+0800 (CST),台北二,龍鬚菜,null,25,50
Fri Apr 24 1998 00:00:00 GMT+0800 (CST),台中市,龍鬚菜,null,24.3,84
Sat Apr 25 1998 00:00:00 GMT+0800 (CST),台北二,龍鬚菜,null,22,70
Sat Apr 25 1998 00:00:00 GMT+0800 (CST),台北一,龍鬚菜,null,30,70
Sat Apr 25 1998 00:00:00 GMT+0800 (CST),台中市,龍鬚菜,null,21,103
Sun Apr 26 1998 00:00:00 GMT+0800 (CST),台中市,龍鬚菜,null,21.1,192
Mon Apr 27 1998 00:00:00 GMT+0800 (CST),台中市,龍鬚菜,null,28,83
Wed Apr 29 1998 00:00:00 GMT+0800 (CST),台中市,龍鬚菜,null,28,140
Thu Apr 30 1998 00:00:00 GMT+0800 (CST),台中市,龍鬚菜,null,24.1,195
Thu Apr 01 1999 00:00:00 GMT+0800 (CST),台北一,龍鬚菜,null,7.9,3510
Thu Apr 01 1999 00:00:00 GMT+0800 (CST),台中市,龍鬚菜,null,30,40
Fri Apr 02 1999 00:00:00 GMT+0800 (CST),台中市,龍鬚菜,null,30,40
Sun Apr 04 1999 00:00:00 GMT+0800 (CST),台中市,龍鬚菜,null,25,80
Mon Apr 05 1999 00:00:00 GMT+0800 (CST),台中市,龍鬚菜,null,25,40
Mon Apr 05 1999 00:00:00 GMT+0800 (CST),高雄市,龍鬚菜,null,25,80
Wed Apr 07 1999 00:00:00 GMT+0800 (CST),台中市,龍鬚菜,null,25,80
Thu Apr 08 1999 00:00:00 GMT+0800 (CST),台中市,龍鬚菜,null,25,40
Fri Apr 09 1999 00:00:00 GMT+0800 (CST),台中市,龍鬚菜,null,25,40
Sat Apr 10 1999 00:00:00 GMT+0800 (CST),台中市,龍鬚菜,null,25,60
Mon Apr 12 1999 00:00:00 GMT+0800 (CST),台中市,龍鬚菜,null,25,80
Tue Apr 13 1999 00:00:00 GMT+0800 (CST),台中市,龍鬚菜,null,25,40
Wed Apr 14 1999 00:00:00 GMT+0800 (CST),台中市,龍鬚菜,null,15,40
Thu Apr 15 1999 00:00:00 GMT+0800 (CST),台中市,龍鬚菜,null,25,40
Fri Apr 16 1999 00:00:00 GMT+0800 (CST),台中市,龍鬚菜,null,25,40
Sat Apr 17 1999 00:00:00 GMT+0800 (CST),台中市,龍鬚菜,null,24.3,70
Mon Apr 19 1999 00:00:00 GMT+0800 (CST),高雄市,龍鬚菜,null,12.5,80
Tue Apr 20 1999 00:00:00 GMT+0800 (CST),台中市,龍鬚菜,null,11.3,180
Tue Apr 20 1999 00:00:00 GMT+0800 (CST),高雄市,龍鬚菜,null,16.7,60
Wed Apr 21 1999 00:00:00 GMT+0800 (CST),高雄市,龍鬚菜,null,16.7,60
Thu Apr 22 1999 00:00:00 GMT+0800 (CST),台中市,龍鬚菜,null,25,40
Thu Apr 22 1999 00:00:00 GMT+0800 (CST),高雄市,龍鬚菜,null,12.5,80
Sat Apr 24 1999 00:00:00 GMT+0800 (CST),高雄市,龍鬚菜,null,16.7,60
Sun Apr 25 1999 00:00:00 GMT+0800 (CST),高雄市,龍鬚菜,null,16.7,60
Tue Apr 27 1999 00:00:00 GMT+0800 (CST),台中市,龍鬚菜,null,25,30
Tue Apr 27 1999 00:00:00 GMT+0800 (CST),高雄市,龍鬚菜,null,16.7,60
Wed Apr 28 1999 00:00:00 GMT+0800 (CST),高雄市,龍鬚菜,null,16.7,60
Thu Apr 29 1999 00:00:00 GMT+0800 (CST),台中市,龍鬚菜,null,18,60
Thu Apr 29 1999 00:00:00 GMT+0800 (CST),高雄市,龍鬚菜,null,16.7,60
Fri Apr 30 1999 00:00:00 GMT+0800 (CST),台北二,龍鬚菜,null,20,45
Fri Apr 30 1999 00:00:00 GMT+0800 (CST),高雄市,龍鬚菜,null,16.7,60
Mon Apr 10 2000 00:00:00 GMT+0800 (CST),台北二,龍鬚菜,null,15,36
Wed Apr 12 2000 00:00:00 GMT+0800 (CST),台北一,龍鬚菜,null,12,6
Tue Apr 03 2001 00:00:00 GMT+0800 (CST),屏東市,龍鬚菜,null,10,20
Wed Apr 04 2001 00:00:00 GMT+0800 (CST),屏東市,龍鬚菜,null,6,40
Thu Apr 05 2001 00:00:00 GMT+0800 (CST),高雄市,龍鬚菜,null,20,300
Fri Apr 06 2001 00:00:00 GMT+0800 (CST),高雄市,龍鬚菜,null,20,300
Sat Apr 07 2001 00:00:00 GMT+0800 (CST),高雄市,龍鬚菜,null,25,420
Sun Apr 08 2001 00:00:00 GMT+0800 (CST),屏東市,龍鬚菜,null,12,40
Mon Apr 09 2001 00:00:00 GMT+0800 (CST),高雄市,龍鬚菜,null,15,120
Wed Apr 11 2001 00:00:00 GMT+0800 (CST),屏東市,龍鬚菜,null,10,60
Thu Apr 12 2001 00:00:00 GMT+0800 (CST),高雄市,龍鬚菜,null,16.3,450
Thu Apr 12 2001 00:00:00 GMT+0800 (CST),屏東市,龍鬚菜,null,12.5,40
Fri Apr 13 2001 00:00:00 GMT+0800 (CST),屏東市,龍鬚菜,null,12.5,40
Sat Apr 14 2001 00:00:00 GMT+0800 (CST),高雄市,龍鬚菜,null,15,300
Sat Apr 14 2001 00:00:00 GMT+0800 (CST),屏東市,龍鬚菜,null,12.5,20
Tue Apr 17 2001 00:00:00 GMT+0800 (CST),高雄市,龍鬚菜,null,25,320
Wed Apr 18 2001 00:00:00 GMT+0800 (CST),屏東市,龍鬚菜,null,10,20
Thu Apr 19 2001 00:00:00 GMT+0800 (CST),高雄市,龍鬚菜,null,21.6,910
Sun Apr 22 2001 00:00:00 GMT+0800 (CST),台中市,龍鬚菜,null,30,70
Sun Apr 22 2001 00:00:00 GMT+0800 (CST),高雄市,龍鬚菜,null,20,40
Sun Apr 22 2001 00:00:00 GMT+0800 (CST),屏東市,龍鬚菜,null,16.5,20
Mon Apr 23 2001 00:00:00 GMT+0800 (CST),屏東市,龍鬚菜,null,11.5,20
Tue Apr 24 2001 00:00:00 GMT+0800 (CST),高雄市,龍鬚菜,null,25,120
Tue Apr 24 2001 00:00:00 GMT+0800 (CST),屏東市,龍鬚菜,null,12.5,20
Thu Apr 26 2001 00:00:00 GMT+0800 (CST),屏東市,龍鬚菜,null,11.5,40
Fri Apr 27 2001 00:00:00 GMT+0800 (CST),高雄市,龍鬚菜,null,24.3,140
Fri Apr 27 2001 00:00:00 GMT+0800 (CST),屏東市,龍鬚菜,null,11,40
Sat Apr 28 2001 00:00:00 GMT+0800 (CST),高雄市,龍鬚菜,null,25,250
Sat Apr 28 2001 00:00:00 GMT+0800 (CST),屏東市,龍鬚菜,null,12.5,40
Sun Apr 29 2001 00:00:00 GMT+0800 (CST),屏東市,龍鬚菜,null,12.5,20
Wed Apr 03 2002 00:00:00 GMT+0800 (CST),屏東市,龍鬚菜,null,15,20
Thu Apr 04 2002 00:00:00 GMT+0800 (CST),屏東市,龍鬚菜,null,17.6,41
Mon Apr 08 2002 00:00:00 GMT+0800 (CST),屏東市,龍鬚菜,null,15,20
Wed Apr 10 2002 00:00:00 GMT+0800 (CST),屏東市,龍鬚菜,null,13.5,20
Sun Apr 14 2002 00:00:00 GMT+0800 (CST),高雄市,龍鬚菜,null,28,216
Tue Apr 16 2002 00:00:00 GMT+0800 (CST),高雄市,龍鬚菜,null,40,50
Tue Apr 16 2002 00:00:00 GMT+0800 (CST),屏東市,龍鬚菜,null,14,20
Sun Apr 21 2002 00:00:00 GMT+0800 (CST),高雄市,龍鬚菜,null,40,50
Mon Apr 22 2002 00:00:00 GMT+0800 (CST),屏東市,龍鬚菜,null,10,20
