date,mktname,sbtype,transformation,middleprice,quantity
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北二,null,null,30,20
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北一,null,null,20,574
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北一,null,null,20,544
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北二,null,null,30,10
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北一,null,null,20,110
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北二,null,null,30,10
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北一,null,null,20,574
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北二,null,null,30,20
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北一,null,null,20,130
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北二,null,null,30,10
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北二,null,null,30,15
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北一,null,null,20,120
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),台北一,null,null,20,110
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),台北二,null,null,30,20
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),台北一,null,null,20,100
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),台北一,null,null,20,110
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),台北二,null,null,30,20
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),台北二,null,null,30,20
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),台北一,null,null,20,100
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),台北二,null,null,30,20
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),台北一,null,null,20,130
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),台北二,null,null,30,20
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),台北一,null,null,20,100
Tue Apr 23 1996 00:00:00 GMT+0800 (CST),台北二,null,null,30,20
Wed Apr 24 1996 00:00:00 GMT+0800 (CST),台北一,null,null,20,100
Thu Apr 25 1996 00:00:00 GMT+0800 (CST),台北二,null,null,30,100
Fri Apr 26 1996 00:00:00 GMT+0800 (CST),台北二,null,null,30,20
Fri Apr 26 1996 00:00:00 GMT+0800 (CST),台北一,null,null,20,110
Sun Apr 28 1996 00:00:00 GMT+0800 (CST),台北二,null,null,30,20
Sun Apr 28 1996 00:00:00 GMT+0800 (CST),台北一,null,null,20,60
Mon Apr 29 1996 00:00:00 GMT+0800 (CST),台北一,null,null,20,544
Tue Apr 30 1996 00:00:00 GMT+0800 (CST),台北一,null,null,20,110
Tue Apr 01 1997 00:00:00 GMT+0800 (CST),台北一,null,null,25,120
Wed Apr 02 1997 00:00:00 GMT+0800 (CST),台北二,null,null,35,20
Wed Apr 02 1997 00:00:00 GMT+0800 (CST),台北一,null,null,25,130
Thu Apr 03 1997 00:00:00 GMT+0800 (CST),台北二,null,null,35,20
Thu Apr 03 1997 00:00:00 GMT+0800 (CST),台北一,null,null,25,120
Fri Apr 04 1997 00:00:00 GMT+0800 (CST),台北二,null,null,35,20
Fri Apr 04 1997 00:00:00 GMT+0800 (CST),台北一,null,null,25,160
Mon Apr 07 1997 00:00:00 GMT+0800 (CST),台北一,null,null,25,120
Tue Apr 08 1997 00:00:00 GMT+0800 (CST),台北二,null,null,35,20
Tue Apr 08 1997 00:00:00 GMT+0800 (CST),台北一,null,null,25,120
Wed Apr 09 1997 00:00:00 GMT+0800 (CST),台北二,null,null,35,20
Wed Apr 09 1997 00:00:00 GMT+0800 (CST),台北一,null,null,25,110
Thu Apr 10 1997 00:00:00 GMT+0800 (CST),台北二,null,null,35,20
Thu Apr 10 1997 00:00:00 GMT+0800 (CST),台北一,null,null,25,100
Fri Apr 11 1997 00:00:00 GMT+0800 (CST),台北二,null,null,35,15
Fri Apr 11 1997 00:00:00 GMT+0800 (CST),台北一,null,null,25,120
Sat Apr 12 1997 00:00:00 GMT+0800 (CST),台北二,null,null,35,20
Sat Apr 12 1997 00:00:00 GMT+0800 (CST),台北一,null,null,25,120
Sun Apr 13 1997 00:00:00 GMT+0800 (CST),台北二,null,null,35,40
Sun Apr 13 1997 00:00:00 GMT+0800 (CST),台北一,null,null,25,110
Mon Apr 14 1997 00:00:00 GMT+0800 (CST),台北二,null,null,35,20
Mon Apr 14 1997 00:00:00 GMT+0800 (CST),台北一,null,null,25,120
Tue Apr 15 1997 00:00:00 GMT+0800 (CST),台北二,null,null,35,15
Tue Apr 15 1997 00:00:00 GMT+0800 (CST),台北一,null,null,25,110
Thu Apr 17 1997 00:00:00 GMT+0800 (CST),台北二,null,null,35,20
Thu Apr 17 1997 00:00:00 GMT+0800 (CST),台北一,null,null,25,120
Fri Apr 18 1997 00:00:00 GMT+0800 (CST),台北二,null,null,35,20
Fri Apr 18 1997 00:00:00 GMT+0800 (CST),台北一,null,null,25,110
Sat Apr 19 1997 00:00:00 GMT+0800 (CST),台北二,null,null,35,20
Sat Apr 19 1997 00:00:00 GMT+0800 (CST),台北一,null,null,25,120
Sun Apr 20 1997 00:00:00 GMT+0800 (CST),台北二,null,null,35,20
Sun Apr 20 1997 00:00:00 GMT+0800 (CST),台北一,null,null,25,140
Mon Apr 21 1997 00:00:00 GMT+0800 (CST),台北一,null,null,25,120
Tue Apr 22 1997 00:00:00 GMT+0800 (CST),台北一,null,null,25,110
Thu Apr 24 1997 00:00:00 GMT+0800 (CST),台北二,null,null,35,20
Thu Apr 24 1997 00:00:00 GMT+0800 (CST),台北一,null,null,25,100
Fri Apr 25 1997 00:00:00 GMT+0800 (CST),台北二,null,null,35,20
Fri Apr 25 1997 00:00:00 GMT+0800 (CST),台北一,null,null,25,120
Sat Apr 26 1997 00:00:00 GMT+0800 (CST),台北二,null,null,35,20
Sat Apr 26 1997 00:00:00 GMT+0800 (CST),台北一,null,null,25,120
Sun Apr 27 1997 00:00:00 GMT+0800 (CST),台北二,null,null,35,20
Sun Apr 27 1997 00:00:00 GMT+0800 (CST),台北一,null,null,25,100
Mon Apr 28 1997 00:00:00 GMT+0800 (CST),台北二,null,null,35,20
Mon Apr 28 1997 00:00:00 GMT+0800 (CST),台北一,null,null,25,110
Mon Apr 28 1997 00:00:00 GMT+0800 (CST),高雄市,null,null,30,30
Tue Apr 29 1997 00:00:00 GMT+0800 (CST),台北一,null,null,25,120
Wed Apr 30 1997 00:00:00 GMT+0800 (CST),台北一,null,null,25,110
Wed Apr 01 1998 00:00:00 GMT+0800 (CST),台北一,null,null,35,180
Thu Apr 02 1998 00:00:00 GMT+0800 (CST),台北一,null,null,35,110
Fri Apr 03 1998 00:00:00 GMT+0800 (CST),台北一,null,null,35,60
Sat Apr 04 1998 00:00:00 GMT+0800 (CST),台北二,null,null,35,20
Sat Apr 04 1998 00:00:00 GMT+0800 (CST),台北一,null,null,35,200
Tue Apr 07 1998 00:00:00 GMT+0800 (CST),台北二,null,null,35,20
Tue Apr 07 1998 00:00:00 GMT+0800 (CST),台北一,null,null,35,140
Wed Apr 08 1998 00:00:00 GMT+0800 (CST),台北一,null,null,35,120
Thu Apr 09 1998 00:00:00 GMT+0800 (CST),台北一,null,null,35,60
Fri Apr 10 1998 00:00:00 GMT+0800 (CST),台北一,null,null,35,180
Sat Apr 11 1998 00:00:00 GMT+0800 (CST),台北一,null,null,35,140
Sun Apr 12 1998 00:00:00 GMT+0800 (CST),台北二,null,null,35,20
Sun Apr 12 1998 00:00:00 GMT+0800 (CST),台北一,null,null,35,120
Tue Apr 14 1998 00:00:00 GMT+0800 (CST),台北一,null,null,35,100
Wed Apr 15 1998 00:00:00 GMT+0800 (CST),台北一,null,null,35,110
Thu Apr 16 1998 00:00:00 GMT+0800 (CST),台北一,null,null,35,130
Fri Apr 17 1998 00:00:00 GMT+0800 (CST),台北二,null,null,35,15
Fri Apr 17 1998 00:00:00 GMT+0800 (CST),台北一,null,null,35,100
Sat Apr 18 1998 00:00:00 GMT+0800 (CST),台北一,null,null,35,60
Sun Apr 19 1998 00:00:00 GMT+0800 (CST),台北一,null,null,35,170
Mon Apr 20 1998 00:00:00 GMT+0800 (CST),台北一,null,null,35,130
Wed Apr 22 1998 00:00:00 GMT+0800 (CST),台北一,null,null,35,120
Thu Apr 23 1998 00:00:00 GMT+0800 (CST),台北二,null,null,35,15
Thu Apr 23 1998 00:00:00 GMT+0800 (CST),台北一,null,null,35,130
Fri Apr 24 1998 00:00:00 GMT+0800 (CST),台北二,null,null,35,15
Fri Apr 24 1998 00:00:00 GMT+0800 (CST),台北一,null,null,35,110
Sat Apr 25 1998 00:00:00 GMT+0800 (CST),台北二,null,null,35,20
Sat Apr 25 1998 00:00:00 GMT+0800 (CST),台北一,null,null,35,140
Sun Apr 26 1998 00:00:00 GMT+0800 (CST),台北一,null,null,35,120
Mon Apr 27 1998 00:00:00 GMT+0800 (CST),台北一,null,null,35,130
Wed Apr 29 1998 00:00:00 GMT+0800 (CST),台北一,null,null,35,110
Thu Apr 01 1999 00:00:00 GMT+0800 (CST),台北一,null,null,35,60
Fri Apr 02 1999 00:00:00 GMT+0800 (CST),台北一,null,null,35,60
Sat Apr 03 1999 00:00:00 GMT+0800 (CST),台北一,null,null,35,140
Sun Apr 04 1999 00:00:00 GMT+0800 (CST),台北一,null,null,35,280
Thu Apr 08 1999 00:00:00 GMT+0800 (CST),台北一,null,null,35,140
Fri Apr 09 1999 00:00:00 GMT+0800 (CST),台北一,null,null,35,120
Sat Apr 10 1999 00:00:00 GMT+0800 (CST),台北一,null,null,35,220
Mon Apr 12 1999 00:00:00 GMT+0800 (CST),台北一,null,null,35,60
Tue Apr 13 1999 00:00:00 GMT+0800 (CST),台北一,null,null,35,110
Wed Apr 14 1999 00:00:00 GMT+0800 (CST),台北一,null,null,35,130
Thu Apr 15 1999 00:00:00 GMT+0800 (CST),台北一,null,null,35,110
Fri Apr 16 1999 00:00:00 GMT+0800 (CST),台北一,null,null,35,120
Sat Apr 17 1999 00:00:00 GMT+0800 (CST),台北一,null,null,35,220
Mon Apr 19 1999 00:00:00 GMT+0800 (CST),台北一,null,null,35,60
Tue Apr 20 1999 00:00:00 GMT+0800 (CST),台北一,null,null,35,240
Thu Apr 22 1999 00:00:00 GMT+0800 (CST),台北一,null,null,35,60
Fri Apr 23 1999 00:00:00 GMT+0800 (CST),台北一,null,null,35,120
Sat Apr 24 1999 00:00:00 GMT+0800 (CST),台北一,null,null,35,250
Mon Apr 26 1999 00:00:00 GMT+0800 (CST),台北一,null,null,35,60
Tue Apr 27 1999 00:00:00 GMT+0800 (CST),台北一,null,null,35,110
Wed Apr 28 1999 00:00:00 GMT+0800 (CST),台北一,null,null,35,60
Thu Apr 29 1999 00:00:00 GMT+0800 (CST),台北一,null,null,35,120
Fri Apr 30 1999 00:00:00 GMT+0800 (CST),台北一,null,null,35,180
Sat Apr 01 2000 00:00:00 GMT+0800 (CST),台北一,null,null,35,140
Sun Apr 02 2000 00:00:00 GMT+0800 (CST),台北一,null,null,35,340
Mon Apr 03 2000 00:00:00 GMT+0800 (CST),台北一,null,null,35,60
Thu Apr 06 2000 00:00:00 GMT+0800 (CST),台北一,null,null,25,279
Fri Apr 07 2000 00:00:00 GMT+0800 (CST),台北一,null,null,35,140
Sat Apr 08 2000 00:00:00 GMT+0800 (CST),台北一,null,null,35,140
Sun Apr 09 2000 00:00:00 GMT+0800 (CST),台北一,null,null,35,220
Mon Apr 10 2000 00:00:00 GMT+0800 (CST),台北一,null,null,35,60
Tue Apr 11 2000 00:00:00 GMT+0800 (CST),台北一,null,null,35,110
Wed Apr 12 2000 00:00:00 GMT+0800 (CST),台北一,null,null,35,60
Thu Apr 13 2000 00:00:00 GMT+0800 (CST),台北一,null,null,35,130
Sat Apr 15 2000 00:00:00 GMT+0800 (CST),台北一,null,null,35,210
Sun Apr 16 2000 00:00:00 GMT+0800 (CST),台北一,null,null,35,140
Mon Apr 17 2000 00:00:00 GMT+0800 (CST),台北一,null,null,35,190
Tue Apr 18 2000 00:00:00 GMT+0800 (CST),台北一,null,null,25,116
Wed Apr 19 2000 00:00:00 GMT+0800 (CST),台北一,null,null,35,60
Thu Apr 20 2000 00:00:00 GMT+0800 (CST),台北一,null,null,35,220
Sat Apr 22 2000 00:00:00 GMT+0800 (CST),台北一,null,null,35,60
Sun Apr 23 2000 00:00:00 GMT+0800 (CST),台北一,null,null,35,280
Mon Apr 24 2000 00:00:00 GMT+0800 (CST),台北一,null,null,35,50
Tue Apr 25 2000 00:00:00 GMT+0800 (CST),台北一,null,null,35,180
Wed Apr 26 2000 00:00:00 GMT+0800 (CST),台北一,null,null,35,60
Thu Apr 27 2000 00:00:00 GMT+0800 (CST),台北一,null,null,35,110
Fri Apr 28 2000 00:00:00 GMT+0800 (CST),台北一,null,null,35,160
Sun Apr 30 2000 00:00:00 GMT+0800 (CST),台北一,null,null,35,140
Sun Apr 01 2001 00:00:00 GMT+0800 (CST),台北一,null,null,35,160
Mon Apr 02 2001 00:00:00 GMT+0800 (CST),台北一,null,null,35,160
Tue Apr 03 2001 00:00:00 GMT+0800 (CST),台北一,null,null,35,130
Wed Apr 04 2001 00:00:00 GMT+0800 (CST),台北一,null,null,35,110
Sat Apr 07 2001 00:00:00 GMT+0800 (CST),台北一,null,null,35,130
Sun Apr 08 2001 00:00:00 GMT+0800 (CST),台北一,null,null,35,60
Mon Apr 09 2001 00:00:00 GMT+0800 (CST),台北一,null,null,35,120
Wed Apr 11 2001 00:00:00 GMT+0800 (CST),台北一,null,null,35,180
Thu Apr 12 2001 00:00:00 GMT+0800 (CST),台北一,null,null,35,140
Fri Apr 13 2001 00:00:00 GMT+0800 (CST),台北一,null,null,35,110
Sat Apr 14 2001 00:00:00 GMT+0800 (CST),台北一,null,null,35,160
Sun Apr 15 2001 00:00:00 GMT+0800 (CST),台北一,null,null,35,120
Mon Apr 16 2001 00:00:00 GMT+0800 (CST),台北一,null,null,35,130
Tue Apr 17 2001 00:00:00 GMT+0800 (CST),台北一,null,null,35,140
Fri Apr 20 2001 00:00:00 GMT+0800 (CST),台北一,null,null,35,360
Sat Apr 21 2001 00:00:00 GMT+0800 (CST),台北一,null,null,35,60
Sun Apr 22 2001 00:00:00 GMT+0800 (CST),台北一,null,null,35,160
Mon Apr 23 2001 00:00:00 GMT+0800 (CST),台北一,null,null,35,140
Tue Apr 24 2001 00:00:00 GMT+0800 (CST),台北一,null,null,35,120
Thu Apr 26 2001 00:00:00 GMT+0800 (CST),台北一,null,null,35,160
Fri Apr 27 2001 00:00:00 GMT+0800 (CST),台北一,null,null,35,120
Sat Apr 28 2001 00:00:00 GMT+0800 (CST),台北一,null,null,35,140
Sun Apr 29 2001 00:00:00 GMT+0800 (CST),台北一,null,null,35,190
Mon Apr 30 2001 00:00:00 GMT+0800 (CST),台北一,null,null,35,110
Mon Apr 01 2002 00:00:00 GMT+0800 (CST),台北一,null,null,35,160
Tue Apr 02 2002 00:00:00 GMT+0800 (CST),台北一,null,null,35,60
Wed Apr 03 2002 00:00:00 GMT+0800 (CST),台北一,null,null,35,120
Thu Apr 04 2002 00:00:00 GMT+0800 (CST),台北一,null,null,35,160
Sun Apr 07 2002 00:00:00 GMT+0800 (CST),台北一,null,null,35,140
Mon Apr 08 2002 00:00:00 GMT+0800 (CST),台北一,null,null,35,140
Tue Apr 09 2002 00:00:00 GMT+0800 (CST),台北一,null,null,35,110
Wed Apr 10 2002 00:00:00 GMT+0800 (CST),台北一,null,null,35,120
Thu Apr 11 2002 00:00:00 GMT+0800 (CST),台北一,null,null,35,110
Fri Apr 12 2002 00:00:00 GMT+0800 (CST),台北一,null,null,35,60
Sat Apr 13 2002 00:00:00 GMT+0800 (CST),台北一,null,null,35,130
Sun Apr 14 2002 00:00:00 GMT+0800 (CST),台北一,null,null,35,140
Tue Apr 16 2002 00:00:00 GMT+0800 (CST),台北一,null,null,35,140
Wed Apr 17 2002 00:00:00 GMT+0800 (CST),台北一,null,null,35,140
Thu Apr 18 2002 00:00:00 GMT+0800 (CST),台北一,null,null,35,170
Fri Apr 19 2002 00:00:00 GMT+0800 (CST),台北一,null,null,35,110
Sat Apr 20 2002 00:00:00 GMT+0800 (CST),台北一,null,null,35,150
Sun Apr 21 2002 00:00:00 GMT+0800 (CST),台北一,null,null,35,160
Tue Apr 23 2002 00:00:00 GMT+0800 (CST),台北一,null,null,35,140
Wed Apr 24 2002 00:00:00 GMT+0800 (CST),台北一,null,null,35,130
Thu Apr 25 2002 00:00:00 GMT+0800 (CST),台北一,null,null,35,270
Fri Apr 26 2002 00:00:00 GMT+0800 (CST),台北一,null,null,35,150
Sat Apr 27 2002 00:00:00 GMT+0800 (CST),台北一,null,null,35,180
Sun Apr 28 2002 00:00:00 GMT+0800 (CST),台北一,null,null,35,160
Tue Apr 30 2002 00:00:00 GMT+0800 (CST),台北一,null,null,35,60
Tue Apr 01 2003 00:00:00 GMT+0800 (CST),台北一,null,null,35,240
Wed Apr 02 2003 00:00:00 GMT+0800 (CST),台北一,null,null,35,110
Thu Apr 03 2003 00:00:00 GMT+0800 (CST),台北一,null,null,35,120
Fri Apr 04 2003 00:00:00 GMT+0800 (CST),台北一,null,null,35,60
Sat Apr 05 2003 00:00:00 GMT+0800 (CST),台北一,null,null,35,120
Tue Apr 08 2003 00:00:00 GMT+0800 (CST),台北一,null,null,35,120
Wed Apr 09 2003 00:00:00 GMT+0800 (CST),台北一,null,null,35,110
Thu Apr 10 2003 00:00:00 GMT+0800 (CST),台北一,null,null,35,120
Fri Apr 11 2003 00:00:00 GMT+0800 (CST),台北一,null,null,35,160
Sat Apr 12 2003 00:00:00 GMT+0800 (CST),台北一,null,null,35,140
Sun Apr 13 2003 00:00:00 GMT+0800 (CST),台北一,null,null,35,60
Tue Apr 15 2003 00:00:00 GMT+0800 (CST),台北一,null,null,35,140
Wed Apr 16 2003 00:00:00 GMT+0800 (CST),台北一,null,null,35,120
Thu Apr 17 2003 00:00:00 GMT+0800 (CST),台北一,null,null,35,120
Fri Apr 18 2003 00:00:00 GMT+0800 (CST),台北一,null,null,35,120
Sat Apr 19 2003 00:00:00 GMT+0800 (CST),台北一,null,null,35,120
Sun Apr 20 2003 00:00:00 GMT+0800 (CST),台北一,null,null,35,140
Tue Apr 22 2003 00:00:00 GMT+0800 (CST),台北一,null,null,35,250
Thu Apr 24 2003 00:00:00 GMT+0800 (CST),台北一,null,null,35,140
Fri Apr 25 2003 00:00:00 GMT+0800 (CST),台北一,null,null,35,130
Sat Apr 26 2003 00:00:00 GMT+0800 (CST),台北一,null,null,35,140
Sun Apr 27 2003 00:00:00 GMT+0800 (CST),台北一,null,null,35,130
Tue Apr 29 2003 00:00:00 GMT+0800 (CST),台北一,null,null,35,60
Wed Apr 30 2003 00:00:00 GMT+0800 (CST),台北一,null,null,35,130
Thu Apr 01 2004 00:00:00 GMT+0800 (CST),台北一,null,null,35,120
Fri Apr 02 2004 00:00:00 GMT+0800 (CST),台北一,null,null,35,120
Sat Apr 03 2004 00:00:00 GMT+0800 (CST),台北一,null,null,35,60
Tue Apr 06 2004 00:00:00 GMT+0800 (CST),台北一,null,null,35,160
Wed Apr 07 2004 00:00:00 GMT+0800 (CST),台北一,null,null,35,120
Thu Apr 08 2004 00:00:00 GMT+0800 (CST),台北一,null,null,35,120
Fri Apr 09 2004 00:00:00 GMT+0800 (CST),台北一,null,null,33.2,160
Sat Apr 10 2004 00:00:00 GMT+0800 (CST),台北一,null,null,29.9,180
Sat Apr 10 2004 00:00:00 GMT+0800 (CST),三重市,null,null,8.8,50
Sun Apr 11 2004 00:00:00 GMT+0800 (CST),台北一,null,null,35,160
Tue Apr 13 2004 00:00:00 GMT+0800 (CST),台北一,null,null,28.8,184
Wed Apr 14 2004 00:00:00 GMT+0800 (CST),台北一,null,null,35,160
Thu Apr 15 2004 00:00:00 GMT+0800 (CST),台北一,null,null,35,160
Fri Apr 16 2004 00:00:00 GMT+0800 (CST),台北二,null,null,18,50
Fri Apr 16 2004 00:00:00 GMT+0800 (CST),台北一,null,null,27.4,200
Sat Apr 17 2004 00:00:00 GMT+0800 (CST),台北二,null,null,8.8,60
Sat Apr 17 2004 00:00:00 GMT+0800 (CST),台北一,null,null,21.1,263
Sun Apr 18 2004 00:00:00 GMT+0800 (CST),台北一,null,null,24.5,230
Tue Apr 20 2004 00:00:00 GMT+0800 (CST),台北二,null,null,3,72
Tue Apr 20 2004 00:00:00 GMT+0800 (CST),台北一,null,null,33.3,208
Wed Apr 21 2004 00:00:00 GMT+0800 (CST),台北一,null,null,32.3,160
Thu Apr 22 2004 00:00:00 GMT+0800 (CST),台北二,null,null,2.3,30
Thu Apr 22 2004 00:00:00 GMT+0800 (CST),台北一,null,null,18.5,130
Fri Apr 23 2004 00:00:00 GMT+0800 (CST),台北二,null,null,1.2,12
Fri Apr 23 2004 00:00:00 GMT+0800 (CST),台北一,null,null,35,169
Sat Apr 24 2004 00:00:00 GMT+0800 (CST),台北一,null,null,35,166
Sun Apr 25 2004 00:00:00 GMT+0800 (CST),台北二,null,null,5,12
Sun Apr 25 2004 00:00:00 GMT+0800 (CST),台北一,null,null,28.4,90
Sun Apr 25 2004 00:00:00 GMT+0800 (CST),三重市,null,null,7,24
Tue Apr 27 2004 00:00:00 GMT+0800 (CST),台北一,null,null,35,130
Wed Apr 28 2004 00:00:00 GMT+0800 (CST),台北一,null,null,35,60
Thu Apr 29 2004 00:00:00 GMT+0800 (CST),台北一,null,null,35,140
Fri Apr 30 2004 00:00:00 GMT+0800 (CST),台北一,null,null,35,205
Fri Apr 01 2005 00:00:00 GMT+0800 (CST),台北二,null,null,20,10
Fri Apr 01 2005 00:00:00 GMT+0800 (CST),台北一,null,null,35,148
