date,mktname,sbtype,transformation,middleprice,quantity
Sun Apr 01 2001 00:00:00 GMT+0800 (CST),台北一,null,null,15,54
Mon Apr 02 2001 00:00:00 GMT+0800 (CST),台北一,null,null,15,29
Tue Apr 03 2001 00:00:00 GMT+0800 (CST),台北一,null,null,15,30
Wed Apr 04 2001 00:00:00 GMT+0800 (CST),台北一,null,null,15,32
Sat Apr 07 2001 00:00:00 GMT+0800 (CST),台北一,null,null,15,25
Fri Apr 13 2001 00:00:00 GMT+0800 (CST),台北一,null,null,15,30
Sat Apr 14 2001 00:00:00 GMT+0800 (CST),台北一,null,null,18,30
Sun Apr 15 2001 00:00:00 GMT+0800 (CST),台北一,null,null,18,30
Thu Apr 19 2001 00:00:00 GMT+0800 (CST),台北一,null,null,20,30
Fri Apr 20 2001 00:00:00 GMT+0800 (CST),台北一,null,null,21,30
Fri Apr 20 2001 00:00:00 GMT+0800 (CST),屏東市,null,null,6,20
Sat Apr 21 2001 00:00:00 GMT+0800 (CST),台北一,null,null,20,30
Sun Apr 22 2001 00:00:00 GMT+0800 (CST),台北一,null,null,20,30
Mon Apr 23 2001 00:00:00 GMT+0800 (CST),台北一,null,null,10,60
Tue Apr 24 2001 00:00:00 GMT+0800 (CST),台北一,null,null,18,60
Thu Apr 26 2001 00:00:00 GMT+0800 (CST),台北一,null,null,20,30
Fri Apr 27 2001 00:00:00 GMT+0800 (CST),台北一,null,null,20,60
Sat Apr 28 2001 00:00:00 GMT+0800 (CST),台北一,null,null,18,30
Sun Apr 29 2001 00:00:00 GMT+0800 (CST),台北一,null,null,18,30
Mon Apr 30 2001 00:00:00 GMT+0800 (CST),台北一,null,null,10,10
Tue Apr 02 2002 00:00:00 GMT+0800 (CST),台北一,null,null,15,30
Thu Apr 04 2002 00:00:00 GMT+0800 (CST),台北一,null,null,9,60
Sun Apr 07 2002 00:00:00 GMT+0800 (CST),台北一,null,null,13.9,63
Tue Apr 09 2002 00:00:00 GMT+0800 (CST),台北一,null,null,11,60
Wed Apr 10 2002 00:00:00 GMT+0800 (CST),台北一,null,null,10,30
Thu Apr 11 2002 00:00:00 GMT+0800 (CST),台北一,null,null,8,60
Sat Apr 13 2002 00:00:00 GMT+0800 (CST),台北一,null,null,12,30
Sun Apr 14 2002 00:00:00 GMT+0800 (CST),台北一,null,null,12,30
Tue Apr 16 2002 00:00:00 GMT+0800 (CST),台北一,null,null,7,30
Wed Apr 17 2002 00:00:00 GMT+0800 (CST),台北一,null,null,6,30
Fri Apr 19 2002 00:00:00 GMT+0800 (CST),台北一,null,null,5,30
Sat Apr 20 2002 00:00:00 GMT+0800 (CST),台北一,null,null,8,30
Sun Apr 21 2002 00:00:00 GMT+0800 (CST),台北一,null,null,7,60
Tue Apr 23 2002 00:00:00 GMT+0800 (CST),台北一,null,null,6,60
Wed Apr 24 2002 00:00:00 GMT+0800 (CST),台北一,null,null,3.4,90
Fri Apr 26 2002 00:00:00 GMT+0800 (CST),台北一,null,null,5,30
Sat Apr 27 2002 00:00:00 GMT+0800 (CST),台北一,null,null,8,30
Sun Apr 28 2002 00:00:00 GMT+0800 (CST),台北一,null,null,8.1,80
Tue Apr 30 2002 00:00:00 GMT+0800 (CST),台北一,null,null,8.3,80
Tue Apr 01 2003 00:00:00 GMT+0800 (CST),台北二,null,null,15,20
Tue Apr 01 2003 00:00:00 GMT+0800 (CST),台北一,null,null,10,20
Wed Apr 02 2003 00:00:00 GMT+0800 (CST),台北二,null,null,25,20
Thu Apr 03 2003 00:00:00 GMT+0800 (CST),台北二,null,null,20,20
Thu Apr 03 2003 00:00:00 GMT+0800 (CST),台北一,null,null,13,20
Fri Apr 04 2003 00:00:00 GMT+0800 (CST),台北二,null,null,10,40
Fri Apr 04 2003 00:00:00 GMT+0800 (CST),台北一,null,null,8,20
Sat Apr 05 2003 00:00:00 GMT+0800 (CST),台北二,null,null,15,20
Sat Apr 05 2003 00:00:00 GMT+0800 (CST),台北一,null,null,13,20
Sat Apr 05 2003 00:00:00 GMT+0800 (CST),三重市,null,null,5,20
Tue Apr 08 2003 00:00:00 GMT+0800 (CST),台北二,null,null,15,20
Tue Apr 08 2003 00:00:00 GMT+0800 (CST),台北一,null,null,8,20
Wed Apr 09 2003 00:00:00 GMT+0800 (CST),台北二,null,null,15,20
Wed Apr 09 2003 00:00:00 GMT+0800 (CST),台北一,null,null,12,20
Thu Apr 10 2003 00:00:00 GMT+0800 (CST),台北二,null,null,12,40
Thu Apr 10 2003 00:00:00 GMT+0800 (CST),台北一,null,null,10,20
Fri Apr 11 2003 00:00:00 GMT+0800 (CST),台北二,null,null,8,20
Fri Apr 11 2003 00:00:00 GMT+0800 (CST),台北一,null,null,10,20
Sat Apr 12 2003 00:00:00 GMT+0800 (CST),台北一,null,null,8,20
Sun Apr 13 2003 00:00:00 GMT+0800 (CST),台北二,null,null,25,20
Tue Apr 15 2003 00:00:00 GMT+0800 (CST),台北二,null,null,20,20
Wed Apr 16 2003 00:00:00 GMT+0800 (CST),台北二,null,null,15,20
Thu Apr 17 2003 00:00:00 GMT+0800 (CST),台北二,null,null,15,20
Fri Apr 18 2003 00:00:00 GMT+0800 (CST),台北二,null,null,15,20
Fri Apr 18 2003 00:00:00 GMT+0800 (CST),台北一,null,null,8,20
Sat Apr 19 2003 00:00:00 GMT+0800 (CST),台北二,null,null,20,20
Sat Apr 19 2003 00:00:00 GMT+0800 (CST),台北一,null,null,8,40
Sun Apr 20 2003 00:00:00 GMT+0800 (CST),台北二,null,null,10,20
Sun Apr 20 2003 00:00:00 GMT+0800 (CST),台北一,null,null,6,20
Sun Apr 20 2003 00:00:00 GMT+0800 (CST),三重市,null,null,5,20
Tue Apr 22 2003 00:00:00 GMT+0800 (CST),台北二,null,null,15,40
Tue Apr 22 2003 00:00:00 GMT+0800 (CST),台北一,null,null,7,20
Wed Apr 23 2003 00:00:00 GMT+0800 (CST),台北二,null,null,14,40
Wed Apr 23 2003 00:00:00 GMT+0800 (CST),台北一,null,null,7,20
Thu Apr 24 2003 00:00:00 GMT+0800 (CST),台北二,null,null,10,20
Thu Apr 24 2003 00:00:00 GMT+0800 (CST),台北一,null,null,5,20
Thu Apr 24 2003 00:00:00 GMT+0800 (CST),三重市,null,null,5,20
Fri Apr 25 2003 00:00:00 GMT+0800 (CST),台北二,null,null,13,20
Fri Apr 25 2003 00:00:00 GMT+0800 (CST),台北一,null,null,5,20
Fri Apr 25 2003 00:00:00 GMT+0800 (CST),三重市,null,null,5,20
Sat Apr 26 2003 00:00:00 GMT+0800 (CST),台北二,null,null,10,40
Sat Apr 26 2003 00:00:00 GMT+0800 (CST),台北一,null,null,5,20
Sun Apr 27 2003 00:00:00 GMT+0800 (CST),台北二,null,null,9,40
Tue Apr 29 2003 00:00:00 GMT+0800 (CST),台北二,null,null,6,20
Tue Apr 29 2003 00:00:00 GMT+0800 (CST),台北一,null,null,5,20
Tue Apr 29 2003 00:00:00 GMT+0800 (CST),三重市,null,null,5,20
Wed Apr 30 2003 00:00:00 GMT+0800 (CST),台北二,null,null,8,20
Wed Apr 30 2003 00:00:00 GMT+0800 (CST),台北一,null,null,5,20
Wed Apr 30 2003 00:00:00 GMT+0800 (CST),三重市,null,null,5,20
Thu Apr 01 2004 00:00:00 GMT+0800 (CST),台北二,null,null,3,26
Fri Apr 02 2004 00:00:00 GMT+0800 (CST),台北二,null,null,3,32
Sat Apr 03 2004 00:00:00 GMT+0800 (CST),台北二,null,null,2,17
Wed Apr 07 2004 00:00:00 GMT+0800 (CST),台北二,null,null,3.7,105
Thu Apr 08 2004 00:00:00 GMT+0800 (CST),台北二,null,null,3,20
Fri Apr 09 2004 00:00:00 GMT+0800 (CST),台北二,null,null,5,42
Sat Apr 10 2004 00:00:00 GMT+0800 (CST),台北二,null,null,4.9,56
Sun Apr 11 2004 00:00:00 GMT+0800 (CST),台北二,null,null,5,6
Tue Apr 13 2004 00:00:00 GMT+0800 (CST),台北二,null,null,3,28
Wed Apr 14 2004 00:00:00 GMT+0800 (CST),台北二,null,null,4.5,20
Thu Apr 15 2004 00:00:00 GMT+0800 (CST),台北二,null,null,3,17
Thu Apr 15 2004 00:00:00 GMT+0800 (CST),台北一,null,null,10,30
Sat Apr 17 2004 00:00:00 GMT+0800 (CST),台北二,null,null,6,10
Sat Apr 17 2004 00:00:00 GMT+0800 (CST),台北一,null,null,10,30
Sun Apr 18 2004 00:00:00 GMT+0800 (CST),台北二,null,null,3,20
Tue Apr 20 2004 00:00:00 GMT+0800 (CST),台北二,null,null,3,20
Tue Apr 20 2004 00:00:00 GMT+0800 (CST),台北一,null,null,19,20
Wed Apr 21 2004 00:00:00 GMT+0800 (CST),台北二,null,null,7,9
Wed Apr 21 2004 00:00:00 GMT+0800 (CST),台北一,null,null,10,15
Sun Apr 25 2004 00:00:00 GMT+0800 (CST),台北一,null,null,11,30
Tue Apr 27 2004 00:00:00 GMT+0800 (CST),台北二,null,null,3,12
Tue Apr 27 2004 00:00:00 GMT+0800 (CST),台北一,null,null,10,30
Wed Apr 28 2004 00:00:00 GMT+0800 (CST),台北一,null,null,6,15
Wed Apr 20 2005 00:00:00 GMT+0800 (CST),台北一,null,null,10,15
Sun Apr 24 2005 00:00:00 GMT+0800 (CST),台北一,null,null,5,15
Tue Apr 26 2005 00:00:00 GMT+0800 (CST),台北二,null,null,11,15
Fri Apr 14 2006 00:00:00 GMT+0800 (CST),台北一,null,null,9.4,57
Sat Apr 15 2006 00:00:00 GMT+0800 (CST),台北一,null,null,10,24
Wed Apr 19 2006 00:00:00 GMT+0800 (CST),台北一,null,null,10,17
Thu Apr 20 2006 00:00:00 GMT+0800 (CST),台北一,null,null,12,34
Fri Apr 21 2006 00:00:00 GMT+0800 (CST),台北一,null,null,12,19
Sun Apr 30 2006 00:00:00 GMT+0800 (CST),台北一,null,null,10,24
Fri Apr 27 2007 00:00:00 GMT+0800 (CST),台北二,null,null,4,50
Thu Apr 10 2008 00:00:00 GMT+0800 (CST),台北一,null,null,3,13
Thu Apr 16 2009 00:00:00 GMT+0800 (CST),台北一,null,null,17.9,22
Fri Apr 17 2009 00:00:00 GMT+0800 (CST),台北一,null,null,13.3,25
Sat Apr 18 2009 00:00:00 GMT+0800 (CST),台北一,null,null,15,9
Fri Apr 01 2011 00:00:00 GMT+0800 (CST),台北一,null,null,10,20
Tue Apr 16 2013 00:00:00 GMT+0800 (CST),台北一,null,null,8.5,21
Mon Aug 02 1999 00:00:00 GMT+0800 (CST),台北一,null,null,5.1,51
