date,mktname,sbtype,transformation,middleprice,quantity
Wed Apr 11 2001 00:00:00 GMT+0800 (CST),台北一,null,null,13.9,77
Mon Apr 16 2001 00:00:00 GMT+0800 (CST),台北一,null,null,12,21
Sat Apr 24 2004 00:00:00 GMT+0800 (CST),台北二,null,null,20,14
Sat Apr 24 2004 00:00:00 GMT+0800 (CST),台北一,null,null,5,24
Sat Apr 21 2007 00:00:00 GMT+0800 (CST),台北一,null,null,20,11
Sun Apr 13 2008 00:00:00 GMT+0800 (CST),台北一,null,null,27,12
Wed Apr 16 2008 00:00:00 GMT+0800 (CST),台北一,null,null,9,24
Wed Apr 01 2009 00:00:00 GMT+0800 (CST),台北一,null,null,11.8,46
Fri Apr 10 2009 00:00:00 GMT+0800 (CST),台北一,null,null,9,9
Tue Apr 14 2009 00:00:00 GMT+0800 (CST),台北一,null,null,20,14
Wed Apr 22 2009 00:00:00 GMT+0800 (CST),台北一,null,null,13,7
Sat Apr 25 2009 00:00:00 GMT+0800 (CST),台北一,null,null,20,10
Sun Apr 26 2009 00:00:00 GMT+0800 (CST),台北一,null,null,20,52
Tue Apr 28 2009 00:00:00 GMT+0800 (CST),台北一,null,null,15,74
Wed Apr 29 2009 00:00:00 GMT+0800 (CST),台北一,null,null,14.9,58
Thu Apr 30 2009 00:00:00 GMT+0800 (CST),台北一,null,null,20.9,18
Thu Apr 01 2010 00:00:00 GMT+0800 (CST),台北一,null,null,34,18
Fri Apr 02 2010 00:00:00 GMT+0800 (CST),台北一,null,null,27.6,38
Sat Apr 03 2010 00:00:00 GMT+0800 (CST),台北一,null,null,27.3,29
Sun Apr 04 2010 00:00:00 GMT+0800 (CST),台北一,null,null,30,20
Wed Apr 07 2010 00:00:00 GMT+0800 (CST),台北一,null,null,28.4,22
Thu Apr 08 2010 00:00:00 GMT+0800 (CST),台北一,null,null,20,52
Fri Apr 09 2010 00:00:00 GMT+0800 (CST),台北一,null,null,24.4,47
Sat Apr 10 2010 00:00:00 GMT+0800 (CST),台北一,null,null,20,50
Sun Apr 11 2010 00:00:00 GMT+0800 (CST),台北一,null,null,20,32
Tue Apr 13 2010 00:00:00 GMT+0800 (CST),台北一,null,null,13.6,17
Wed Apr 14 2010 00:00:00 GMT+0800 (CST),台北一,null,null,17.5,34
Thu Apr 15 2010 00:00:00 GMT+0800 (CST),台北一,null,null,19.6,47
Fri Apr 16 2010 00:00:00 GMT+0800 (CST),台北一,null,null,13,29
Sat Apr 17 2010 00:00:00 GMT+0800 (CST),台北一,null,null,17.4,102
Sun Apr 18 2010 00:00:00 GMT+0800 (CST),台北一,null,null,17,51
Tue Apr 20 2010 00:00:00 GMT+0800 (CST),台北一,null,null,16.3,35
Wed Apr 21 2010 00:00:00 GMT+0800 (CST),台北一,null,null,18,21
Thu Apr 22 2010 00:00:00 GMT+0800 (CST),台北一,null,null,15,62
Fri Apr 23 2010 00:00:00 GMT+0800 (CST),台北一,null,null,10.2,56
