date,mktname,sbtype,transformation,middleprice,quantity
Thu Apr 01 1999 00:00:00 GMT+0800 (CST),台北二,null,null,7,63
Fri Apr 02 1999 00:00:00 GMT+0800 (CST),台北二,null,null,5,19
Sat Apr 03 1999 00:00:00 GMT+0800 (CST),台北二,null,null,11,32
Sun Apr 04 1999 00:00:00 GMT+0800 (CST),台北二,null,null,5.7,45
Wed Apr 07 1999 00:00:00 GMT+0800 (CST),台北二,null,null,9.5,31
Thu Apr 08 1999 00:00:00 GMT+0800 (CST),台北二,null,null,9.8,38
Fri Apr 09 1999 00:00:00 GMT+0800 (CST),台北二,null,null,12,15
Sat Apr 10 1999 00:00:00 GMT+0800 (CST),台北二,null,null,9,24
Mon Apr 12 1999 00:00:00 GMT+0800 (CST),台北二,null,null,10.3,33
Tue Apr 13 1999 00:00:00 GMT+0800 (CST),台北二,null,null,7.8,45
Wed Apr 14 1999 00:00:00 GMT+0800 (CST),台北二,null,null,4.5,94
Thu Apr 15 1999 00:00:00 GMT+0800 (CST),台北二,null,null,3,30
Fri Apr 16 1999 00:00:00 GMT+0800 (CST),台北二,null,null,5.1,53
Sat Apr 17 1999 00:00:00 GMT+0800 (CST),台北二,null,null,5.7,56
Mon Apr 19 1999 00:00:00 GMT+0800 (CST),台北二,null,null,5,32
Tue Apr 20 1999 00:00:00 GMT+0800 (CST),台北二,null,null,5,16
Wed Apr 21 1999 00:00:00 GMT+0800 (CST),台北二,null,null,5,32
Fri Apr 23 1999 00:00:00 GMT+0800 (CST),台北二,null,null,8.5,36
Sat Apr 24 1999 00:00:00 GMT+0800 (CST),台北二,null,null,3.8,28
Mon Apr 26 1999 00:00:00 GMT+0800 (CST),台北二,null,null,5,28
Tue Apr 27 1999 00:00:00 GMT+0800 (CST),台北二,null,null,5,15
Wed Apr 28 1999 00:00:00 GMT+0800 (CST),台北二,null,null,5,27
Thu Apr 29 1999 00:00:00 GMT+0800 (CST),台北二,null,null,5,25
Sat Apr 01 2000 00:00:00 GMT+0800 (CST),台北一,null,null,15,75
Sun Apr 02 2000 00:00:00 GMT+0800 (CST),台北一,null,null,14.8,100
Mon Apr 03 2000 00:00:00 GMT+0800 (CST),台北一,null,null,10.4,81
Thu Apr 06 2000 00:00:00 GMT+0800 (CST),台北二,null,null,3,24
Thu Apr 06 2000 00:00:00 GMT+0800 (CST),台北一,null,null,10,27
Tue Apr 11 2000 00:00:00 GMT+0800 (CST),台北二,null,null,10,44
Sat Apr 22 2000 00:00:00 GMT+0800 (CST),台北二,null,null,1.5,39
Sat Apr 22 2000 00:00:00 GMT+0800 (CST),台北一,null,null,13,14
Wed Apr 11 2001 00:00:00 GMT+0800 (CST),台北一,null,null,7.9,55
Thu Apr 12 2001 00:00:00 GMT+0800 (CST),台北一,null,null,9.3,70
Fri Apr 13 2001 00:00:00 GMT+0800 (CST),台北一,null,null,10,15
Sat Apr 14 2001 00:00:00 GMT+0800 (CST),台北一,null,null,8,14
Mon Apr 23 2001 00:00:00 GMT+0800 (CST),台北一,null,null,20,18
Thu Apr 26 2001 00:00:00 GMT+0800 (CST),台北一,null,null,10,11
Sun Apr 29 2001 00:00:00 GMT+0800 (CST),台北一,null,null,5,22
Mon Apr 01 2002 00:00:00 GMT+0800 (CST),台北一,null,null,5,19
Wed Apr 03 2002 00:00:00 GMT+0800 (CST),台北二,null,null,5,34
Thu Apr 04 2002 00:00:00 GMT+0800 (CST),台北一,null,null,6,18
Thu Apr 04 2002 00:00:00 GMT+0800 (CST),三重市,null,null,10,24
