date,mktname,sbtype,transformation,middleprice,quantity
Sat Apr 01 2006 00:00:00 GMT+0800 (CST),台北二,null,null,180,20
Sat Apr 01 2006 00:00:00 GMT+0800 (CST),台北一,null,null,180,49
Sun Apr 02 2006 00:00:00 GMT+0800 (CST),台北二,null,null,120,21
Mon Apr 03 2006 00:00:00 GMT+0800 (CST),台北二,null,null,150,18
Tue Apr 04 2006 00:00:00 GMT+0800 (CST),台北二,null,null,185,20
Tue Apr 04 2006 00:00:00 GMT+0800 (CST),台北一,null,null,130,20
Fri Apr 07 2006 00:00:00 GMT+0800 (CST),台北二,null,null,190,20
Fri Apr 07 2006 00:00:00 GMT+0800 (CST),台北一,null,null,174.6,47
Sat Apr 08 2006 00:00:00 GMT+0800 (CST),台北二,null,null,190.7,35
Sat Apr 08 2006 00:00:00 GMT+0800 (CST),台北一,null,null,153.1,53
Sun Apr 09 2006 00:00:00 GMT+0800 (CST),台北二,null,null,137.1,36
Sun Apr 09 2006 00:00:00 GMT+0800 (CST),台北一,null,null,150,41
Tue Apr 11 2006 00:00:00 GMT+0800 (CST),台北二,null,null,155,11
Wed Apr 12 2006 00:00:00 GMT+0800 (CST),台北二,null,null,107.3,55
Wed Apr 12 2006 00:00:00 GMT+0800 (CST),台北一,null,null,150,50
Thu Apr 13 2006 00:00:00 GMT+0800 (CST),台北二,null,null,103.3,25
Thu Apr 13 2006 00:00:00 GMT+0800 (CST),台北一,null,null,135,49
Sun Apr 16 2006 00:00:00 GMT+0800 (CST),台北二,null,null,100,7
Tue Apr 18 2006 00:00:00 GMT+0800 (CST),台北二,null,null,145.6,34
Tue Apr 18 2006 00:00:00 GMT+0800 (CST),台北一,null,null,170.1,38
Wed Apr 19 2006 00:00:00 GMT+0800 (CST),台北二,null,null,100,7
Thu Apr 20 2006 00:00:00 GMT+0800 (CST),台北二,null,null,170,20
Thu Apr 20 2006 00:00:00 GMT+0800 (CST),台北一,null,null,185,38
Sat Apr 22 2006 00:00:00 GMT+0800 (CST),台北二,null,null,175,20
Sat Apr 22 2006 00:00:00 GMT+0800 (CST),台北一,null,null,223,40
Tue Apr 25 2006 00:00:00 GMT+0800 (CST),台北二,null,null,104.8,57
Tue Apr 25 2006 00:00:00 GMT+0800 (CST),台北一,null,null,169,63
Thu Apr 27 2006 00:00:00 GMT+0800 (CST),台北二,null,null,130,20
Thu Apr 27 2006 00:00:00 GMT+0800 (CST),台北一,null,null,200,60
Sat Apr 29 2006 00:00:00 GMT+0800 (CST),台北二,null,null,140,20
Sat Apr 29 2006 00:00:00 GMT+0800 (CST),台北一,null,null,169.4,54
Tue Apr 03 2007 00:00:00 GMT+0800 (CST),台北二,null,null,65.4,20
Tue Apr 03 2007 00:00:00 GMT+0800 (CST),台北一,null,null,80,68
Sat Apr 07 2007 00:00:00 GMT+0800 (CST),台北二,null,null,80,15
Sat Apr 07 2007 00:00:00 GMT+0800 (CST),台北一,null,null,84.1,65
Tue Apr 10 2007 00:00:00 GMT+0800 (CST),台北二,null,null,75,20
Tue Apr 10 2007 00:00:00 GMT+0800 (CST),台北一,null,null,89.5,68
Thu Apr 12 2007 00:00:00 GMT+0800 (CST),台北二,null,null,100,20
Thu Apr 12 2007 00:00:00 GMT+0800 (CST),台北一,null,null,90,74
Sat Apr 14 2007 00:00:00 GMT+0800 (CST),台北二,null,null,90,25
Sat Apr 14 2007 00:00:00 GMT+0800 (CST),台北一,null,null,89.9,82
Tue Apr 17 2007 00:00:00 GMT+0800 (CST),台北二,null,null,85,20
Tue Apr 17 2007 00:00:00 GMT+0800 (CST),台北一,null,null,85,60
Thu Apr 19 2007 00:00:00 GMT+0800 (CST),台北二,null,null,70,25
Thu Apr 19 2007 00:00:00 GMT+0800 (CST),台北一,null,null,89.6,84
Fri Apr 20 2007 00:00:00 GMT+0800 (CST),台北一,null,null,85,12
Sat Apr 21 2007 00:00:00 GMT+0800 (CST),台北二,null,null,67.5,20
Sat Apr 21 2007 00:00:00 GMT+0800 (CST),台北一,null,null,76.2,95
Sun Apr 22 2007 00:00:00 GMT+0800 (CST),台北一,null,null,78,44
Tue Apr 24 2007 00:00:00 GMT+0800 (CST),台北二,null,null,80,20
Tue Apr 24 2007 00:00:00 GMT+0800 (CST),台北一,null,null,72,69
Wed Apr 25 2007 00:00:00 GMT+0800 (CST),台北一,null,null,50,25
Thu Apr 26 2007 00:00:00 GMT+0800 (CST),台北二,null,null,65,20
Thu Apr 26 2007 00:00:00 GMT+0800 (CST),台北一,null,null,53.7,87
Fri Apr 27 2007 00:00:00 GMT+0800 (CST),台北一,null,null,55,24
Sat Apr 28 2007 00:00:00 GMT+0800 (CST),台北二,null,null,55,25
Sat Apr 28 2007 00:00:00 GMT+0800 (CST),台北一,null,null,61.6,116
Tue Apr 01 2008 00:00:00 GMT+0800 (CST),台北二,null,null,70,10
Tue Apr 01 2008 00:00:00 GMT+0800 (CST),台北一,null,null,44.7,117
Wed Apr 02 2008 00:00:00 GMT+0800 (CST),台北一,null,null,41.7,50
Thu Apr 03 2008 00:00:00 GMT+0800 (CST),台北一,null,null,44.5,65
Sun Apr 06 2008 00:00:00 GMT+0800 (CST),台北一,null,null,60,34
Mon Apr 07 2008 00:00:00 GMT+0800 (CST),台北一,null,null,58.5,34
Tue Apr 08 2008 00:00:00 GMT+0800 (CST),台北二,null,null,60,15
Tue Apr 08 2008 00:00:00 GMT+0800 (CST),台北一,null,null,52.9,109
Wed Apr 09 2008 00:00:00 GMT+0800 (CST),台北二,null,null,40,10
Wed Apr 09 2008 00:00:00 GMT+0800 (CST),台北一,null,null,56.3,65
Thu Apr 10 2008 00:00:00 GMT+0800 (CST),台北二,null,null,36.5,20
Thu Apr 10 2008 00:00:00 GMT+0800 (CST),台北一,null,null,31.1,75
Fri Apr 11 2008 00:00:00 GMT+0800 (CST),台北二,null,null,40.7,25
Fri Apr 11 2008 00:00:00 GMT+0800 (CST),台北一,null,null,57.1,113
Sat Apr 12 2008 00:00:00 GMT+0800 (CST),台北一,null,null,58.6,50
Sun Apr 13 2008 00:00:00 GMT+0800 (CST),台北一,null,null,50,16
Tue Apr 15 2008 00:00:00 GMT+0800 (CST),台北二,null,null,55,8
Tue Apr 15 2008 00:00:00 GMT+0800 (CST),台北一,null,null,56.3,46
Wed Apr 16 2008 00:00:00 GMT+0800 (CST),台北一,null,null,50,16
