date,mktname,sbtype,transformation,middleprice,quantity
Sat Apr 01 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,277
Sun Apr 02 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,278
Mon Apr 03 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,164
Tue Apr 04 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,225
Fri Apr 07 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,389
Sat Apr 08 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,403
Sun Apr 09 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,500
Tue Apr 11 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,138
Wed Apr 12 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,235
Thu Apr 13 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,170
Fri Apr 14 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,261
Sat Apr 15 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,407
Sun Apr 16 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,446
Tue Apr 18 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,216
Wed Apr 19 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,240
Thu Apr 20 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,326
Fri Apr 21 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,80,374
Sat Apr 22 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,75.8,364
Sun Apr 23 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,80,456
Tue Apr 25 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,100,312
Wed Apr 26 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,100,297
Thu Apr 27 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,100,256
Fri Apr 28 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,100,342
Sat Apr 29 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,100,242
Sun Apr 30 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,100,502
Sun Apr 01 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,110,378
Tue Apr 03 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,110,324
Wed Apr 04 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,110,366
Sat Apr 07 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,110,328
Sun Apr 08 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,110,472
