date,mktname,sbtype,transformation,middleprice,quantity
Wed Apr 03 2013 00:00:00 GMT+0800 (CST),台北一,其他,null,200,6
Sun Apr 07 2013 00:00:00 GMT+0800 (CST),台北一,其他,null,200,3
Sat Aug 04 2012 00:00:00 GMT+0800 (CST),台北一,其他,null,200,15
Sun Aug 05 2012 00:00:00 GMT+0800 (CST),台北一,其他,null,200,15
Tue Aug 07 2012 00:00:00 GMT+0800 (CST),台北一,其他,null,200,10
Sat Aug 11 2012 00:00:00 GMT+0800 (CST),台北一,其他,null,200,10
Sat Aug 18 2012 00:00:00 GMT+0800 (CST),台北一,其他,null,200,36
Sun Aug 19 2012 00:00:00 GMT+0800 (CST),台北一,其他,null,200,10
Tue Aug 21 2012 00:00:00 GMT+0800 (CST),台北一,其他,null,200,9
Thu Aug 23 2012 00:00:00 GMT+0800 (CST),台北一,其他,null,200,1
Sat Aug 25 2012 00:00:00 GMT+0800 (CST),台北一,其他,null,200,5
Tue Aug 28 2012 00:00:00 GMT+0800 (CST),台北一,其他,null,200,5
Sun Dec 02 2012 00:00:00 GMT+0800 (CST),台北一,其他,null,200,6
Wed Dec 12 2012 00:00:00 GMT+0800 (CST),台北一,其他,null,200,2
Thu Dec 13 2012 00:00:00 GMT+0800 (CST),台北一,其他,null,200,2
Fri Dec 14 2012 00:00:00 GMT+0800 (CST),台北一,其他,null,200,1
Sun Dec 16 2012 00:00:00 GMT+0800 (CST),台北一,其他,null,200,6
Fri Dec 21 2012 00:00:00 GMT+0800 (CST),台北一,其他,null,200,2
Sat Dec 22 2012 00:00:00 GMT+0800 (CST),台北一,其他,null,200,8
Sun Dec 23 2012 00:00:00 GMT+0800 (CST),台北一,其他,null,200,6
Tue Dec 25 2012 00:00:00 GMT+0800 (CST),台北一,其他,null,200,6
Wed Dec 26 2012 00:00:00 GMT+0800 (CST),台北一,其他,null,200,2
Sat Dec 29 2012 00:00:00 GMT+0800 (CST),台北一,其他,null,200,6
Sun Dec 30 2012 00:00:00 GMT+0800 (CST),台北一,其他,null,200,6
Sat Feb 02 2013 00:00:00 GMT+0800 (CST),台北一,其他,null,32,55
Thu Feb 21 2013 00:00:00 GMT+0800 (CST),台北一,其他,null,200,17
Tue Jan 01 2013 00:00:00 GMT+0800 (CST),台北一,其他,null,200,3
Thu Jan 03 2013 00:00:00 GMT+0800 (CST),台北一,其他,null,8,70
