date,mktname,sbtype,transformation,middleprice,quantity
Sat Apr 01 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,40,4335
Sun Apr 02 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,40,3950
Mon Apr 03 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,40,2835
Tue Apr 04 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,40,4025
Fri Apr 07 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,40,3425
Sat Apr 08 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,40,3255
Sun Apr 09 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,40,4266
Tue Apr 11 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,40,2585
Wed Apr 12 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,40,2115
Thu Apr 13 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,40,1880
Fri Apr 14 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,40,3065
Sat Apr 15 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,40,3165
Sun Apr 16 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,40,3485
Wed Apr 19 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,40,3460
Thu Apr 20 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,50,3105
Fri Apr 21 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,40,3490
Sat Apr 22 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,40,3540
Sun Apr 23 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,40,4000
Tue Apr 25 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,40,3675
Wed Apr 26 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,40,3297
Thu Apr 27 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,40,2700
Fri Apr 28 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,40,2545
Sat Apr 29 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,40,4125
Sun Apr 30 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,40,4535
Sun Apr 01 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,50,1857
Tue Apr 03 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,40,3465
Wed Apr 04 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,40,5225
Sat Apr 07 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,40,6060
Sun Apr 08 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,40,6595
Tue Apr 10 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,40,5255
Wed Apr 11 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,40,3770
Thu Apr 12 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,40,2065
Fri Apr 13 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,40,3185
Sat Apr 14 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,40,3040
Sun Apr 15 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,40,3695
Tue Apr 17 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,40,2886
Wed Apr 18 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,40,3065
Thu Apr 19 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,40,970
Fri Apr 20 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,40,1235
Sat Apr 21 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,40,1635
Tue Apr 01 2008 00:00:00 GMT+0800 (CST),台北一,盒裝,null,35,2435
Wed Apr 02 2008 00:00:00 GMT+0800 (CST),台北一,盒裝,null,35,4475
Thu Apr 03 2008 00:00:00 GMT+0800 (CST),台北一,盒裝,null,35,3295
Sun Apr 06 2008 00:00:00 GMT+0800 (CST),台北一,盒裝,null,35,4620
Mon Apr 07 2008 00:00:00 GMT+0800 (CST),台北二,盒裝,null,35,4650
Mon Apr 07 2008 00:00:00 GMT+0800 (CST),台北一,盒裝,null,35,3145
Tue Apr 08 2008 00:00:00 GMT+0800 (CST),台北一,盒裝,null,35,2665
Wed Apr 09 2008 00:00:00 GMT+0800 (CST),台北一,盒裝,null,35,1925
Thu Apr 10 2008 00:00:00 GMT+0800 (CST),台北一,盒裝,null,35,930
Fri Apr 11 2008 00:00:00 GMT+0800 (CST),台北一,盒裝,null,35,2745
Sat Apr 12 2008 00:00:00 GMT+0800 (CST),台北一,盒裝,null,35,3320
Sun Apr 13 2008 00:00:00 GMT+0800 (CST),台北一,盒裝,null,35,3295
Tue Apr 15 2008 00:00:00 GMT+0800 (CST),台北一,盒裝,null,35,3440
Wed Apr 16 2008 00:00:00 GMT+0800 (CST),台北一,盒裝,null,35,2310
Thu Apr 17 2008 00:00:00 GMT+0800 (CST),台北一,盒裝,null,35,1380
Fri Apr 18 2008 00:00:00 GMT+0800 (CST),台北一,盒裝,null,35,2241
Sat Apr 19 2008 00:00:00 GMT+0800 (CST),台北一,盒裝,null,35,2397
Sun Apr 20 2008 00:00:00 GMT+0800 (CST),台北一,盒裝,null,35,3320
Tue Apr 22 2008 00:00:00 GMT+0800 (CST),台北一,盒裝,null,35,3550
Wed Apr 23 2008 00:00:00 GMT+0800 (CST),台北一,盒裝,null,35,3205
Thu Apr 24 2008 00:00:00 GMT+0800 (CST),台北一,盒裝,null,35,1845
Fri Apr 25 2008 00:00:00 GMT+0800 (CST),台北一,盒裝,null,35,2085
Sat Apr 26 2008 00:00:00 GMT+0800 (CST),台北一,盒裝,null,35,2840
Sun Apr 27 2008 00:00:00 GMT+0800 (CST),台北一,盒裝,null,35,3195
Tue Apr 29 2008 00:00:00 GMT+0800 (CST),台北一,盒裝,null,35,2790
Wed Apr 30 2008 00:00:00 GMT+0800 (CST),台北一,盒裝,null,35,2545
Wed Apr 01 2009 00:00:00 GMT+0800 (CST),台北一,盒裝,null,25,2531
Thu Apr 02 2009 00:00:00 GMT+0800 (CST),台北一,盒裝,null,25,2660
Fri Apr 03 2009 00:00:00 GMT+0800 (CST),台北一,盒裝,null,25,4440
Tue Apr 07 2009 00:00:00 GMT+0800 (CST),台北一,盒裝,null,25,2540
Wed Apr 08 2009 00:00:00 GMT+0800 (CST),台北一,盒裝,null,25,1952
Thu Apr 09 2009 00:00:00 GMT+0800 (CST),台北一,盒裝,null,25,1368
Fri Apr 10 2009 00:00:00 GMT+0800 (CST),台北一,盒裝,null,25,1300
Sat Apr 11 2009 00:00:00 GMT+0800 (CST),台北一,盒裝,null,25,1682
Sun Apr 12 2009 00:00:00 GMT+0800 (CST),台北一,盒裝,null,25,2480
Tue Apr 14 2009 00:00:00 GMT+0800 (CST),台北一,盒裝,null,25,1350
Wed Apr 15 2009 00:00:00 GMT+0800 (CST),台北一,盒裝,null,25,1586
Thu Apr 16 2009 00:00:00 GMT+0800 (CST),台北一,盒裝,null,25,1318
Fri Apr 17 2009 00:00:00 GMT+0800 (CST),台北一,盒裝,null,25,1210
Sat Apr 18 2009 00:00:00 GMT+0800 (CST),台北一,盒裝,null,25,1676
Sun Apr 19 2009 00:00:00 GMT+0800 (CST),台北一,盒裝,null,25,1454
Tue Apr 21 2009 00:00:00 GMT+0800 (CST),台北一,盒裝,null,25,1490
Wed Apr 22 2009 00:00:00 GMT+0800 (CST),台北一,盒裝,null,25,1994
Thu Apr 23 2009 00:00:00 GMT+0800 (CST),台北一,盒裝,null,25,1790
Fri Apr 24 2009 00:00:00 GMT+0800 (CST),台北一,盒裝,null,25,1660
Sat Apr 25 2009 00:00:00 GMT+0800 (CST),台北一,盒裝,null,25,1752
Sun Apr 26 2009 00:00:00 GMT+0800 (CST),台北一,盒裝,null,25,1834
Tue Apr 28 2009 00:00:00 GMT+0800 (CST),台北一,盒裝,null,25,2340
Wed Apr 29 2009 00:00:00 GMT+0800 (CST),台北一,盒裝,null,25,1430
Thu Apr 30 2009 00:00:00 GMT+0800 (CST),台北一,盒裝,null,25,1283
Thu Apr 01 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,30,1008
Fri Apr 02 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,30,1636
Sat Apr 03 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,30,500
Sun Apr 04 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,30,4386
Wed Apr 07 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,30,2624
Thu Apr 08 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,30,1810
Fri Apr 09 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,30,1456
Sat Apr 10 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,30,2324
Sun Apr 11 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,30,2900
Tue Apr 13 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,30,2710
Wed Apr 14 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,30,2084
Thu Apr 15 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,30,2052
Fri Apr 16 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,30,2038
Sat Apr 17 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,30,2424
Sun Apr 18 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,30,2350
Tue Apr 20 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,30,1374
Wed Apr 21 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,30,2564
Thu Apr 22 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,30,1130
Fri Apr 23 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,30,1408
Sat Apr 24 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,30,2684
Sun Apr 25 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,30,2542
Tue Apr 27 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,30,2176
Wed Apr 28 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,30,2004
Thu Apr 29 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,30,2006
Fri Apr 30 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,30,1560
Fri Apr 01 2011 00:00:00 GMT+0800 (CST),台北一,盒裝,null,35,1824
Sat Apr 02 2011 00:00:00 GMT+0800 (CST),台北一,盒裝,null,35,2244
Sun Apr 03 2011 00:00:00 GMT+0800 (CST),台北一,盒裝,null,35,1904
Mon Apr 04 2011 00:00:00 GMT+0800 (CST),台北一,盒裝,null,35,1375
Thu Apr 07 2011 00:00:00 GMT+0800 (CST),台北一,盒裝,null,35,1548
Fri Apr 08 2011 00:00:00 GMT+0800 (CST),台北一,盒裝,null,35,1528
Sat Apr 09 2011 00:00:00 GMT+0800 (CST),台北一,盒裝,null,35,1730
Sun Apr 10 2011 00:00:00 GMT+0800 (CST),台北一,盒裝,null,35,1900
Tue Apr 12 2011 00:00:00 GMT+0800 (CST),台北一,盒裝,null,35,2144
Wed Apr 13 2011 00:00:00 GMT+0800 (CST),台北一,盒裝,null,35,1792
Thu Apr 14 2011 00:00:00 GMT+0800 (CST),台北一,盒裝,null,35,1524
Fri Apr 15 2011 00:00:00 GMT+0800 (CST),台北一,盒裝,null,35,1190
Sat Apr 16 2011 00:00:00 GMT+0800 (CST),台北一,盒裝,null,35,1620
Sun Apr 17 2011 00:00:00 GMT+0800 (CST),台北一,盒裝,null,35,1710
