date,mktname,sbtype,transformation,middleprice,quantity
Tue Apr 01 1997 00:00:00 GMT+0800 (CST),台北一,金針菇,null,40,3948
Thu Apr 03 1997 00:00:00 GMT+0800 (CST),台北一,金針菇,null,40,2031
Fri Apr 04 1997 00:00:00 GMT+0800 (CST),台北一,金針菇,null,40,3619
Mon Apr 07 1997 00:00:00 GMT+0800 (CST),台北一,金針菇,null,40,2874
Tue Apr 08 1997 00:00:00 GMT+0800 (CST),台北一,金針菇,null,40,3684
Wed Apr 09 1997 00:00:00 GMT+0800 (CST),台北一,金針菇,null,40,2819
Thu Apr 10 1997 00:00:00 GMT+0800 (CST),台北一,金針菇,null,40,2394
Fri Apr 11 1997 00:00:00 GMT+0800 (CST),台北一,金針菇,null,40,4068
Sat Apr 12 1997 00:00:00 GMT+0800 (CST),台北一,金針菇,null,40.1,2521
Sun Apr 13 1997 00:00:00 GMT+0800 (CST),台北一,金針菇,null,40,2973
Mon Apr 14 1997 00:00:00 GMT+0800 (CST),台北一,金針菇,null,40,2241
Tue Apr 15 1997 00:00:00 GMT+0800 (CST),台北一,金針菇,null,40,3214
Thu Apr 17 1997 00:00:00 GMT+0800 (CST),台北一,金針菇,null,40,2450
Fri Apr 18 1997 00:00:00 GMT+0800 (CST),台北一,金針菇,null,40,2048
Sat Apr 19 1997 00:00:00 GMT+0800 (CST),台北一,金針菇,null,40,2363
Sun Apr 20 1997 00:00:00 GMT+0800 (CST),台北一,金針菇,null,40,2910
Mon Apr 21 1997 00:00:00 GMT+0800 (CST),台北一,金針菇,null,40,4383
Tue Apr 22 1997 00:00:00 GMT+0800 (CST),台北一,金針菇,null,40,3918
Thu Apr 24 1997 00:00:00 GMT+0800 (CST),台北一,金針菇,null,40,2545
Fri Apr 25 1997 00:00:00 GMT+0800 (CST),台北一,金針菇,null,40,2188
Sat Apr 26 1997 00:00:00 GMT+0800 (CST),台北一,金針菇,null,40,2376
Sun Apr 27 1997 00:00:00 GMT+0800 (CST),台北一,金針菇,null,40,2435
Mon Apr 28 1997 00:00:00 GMT+0800 (CST),台北一,金針菇,null,40,2119
Tue Apr 29 1997 00:00:00 GMT+0800 (CST),台北一,金針菇,null,40,2039
Wed Apr 30 1997 00:00:00 GMT+0800 (CST),台北一,金針菇,null,40,2400
Wed Apr 01 1998 00:00:00 GMT+0800 (CST),台北一,金針菇,null,60,2209
Thu Apr 02 1998 00:00:00 GMT+0800 (CST),台北一,金針菇,null,60,2211
Fri Apr 03 1998 00:00:00 GMT+0800 (CST),台北一,金針菇,null,60,3232
Sat Apr 04 1998 00:00:00 GMT+0800 (CST),台北一,金針菇,null,60,3372
Tue Apr 07 1998 00:00:00 GMT+0800 (CST),台北一,金針菇,null,60,3373
Wed Apr 08 1998 00:00:00 GMT+0800 (CST),台北一,金針菇,null,60,2723
Thu Apr 09 1998 00:00:00 GMT+0800 (CST),台北一,金針菇,null,60,2154
Fri Apr 10 1998 00:00:00 GMT+0800 (CST),台北一,金針菇,null,45,1940
Sat Apr 11 1998 00:00:00 GMT+0800 (CST),台北一,金針菇,null,45,2799
Sun Apr 12 1998 00:00:00 GMT+0800 (CST),台北一,金針菇,null,45,4287
Tue Apr 14 1998 00:00:00 GMT+0800 (CST),台北一,金針菇,null,45,3274
Wed Apr 15 1998 00:00:00 GMT+0800 (CST),台北一,金針菇,null,45,2820
Thu Apr 16 1998 00:00:00 GMT+0800 (CST),台北一,金針菇,null,45,2249
Fri Apr 17 1998 00:00:00 GMT+0800 (CST),台北一,金針菇,null,45,2428
Sat Apr 18 1998 00:00:00 GMT+0800 (CST),台北一,金針菇,null,45,2301
Sun Apr 19 1998 00:00:00 GMT+0800 (CST),台北一,金針菇,null,45,2858
Mon Apr 20 1998 00:00:00 GMT+0800 (CST),台北一,金針菇,null,45,2931
Wed Apr 22 1998 00:00:00 GMT+0800 (CST),台北一,金針菇,null,45,2894
Thu Apr 23 1998 00:00:00 GMT+0800 (CST),台北一,金針菇,null,45,2328
Fri Apr 24 1998 00:00:00 GMT+0800 (CST),台北一,金針菇,null,45,1942
Sat Apr 25 1998 00:00:00 GMT+0800 (CST),台北一,金針菇,null,45,2096
Sun Apr 26 1998 00:00:00 GMT+0800 (CST),台北一,金針菇,null,45,3691
Mon Apr 27 1998 00:00:00 GMT+0800 (CST),台北一,金針菇,null,45,3662
Wed Apr 29 1998 00:00:00 GMT+0800 (CST),台北一,金針菇,null,45,4070
Thu Apr 30 1998 00:00:00 GMT+0800 (CST),台北一,金針菇,null,45,3678
Thu Apr 01 1999 00:00:00 GMT+0800 (CST),台北二,金針菇,null,50,380
Thu Apr 01 1999 00:00:00 GMT+0800 (CST),台北一,金針菇,null,55,2387
Thu Apr 01 1999 00:00:00 GMT+0800 (CST),台中市,金針菇,null,60,150
Fri Apr 02 1999 00:00:00 GMT+0800 (CST),台北二,金針菇,null,50,576
Fri Apr 02 1999 00:00:00 GMT+0800 (CST),台北一,金針菇,null,55,5438
Fri Apr 02 1999 00:00:00 GMT+0800 (CST),台中市,金針菇,null,56.8,132
Sat Apr 03 1999 00:00:00 GMT+0800 (CST),台北二,金針菇,null,50,588
Sat Apr 03 1999 00:00:00 GMT+0800 (CST),台北一,金針菇,null,55,2579
Sat Apr 03 1999 00:00:00 GMT+0800 (CST),台中市,金針菇,null,55.2,186
Sun Apr 04 1999 00:00:00 GMT+0800 (CST),台北二,金針菇,null,50,942
Sun Apr 04 1999 00:00:00 GMT+0800 (CST),台北一,金針菇,null,55,4300
Sun Apr 04 1999 00:00:00 GMT+0800 (CST),台中市,金針菇,null,60,68
Mon Apr 05 1999 00:00:00 GMT+0800 (CST),台中市,金針菇,null,53.3,90
Wed Apr 07 1999 00:00:00 GMT+0800 (CST),台北二,金針菇,null,50,550
Wed Apr 07 1999 00:00:00 GMT+0800 (CST),台北一,金針菇,null,55,4267
Wed Apr 07 1999 00:00:00 GMT+0800 (CST),台中市,金針菇,null,60,54
Thu Apr 08 1999 00:00:00 GMT+0800 (CST),台北二,金針菇,null,55,555
Thu Apr 08 1999 00:00:00 GMT+0800 (CST),台北一,金針菇,null,55,3198
Thu Apr 08 1999 00:00:00 GMT+0800 (CST),台中市,金針菇,null,60,108
Fri Apr 09 1999 00:00:00 GMT+0800 (CST),台北二,金針菇,null,50,650
Fri Apr 09 1999 00:00:00 GMT+0800 (CST),台北一,金針菇,null,55,2524
Fri Apr 09 1999 00:00:00 GMT+0800 (CST),台中市,金針菇,null,52.2,108
Sat Apr 10 1999 00:00:00 GMT+0800 (CST),台北二,金針菇,null,50,599
Sat Apr 10 1999 00:00:00 GMT+0800 (CST),台北一,金針菇,null,55,3775
Sat Apr 10 1999 00:00:00 GMT+0800 (CST),台中市,金針菇,null,53.3,90
Mon Apr 12 1999 00:00:00 GMT+0800 (CST),台北二,金針菇,null,50,595
Mon Apr 12 1999 00:00:00 GMT+0800 (CST),台北一,金針菇,null,55,3376
Mon Apr 12 1999 00:00:00 GMT+0800 (CST),台中市,金針菇,null,50,126
Tue Apr 13 1999 00:00:00 GMT+0800 (CST),台北二,金針菇,null,50,590
Tue Apr 13 1999 00:00:00 GMT+0800 (CST),台北一,金針菇,null,55,2663
Tue Apr 13 1999 00:00:00 GMT+0800 (CST),台中市,金針菇,null,50,102
Wed Apr 14 1999 00:00:00 GMT+0800 (CST),台北二,金針菇,null,50,530
Wed Apr 14 1999 00:00:00 GMT+0800 (CST),台北一,金針菇,null,55,2128
Wed Apr 14 1999 00:00:00 GMT+0800 (CST),台中市,金針菇,null,50,66
Thu Apr 15 1999 00:00:00 GMT+0800 (CST),台北二,金針菇,null,55,490
Thu Apr 15 1999 00:00:00 GMT+0800 (CST),台北一,金針菇,null,55,2701
Thu Apr 15 1999 00:00:00 GMT+0800 (CST),台中市,金針菇,null,50,90
Fri Apr 16 1999 00:00:00 GMT+0800 (CST),台北二,金針菇,null,50,380
Fri Apr 16 1999 00:00:00 GMT+0800 (CST),台北一,金針菇,null,55,2511
Fri Apr 16 1999 00:00:00 GMT+0800 (CST),台中市,金針菇,null,46.7,90
