date,mktname,sbtype,transformation,middleprice,quantity
Sun Apr 02 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,155
Tue Apr 10 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,36
Wed Apr 11 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,42
Thu Apr 12 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,24
Fri Apr 13 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,4
Tue Apr 01 2008 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,50
Fri Apr 18 2008 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,12
Sun Apr 20 2008 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,10
Wed Apr 01 2009 00:00:00 GMT+0800 (CST),台北一,盒裝,null,65,114
Thu Apr 02 2009 00:00:00 GMT+0800 (CST),台北一,盒裝,null,65,132
Fri Apr 03 2009 00:00:00 GMT+0800 (CST),台北一,盒裝,null,64.2,122
Tue Apr 07 2009 00:00:00 GMT+0800 (CST),台北一,盒裝,null,65,45
Wed Apr 08 2009 00:00:00 GMT+0800 (CST),台北一,盒裝,null,65,51
Thu Apr 09 2009 00:00:00 GMT+0800 (CST),台北一,盒裝,null,65,18
Fri Apr 10 2009 00:00:00 GMT+0800 (CST),台北一,盒裝,null,60,12
Sat Apr 11 2009 00:00:00 GMT+0800 (CST),台北一,盒裝,null,65,18
Tue Apr 14 2009 00:00:00 GMT+0800 (CST),台北一,盒裝,null,60,4
Sat Apr 18 2009 00:00:00 GMT+0800 (CST),台北一,盒裝,null,60,12
Sun Apr 19 2009 00:00:00 GMT+0800 (CST),台北一,盒裝,null,65,23
Tue Apr 21 2009 00:00:00 GMT+0800 (CST),台北一,盒裝,null,65,15
Wed Apr 22 2009 00:00:00 GMT+0800 (CST),台北一,盒裝,null,65,55
Thu Apr 23 2009 00:00:00 GMT+0800 (CST),台北一,盒裝,null,63.6,33
Fri Apr 24 2009 00:00:00 GMT+0800 (CST),台北一,盒裝,null,65,33
Sat Apr 25 2009 00:00:00 GMT+0800 (CST),台北一,盒裝,null,65,35
Sun Apr 26 2009 00:00:00 GMT+0800 (CST),台北一,盒裝,null,65,33
Thu Apr 30 2009 00:00:00 GMT+0800 (CST),台北一,盒裝,null,65,75
Thu Apr 01 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,13
Fri Apr 02 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,2
Tue Apr 13 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,22
Wed Apr 14 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,20
Thu Apr 15 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,15
Fri Apr 16 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,56.2,39
Sat Apr 17 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,14
Sun Apr 18 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,35
Tue Apr 20 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,96
Wed Apr 21 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,55
Thu Apr 22 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,4
Fri Apr 23 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,6
Fri Apr 30 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,6
Fri Apr 01 2011 00:00:00 GMT+0800 (CST),台北一,盒裝,null,75,4
Sat Apr 02 2011 00:00:00 GMT+0800 (CST),台北一,盒裝,null,79.8,9
Sat Apr 09 2011 00:00:00 GMT+0800 (CST),台北一,盒裝,null,80,3
Sun Apr 17 2011 00:00:00 GMT+0800 (CST),台北一,盒裝,null,80,3
Sun Apr 01 2012 00:00:00 GMT+0800 (CST),台北一,盒裝,null,80,36
Sun Apr 28 2013 00:00:00 GMT+0800 (CST),台北二,盒裝,null,80,24
Tue Apr 30 2013 00:00:00 GMT+0800 (CST),台北二,盒裝,null,77,36
Tue Aug 01 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,60,9
Thu Aug 03 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,60,33
Fri Aug 04 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,60,45
Sat Aug 05 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,60,33
Mon Aug 07 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,60,15
Tue Aug 08 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,60,12
Fri Aug 11 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,60,9
Sat Aug 12 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,60,39
Sun Aug 13 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,60,36
Tue Aug 15 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,60,66
Wed Aug 16 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,60,72
Thu Aug 17 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,60,85
Fri Aug 18 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,60,130
Sat Aug 19 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,60,117
Sun Aug 20 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,60,159
Tue Aug 22 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,60,108
Wed Aug 23 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,60,110
Thu Aug 24 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,60,147
Sat Aug 26 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,60,123
Sun Aug 27 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,60,128
Tue Aug 29 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,60,51
Wed Aug 30 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,60,82
Thu Aug 31 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,60,60
Wed Aug 01 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,6
Thu Aug 02 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,36
Fri Aug 03 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,76.7,15
Sun Aug 05 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,80,12
Tue Aug 07 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,80,12
Wed Aug 08 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,75,30
Thu Aug 09 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,77.5,24
Fri Aug 10 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,75,30
Wed Aug 15 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,12
Thu Aug 16 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,50,9
Fri Aug 17 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,69
Fri Aug 24 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,102
Tue Aug 05 2008 00:00:00 GMT+0800 (CST),三重市,盒裝,null,20,160
Wed Aug 06 2008 00:00:00 GMT+0800 (CST),三重市,盒裝,null,20,240
Thu Aug 07 2008 00:00:00 GMT+0800 (CST),三重市,盒裝,null,20,240
Fri Aug 08 2008 00:00:00 GMT+0800 (CST),台北一,盒裝,null,60,21
Sun Aug 10 2008 00:00:00 GMT+0800 (CST),三重市,盒裝,null,20,280
Tue Aug 12 2008 00:00:00 GMT+0800 (CST),三重市,盒裝,null,20,280
Wed Aug 13 2008 00:00:00 GMT+0800 (CST),三重市,盒裝,null,20,200
Thu Aug 14 2008 00:00:00 GMT+0800 (CST),三重市,盒裝,null,20,224
Tue Aug 26 2008 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,18
Wed Aug 27 2008 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,18
Thu Aug 28 2008 00:00:00 GMT+0800 (CST),台北一,盒裝,null,75,6
Sat Aug 30 2008 00:00:00 GMT+0800 (CST),台北一,盒裝,null,75,12
Fri Aug 28 2009 00:00:00 GMT+0800 (CST),台北一,盒裝,null,250,6
Sun Aug 01 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,57
Tue Aug 03 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,69.6,61
Wed Aug 04 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,30
Thu Aug 05 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,24
Fri Aug 06 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,39.3,106
Sat Aug 07 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,51
Sun Aug 08 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,77
Tue Aug 10 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,72
Wed Aug 11 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,63
Thu Aug 12 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,50
Fri Aug 13 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,60
Sun Aug 15 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,114
Tue Aug 17 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,81
Wed Aug 18 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,107
Thu Aug 19 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,82
Fri Aug 20 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70.3,102
Sat Aug 21 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,74.1,138
Sun Aug 22 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,73.2,72
Mon Aug 23 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,71.5,48
Tue Aug 24 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,73.8,71
Sun Aug 29 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,72.3,69
Tue Aug 31 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,73.6,33
Thu Aug 11 2011 00:00:00 GMT+0800 (CST),台北一,盒裝,null,43.9,42
Fri Dec 08 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,80,36
Sun Dec 10 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,80,12
Tue Dec 12 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,80,9
Thu Dec 14 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,80,6
Fri Dec 15 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,80,6
Sun Dec 17 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,80,6
Tue Dec 19 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,80,6
Wed Dec 20 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,80,24
Thu Dec 21 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,80,19
Fri Dec 22 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,80,44
Sun Dec 24 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,80,9
Wed Dec 27 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,75.7,21
Thu Dec 28 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,80,65
Fri Dec 29 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,80,98
Sat Dec 30 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,80,24
Sun Dec 31 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,80,30
Sun Dec 02 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,80,32
Sat Dec 15 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,80,6
Fri Dec 21 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,80,6
Sat Dec 22 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,80,6
Thu Dec 27 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,80,6
Sun Dec 07 2008 00:00:00 GMT+0800 (CST),台北一,盒裝,null,67.3,25
Sun Dec 14 2008 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,36
Thu Dec 03 2009 00:00:00 GMT+0800 (CST),台北一,盒裝,null,65,51
Fri Dec 04 2009 00:00:00 GMT+0800 (CST),台北一,盒裝,null,65,18
Sat Dec 05 2009 00:00:00 GMT+0800 (CST),台北一,盒裝,null,65,6
Sun Dec 06 2009 00:00:00 GMT+0800 (CST),台北一,盒裝,null,65,30
Tue Dec 08 2009 00:00:00 GMT+0800 (CST),台北一,盒裝,null,65,60
Wed Dec 09 2009 00:00:00 GMT+0800 (CST),台北一,盒裝,null,65,12
Thu Dec 10 2009 00:00:00 GMT+0800 (CST),台北一,盒裝,null,57.4,84
Fri Dec 11 2009 00:00:00 GMT+0800 (CST),台北一,盒裝,null,65,15
