date,mktname,sbtype,transformation,middleprice,quantity
Thu Apr 01 1999 00:00:00 GMT+0800 (CST),台北一,null,null,120,8
Fri Apr 02 1999 00:00:00 GMT+0800 (CST),台北一,null,null,120,8
Sat Apr 03 1999 00:00:00 GMT+0800 (CST),台北二,null,null,50,4
Sun Apr 04 1999 00:00:00 GMT+0800 (CST),台北二,null,null,50,4
Wed Apr 07 1999 00:00:00 GMT+0800 (CST),台北二,null,null,50,12
Wed Apr 07 1999 00:00:00 GMT+0800 (CST),台北一,null,null,120,18
Fri Apr 09 1999 00:00:00 GMT+0800 (CST),台北一,null,null,120,12
Sat Apr 10 1999 00:00:00 GMT+0800 (CST),台北一,null,null,120,6
Mon Apr 12 1999 00:00:00 GMT+0800 (CST),台北二,null,null,90,8
Mon Apr 12 1999 00:00:00 GMT+0800 (CST),台北一,null,null,120,12
Tue Apr 13 1999 00:00:00 GMT+0800 (CST),台北一,null,null,120,12
Wed Apr 14 1999 00:00:00 GMT+0800 (CST),台北二,null,null,90,8
Wed Apr 14 1999 00:00:00 GMT+0800 (CST),台北一,null,null,120,20
Sat Apr 17 1999 00:00:00 GMT+0800 (CST),台北一,null,null,120,46
Mon Apr 19 1999 00:00:00 GMT+0800 (CST),台北二,null,null,80,8
Fri Apr 23 1999 00:00:00 GMT+0800 (CST),台北一,null,null,120,8
Mon Apr 26 1999 00:00:00 GMT+0800 (CST),台北二,null,null,80,8
Tue Apr 27 1999 00:00:00 GMT+0800 (CST),台北二,null,null,80,8
Wed Apr 28 1999 00:00:00 GMT+0800 (CST),台北一,null,null,120,4
Fri Apr 30 1999 00:00:00 GMT+0800 (CST),台北二,null,null,90,8
Fri Apr 30 1999 00:00:00 GMT+0800 (CST),台北一,null,null,120,8
Sat Apr 01 2000 00:00:00 GMT+0800 (CST),台北二,null,null,120,4
Sat Apr 01 2000 00:00:00 GMT+0800 (CST),台北一,null,null,120,46
Sun Apr 02 2000 00:00:00 GMT+0800 (CST),台北二,null,null,100,5
Sun Apr 02 2000 00:00:00 GMT+0800 (CST),台北一,null,null,120,59
Mon Apr 03 2000 00:00:00 GMT+0800 (CST),台北一,null,null,120,73
Thu Apr 06 2000 00:00:00 GMT+0800 (CST),台北二,null,null,120,4
Thu Apr 06 2000 00:00:00 GMT+0800 (CST),台北一,null,null,120,82
Fri Apr 07 2000 00:00:00 GMT+0800 (CST),台北二,null,null,120,4
Fri Apr 07 2000 00:00:00 GMT+0800 (CST),台北一,null,null,120,69
Sat Apr 08 2000 00:00:00 GMT+0800 (CST),台北二,null,null,120,24
Sat Apr 08 2000 00:00:00 GMT+0800 (CST),台北一,null,null,120,77
Sun Apr 09 2000 00:00:00 GMT+0800 (CST),台北一,null,null,120,41
Mon Apr 10 2000 00:00:00 GMT+0800 (CST),台北一,null,null,120,23
Tue Apr 11 2000 00:00:00 GMT+0800 (CST),台北一,null,null,120,32
Wed Apr 12 2000 00:00:00 GMT+0800 (CST),台北二,null,null,100,38
Wed Apr 12 2000 00:00:00 GMT+0800 (CST),台北一,null,null,120,69
Thu Apr 13 2000 00:00:00 GMT+0800 (CST),台北一,null,null,120,28
Sat Apr 15 2000 00:00:00 GMT+0800 (CST),台北二,null,null,100,22
Sat Apr 15 2000 00:00:00 GMT+0800 (CST),台北一,null,null,120,49
Sun Apr 16 2000 00:00:00 GMT+0800 (CST),台北二,null,null,100,22
Sun Apr 16 2000 00:00:00 GMT+0800 (CST),台北一,null,null,120,65
Mon Apr 17 2000 00:00:00 GMT+0800 (CST),台北一,null,null,120,20
Tue Apr 18 2000 00:00:00 GMT+0800 (CST),台北一,null,null,120,32
Wed Apr 19 2000 00:00:00 GMT+0800 (CST),台北二,null,null,120,20
Wed Apr 19 2000 00:00:00 GMT+0800 (CST),台北一,null,null,120,45
Thu Apr 20 2000 00:00:00 GMT+0800 (CST),台北一,null,null,120,37
Sat Apr 22 2000 00:00:00 GMT+0800 (CST),台北二,null,null,120,4
Sat Apr 22 2000 00:00:00 GMT+0800 (CST),台北一,null,null,120,49
Sun Apr 23 2000 00:00:00 GMT+0800 (CST),台北二,null,null,120,22
Sun Apr 23 2000 00:00:00 GMT+0800 (CST),台北一,null,null,120,39
Mon Apr 24 2000 00:00:00 GMT+0800 (CST),台北一,null,null,120,16
Tue Apr 25 2000 00:00:00 GMT+0800 (CST),台北二,null,null,120,21
Tue Apr 25 2000 00:00:00 GMT+0800 (CST),台北一,null,null,120,22
Wed Apr 26 2000 00:00:00 GMT+0800 (CST),台北一,null,null,120,18
Thu Apr 27 2000 00:00:00 GMT+0800 (CST),台北二,null,null,120,10
Thu Apr 27 2000 00:00:00 GMT+0800 (CST),台北一,null,null,120,21
Fri Apr 28 2000 00:00:00 GMT+0800 (CST),台北二,null,null,120,10
Fri Apr 28 2000 00:00:00 GMT+0800 (CST),台北一,null,null,120,46
Sun Apr 30 2000 00:00:00 GMT+0800 (CST),台北二,null,null,100,8
Sun Apr 30 2000 00:00:00 GMT+0800 (CST),台北一,null,null,120,255
Sun Apr 01 2001 00:00:00 GMT+0800 (CST),台北二,null,null,90,6
Sun Apr 01 2001 00:00:00 GMT+0800 (CST),台北一,null,null,120,42
Mon Apr 02 2001 00:00:00 GMT+0800 (CST),台北二,null,null,90,2
Mon Apr 02 2001 00:00:00 GMT+0800 (CST),台北一,null,null,120,40
Tue Apr 03 2001 00:00:00 GMT+0800 (CST),台北二,null,null,90,2
Tue Apr 03 2001 00:00:00 GMT+0800 (CST),台北一,null,null,120,16
Wed Apr 04 2001 00:00:00 GMT+0800 (CST),台北二,null,null,90,2
Wed Apr 04 2001 00:00:00 GMT+0800 (CST),台北一,null,null,120,60
Sat Apr 07 2001 00:00:00 GMT+0800 (CST),台北二,null,null,90,4
Sat Apr 07 2001 00:00:00 GMT+0800 (CST),台北一,null,null,120,92
Sun Apr 08 2001 00:00:00 GMT+0800 (CST),台北二,null,null,90,4
Sun Apr 08 2001 00:00:00 GMT+0800 (CST),台北一,null,null,120,109
Mon Apr 09 2001 00:00:00 GMT+0800 (CST),台北二,null,null,90,2
Mon Apr 09 2001 00:00:00 GMT+0800 (CST),台北一,null,null,120,29
Wed Apr 11 2001 00:00:00 GMT+0800 (CST),台北二,null,null,90,4
Wed Apr 11 2001 00:00:00 GMT+0800 (CST),台北一,null,null,120,55
Thu Apr 12 2001 00:00:00 GMT+0800 (CST),台北一,null,null,120,34
Fri Apr 13 2001 00:00:00 GMT+0800 (CST),台北二,null,null,90,4
Fri Apr 13 2001 00:00:00 GMT+0800 (CST),台北一,null,null,120,34
Sat Apr 14 2001 00:00:00 GMT+0800 (CST),台北二,null,null,90,2
Sat Apr 14 2001 00:00:00 GMT+0800 (CST),台北一,null,null,120,78
Sun Apr 15 2001 00:00:00 GMT+0800 (CST),台北一,null,null,120,53
Mon Apr 16 2001 00:00:00 GMT+0800 (CST),台北一,null,null,120,30
Tue Apr 17 2001 00:00:00 GMT+0800 (CST),台北一,null,null,120,88
