date,mktname,sbtype,transformation,middleprice,quantity
Thu Apr 01 1999 00:00:00 GMT+0800 (CST),台北二,null,null,50,132
Thu Apr 01 1999 00:00:00 GMT+0800 (CST),台北一,null,null,60,525
Thu Apr 01 1999 00:00:00 GMT+0800 (CST),台中市,null,null,30,36
Fri Apr 02 1999 00:00:00 GMT+0800 (CST),台北二,null,null,50,111
Fri Apr 02 1999 00:00:00 GMT+0800 (CST),台北一,null,null,60,609
Fri Apr 02 1999 00:00:00 GMT+0800 (CST),台中市,null,null,30,64
Sat Apr 03 1999 00:00:00 GMT+0800 (CST),台北二,null,null,50,44
Sat Apr 03 1999 00:00:00 GMT+0800 (CST),台北一,null,null,60,351
Sun Apr 04 1999 00:00:00 GMT+0800 (CST),台北二,null,null,50,93
Sun Apr 04 1999 00:00:00 GMT+0800 (CST),台北一,null,null,60,444
Wed Apr 07 1999 00:00:00 GMT+0800 (CST),台北二,null,null,40,48
Wed Apr 07 1999 00:00:00 GMT+0800 (CST),台北一,null,null,60,690
Thu Apr 08 1999 00:00:00 GMT+0800 (CST),台北二,null,null,60,97
Thu Apr 08 1999 00:00:00 GMT+0800 (CST),台北一,null,null,60,555
Fri Apr 09 1999 00:00:00 GMT+0800 (CST),台北二,null,null,50,121
Fri Apr 09 1999 00:00:00 GMT+0800 (CST),台北一,null,null,60,423
Fri Apr 09 1999 00:00:00 GMT+0800 (CST),台中市,null,null,30,16
Sat Apr 10 1999 00:00:00 GMT+0800 (CST),台北二,null,null,40,160
Sat Apr 10 1999 00:00:00 GMT+0800 (CST),台北一,null,null,60,591
Sat Apr 10 1999 00:00:00 GMT+0800 (CST),台中市,null,null,35,16
Mon Apr 12 1999 00:00:00 GMT+0800 (CST),台北二,null,null,50,288
Mon Apr 12 1999 00:00:00 GMT+0800 (CST),台北一,null,null,60,581
Tue Apr 13 1999 00:00:00 GMT+0800 (CST),台北二,null,null,50,112
Tue Apr 13 1999 00:00:00 GMT+0800 (CST),台北一,null,null,60,551
Wed Apr 14 1999 00:00:00 GMT+0800 (CST),台北二,null,null,50,72
Wed Apr 14 1999 00:00:00 GMT+0800 (CST),台北一,null,null,60,493
Thu Apr 15 1999 00:00:00 GMT+0800 (CST),台北二,null,null,60,116
Thu Apr 15 1999 00:00:00 GMT+0800 (CST),台北一,null,null,60,379
Fri Apr 16 1999 00:00:00 GMT+0800 (CST),台北二,null,null,60,180
Fri Apr 16 1999 00:00:00 GMT+0800 (CST),台北一,null,null,60,420
Sat Apr 17 1999 00:00:00 GMT+0800 (CST),台北二,null,null,50,36
Sat Apr 17 1999 00:00:00 GMT+0800 (CST),台北一,null,null,60,875
Mon Apr 19 1999 00:00:00 GMT+0800 (CST),台北二,null,null,60,152
Mon Apr 19 1999 00:00:00 GMT+0800 (CST),台北一,null,null,60,701
Tue Apr 20 1999 00:00:00 GMT+0800 (CST),台北二,null,null,60,124
Tue Apr 20 1999 00:00:00 GMT+0800 (CST),台北一,null,null,60,558
Wed Apr 21 1999 00:00:00 GMT+0800 (CST),台北二,null,null,60,102
Wed Apr 21 1999 00:00:00 GMT+0800 (CST),台北一,null,null,60,413
Thu Apr 22 1999 00:00:00 GMT+0800 (CST),台北二,null,null,60,44
Thu Apr 22 1999 00:00:00 GMT+0800 (CST),台北一,null,null,60,353
Fri Apr 23 1999 00:00:00 GMT+0800 (CST),台北一,null,null,60,442
Sat Apr 24 1999 00:00:00 GMT+0800 (CST),台北二,null,null,60,116
Sat Apr 24 1999 00:00:00 GMT+0800 (CST),台北一,null,null,60,702
Mon Apr 26 1999 00:00:00 GMT+0800 (CST),台北二,null,null,60,156
Mon Apr 26 1999 00:00:00 GMT+0800 (CST),台北一,null,null,60,679
Tue Apr 27 1999 00:00:00 GMT+0800 (CST),台北二,null,null,60,156
Tue Apr 27 1999 00:00:00 GMT+0800 (CST),台北一,null,null,60,713
Tue Apr 27 1999 00:00:00 GMT+0800 (CST),台中市,null,null,40,9
Wed Apr 28 1999 00:00:00 GMT+0800 (CST),台北二,null,null,60,108
Wed Apr 28 1999 00:00:00 GMT+0800 (CST),台北一,null,null,60,473
Wed Apr 28 1999 00:00:00 GMT+0800 (CST),台中市,null,null,30,54
Thu Apr 29 1999 00:00:00 GMT+0800 (CST),台北二,null,null,60,120
Thu Apr 29 1999 00:00:00 GMT+0800 (CST),台北一,null,null,60,842
Fri Apr 30 1999 00:00:00 GMT+0800 (CST),台北二,null,null,60,138
Fri Apr 30 1999 00:00:00 GMT+0800 (CST),台北一,null,null,60,689
Fri Apr 30 1999 00:00:00 GMT+0800 (CST),台中市,null,null,30,66
Sat Apr 01 2000 00:00:00 GMT+0800 (CST),台北二,null,null,60,254
Sat Apr 01 2000 00:00:00 GMT+0800 (CST),台北一,null,null,60,440
Sun Apr 02 2000 00:00:00 GMT+0800 (CST),台北二,null,null,60,223
Sun Apr 02 2000 00:00:00 GMT+0800 (CST),台北一,null,null,60,237
Mon Apr 03 2000 00:00:00 GMT+0800 (CST),台北二,null,null,60,158
Mon Apr 03 2000 00:00:00 GMT+0800 (CST),台北一,null,null,60,330
Thu Apr 06 2000 00:00:00 GMT+0800 (CST),台北二,null,null,60,187
Thu Apr 06 2000 00:00:00 GMT+0800 (CST),台北一,null,null,60,392
Fri Apr 07 2000 00:00:00 GMT+0800 (CST),台北二,null,null,60,122
Fri Apr 07 2000 00:00:00 GMT+0800 (CST),台北一,null,null,60,216
