date,mktname,sbtype,transformation,middleprice,quantity
Sat Apr 01 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,15
Sun Apr 02 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,32
Mon Apr 03 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,18
Tue Apr 04 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,30
Fri Apr 07 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,14
Sat Apr 08 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,11
Sun Apr 09 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,20
Tue Apr 11 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,29
Thu Apr 13 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,9
Fri Apr 14 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,15
Sat Apr 15 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,3
Sun Apr 16 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,15
Tue Apr 18 2006 00:00:00 GMT+0800 (CST),台北二,盒裝,null,40,18
Tue Apr 18 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,15
Wed Apr 19 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,12
Thu Apr 20 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,11
Fri Apr 21 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,15
Sun Apr 23 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,11
Tue Apr 25 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,23
Wed Apr 26 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,23
Thu Apr 27 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,19
Fri Apr 28 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,25
Sat Apr 29 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,14
Sun Apr 30 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,23
Sun Apr 01 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,17
Tue Apr 03 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,71.1,9
Wed Apr 04 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,75,14
Sat Apr 07 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,59
Sun Apr 08 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,69,62
Tue Apr 10 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,75,40
Wed Apr 11 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,75,26
Thu Apr 12 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,75,29
Fri Apr 13 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,75,19
Sat Apr 14 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,75,22
Sun Apr 15 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,75,18
Wed Apr 18 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,75,3
Thu Apr 19 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,75,3
Fri Apr 20 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,75,51
Sat Apr 21 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,75,7
Sun Apr 22 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,75,60
Tue Apr 24 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,75,51
Wed Apr 25 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,75,17
Thu Apr 26 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,75,43
Fri Apr 27 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,75,46
Sun Apr 29 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,75,13
Tue Apr 01 2008 00:00:00 GMT+0800 (CST),台北一,盒裝,null,90,39
Wed Apr 02 2008 00:00:00 GMT+0800 (CST),台北一,盒裝,null,90,4
Thu Apr 03 2008 00:00:00 GMT+0800 (CST),台北一,盒裝,null,90,3
Sun Apr 06 2008 00:00:00 GMT+0800 (CST),台北一,盒裝,null,90,12
Mon Apr 07 2008 00:00:00 GMT+0800 (CST),台北一,盒裝,null,90,3
Wed Apr 09 2008 00:00:00 GMT+0800 (CST),台北一,盒裝,null,90,3
Fri Apr 11 2008 00:00:00 GMT+0800 (CST),台北一,盒裝,null,90,3
Sat Apr 12 2008 00:00:00 GMT+0800 (CST),台北一,盒裝,null,90,3
Sun Apr 13 2008 00:00:00 GMT+0800 (CST),台北一,盒裝,null,90,6
Tue Apr 15 2008 00:00:00 GMT+0800 (CST),台北一,盒裝,null,90,3
Wed Apr 16 2008 00:00:00 GMT+0800 (CST),台北一,盒裝,null,90,9
Thu Apr 17 2008 00:00:00 GMT+0800 (CST),台北一,盒裝,null,90,3
Fri Apr 18 2008 00:00:00 GMT+0800 (CST),台北一,盒裝,null,90,3
Sat Apr 19 2008 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,3
Sun Apr 20 2008 00:00:00 GMT+0800 (CST),台北一,盒裝,null,90,3
Tue Apr 22 2008 00:00:00 GMT+0800 (CST),台北一,盒裝,null,90,3
Wed Apr 23 2008 00:00:00 GMT+0800 (CST),台北二,盒裝,null,80,3
Thu Apr 24 2008 00:00:00 GMT+0800 (CST),台北一,盒裝,null,90,21
Fri Apr 25 2008 00:00:00 GMT+0800 (CST),台北一,盒裝,null,90,12
Sat Apr 26 2008 00:00:00 GMT+0800 (CST),台北一,盒裝,null,90,62
Sun Apr 27 2008 00:00:00 GMT+0800 (CST),台北一,盒裝,null,90,3
Tue Apr 29 2008 00:00:00 GMT+0800 (CST),台北一,盒裝,null,90,3
Wed Apr 01 2009 00:00:00 GMT+0800 (CST),台北一,盒裝,null,80,42
Thu Apr 02 2009 00:00:00 GMT+0800 (CST),台北一,盒裝,null,80,96
Fri Apr 03 2009 00:00:00 GMT+0800 (CST),台北一,盒裝,null,80,39
Tue Apr 07 2009 00:00:00 GMT+0800 (CST),台北一,盒裝,null,80,17
Wed Apr 08 2009 00:00:00 GMT+0800 (CST),台北一,盒裝,null,80,63
Thu Apr 09 2009 00:00:00 GMT+0800 (CST),台北一,盒裝,null,80,3
Sat Apr 11 2009 00:00:00 GMT+0800 (CST),台北一,盒裝,null,85,3
Sun Apr 12 2009 00:00:00 GMT+0800 (CST),台北一,盒裝,null,85,3
Fri Apr 17 2009 00:00:00 GMT+0800 (CST),台北一,盒裝,null,80,18
Sat Apr 18 2009 00:00:00 GMT+0800 (CST),台北一,盒裝,null,80,3
Sun Apr 19 2009 00:00:00 GMT+0800 (CST),台北一,盒裝,null,80,12
Fri Apr 24 2009 00:00:00 GMT+0800 (CST),台北一,盒裝,null,80,29
Sun Apr 26 2009 00:00:00 GMT+0800 (CST),台北一,盒裝,null,85,3
Thu Apr 30 2009 00:00:00 GMT+0800 (CST),台北一,盒裝,null,81.4,41
Thu Apr 01 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,75,54
Fri Apr 02 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,75,57
Sun Apr 04 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,75,18
Wed Apr 07 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,75,54
Thu Apr 08 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,75,75
Fri Apr 09 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,75,126
Sat Apr 10 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,75,99
Sun Apr 11 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,75,3
Tue Apr 13 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,39
Wed Apr 14 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,15
Fri Apr 16 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,3
Sat Apr 17 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,39
Sun Apr 18 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,18
Tue Apr 20 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,144
Wed Apr 21 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,63
Thu Apr 22 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,3
Fri Apr 23 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,6
Sat Apr 24 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,3
Sun Apr 25 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,6
Tue Apr 27 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,3
Wed Apr 28 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,3
Fri Apr 30 2010 00:00:00 GMT+0800 (CST),台北一,盒裝,null,70,3
Sat Apr 02 2011 00:00:00 GMT+0800 (CST),台北一,盒裝,null,110,3
Sun Apr 03 2011 00:00:00 GMT+0800 (CST),台北一,盒裝,null,110,3
Thu Apr 07 2011 00:00:00 GMT+0800 (CST),台北一,盒裝,null,95,3
Sat Apr 09 2011 00:00:00 GMT+0800 (CST),台北一,盒裝,null,90,3
Sun Apr 10 2011 00:00:00 GMT+0800 (CST),台北一,盒裝,null,90,3
Thu Apr 14 2011 00:00:00 GMT+0800 (CST),台北一,盒裝,null,90,3
Sat Apr 16 2011 00:00:00 GMT+0800 (CST),台北一,盒裝,null,90,3
Sun Apr 17 2011 00:00:00 GMT+0800 (CST),台北一,盒裝,null,90,6
Tue Apr 19 2011 00:00:00 GMT+0800 (CST),台北一,盒裝,null,75.6,57
Wed Apr 20 2011 00:00:00 GMT+0800 (CST),台北一,盒裝,null,90,6
Thu Apr 21 2011 00:00:00 GMT+0800 (CST),台北一,盒裝,null,95,3
Fri Apr 22 2011 00:00:00 GMT+0800 (CST),台北一,盒裝,null,14,300
Sat Apr 23 2011 00:00:00 GMT+0800 (CST),台北一,盒裝,null,100,3
Tue Apr 26 2011 00:00:00 GMT+0800 (CST),台北一,盒裝,null,110,3
Thu Apr 28 2011 00:00:00 GMT+0800 (CST),台北一,盒裝,null,110,3
Sun Apr 01 2012 00:00:00 GMT+0800 (CST),台北一,盒裝,null,110,18
Tue Apr 03 2012 00:00:00 GMT+0800 (CST),台北一,盒裝,null,90,36
Fri Apr 06 2012 00:00:00 GMT+0800 (CST),台北一,盒裝,null,110,2
Sat Apr 07 2012 00:00:00 GMT+0800 (CST),台北一,盒裝,null,110,9
Sun Apr 08 2012 00:00:00 GMT+0800 (CST),台北一,盒裝,null,110,19
Tue Apr 10 2012 00:00:00 GMT+0800 (CST),台北一,盒裝,null,110,9
Wed Apr 11 2012 00:00:00 GMT+0800 (CST),台北一,盒裝,null,16.6,540
Thu Apr 12 2012 00:00:00 GMT+0800 (CST),台北一,盒裝,null,110,9
Sun Apr 15 2012 00:00:00 GMT+0800 (CST),台北一,盒裝,null,110,6
Sat Apr 21 2012 00:00:00 GMT+0800 (CST),台北一,盒裝,null,110,12
Thu Apr 26 2012 00:00:00 GMT+0800 (CST),台北一,盒裝,null,110,15
Fri Apr 27 2012 00:00:00 GMT+0800 (CST),台北一,盒裝,null,110,6
Tue Apr 02 2013 00:00:00 GMT+0800 (CST),台北一,盒裝,null,12,420
Wed Apr 03 2013 00:00:00 GMT+0800 (CST),台北一,盒裝,null,12,360
Sat Apr 06 2013 00:00:00 GMT+0800 (CST),台北一,盒裝,null,15.7,210
Sun Apr 07 2013 00:00:00 GMT+0800 (CST),台北一,盒裝,null,15.6,210
Tue Apr 09 2013 00:00:00 GMT+0800 (CST),台北二,盒裝,null,18,60
Tue Apr 09 2013 00:00:00 GMT+0800 (CST),台北一,盒裝,null,14,90
Wed Apr 10 2013 00:00:00 GMT+0800 (CST),台北一,盒裝,null,17,30
Thu Apr 11 2013 00:00:00 GMT+0800 (CST),台北二,盒裝,null,22,30
Thu Apr 11 2013 00:00:00 GMT+0800 (CST),台北一,盒裝,null,16,60
Fri Apr 12 2013 00:00:00 GMT+0800 (CST),台北一,盒裝,null,14.1,120
Sat Apr 13 2013 00:00:00 GMT+0800 (CST),台北一,盒裝,null,16,120
Sun Apr 14 2013 00:00:00 GMT+0800 (CST),台北一,盒裝,null,18.9,360
Tue Apr 16 2013 00:00:00 GMT+0800 (CST),台北二,盒裝,null,20.8,120
Tue Apr 16 2013 00:00:00 GMT+0800 (CST),台北一,盒裝,null,14,150
Wed Apr 17 2013 00:00:00 GMT+0800 (CST),台北一,盒裝,null,18,180
Thu Apr 18 2013 00:00:00 GMT+0800 (CST),台北一,盒裝,null,16,150
Fri Apr 19 2013 00:00:00 GMT+0800 (CST),台北二,盒裝,null,150,24
Sat Apr 20 2013 00:00:00 GMT+0800 (CST),台北二,盒裝,null,22,120
Sat Apr 20 2013 00:00:00 GMT+0800 (CST),台北一,盒裝,null,15.9,210
Sun Apr 21 2013 00:00:00 GMT+0800 (CST),台北二,盒裝,null,25,150
Sun Apr 21 2013 00:00:00 GMT+0800 (CST),台北一,盒裝,null,14.1,240
Tue Apr 23 2013 00:00:00 GMT+0800 (CST),台北二,盒裝,null,20,120
Tue Apr 23 2013 00:00:00 GMT+0800 (CST),台北一,盒裝,null,19,150
Wed Apr 24 2013 00:00:00 GMT+0800 (CST),台北一,盒裝,null,15,30
Tue Aug 01 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,60,92
Wed Aug 02 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,60,22
Thu Aug 03 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,60,127
Fri Aug 04 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,60,79
Sat Aug 05 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,60,68
Sun Aug 06 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,60,44
Mon Aug 07 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,60,30
Tue Aug 08 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,60,21
Fri Aug 11 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,60,85
Sat Aug 12 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,60,25
Sun Aug 13 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,60,59
Tue Aug 15 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,60,113
Wed Aug 16 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,60,128
Thu Aug 17 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,60,85
Fri Aug 18 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,60,68
Sat Aug 19 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,60,54
Sun Aug 20 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,60,40
Tue Aug 22 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,80,110
Wed Aug 23 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,80,43
Thu Aug 24 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,80,35
Fri Aug 25 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,80,7
Sat Aug 26 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,80,67
Sun Aug 27 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,80,24
Tue Aug 29 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,80,74
Wed Aug 30 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,80,28
Thu Aug 31 2006 00:00:00 GMT+0800 (CST),台北一,盒裝,null,80,44
Wed Aug 01 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,80,4
Thu Aug 02 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,80,27
Fri Aug 03 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,80,43
Sat Aug 04 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,80,4
Sun Aug 05 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,80,19
Tue Aug 07 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,80,10
Wed Aug 08 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,80,26
Thu Aug 09 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,79,28
Fri Aug 10 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,77,16
Sat Aug 11 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,80,4
Sun Aug 12 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,80,7
Tue Aug 14 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,80,7
Wed Aug 15 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,64,53
Thu Aug 16 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,80,20
