date,mktname,sbtype,transformation,middleprice,quantity
Sun Apr 01 2007 00:00:00 GMT+0800 (CST),高雄市,null,null,170,30
Mon Apr 02 2007 00:00:00 GMT+0800 (CST),高雄市,null,null,170,20
Tue Apr 03 2007 00:00:00 GMT+0800 (CST),高雄市,null,null,170,20
Wed Apr 04 2007 00:00:00 GMT+0800 (CST),高雄市,null,null,170,20
Thu Apr 05 2007 00:00:00 GMT+0800 (CST),高雄市,null,null,170,20
Sun Apr 08 2007 00:00:00 GMT+0800 (CST),高雄市,null,null,170,20
Mon Apr 09 2007 00:00:00 GMT+0800 (CST),高雄市,null,null,180,10
Tue Apr 10 2007 00:00:00 GMT+0800 (CST),高雄市,null,null,170,15
Wed Apr 11 2007 00:00:00 GMT+0800 (CST),高雄市,null,null,180,20
Thu Apr 12 2007 00:00:00 GMT+0800 (CST),高雄市,null,null,170,20
Fri Apr 13 2007 00:00:00 GMT+0800 (CST),高雄市,null,null,175,20
Sat Apr 14 2007 00:00:00 GMT+0800 (CST),高雄市,null,null,175,20
Sun Apr 15 2007 00:00:00 GMT+0800 (CST),高雄市,null,null,175,20
Tue Apr 17 2007 00:00:00 GMT+0800 (CST),高雄市,null,null,170,20
Wed Apr 18 2007 00:00:00 GMT+0800 (CST),高雄市,null,null,170,20
Thu Apr 19 2007 00:00:00 GMT+0800 (CST),高雄市,null,null,170,20
Fri Apr 20 2007 00:00:00 GMT+0800 (CST),高雄市,null,null,170,20
Sat Apr 21 2007 00:00:00 GMT+0800 (CST),高雄市,null,null,170,20
Sun Apr 22 2007 00:00:00 GMT+0800 (CST),高雄市,null,null,170,50
Tue Apr 24 2007 00:00:00 GMT+0800 (CST),高雄市,null,null,175,20
Wed Apr 25 2007 00:00:00 GMT+0800 (CST),高雄市,null,null,170,20
Thu Apr 26 2007 00:00:00 GMT+0800 (CST),高雄市,null,null,170,25
Fri Apr 27 2007 00:00:00 GMT+0800 (CST),高雄市,null,null,170,35
Sat Apr 28 2007 00:00:00 GMT+0800 (CST),台北一,null,null,160,3
Sat Apr 28 2007 00:00:00 GMT+0800 (CST),高雄市,null,null,170,40
Sun Apr 29 2007 00:00:00 GMT+0800 (CST),高雄市,null,null,175,20
