date,mktname,sbtype,transformation,middleprice,quantity
Sun Apr 01 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,160,5
Sat Apr 07 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,160,4
Sun Apr 15 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,160,3
Tue Apr 17 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,160,36
Fri Apr 20 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,160,9
Tue Apr 24 2007 00:00:00 GMT+0800 (CST),屏東市,盒裝,null,30,10
Fri Apr 27 2007 00:00:00 GMT+0800 (CST),台北一,盒裝,null,160,12
Tue Apr 01 2008 00:00:00 GMT+0800 (CST),台北二,盒裝,null,160,7
Wed Apr 02 2008 00:00:00 GMT+0800 (CST),台北一,盒裝,null,160,6
Thu Apr 03 2008 00:00:00 GMT+0800 (CST),台北一,盒裝,null,160,2
Sun Apr 06 2008 00:00:00 GMT+0800 (CST),台北一,盒裝,null,160,4
Tue Apr 08 2008 00:00:00 GMT+0800 (CST),台北一,盒裝,null,160,4
Thu Apr 10 2008 00:00:00 GMT+0800 (CST),台北一,盒裝,null,160,2
Fri Apr 11 2008 00:00:00 GMT+0800 (CST),台北一,盒裝,null,160,5
Sat Apr 12 2008 00:00:00 GMT+0800 (CST),台北二,盒裝,null,160,1
Sat Apr 12 2008 00:00:00 GMT+0800 (CST),台北一,盒裝,null,160,1
Wed Apr 23 2008 00:00:00 GMT+0800 (CST),台北一,盒裝,null,160,3
Thu Apr 24 2008 00:00:00 GMT+0800 (CST),台北一,盒裝,null,160,12
Sat Apr 26 2008 00:00:00 GMT+0800 (CST),台北一,盒裝,null,160,3
Wed Apr 01 2009 00:00:00 GMT+0800 (CST),台北一,盒裝,null,193.3,5
Thu Apr 02 2009 00:00:00 GMT+0800 (CST),台北一,盒裝,null,200,6
Fri Apr 03 2009 00:00:00 GMT+0800 (CST),台北一,盒裝,null,173.8,7
Tue Apr 07 2009 00:00:00 GMT+0800 (CST),台北一,盒裝,null,160,5
