date,mktname,sbtype,transformation,middleprice,quantity
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),花蓮市,帶葉,null,6,1605
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),花蓮市,帶葉,null,5,1628
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),花蓮市,帶葉,null,4,1738
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),花蓮市,帶葉,null,4,1565
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),花蓮市,帶葉,null,7,2305
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),花蓮市,帶葉,null,7,410
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),花蓮市,帶葉,null,8,1483
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),花蓮市,帶葉,null,20,1691
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),花蓮市,帶葉,null,17,1704
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),花蓮市,帶葉,null,4,1817
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),花蓮市,帶葉,null,4,1325
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),花蓮市,帶葉,null,3,1040
Fri Apr 19 1996 00:00:00 GMT+0800 (CST),花蓮市,帶葉,null,4,1015
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),花蓮市,帶葉,null,3,1105
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),花蓮市,帶葉,null,5,442
Wed Apr 24 1996 00:00:00 GMT+0800 (CST),花蓮市,帶葉,null,3,325
Thu Apr 25 1996 00:00:00 GMT+0800 (CST),花蓮市,帶葉,null,5,805
Mon Apr 29 1996 00:00:00 GMT+0800 (CST),花蓮市,帶葉,null,12,341
Tue Apr 30 1996 00:00:00 GMT+0800 (CST),花蓮市,帶葉,null,10,475
Tue Apr 01 1997 00:00:00 GMT+0800 (CST),台北一,帶葉,null,20,4320
Tue Apr 01 1997 00:00:00 GMT+0800 (CST),高雄市,帶葉,null,17.4,2408
Tue Apr 01 1997 00:00:00 GMT+0800 (CST),花蓮市,帶葉,null,3,1058
Wed Apr 02 1997 00:00:00 GMT+0800 (CST),台北一,帶葉,null,20,4860
Wed Apr 02 1997 00:00:00 GMT+0800 (CST),高雄市,帶葉,null,17.4,2408
Thu Apr 03 1997 00:00:00 GMT+0800 (CST),高雄市,帶葉,null,17.4,2408
Thu Apr 03 1997 00:00:00 GMT+0800 (CST),花蓮市,帶葉,null,4,1055
Fri Apr 04 1997 00:00:00 GMT+0800 (CST),台北一,帶葉,null,20,630
