date,mktname,sbtype,transformation,middleprice,quantity
Tue Apr 01 1997 00:00:00 GMT+0800 (CST),高雄市,清心,null,26.1,160
Fri Apr 04 1997 00:00:00 GMT+0800 (CST),台北一,清心,null,10,75
Mon Apr 07 1997 00:00:00 GMT+0800 (CST),台北一,清心,null,12,60
Tue Apr 08 1997 00:00:00 GMT+0800 (CST),台北一,清心,null,12,60
Mon Apr 21 1997 00:00:00 GMT+0800 (CST),台北一,清心,null,7,20
Sat Apr 26 1997 00:00:00 GMT+0800 (CST),高雄市,清心,null,40,100
Wed Apr 01 1998 00:00:00 GMT+0800 (CST),台北一,清心,null,10,540
Wed Apr 01 1998 00:00:00 GMT+0800 (CST),台中市,清心,null,25,150
Thu Apr 02 1998 00:00:00 GMT+0800 (CST),台中市,清心,null,25,100
Fri Apr 03 1998 00:00:00 GMT+0800 (CST),台北一,清心,null,10,480
Fri Apr 03 1998 00:00:00 GMT+0800 (CST),台中市,清心,null,20,150
Sat Apr 04 1998 00:00:00 GMT+0800 (CST),台中市,清心,null,25,150
Wed Apr 08 1998 00:00:00 GMT+0800 (CST),台中市,清心,null,25,150
Sat Apr 11 1998 00:00:00 GMT+0800 (CST),台北一,清心,null,30,54
Tue Apr 14 1998 00:00:00 GMT+0800 (CST),台中市,清心,null,20,150
Thu Apr 16 1998 00:00:00 GMT+0800 (CST),台中市,清心,null,20,150
Fri Apr 17 1998 00:00:00 GMT+0800 (CST),台中市,清心,null,20,150
Sat Apr 18 1998 00:00:00 GMT+0800 (CST),台中市,清心,null,10,150
Sun Apr 19 1998 00:00:00 GMT+0800 (CST),台中市,清心,null,10,150
Wed Apr 22 1998 00:00:00 GMT+0800 (CST),台中市,清心,null,30,100
Thu Apr 23 1998 00:00:00 GMT+0800 (CST),台中市,清心,null,20,150
Fri Apr 24 1998 00:00:00 GMT+0800 (CST),台中市,清心,null,30,100
Sun Apr 26 1998 00:00:00 GMT+0800 (CST),台中市,清心,null,18.7,250
Mon Apr 27 1998 00:00:00 GMT+0800 (CST),台中市,清心,null,20,150
Thu Apr 01 1999 00:00:00 GMT+0800 (CST),台北二,清心,null,30,36
Sat Apr 03 1999 00:00:00 GMT+0800 (CST),台北二,清心,null,30,36
Sat Apr 03 1999 00:00:00 GMT+0800 (CST),高雄市,清心,null,27.8,100
Sun Apr 04 1999 00:00:00 GMT+0800 (CST),台北二,清心,null,30,36
Wed Apr 07 1999 00:00:00 GMT+0800 (CST),台北二,清心,null,30,36
Thu Apr 08 1999 00:00:00 GMT+0800 (CST),台北二,清心,null,30,1326
Fri Apr 09 1999 00:00:00 GMT+0800 (CST),台北二,清心,null,30,36
Sat Apr 10 1999 00:00:00 GMT+0800 (CST),台北二,清心,null,30,36
Mon Apr 12 1999 00:00:00 GMT+0800 (CST),台北二,清心,null,30,36
Tue Apr 13 1999 00:00:00 GMT+0800 (CST),台北二,清心,null,30,36
Wed Apr 14 1999 00:00:00 GMT+0800 (CST),台北二,清心,null,30,36
Thu Apr 15 1999 00:00:00 GMT+0800 (CST),台北二,清心,null,30,36
Fri Apr 16 1999 00:00:00 GMT+0800 (CST),台北二,清心,null,30,1616
Sat Apr 17 1999 00:00:00 GMT+0800 (CST),台北二,清心,null,30,36
Mon Apr 19 1999 00:00:00 GMT+0800 (CST),台北二,清心,null,30,36
Tue Apr 20 1999 00:00:00 GMT+0800 (CST),台北二,清心,null,30,36
Wed Apr 21 1999 00:00:00 GMT+0800 (CST),台北二,清心,null,30,36
Thu Apr 22 1999 00:00:00 GMT+0800 (CST),台北二,清心,null,30,1026
Fri Apr 23 1999 00:00:00 GMT+0800 (CST),台北二,清心,null,30,36
Sat Apr 24 1999 00:00:00 GMT+0800 (CST),台北二,清心,null,30,36
Mon Apr 26 1999 00:00:00 GMT+0800 (CST),台北二,清心,null,30,36
Tue Apr 27 1999 00:00:00 GMT+0800 (CST),台北二,清心,null,30,736
Wed Apr 28 1999 00:00:00 GMT+0800 (CST),台北二,清心,null,30,36
