date,mktname,sbtype,transformation,middleprice,quantity
Tue Apr 01 1997 00:00:00 GMT+0800 (CST),台北一,null,null,19.8,213
Wed Apr 02 1997 00:00:00 GMT+0800 (CST),台北一,null,null,20,580
Fri Apr 04 1997 00:00:00 GMT+0800 (CST),台北一,null,null,20,480
Mon Apr 07 1997 00:00:00 GMT+0800 (CST),台北一,null,null,20,156
Tue Apr 08 1997 00:00:00 GMT+0800 (CST),台北一,null,null,20,636
Wed Apr 09 1997 00:00:00 GMT+0800 (CST),台北一,null,null,20,45
Thu Apr 10 1997 00:00:00 GMT+0800 (CST),台北一,null,null,20,580
Fri Apr 11 1997 00:00:00 GMT+0800 (CST),台北一,null,null,20,144
Sun Apr 13 1997 00:00:00 GMT+0800 (CST),台北一,null,null,20,636
Tue Apr 15 1997 00:00:00 GMT+0800 (CST),台北一,null,null,20,580
Fri Apr 18 1997 00:00:00 GMT+0800 (CST),台北一,null,null,20,714
Sat Apr 19 1997 00:00:00 GMT+0800 (CST),台北一,null,null,20,80
Sun Apr 20 1997 00:00:00 GMT+0800 (CST),台北一,null,null,20,480
Mon Apr 21 1997 00:00:00 GMT+0800 (CST),台北一,null,null,20,168
Tue Apr 22 1997 00:00:00 GMT+0800 (CST),台北一,null,null,20,480
Thu Apr 24 1997 00:00:00 GMT+0800 (CST),台北一,null,null,20,460
Fri Apr 25 1997 00:00:00 GMT+0800 (CST),台北一,null,null,20,168
Sat Apr 26 1997 00:00:00 GMT+0800 (CST),台北一,null,null,20,600
Tue Apr 29 1997 00:00:00 GMT+0800 (CST),台北一,null,null,20,570
Wed Apr 30 1997 00:00:00 GMT+0800 (CST),台北一,null,null,20,256
Wed Apr 01 1998 00:00:00 GMT+0800 (CST),台北一,null,null,20,996
Thu Apr 02 1998 00:00:00 GMT+0800 (CST),台北一,null,null,20,144
Fri Apr 03 1998 00:00:00 GMT+0800 (CST),台北一,null,null,20,1216
Sat Apr 04 1998 00:00:00 GMT+0800 (CST),台北一,null,null,20,996
Wed Apr 08 1998 00:00:00 GMT+0800 (CST),台北一,null,null,20,1080
Thu Apr 09 1998 00:00:00 GMT+0800 (CST),台北一,null,null,20,180
Fri Apr 10 1998 00:00:00 GMT+0800 (CST),台北一,null,null,20,732
