date,mktname,sbtype,transformation,middleprice,quantity
Tue Apr 01 1997 00:00:00 GMT+0800 (CST),台北一,漬,漬,30,90
Wed Apr 02 1997 00:00:00 GMT+0800 (CST),台北一,漬,漬,30,150
Thu Apr 03 1997 00:00:00 GMT+0800 (CST),台北一,漬,漬,30,30
Fri Apr 04 1997 00:00:00 GMT+0800 (CST),台北一,漬,漬,30,150
Mon Apr 07 1997 00:00:00 GMT+0800 (CST),台北一,漬,漬,30,330
Tue Apr 08 1997 00:00:00 GMT+0800 (CST),台北一,漬,漬,30,150
Wed Apr 09 1997 00:00:00 GMT+0800 (CST),台北一,漬,漬,30,330
Thu Apr 10 1997 00:00:00 GMT+0800 (CST),台北一,漬,漬,30,120
Fri Apr 11 1997 00:00:00 GMT+0800 (CST),台北一,漬,漬,27.2,240
Sat Apr 12 1997 00:00:00 GMT+0800 (CST),台北一,漬,漬,16.2,600
Sun Apr 13 1997 00:00:00 GMT+0800 (CST),台北一,漬,漬,17.2,853
Mon Apr 14 1997 00:00:00 GMT+0800 (CST),台北一,漬,漬,20,300
Tue Apr 15 1997 00:00:00 GMT+0800 (CST),台北一,漬,漬,23.4,390
Thu Apr 17 1997 00:00:00 GMT+0800 (CST),台北一,漬,漬,30,350
Fri Apr 18 1997 00:00:00 GMT+0800 (CST),台北一,漬,漬,30,360
Sat Apr 19 1997 00:00:00 GMT+0800 (CST),台北一,漬,漬,30,300
Sun Apr 20 1997 00:00:00 GMT+0800 (CST),台北一,漬,漬,25,240
Mon Apr 21 1997 00:00:00 GMT+0800 (CST),台北一,漬,漬,26.7,555
Tue Apr 22 1997 00:00:00 GMT+0800 (CST),台北一,漬,漬,28.3,501
Thu Apr 24 1997 00:00:00 GMT+0800 (CST),台北一,漬,漬,24.6,600
Fri Apr 25 1997 00:00:00 GMT+0800 (CST),台北一,漬,漬,24.6,600
Sat Apr 26 1997 00:00:00 GMT+0800 (CST),台北一,漬,漬,24.7,870
Sun Apr 27 1997 00:00:00 GMT+0800 (CST),台北一,漬,漬,25.6,750
Mon Apr 28 1997 00:00:00 GMT+0800 (CST),台北一,漬,漬,23.9,1230
Mon Apr 28 1997 00:00:00 GMT+0800 (CST),高雄市,漬,漬,20,500
Tue Apr 29 1997 00:00:00 GMT+0800 (CST),台北一,漬,漬,23,390
Wed Apr 30 1997 00:00:00 GMT+0800 (CST),台北一,漬,漬,24.6,723
Wed Apr 01 1998 00:00:00 GMT+0800 (CST),台北一,漬,漬,20,240
Thu Apr 02 1998 00:00:00 GMT+0800 (CST),台北一,漬,漬,20,270
Fri Apr 03 1998 00:00:00 GMT+0800 (CST),台北一,漬,漬,20,60
Sat Apr 04 1998 00:00:00 GMT+0800 (CST),台北一,漬,漬,20,30
Tue Apr 07 1998 00:00:00 GMT+0800 (CST),台北一,漬,漬,26,350
Wed Apr 08 1998 00:00:00 GMT+0800 (CST),台北一,漬,漬,22,520
Thu Apr 09 1998 00:00:00 GMT+0800 (CST),台北一,漬,漬,20,300
Fri Apr 10 1998 00:00:00 GMT+0800 (CST),台北一,漬,漬,20,90
Sat Apr 11 1998 00:00:00 GMT+0800 (CST),台北一,漬,漬,20,375
Sun Apr 12 1998 00:00:00 GMT+0800 (CST),台北一,漬,漬,20,415
Tue Apr 14 1998 00:00:00 GMT+0800 (CST),台北一,漬,漬,20,535
Wed Apr 15 1998 00:00:00 GMT+0800 (CST),台北一,漬,漬,20,405
Thu Apr 16 1998 00:00:00 GMT+0800 (CST),台北一,漬,漬,20,360
Fri Apr 17 1998 00:00:00 GMT+0800 (CST),台北一,漬,漬,20,300
Sat Apr 18 1998 00:00:00 GMT+0800 (CST),台北一,漬,漬,20,500
Sun Apr 19 1998 00:00:00 GMT+0800 (CST),台北一,漬,漬,20,295
Mon Apr 20 1998 00:00:00 GMT+0800 (CST),台北一,漬,漬,20,655
Wed Apr 22 1998 00:00:00 GMT+0800 (CST),台北一,漬,漬,20,480
Thu Apr 23 1998 00:00:00 GMT+0800 (CST),台北一,漬,漬,20,755
Fri Apr 24 1998 00:00:00 GMT+0800 (CST),台北一,漬,漬,20,540
Sat Apr 25 1998 00:00:00 GMT+0800 (CST),台北一,漬,漬,20,225
Sun Apr 26 1998 00:00:00 GMT+0800 (CST),台北一,漬,漬,20,520
Sun Apr 26 1998 00:00:00 GMT+0800 (CST),台中市,漬,漬,26.1,90
Mon Apr 27 1998 00:00:00 GMT+0800 (CST),台北一,漬,漬,20,615
Wed Apr 29 1998 00:00:00 GMT+0800 (CST),台北一,漬,漬,20,1070
Thu Apr 30 1998 00:00:00 GMT+0800 (CST),台北一,漬,漬,20,430
Thu Apr 01 1999 00:00:00 GMT+0800 (CST),台北二,漬,漬,30,84
Thu Apr 01 1999 00:00:00 GMT+0800 (CST),台北一,漬,漬,20.1,520
Fri Apr 02 1999 00:00:00 GMT+0800 (CST),台北二,漬,漬,30,102
Fri Apr 02 1999 00:00:00 GMT+0800 (CST),台北一,漬,漬,21.2,505
Sat Apr 03 1999 00:00:00 GMT+0800 (CST),台北二,漬,漬,30,90
Sat Apr 03 1999 00:00:00 GMT+0800 (CST),台北一,漬,漬,18.4,415
Sun Apr 04 1999 00:00:00 GMT+0800 (CST),台北二,漬,漬,30,42
