date,mktname,sbtype,transformation,middleprice,quantity
Tue Apr 01 1997 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,100,60
Wed Apr 02 1997 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,93.3,150
Thu Apr 03 1997 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,81.6,270
Fri Apr 04 1997 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,95.4,320
Mon Apr 07 1997 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,86.6,215
Tue Apr 08 1997 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,37.3,243
Wed Apr 09 1997 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,70,80
Fri Apr 11 1997 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,83,110
Sat Apr 12 1997 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,78.7,80
Sun Apr 13 1997 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,74.2,210
Sun Apr 13 1997 00:00:00 GMT+0800 (CST),高雄市,箭竹筍,null,25,180
Mon Apr 14 1997 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,70,330
Tue Apr 15 1997 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,40,50
Thu Apr 17 1997 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,31.1,230
Fri Apr 18 1997 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,30,100
Sat Apr 19 1997 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,70,70
Sun Apr 20 1997 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,60.5,300
Mon Apr 21 1997 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,70,50
Tue Apr 22 1997 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,70,130
Thu Apr 24 1997 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,70,50
Fri Apr 25 1997 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,70,50
Sat Apr 26 1997 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,70,50
Sun Apr 27 1997 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,70,70
Tue Apr 29 1997 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,30,50
Wed Apr 01 1998 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,79.2,80
Thu Apr 02 1998 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,30.9,95
Fri Apr 03 1998 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,30,45
Sat Apr 04 1998 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,77.6,320
Tue Apr 07 1998 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,38.9,630
Wed Apr 08 1998 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,40.8,201
Thu Apr 09 1998 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,56.1,104
Fri Apr 10 1998 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,29.3,96
Sat Apr 11 1998 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,38.8,151
Sun Apr 12 1998 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,74.6,166
Thu Apr 16 1998 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,30,145
Fri Apr 17 1998 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,30,100
Sat Apr 18 1998 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,74.6,68
Sun Apr 19 1998 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,72.4,243
Mon Apr 20 1998 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,51.9,105
Wed Apr 22 1998 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,70,50
Fri Apr 24 1998 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,26.3,63
Sat Apr 25 1998 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,70,20
Mon Apr 27 1998 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,80,40
Wed Apr 29 1998 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,47.2,150
Sat Apr 03 1999 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,50,10
Sun Apr 04 1999 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,40,30
Tue Apr 13 1999 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,32,40
Wed Apr 14 1999 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,26,300
Thu Apr 22 1999 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,15,300
Fri Apr 23 1999 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,30,900
Tue Apr 27 1999 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,33,150
Thu Apr 29 1999 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,32,1476
Sat Apr 01 2000 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,23.6,76
Sat Apr 01 2000 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,25,105
Sun Apr 02 2000 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,25,54
Sun Apr 02 2000 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,23,70
Mon Apr 03 2000 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,25,70
Thu Apr 06 2000 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,20,98
Fri Apr 07 2000 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,20,130
Sat Apr 08 2000 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,20,100
Sun Apr 09 2000 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,15,80
Mon Apr 10 2000 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,25,54
Mon Apr 10 2000 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,15,90
Tue Apr 11 2000 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,15,70
Wed Apr 12 2000 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,27,90
Thu Apr 13 2000 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,15,90
Sat Apr 15 2000 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,12,54
Sat Apr 15 2000 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,10,100
Mon Apr 17 2000 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,10,54
Wed Apr 19 2000 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,17,72
Wed Apr 19 2000 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,15,60
Thu Apr 20 2000 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,15,60
Sat Apr 22 2000 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,11.5,156
Sun Apr 23 2000 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,15,80
Mon Apr 24 2000 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,15,100
Tue Apr 25 2000 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,13,100
Wed Apr 26 2000 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,10,36
Wed Apr 26 2000 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,15.8,160
Fri Apr 28 2000 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,37,70
Sun Apr 30 2000 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,10,60
Wed Apr 04 2001 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,25,120
Sun Apr 15 2001 00:00:00 GMT+0800 (CST),高雄市,箭竹筍,null,13.9,54
Tue Apr 17 2001 00:00:00 GMT+0800 (CST),高雄市,箭竹筍,null,30,178
Tue Apr 24 2001 00:00:00 GMT+0800 (CST),高雄市,箭竹筍,null,35.7,840
Fri Apr 27 2001 00:00:00 GMT+0800 (CST),高雄市,箭竹筍,null,9,100
Sat Apr 28 2001 00:00:00 GMT+0800 (CST),高雄市,箭竹筍,null,30.3,222
Mon Apr 30 2001 00:00:00 GMT+0800 (CST),高雄市,箭竹筍,null,19.2,573
Mon Apr 01 2002 00:00:00 GMT+0800 (CST),高雄市,箭竹筍,null,16,360
Sun Apr 07 2002 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,50,240
Wed Apr 10 2002 00:00:00 GMT+0800 (CST),花蓮市,箭竹筍,null,28,64
Thu Apr 11 2002 00:00:00 GMT+0800 (CST),高雄市,箭竹筍,null,55,30
Sat Apr 24 2004 00:00:00 GMT+0800 (CST),高雄市,箭竹筍,null,33.3,30
Fri Apr 01 2005 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,80,90
Fri Apr 07 2006 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,25,90
Tue Apr 01 2008 00:00:00 GMT+0800 (CST),三重市,箭竹筍,null,12,90
Wed Apr 02 2008 00:00:00 GMT+0800 (CST),三重市,箭竹筍,null,12,60
Thu Apr 03 2008 00:00:00 GMT+0800 (CST),三重市,箭竹筍,null,3,90
Sun Apr 20 2008 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,65,162
Sat Apr 26 2008 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,10,204
Fri Apr 10 2009 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,30,18
Tue Apr 14 2009 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,30,18
Wed Apr 29 2009 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,28.7,1371
Wed Apr 21 2010 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,60,60
Fri Apr 01 2011 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,80,100
Sat Apr 02 2011 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,80,60
Sun Apr 03 2011 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,80,60
Mon Apr 04 2011 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,80,60
Thu Apr 07 2011 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,80,100
Fri Apr 08 2011 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,80,100
Sat Apr 09 2011 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,80,100
Sun Apr 10 2011 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,80,100
Tue Apr 12 2011 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,80,60
Wed Apr 13 2011 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,80,100
Sat Apr 16 2011 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,80,100
Sun Apr 17 2011 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,80,100
Tue Apr 19 2011 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,80,60
Wed Apr 20 2011 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,80,100
Thu Apr 21 2011 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,80,60
Fri Apr 22 2011 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,80,100
Sat Apr 23 2011 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,80,100
Sun Apr 24 2011 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,80,100
Tue Apr 26 2011 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,80,100
Wed Apr 27 2011 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,80,60
Thu Apr 28 2011 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,74,226
Fri Apr 29 2011 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,80,100
Mon Apr 02 2012 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,80,100
Tue Apr 03 2012 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,80,100
Fri Apr 06 2012 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,80,100
Sun Apr 08 2012 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,80,100
Tue Apr 10 2012 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,80,100
Wed Apr 11 2012 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,80,100
Thu Apr 12 2012 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,80,100
Fri Apr 13 2012 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,80,100
Sat Apr 14 2012 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,80,100
Tue Apr 17 2012 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,80,100
Wed Apr 18 2012 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,80,100
Thu Apr 19 2012 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,80,100
Fri Apr 20 2012 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,80,100
Sun Apr 22 2012 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,80,100
Tue Apr 24 2012 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,80,100
Wed Apr 25 2012 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,80,100
Thu Apr 26 2012 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,80,100
Fri Apr 27 2012 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,80,100
Sat Apr 28 2012 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,80,100
Sun Apr 29 2012 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,80,100
Mon Apr 01 2013 00:00:00 GMT+0800 (CST),花蓮市,箭竹筍,null,70,25.5
Tue Apr 02 2013 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,80,100
Wed Apr 03 2013 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,80,100
Wed Apr 03 2013 00:00:00 GMT+0800 (CST),花蓮市,箭竹筍,null,83,20.5
Sat Apr 06 2013 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,80,100
Sat Apr 06 2013 00:00:00 GMT+0800 (CST),花蓮市,箭竹筍,null,81,41
Sun Apr 07 2013 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,80,100
Sun Apr 07 2013 00:00:00 GMT+0800 (CST),花蓮市,箭竹筍,null,60,29
Mon Apr 08 2013 00:00:00 GMT+0800 (CST),花蓮市,箭竹筍,null,63.7,69
Tue Apr 09 2013 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,80,100
Wed Apr 10 2013 00:00:00 GMT+0800 (CST),花蓮市,箭竹筍,null,70.5,18
Thu Apr 11 2013 00:00:00 GMT+0800 (CST),花蓮市,箭竹筍,null,60,14.5
Fri Apr 12 2013 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,80,100
Sat Apr 13 2013 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,80,100
Sat Apr 13 2013 00:00:00 GMT+0800 (CST),花蓮市,箭竹筍,null,68,21
Sun Apr 14 2013 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,80,100
Tue Apr 16 2013 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,80,100
Tue Apr 16 2013 00:00:00 GMT+0800 (CST),花蓮市,箭竹筍,null,50,11
Wed Apr 17 2013 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,80,100
Wed Apr 17 2013 00:00:00 GMT+0800 (CST),花蓮市,箭竹筍,null,69.8,30.5
Thu Apr 18 2013 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,80,100
Fri Apr 19 2013 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,80,100
Sat Apr 20 2013 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,80,100
Sun Apr 21 2013 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,80,100
Tue Apr 23 2013 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,80,100
Wed Apr 24 2013 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,80,100
Thu Apr 25 2013 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,80,100
Fri Apr 26 2013 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,80,100
Sat Apr 27 2013 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,80,100
Sat Apr 27 2013 00:00:00 GMT+0800 (CST),花蓮市,箭竹筍,null,9.1,287
Sun Apr 28 2013 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,80,100
Mon Apr 29 2013 00:00:00 GMT+0800 (CST),花蓮市,箭竹筍,null,55,86.5
Tue Apr 30 2013 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,80,100
Mon Aug 04 1997 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,35,50
Thu Aug 07 1997 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,35,50
Sun Aug 10 1997 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,35,50
Mon Aug 11 1997 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,35,50
Wed Aug 13 1997 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,35,50
Thu Aug 14 1997 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,35,50
Sat Aug 16 1997 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,35,50
Thu Aug 21 1997 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,35,50
Fri Aug 22 1997 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,35,50
Thu Aug 28 1997 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,35,50
Sun Aug 31 1997 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,70,50
Fri Aug 14 1998 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,30,36
Wed Aug 11 1999 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,30,36
Sun Aug 22 1999 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,40,50
Tue Aug 01 2000 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,13.1,182
Tue Aug 01 2000 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,50.8,220
Fri Aug 04 2000 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,19.1,328
Fri Aug 04 2000 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,38.9,123
Sat Aug 05 2000 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,15.1,144
Sat Aug 05 2000 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,38.1,62
Sun Aug 06 2000 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,13,184
Sun Aug 06 2000 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,44.3,144
Mon Aug 07 2000 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,13,36
Mon Aug 07 2000 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,39.7,54
Fri Aug 11 2000 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,12,100
Sat Aug 12 2000 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,12.6,220
Sun Aug 13 2000 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,14,100
Sun Aug 13 2000 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,45,12
Thu Aug 17 2000 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,12,100
Fri Aug 18 2000 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,12,100
Sat Aug 19 2000 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,11,100
Sun Aug 20 2000 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,12,100
Mon Aug 21 2000 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,13,100
Tue Aug 22 2000 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,16,100
Fri Aug 25 2000 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,15.4,664
Sat Aug 26 2000 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,10.6,220
Sun Aug 27 2000 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,11,120
