date,mktname,sbtype,transformation,middleprice,quantity
Tue Apr 01 1997 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,70,100
Wed Apr 02 1997 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,70,100
Thu Apr 03 1997 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,70,30
Fri Apr 04 1997 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,70,110
Mon Apr 07 1997 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,70,150
Tue Apr 08 1997 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,70,100
Wed Apr 09 1997 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,70,160
Thu Apr 10 1997 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,70,40
Fri Apr 11 1997 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,70,80
Sat Apr 12 1997 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,70,30
Sun Apr 13 1997 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,70,40
Tue Apr 15 1997 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,70,40
Sun Apr 20 1997 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,70,134
Thu Apr 24 1997 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,70,54
Sat Apr 26 1997 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,70,88
Mon Apr 28 1997 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,70,190
Tue Apr 29 1997 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,70,60
Wed Apr 30 1997 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,70,60
Wed Apr 29 1998 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,44.2,236
Thu Apr 30 1998 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,30,36
Thu Apr 08 1999 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,100,54
Tue Apr 13 1999 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,70,180
Wed Apr 14 1999 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,70,90
Mon Apr 19 1999 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,30,36
Mon Apr 17 2000 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,100,230
Sun Apr 23 2000 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,70,40
Sun Apr 01 2001 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,30.4,144
Sun Apr 01 2001 00:00:00 GMT+0800 (CST),高雄市,箭竹筍,null,50,84
Mon Apr 02 2001 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,28,132
Mon Apr 02 2001 00:00:00 GMT+0800 (CST),高雄市,箭竹筍,null,50.4,216
Tue Apr 03 2001 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,35,60
Tue Apr 03 2001 00:00:00 GMT+0800 (CST),高雄市,箭竹筍,null,50,156
Wed Apr 04 2001 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,30,60
Wed Apr 04 2001 00:00:00 GMT+0800 (CST),高雄市,箭竹筍,null,50,180
Thu Apr 05 2001 00:00:00 GMT+0800 (CST),高雄市,箭竹筍,null,50,48
Fri Apr 06 2001 00:00:00 GMT+0800 (CST),高雄市,箭竹筍,null,50,192
Sat Apr 07 2001 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,30,60
Sun Apr 08 2001 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,35,60
Sun Apr 08 2001 00:00:00 GMT+0800 (CST),高雄市,箭竹筍,null,52.5,168
Mon Apr 09 2001 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,35,60
Wed Apr 11 2001 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,36,36
Thu Apr 12 2001 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,35,36
Thu Apr 12 2001 00:00:00 GMT+0800 (CST),高雄市,箭竹筍,null,50,324
Fri Apr 13 2001 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,35,36
Sat Apr 14 2001 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,36,36
Sat Apr 14 2001 00:00:00 GMT+0800 (CST),高雄市,箭竹筍,null,50,252
Sun Apr 15 2001 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,35,36
Mon Apr 16 2001 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,28.3,162
Tue Apr 17 2001 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,35,36
Tue Apr 17 2001 00:00:00 GMT+0800 (CST),高雄市,箭竹筍,null,49.4,138
Wed Apr 18 2001 00:00:00 GMT+0800 (CST),高雄市,箭竹筍,null,15,124
Fri Apr 20 2001 00:00:00 GMT+0800 (CST),高雄市,箭竹筍,null,47.7,148
Sat Apr 21 2001 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,30.4,48
Sat Apr 21 2001 00:00:00 GMT+0800 (CST),高雄市,箭竹筍,null,49.4,184
Sun Apr 22 2001 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,24.4,192
Sun Apr 22 2001 00:00:00 GMT+0800 (CST),高雄市,箭竹筍,null,28.3,200
Mon Apr 23 2001 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,35,36
Mon Apr 23 2001 00:00:00 GMT+0800 (CST),高雄市,箭竹筍,null,50,48
Tue Apr 24 2001 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,35,36
Thu Apr 26 2001 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,63.6,116
Thu Apr 26 2001 00:00:00 GMT+0800 (CST),高雄市,箭竹筍,null,51.5,228
Fri Apr 27 2001 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,35,36
