date,mktname,sbtype,transformation,middleprice,quantity
Sat Apr 04 1998 00:00:00 GMT+0800 (CST),台北一,綠竹筍,null,50,150
Sat Apr 18 1998 00:00:00 GMT+0800 (CST),台北一,綠竹筍,null,18,36
Wed Apr 22 1998 00:00:00 GMT+0800 (CST),台北一,綠竹筍,null,35,36
Thu Apr 23 1998 00:00:00 GMT+0800 (CST),台北一,綠竹筍,null,35,18
Fri Apr 24 1998 00:00:00 GMT+0800 (CST),台北一,綠竹筍,null,35,36
Sat Apr 25 1998 00:00:00 GMT+0800 (CST),台北一,綠竹筍,null,40.9,76
Sun Apr 26 1998 00:00:00 GMT+0800 (CST),台北一,綠竹筍,null,31,74
Mon Apr 27 1998 00:00:00 GMT+0800 (CST),台北一,綠竹筍,null,37.6,56
Sun Apr 04 1999 00:00:00 GMT+0800 (CST),台北二,綠竹筍,null,51.4,84
Sun Apr 04 1999 00:00:00 GMT+0800 (CST),台北一,綠竹筍,null,50,50
Fri Apr 09 1999 00:00:00 GMT+0800 (CST),台北一,綠竹筍,null,50,30
Mon Apr 12 1999 00:00:00 GMT+0800 (CST),台北二,綠竹筍,null,60,12
Tue Apr 13 1999 00:00:00 GMT+0800 (CST),台北二,綠竹筍,null,60,12
Sun Apr 01 2001 00:00:00 GMT+0800 (CST),台北一,綠竹筍,null,18,40
Wed Apr 04 2001 00:00:00 GMT+0800 (CST),台北一,綠竹筍,null,20,40
Sat Apr 07 2001 00:00:00 GMT+0800 (CST),台北一,綠竹筍,null,20,40
Sun Apr 29 2001 00:00:00 GMT+0800 (CST),台北二,綠竹筍,null,50,110
Mon Apr 30 2001 00:00:00 GMT+0800 (CST),台北一,綠竹筍,null,50,60
Mon Apr 01 2002 00:00:00 GMT+0800 (CST),台北一,綠竹筍,null,35,18
Tue Apr 02 2002 00:00:00 GMT+0800 (CST),台北一,綠竹筍,null,35,18
Wed Apr 03 2002 00:00:00 GMT+0800 (CST),台北一,綠竹筍,null,35,18
Thu Apr 04 2002 00:00:00 GMT+0800 (CST),台北一,綠竹筍,null,35,18
Sun Apr 07 2002 00:00:00 GMT+0800 (CST),台北一,綠竹筍,null,30,18
Mon Apr 08 2002 00:00:00 GMT+0800 (CST),台北一,綠竹筍,null,35,18
Tue Apr 09 2002 00:00:00 GMT+0800 (CST),台北一,綠竹筍,null,49.2,78
Thu Apr 11 2002 00:00:00 GMT+0800 (CST),台北一,綠竹筍,null,35,18
Fri Apr 12 2002 00:00:00 GMT+0800 (CST),台北一,綠竹筍,null,35,30
Sat Apr 13 2002 00:00:00 GMT+0800 (CST),台北一,綠竹筍,null,35,30
Sun Apr 14 2002 00:00:00 GMT+0800 (CST),台北一,綠竹筍,null,35,30
Tue Apr 16 2002 00:00:00 GMT+0800 (CST),台北一,綠竹筍,null,35,30
Wed Apr 17 2002 00:00:00 GMT+0800 (CST),台北一,綠竹筍,null,35,30
Thu Apr 18 2002 00:00:00 GMT+0800 (CST),台北一,綠竹筍,null,35,30
Fri Apr 19 2002 00:00:00 GMT+0800 (CST),台北一,綠竹筍,null,46.7,90
Sat Apr 20 2002 00:00:00 GMT+0800 (CST),台北一,綠竹筍,null,30,36
Fri Apr 11 2003 00:00:00 GMT+0800 (CST),台北二,綠竹筍,null,60,180
Fri Apr 11 2003 00:00:00 GMT+0800 (CST),台北一,綠竹筍,null,20,50
Thu Apr 17 2003 00:00:00 GMT+0800 (CST),台北一,綠竹筍,null,50,120
Fri Apr 18 2003 00:00:00 GMT+0800 (CST),台北二,綠竹筍,null,60,180
Thu Apr 24 2003 00:00:00 GMT+0800 (CST),台北一,綠竹筍,null,50,30
Fri Apr 25 2003 00:00:00 GMT+0800 (CST),台北二,綠竹筍,null,60,90
Fri Apr 25 2003 00:00:00 GMT+0800 (CST),台北一,綠竹筍,null,20,30
Fri Apr 09 2004 00:00:00 GMT+0800 (CST),台北一,綠竹筍,null,25,93
Wed Apr 21 2004 00:00:00 GMT+0800 (CST),台北一,綠竹筍,null,60,24
Fri Apr 23 2004 00:00:00 GMT+0800 (CST),台北二,綠竹筍,null,22,30
Tue Apr 27 2004 00:00:00 GMT+0800 (CST),台北一,綠竹筍,null,5,78
Fri Apr 01 2005 00:00:00 GMT+0800 (CST),台北一,綠竹筍,null,17.8,624
Sun Apr 03 2005 00:00:00 GMT+0800 (CST),台北一,綠竹筍,null,60,30
Mon Apr 04 2005 00:00:00 GMT+0800 (CST),台北一,綠竹筍,null,12.1,660
Thu Apr 07 2005 00:00:00 GMT+0800 (CST),台北一,綠竹筍,null,60,12
Fri Apr 08 2005 00:00:00 GMT+0800 (CST),台北一,綠竹筍,null,60,30
Sat Apr 09 2005 00:00:00 GMT+0800 (CST),台北一,綠竹筍,null,13.1,630
Sun Apr 10 2005 00:00:00 GMT+0800 (CST),台北一,綠竹筍,null,40,36
Tue Apr 12 2005 00:00:00 GMT+0800 (CST),台北一,綠竹筍,null,60,24
Wed Apr 13 2005 00:00:00 GMT+0800 (CST),台北一,綠竹筍,null,60,210
Fri Apr 22 2005 00:00:00 GMT+0800 (CST),台北一,綠竹筍,null,30,62
Sat Apr 23 2005 00:00:00 GMT+0800 (CST),台北一,綠竹筍,null,60,12
Tue Apr 26 2005 00:00:00 GMT+0800 (CST),台北一,綠竹筍,null,60,12
Wed Apr 27 2005 00:00:00 GMT+0800 (CST),台北一,綠竹筍,null,30,75
Thu Apr 28 2005 00:00:00 GMT+0800 (CST),台北一,綠竹筍,null,60,78
Sat Apr 01 2006 00:00:00 GMT+0800 (CST),台北一,綠竹筍,null,50,72
Mon Apr 03 2006 00:00:00 GMT+0800 (CST),台北一,綠竹筍,null,50,36
Tue Apr 11 2006 00:00:00 GMT+0800 (CST),台北一,綠竹筍,null,50,18
Sun Apr 23 2006 00:00:00 GMT+0800 (CST),台北一,綠竹筍,null,50,72
Tue Apr 25 2006 00:00:00 GMT+0800 (CST),台北一,綠竹筍,null,40,90
Tue Apr 25 2006 00:00:00 GMT+0800 (CST),高雄市,綠竹筍,null,50,72
Wed Apr 26 2006 00:00:00 GMT+0800 (CST),台北一,綠竹筍,null,50,18
