date,mktname,sbtype,transformation,middleprice,quantity
Tue Apr 01 1997 00:00:00 GMT+0800 (CST),台北一,麻竹筍,null,20,506
Tue Apr 01 1997 00:00:00 GMT+0800 (CST),高雄市,麻竹筍,null,20,400
Wed Apr 02 1997 00:00:00 GMT+0800 (CST),台北一,麻竹筍,null,20,220
Wed Apr 02 1997 00:00:00 GMT+0800 (CST),高雄市,麻竹筍,null,20,400
Thu Apr 03 1997 00:00:00 GMT+0800 (CST),台北一,麻竹筍,null,20,110
Thu Apr 03 1997 00:00:00 GMT+0800 (CST),高雄市,麻竹筍,null,20,400
Fri Apr 04 1997 00:00:00 GMT+0800 (CST),台北一,麻竹筍,null,20,20
Fri Apr 04 1997 00:00:00 GMT+0800 (CST),高雄市,麻竹筍,null,20,400
Mon Apr 07 1997 00:00:00 GMT+0800 (CST),台北一,麻竹筍,null,20,275
Tue Apr 08 1997 00:00:00 GMT+0800 (CST),台北一,麻竹筍,null,20,44
Tue Apr 08 1997 00:00:00 GMT+0800 (CST),高雄市,麻竹筍,null,20,400
Wed Apr 09 1997 00:00:00 GMT+0800 (CST),台北一,麻竹筍,null,20,219
Wed Apr 09 1997 00:00:00 GMT+0800 (CST),高雄市,麻竹筍,null,20,400
Thu Apr 10 1997 00:00:00 GMT+0800 (CST),台北一,麻竹筍,null,20,50
Thu Apr 10 1997 00:00:00 GMT+0800 (CST),高雄市,麻竹筍,null,20,400
Fri Apr 11 1997 00:00:00 GMT+0800 (CST),台北一,麻竹筍,null,20,990
Fri Apr 11 1997 00:00:00 GMT+0800 (CST),高雄市,麻竹筍,null,20,400
Sat Apr 12 1997 00:00:00 GMT+0800 (CST),台北一,麻竹筍,null,20,100
Sat Apr 12 1997 00:00:00 GMT+0800 (CST),高雄市,麻竹筍,null,20,400
Sun Apr 13 1997 00:00:00 GMT+0800 (CST),台北一,麻竹筍,null,20,1485
Sun Apr 13 1997 00:00:00 GMT+0800 (CST),高雄市,麻竹筍,null,20,400
Mon Apr 14 1997 00:00:00 GMT+0800 (CST),台北一,麻竹筍,null,21.2,128
Mon Apr 14 1997 00:00:00 GMT+0800 (CST),高雄市,麻竹筍,null,20,400
Tue Apr 15 1997 00:00:00 GMT+0800 (CST),台北一,麻竹筍,null,20,3494
Tue Apr 15 1997 00:00:00 GMT+0800 (CST),高雄市,麻竹筍,null,20,400
Wed Apr 16 1997 00:00:00 GMT+0800 (CST),高雄市,麻竹筍,null,20,400
Thu Apr 17 1997 00:00:00 GMT+0800 (CST),台北一,麻竹筍,null,20,178
Thu Apr 17 1997 00:00:00 GMT+0800 (CST),高雄市,麻竹筍,null,20,400
Fri Apr 18 1997 00:00:00 GMT+0800 (CST),台北一,麻竹筍,null,20,170
Fri Apr 18 1997 00:00:00 GMT+0800 (CST),高雄市,麻竹筍,null,20,400
Sat Apr 19 1997 00:00:00 GMT+0800 (CST),台北一,麻竹筍,null,20,400
Sat Apr 19 1997 00:00:00 GMT+0800 (CST),高雄市,麻竹筍,null,20,400
Sun Apr 20 1997 00:00:00 GMT+0800 (CST),台北一,麻竹筍,null,20,317
Sun Apr 20 1997 00:00:00 GMT+0800 (CST),高雄市,麻竹筍,null,20,460
Mon Apr 21 1997 00:00:00 GMT+0800 (CST),台北一,麻竹筍,null,20,363
Mon Apr 21 1997 00:00:00 GMT+0800 (CST),高雄市,麻竹筍,null,22.2,634
Tue Apr 22 1997 00:00:00 GMT+0800 (CST),台北一,麻竹筍,null,20,341
Tue Apr 22 1997 00:00:00 GMT+0800 (CST),高雄市,麻竹筍,null,20,460
Thu Apr 24 1997 00:00:00 GMT+0800 (CST),台北一,麻竹筍,null,20,319
Thu Apr 24 1997 00:00:00 GMT+0800 (CST),高雄市,麻竹筍,null,33.3,7600
Fri Apr 25 1997 00:00:00 GMT+0800 (CST),高雄市,麻竹筍,null,33.3,13650
Sat Apr 26 1997 00:00:00 GMT+0800 (CST),高雄市,麻竹筍,null,20,400
Sun Apr 27 1997 00:00:00 GMT+0800 (CST),台北一,麻竹筍,null,20,352
Sun Apr 27 1997 00:00:00 GMT+0800 (CST),高雄市,麻竹筍,null,20,400
Mon Apr 28 1997 00:00:00 GMT+0800 (CST),台北一,麻竹筍,null,20,120
Mon Apr 28 1997 00:00:00 GMT+0800 (CST),高雄市,麻竹筍,null,20,400
Tue Apr 29 1997 00:00:00 GMT+0800 (CST),高雄市,麻竹筍,null,20,400
Wed Apr 30 1997 00:00:00 GMT+0800 (CST),高雄市,麻竹筍,null,20,400
Wed Apr 01 1998 00:00:00 GMT+0800 (CST),台北一,麻竹筍,null,20,1008
Wed Apr 01 1998 00:00:00 GMT+0800 (CST),高雄市,麻竹筍,null,32.6,1202
Thu Apr 02 1998 00:00:00 GMT+0800 (CST),台北一,麻竹筍,null,20,326
Thu Apr 02 1998 00:00:00 GMT+0800 (CST),高雄市,麻竹筍,null,33.1,958
Fri Apr 03 1998 00:00:00 GMT+0800 (CST),台北一,麻竹筍,null,20,240
Fri Apr 03 1998 00:00:00 GMT+0800 (CST),高雄市,麻竹筍,null,32.4,1256
Sat Apr 04 1998 00:00:00 GMT+0800 (CST),台北一,麻竹筍,null,20,715
Sat Apr 04 1998 00:00:00 GMT+0800 (CST),高雄市,麻竹筍,null,31.5,1291
Sun Apr 05 1998 00:00:00 GMT+0800 (CST),高雄市,麻竹筍,null,33,892
Tue Apr 07 1998 00:00:00 GMT+0800 (CST),台北一,麻竹筍,null,20,238
Wed Apr 08 1998 00:00:00 GMT+0800 (CST),高雄市,麻竹筍,null,32.4,1030
Thu Apr 09 1998 00:00:00 GMT+0800 (CST),高雄市,麻竹筍,null,32.9,920
Fri Apr 10 1998 00:00:00 GMT+0800 (CST),台北一,麻竹筍,null,20,77
Fri Apr 10 1998 00:00:00 GMT+0800 (CST),高雄市,麻竹筍,null,33.1,860
Sat Apr 11 1998 00:00:00 GMT+0800 (CST),高雄市,麻竹筍,null,33.1,860
Sun Apr 12 1998 00:00:00 GMT+0800 (CST),台北一,麻竹筍,null,20,110
Sun Apr 12 1998 00:00:00 GMT+0800 (CST),高雄市,麻竹筍,null,33.3,9260
Tue Apr 14 1998 00:00:00 GMT+0800 (CST),台北一,麻竹筍,null,20,758
Tue Apr 14 1998 00:00:00 GMT+0800 (CST),高雄市,麻竹筍,null,32.5,1028
Wed Apr 15 1998 00:00:00 GMT+0800 (CST),台北一,麻竹筍,null,20,110
Wed Apr 15 1998 00:00:00 GMT+0800 (CST),高雄市,麻竹筍,null,32.9,914
Thu Apr 16 1998 00:00:00 GMT+0800 (CST),高雄市,麻竹筍,null,32.5,1046
Fri Apr 17 1998 00:00:00 GMT+0800 (CST),台北一,麻竹筍,null,20,55
Fri Apr 17 1998 00:00:00 GMT+0800 (CST),高雄市,麻竹筍,null,33.3,9960
Sat Apr 18 1998 00:00:00 GMT+0800 (CST),台北一,麻竹筍,null,20,1595
Sat Apr 18 1998 00:00:00 GMT+0800 (CST),高雄市,麻竹筍,null,31.5,1222
Sun Apr 19 1998 00:00:00 GMT+0800 (CST),台北一,麻竹筍,null,20,996
Sun Apr 19 1998 00:00:00 GMT+0800 (CST),高雄市,麻竹筍,null,32.1,1148
Mon Apr 20 1998 00:00:00 GMT+0800 (CST),台北一,麻竹筍,null,20,219
Mon Apr 20 1998 00:00:00 GMT+0800 (CST),高雄市,麻竹筍,null,32.4,1034
Tue Apr 21 1998 00:00:00 GMT+0800 (CST),高雄市,麻竹筍,null,33.2,860
Wed Apr 22 1998 00:00:00 GMT+0800 (CST),台北一,麻竹筍,null,20,128
Wed Apr 22 1998 00:00:00 GMT+0800 (CST),高雄市,麻竹筍,null,33.1,860
Thu Apr 23 1998 00:00:00 GMT+0800 (CST),台北一,麻竹筍,null,20,495
Thu Apr 23 1998 00:00:00 GMT+0800 (CST),高雄市,麻竹筍,null,33.1,860
Fri Apr 24 1998 00:00:00 GMT+0800 (CST),高雄市,麻竹筍,null,33.2,860
Sat Apr 25 1998 00:00:00 GMT+0800 (CST),高雄市,麻竹筍,null,33.1,860
Sun Apr 26 1998 00:00:00 GMT+0800 (CST),台北一,麻竹筍,null,20,770
Sun Apr 26 1998 00:00:00 GMT+0800 (CST),高雄市,麻竹筍,null,33.2,860
Mon Apr 27 1998 00:00:00 GMT+0800 (CST),高雄市,麻竹筍,null,33.1,860
Wed Apr 29 1998 00:00:00 GMT+0800 (CST),台北一,麻竹筍,null,20,990
Wed Apr 29 1998 00:00:00 GMT+0800 (CST),高雄市,麻竹筍,null,31.8,1174
Thu Apr 30 1998 00:00:00 GMT+0800 (CST),高雄市,麻竹筍,null,33.1,860
Thu Apr 01 1999 00:00:00 GMT+0800 (CST),台北二,麻竹筍,null,30,72
Thu Apr 01 1999 00:00:00 GMT+0800 (CST),台北一,麻竹筍,null,20,470
Thu Apr 01 1999 00:00:00 GMT+0800 (CST),高雄市,麻竹筍,null,33.3,696
Fri Apr 02 1999 00:00:00 GMT+0800 (CST),台北二,麻竹筍,null,30,132
Fri Apr 02 1999 00:00:00 GMT+0800 (CST),台北一,麻竹筍,null,20,1460
Fri Apr 02 1999 00:00:00 GMT+0800 (CST),高雄市,麻竹筍,null,33.3,2484
Sat Apr 03 1999 00:00:00 GMT+0800 (CST),台北二,麻竹筍,null,30,60
Sat Apr 03 1999 00:00:00 GMT+0800 (CST),台北一,麻竹筍,null,20,300
Sat Apr 03 1999 00:00:00 GMT+0800 (CST),高雄市,麻竹筍,null,31.5,720
Sun Apr 04 1999 00:00:00 GMT+0800 (CST),台北二,麻竹筍,null,30,60
Sun Apr 04 1999 00:00:00 GMT+0800 (CST),台北一,麻竹筍,null,20,160
Sun Apr 04 1999 00:00:00 GMT+0800 (CST),高雄市,麻竹筍,null,33.3,660
