date,mktname,sbtype,transformation,middleprice,quantity
Fri Apr 18 1997 00:00:00 GMT+0800 (CST),台北一,null,null,18,120
Mon Apr 28 1997 00:00:00 GMT+0800 (CST),台北一,null,null,18,60
Sat Apr 04 1998 00:00:00 GMT+0800 (CST),台北一,null,null,18,77
Thu Apr 09 1998 00:00:00 GMT+0800 (CST),台北一,null,null,18,120
Tue Apr 14 1998 00:00:00 GMT+0800 (CST),台北一,null,null,18,228
Wed Apr 22 1998 00:00:00 GMT+0800 (CST),台北一,null,null,13,240
Fri Apr 24 1998 00:00:00 GMT+0800 (CST),台北一,null,null,18,132
Mon Apr 27 1998 00:00:00 GMT+0800 (CST),台北一,null,null,10,336
Thu Apr 01 1999 00:00:00 GMT+0800 (CST),台北二,null,null,25,24
Fri Apr 02 1999 00:00:00 GMT+0800 (CST),台北二,null,null,25,48
Sun Apr 04 1999 00:00:00 GMT+0800 (CST),台北二,null,null,25,24
Wed Apr 07 1999 00:00:00 GMT+0800 (CST),台北二,null,null,25,72
Thu Apr 08 1999 00:00:00 GMT+0800 (CST),台北二,null,null,25,48
Fri Apr 09 1999 00:00:00 GMT+0800 (CST),台北二,null,null,25,24
Sat Apr 10 1999 00:00:00 GMT+0800 (CST),台北二,null,null,25,24
Mon Apr 12 1999 00:00:00 GMT+0800 (CST),台北二,null,null,25,72
Wed Apr 14 1999 00:00:00 GMT+0800 (CST),台北二,null,null,25,36
Thu Apr 15 1999 00:00:00 GMT+0800 (CST),台北二,null,null,25,384
Fri Apr 16 1999 00:00:00 GMT+0800 (CST),台北二,null,null,25,60
Sat Apr 17 1999 00:00:00 GMT+0800 (CST),台北二,null,null,25,36
Tue Apr 20 1999 00:00:00 GMT+0800 (CST),台北二,null,null,25,72
Wed Apr 21 1999 00:00:00 GMT+0800 (CST),台北二,null,null,25,60
Thu Apr 22 1999 00:00:00 GMT+0800 (CST),台北二,null,null,25,24
Fri Apr 23 1999 00:00:00 GMT+0800 (CST),台北二,null,null,25,120
Sat Apr 24 1999 00:00:00 GMT+0800 (CST),台北二,null,null,25,24
Mon Apr 26 1999 00:00:00 GMT+0800 (CST),台北二,null,null,25,48
Wed Apr 28 1999 00:00:00 GMT+0800 (CST),台北二,null,null,25,24
Wed Apr 28 1999 00:00:00 GMT+0800 (CST),台北一,null,null,18,120
Thu Apr 29 1999 00:00:00 GMT+0800 (CST),台北二,null,null,25,48
Fri Apr 30 1999 00:00:00 GMT+0800 (CST),台北二,null,null,25,72
Sat Apr 01 2000 00:00:00 GMT+0800 (CST),台北二,null,null,20,36
Sat Apr 01 2000 00:00:00 GMT+0800 (CST),台北一,null,null,17.3,144
Mon Apr 03 2000 00:00:00 GMT+0800 (CST),台北二,null,null,20,48
Thu Apr 06 2000 00:00:00 GMT+0800 (CST),台北二,null,null,20,108
Fri Apr 07 2000 00:00:00 GMT+0800 (CST),台北二,null,null,20,84
Sat Apr 08 2000 00:00:00 GMT+0800 (CST),台北二,null,null,20,48
Sat Apr 08 2000 00:00:00 GMT+0800 (CST),台北一,null,null,15,60
Sun Apr 09 2000 00:00:00 GMT+0800 (CST),台北二,null,null,20,60
Mon Apr 10 2000 00:00:00 GMT+0800 (CST),台北二,null,null,22,108
Tue Apr 11 2000 00:00:00 GMT+0800 (CST),台北二,null,null,20,60
Wed Apr 12 2000 00:00:00 GMT+0800 (CST),台北二,null,null,20,84
Wed Apr 12 2000 00:00:00 GMT+0800 (CST),台北一,null,null,10,36
Thu Apr 13 2000 00:00:00 GMT+0800 (CST),台北二,null,null,20,72
Sat Apr 15 2000 00:00:00 GMT+0800 (CST),台北二,null,null,20,36
Sat Apr 15 2000 00:00:00 GMT+0800 (CST),台北一,null,null,15,120
Sun Apr 16 2000 00:00:00 GMT+0800 (CST),台北二,null,null,20,60
Mon Apr 17 2000 00:00:00 GMT+0800 (CST),台北二,null,null,20,114
Tue Apr 18 2000 00:00:00 GMT+0800 (CST),台北二,null,null,20,72
Wed Apr 19 2000 00:00:00 GMT+0800 (CST),台北二,null,null,20,36
Thu Apr 20 2000 00:00:00 GMT+0800 (CST),台北二,null,null,20,60
Sat Apr 22 2000 00:00:00 GMT+0800 (CST),台北二,null,null,21.7,120
Sun Apr 23 2000 00:00:00 GMT+0800 (CST),台北二,null,null,20,96
Mon Apr 24 2000 00:00:00 GMT+0800 (CST),台北二,null,null,20,48
Tue Apr 25 2000 00:00:00 GMT+0800 (CST),台北二,null,null,20,48
Tue Apr 25 2000 00:00:00 GMT+0800 (CST),台北一,null,null,15,120
Wed Apr 26 2000 00:00:00 GMT+0800 (CST),台北二,null,null,20,120
Wed Apr 26 2000 00:00:00 GMT+0800 (CST),台北一,null,null,10,36
Thu Apr 27 2000 00:00:00 GMT+0800 (CST),台北二,null,null,20,72
Fri Apr 28 2000 00:00:00 GMT+0800 (CST),台北二,null,null,20,72
Fri Apr 28 2000 00:00:00 GMT+0800 (CST),台北一,null,null,10,36
Sun Apr 30 2000 00:00:00 GMT+0800 (CST),台北二,null,null,20,108
Sun Apr 30 2000 00:00:00 GMT+0800 (CST),台北一,null,null,15,120
Sun Apr 01 2001 00:00:00 GMT+0800 (CST),台北二,null,null,20,24
Sun Apr 01 2001 00:00:00 GMT+0800 (CST),台北一,null,null,15,120
Mon Apr 02 2001 00:00:00 GMT+0800 (CST),台北二,null,null,20,72
Tue Apr 03 2001 00:00:00 GMT+0800 (CST),台北二,null,null,20,36
Wed Apr 04 2001 00:00:00 GMT+0800 (CST),台北二,null,null,20,108
Sat Apr 07 2001 00:00:00 GMT+0800 (CST),台北二,null,null,20,36
Sat Apr 07 2001 00:00:00 GMT+0800 (CST),台北一,null,null,15,180
Sun Apr 08 2001 00:00:00 GMT+0800 (CST),台北二,null,null,20,72
Mon Apr 09 2001 00:00:00 GMT+0800 (CST),台北二,null,null,20,60
Wed Apr 11 2001 00:00:00 GMT+0800 (CST),台北二,null,null,20,96
Wed Apr 11 2001 00:00:00 GMT+0800 (CST),台北一,null,null,15,180
Thu Apr 12 2001 00:00:00 GMT+0800 (CST),台北二,null,null,20,60
Fri Apr 13 2001 00:00:00 GMT+0800 (CST),台北二,null,null,20,84
Sat Apr 14 2001 00:00:00 GMT+0800 (CST),台北二,null,null,20,36
Sat Apr 14 2001 00:00:00 GMT+0800 (CST),台北一,null,null,15,120
Sun Apr 15 2001 00:00:00 GMT+0800 (CST),台北二,null,null,20,108
Mon Apr 16 2001 00:00:00 GMT+0800 (CST),台北二,null,null,20,60
Tue Apr 17 2001 00:00:00 GMT+0800 (CST),台北二,null,null,20,48
Tue Apr 17 2001 00:00:00 GMT+0800 (CST),台北一,null,null,15,180
Thu Apr 19 2001 00:00:00 GMT+0800 (CST),台北二,null,null,20,36
Fri Apr 20 2001 00:00:00 GMT+0800 (CST),台北二,null,null,20,84
Sat Apr 21 2001 00:00:00 GMT+0800 (CST),台北二,null,null,20,36
Sat Apr 21 2001 00:00:00 GMT+0800 (CST),台北一,null,null,15,120
Sun Apr 22 2001 00:00:00 GMT+0800 (CST),台北二,null,null,20,96
Mon Apr 23 2001 00:00:00 GMT+0800 (CST),台北二,null,null,20,48
Tue Apr 24 2001 00:00:00 GMT+0800 (CST),台北二,null,null,20,72
Tue Apr 24 2001 00:00:00 GMT+0800 (CST),台北一,null,null,15,120
Thu Apr 26 2001 00:00:00 GMT+0800 (CST),台北二,null,null,20,36
Fri Apr 27 2001 00:00:00 GMT+0800 (CST),台北二,null,null,20,72
Sat Apr 28 2001 00:00:00 GMT+0800 (CST),台北二,null,null,20,36
Sat Apr 28 2001 00:00:00 GMT+0800 (CST),台北一,null,null,15,240
Sun Apr 29 2001 00:00:00 GMT+0800 (CST),台北二,null,null,20,84
Mon Apr 30 2001 00:00:00 GMT+0800 (CST),台北二,null,null,20,48
Mon Apr 01 2002 00:00:00 GMT+0800 (CST),台北二,null,null,20,48
Mon Apr 01 2002 00:00:00 GMT+0800 (CST),台北一,null,null,40,48
Tue Apr 02 2002 00:00:00 GMT+0800 (CST),台北二,null,null,20,96
Tue Apr 02 2002 00:00:00 GMT+0800 (CST),台北一,null,null,18.6,168
Wed Apr 03 2002 00:00:00 GMT+0800 (CST),台北二,null,null,20,24
Wed Apr 03 2002 00:00:00 GMT+0800 (CST),台北一,null,null,40,48
Thu Apr 04 2002 00:00:00 GMT+0800 (CST),台北二,null,null,20,72
Thu Apr 04 2002 00:00:00 GMT+0800 (CST),台北一,null,null,18.6,168
Sun Apr 07 2002 00:00:00 GMT+0800 (CST),台北二,null,null,20,24
Sun Apr 07 2002 00:00:00 GMT+0800 (CST),台北一,null,null,35,48
Mon Apr 08 2002 00:00:00 GMT+0800 (CST),台北二,null,null,20,108
Mon Apr 08 2002 00:00:00 GMT+0800 (CST),台北一,null,null,15.4,228
Tue Apr 09 2002 00:00:00 GMT+0800 (CST),台北二,null,null,20,24
Tue Apr 09 2002 00:00:00 GMT+0800 (CST),台北一,null,null,40,48
Wed Apr 10 2002 00:00:00 GMT+0800 (CST),台北二,null,null,20,72
Wed Apr 10 2002 00:00:00 GMT+0800 (CST),台北一,null,null,15,120
Thu Apr 11 2002 00:00:00 GMT+0800 (CST),台北二,null,null,20,24
Thu Apr 11 2002 00:00:00 GMT+0800 (CST),台北一,null,null,40,48
Fri Apr 12 2002 00:00:00 GMT+0800 (CST),台北二,null,null,20,92
Fri Apr 12 2002 00:00:00 GMT+0800 (CST),台北一,null,null,18.6,168
Fri Apr 12 2002 00:00:00 GMT+0800 (CST),三重市,null,null,22,54
Sat Apr 13 2002 00:00:00 GMT+0800 (CST),台北二,null,null,20,24
Sat Apr 13 2002 00:00:00 GMT+0800 (CST),台北一,null,null,40,48
Sun Apr 14 2002 00:00:00 GMT+0800 (CST),台北二,null,null,20,72
Sun Apr 14 2002 00:00:00 GMT+0800 (CST),台北一,null,null,15.4,228
Tue Apr 16 2002 00:00:00 GMT+0800 (CST),台北二,null,null,20,24
Tue Apr 16 2002 00:00:00 GMT+0800 (CST),台北一,null,null,40,48
Wed Apr 17 2002 00:00:00 GMT+0800 (CST),台北二,null,null,20,72
Wed Apr 17 2002 00:00:00 GMT+0800 (CST),台北一,null,null,15,180
Thu Apr 18 2002 00:00:00 GMT+0800 (CST),台北二,null,null,20,24
Thu Apr 18 2002 00:00:00 GMT+0800 (CST),台北一,null,null,40,48
Fri Apr 19 2002 00:00:00 GMT+0800 (CST),台北二,null,null,20,96
Fri Apr 19 2002 00:00:00 GMT+0800 (CST),台北一,null,null,18.6,168
Sat Apr 20 2002 00:00:00 GMT+0800 (CST),台北二,null,null,20,24
Sat Apr 20 2002 00:00:00 GMT+0800 (CST),台北一,null,null,35,48
Sun Apr 21 2002 00:00:00 GMT+0800 (CST),台北二,null,null,20,96
Sun Apr 21 2002 00:00:00 GMT+0800 (CST),台北一,null,null,15,120
Tue Apr 23 2002 00:00:00 GMT+0800 (CST),台北二,null,null,20,24
Wed Apr 24 2002 00:00:00 GMT+0800 (CST),台北二,null,null,20,72
Wed Apr 24 2002 00:00:00 GMT+0800 (CST),台北一,null,null,15,180
Thu Apr 25 2002 00:00:00 GMT+0800 (CST),台北二,null,null,20,24
Fri Apr 26 2002 00:00:00 GMT+0800 (CST),台北二,null,null,20,72
Fri Apr 26 2002 00:00:00 GMT+0800 (CST),台北一,null,null,15,120
Fri Apr 26 2002 00:00:00 GMT+0800 (CST),三重市,null,null,25,36
Sat Apr 27 2002 00:00:00 GMT+0800 (CST),台北二,null,null,20,24
Sun Apr 28 2002 00:00:00 GMT+0800 (CST),台北二,null,null,20,72
Sun Apr 28 2002 00:00:00 GMT+0800 (CST),台北一,null,null,15,120
Tue Apr 30 2002 00:00:00 GMT+0800 (CST),台北二,null,null,20,48
Tue Apr 01 2003 00:00:00 GMT+0800 (CST),台北二,null,null,20,84
Tue Apr 01 2003 00:00:00 GMT+0800 (CST),台北一,null,null,15,180
Tue Apr 01 2003 00:00:00 GMT+0800 (CST),高雄市,null,null,13.3,24
Tue Apr 01 2003 00:00:00 GMT+0800 (CST),屏東市,null,null,5,60
Wed Apr 02 2003 00:00:00 GMT+0800 (CST),台北二,null,null,20,36
Wed Apr 02 2003 00:00:00 GMT+0800 (CST),屏東市,null,null,5,60
Thu Apr 03 2003 00:00:00 GMT+0800 (CST),台北二,null,null,20,48
Thu Apr 03 2003 00:00:00 GMT+0800 (CST),台北一,null,null,15,120
Thu Apr 03 2003 00:00:00 GMT+0800 (CST),高雄市,null,null,9.8,84
Thu Apr 03 2003 00:00:00 GMT+0800 (CST),屏東市,null,null,8,60
