date,mktname,sbtype,transformation,middleprice,quantity
Tue Apr 01 1997 00:00:00 GMT+0800 (CST),台北一,null,null,14,531
Tue Apr 01 1997 00:00:00 GMT+0800 (CST),高雄市,null,null,16.7,36
Wed Apr 02 1997 00:00:00 GMT+0800 (CST),台北一,null,null,14,1396
Wed Apr 02 1997 00:00:00 GMT+0800 (CST),高雄市,null,null,18.8,24
Thu Apr 03 1997 00:00:00 GMT+0800 (CST),台北一,null,null,14,1524
Thu Apr 03 1997 00:00:00 GMT+0800 (CST),高雄市,null,null,16.2,96
Fri Apr 04 1997 00:00:00 GMT+0800 (CST),台北一,null,null,14,824
Mon Apr 07 1997 00:00:00 GMT+0800 (CST),台北一,null,null,14,1166
Tue Apr 08 1997 00:00:00 GMT+0800 (CST),台北一,null,null,14,1497
Tue Apr 08 1997 00:00:00 GMT+0800 (CST),高雄市,null,null,15,20
Wed Apr 09 1997 00:00:00 GMT+0800 (CST),台北一,null,null,14,948
Wed Apr 09 1997 00:00:00 GMT+0800 (CST),高雄市,null,null,18.3,48
Thu Apr 10 1997 00:00:00 GMT+0800 (CST),台北一,null,null,14,1744
Thu Apr 10 1997 00:00:00 GMT+0800 (CST),高雄市,null,null,20.8,12
Fri Apr 11 1997 00:00:00 GMT+0800 (CST),台北一,null,null,14,1268
Sat Apr 12 1997 00:00:00 GMT+0800 (CST),台北一,null,null,14,1339
Sat Apr 12 1997 00:00:00 GMT+0800 (CST),高雄市,null,null,17,84
Sun Apr 13 1997 00:00:00 GMT+0800 (CST),台北一,null,null,14,1979
Sun Apr 13 1997 00:00:00 GMT+0800 (CST),高雄市,null,null,19.2,12
Mon Apr 14 1997 00:00:00 GMT+0800 (CST),台北一,null,null,14,839
Mon Apr 14 1997 00:00:00 GMT+0800 (CST),高雄市,null,null,16.7,48
Tue Apr 15 1997 00:00:00 GMT+0800 (CST),台北一,null,null,14,1579
Tue Apr 15 1997 00:00:00 GMT+0800 (CST),高雄市,null,null,16.7,60
Thu Apr 17 1997 00:00:00 GMT+0800 (CST),台北一,null,null,14,1101
Thu Apr 17 1997 00:00:00 GMT+0800 (CST),高雄市,null,null,15,24
Fri Apr 18 1997 00:00:00 GMT+0800 (CST),台北一,null,null,14,1899
Sat Apr 19 1997 00:00:00 GMT+0800 (CST),台北一,null,null,14,1524
Sun Apr 20 1997 00:00:00 GMT+0800 (CST),台北一,null,null,14,934
Sun Apr 20 1997 00:00:00 GMT+0800 (CST),高雄市,null,null,12.2,18
Mon Apr 21 1997 00:00:00 GMT+0800 (CST),台北一,null,null,14,1396
Tue Apr 22 1997 00:00:00 GMT+0800 (CST),台北一,null,null,14,861
Thu Apr 24 1997 00:00:00 GMT+0800 (CST),台北一,null,null,14,476
Fri Apr 25 1997 00:00:00 GMT+0800 (CST),台北一,null,null,14,1854
Sat Apr 26 1997 00:00:00 GMT+0800 (CST),台北一,null,null,14,1744
Sun Apr 27 1997 00:00:00 GMT+0800 (CST),台北一,null,null,14,806
Mon Apr 28 1997 00:00:00 GMT+0800 (CST),台北一,null,null,14,1461
Tue Apr 29 1997 00:00:00 GMT+0800 (CST),台北一,null,null,14,980
Wed Apr 30 1997 00:00:00 GMT+0800 (CST),台北一,null,null,14,1357
Wed Apr 01 1998 00:00:00 GMT+0800 (CST),台北一,null,null,14,546
Thu Apr 02 1998 00:00:00 GMT+0800 (CST),台北一,null,null,14,220
Fri Apr 03 1998 00:00:00 GMT+0800 (CST),台北一,null,null,14,275
Sat Apr 04 1998 00:00:00 GMT+0800 (CST),台北一,null,null,14,110
Tue Apr 07 1998 00:00:00 GMT+0800 (CST),台北一,null,null,14,165
Wed Apr 08 1998 00:00:00 GMT+0800 (CST),台北一,null,null,14,275
Thu Apr 09 1998 00:00:00 GMT+0800 (CST),台北一,null,null,14,110
Sat Apr 11 1998 00:00:00 GMT+0800 (CST),台北一,null,null,14,385
Sun Apr 12 1998 00:00:00 GMT+0800 (CST),台北一,null,null,14,275
Wed Apr 15 1998 00:00:00 GMT+0800 (CST),台北一,null,null,14,220
Thu Apr 16 1998 00:00:00 GMT+0800 (CST),台北一,null,null,14,910
Sat Apr 18 1998 00:00:00 GMT+0800 (CST),台北一,null,null,14,60
