date,mktname,sbtype,transformation,middleprice,quantity
Wed Apr 02 1997 00:00:00 GMT+0800 (CST),台北一,null,null,30,420
Fri Apr 11 1997 00:00:00 GMT+0800 (CST),台北一,null,null,30,360
Sun Apr 20 1997 00:00:00 GMT+0800 (CST),台北一,null,null,30,320
Sun Apr 27 1997 00:00:00 GMT+0800 (CST),台北一,null,null,9,330
Wed Apr 30 1997 00:00:00 GMT+0800 (CST),台北一,null,null,30,240
Sat Apr 04 1998 00:00:00 GMT+0800 (CST),台北一,null,null,30,360
Wed Apr 15 1998 00:00:00 GMT+0800 (CST),台中市,null,null,25,180
Thu Apr 16 1998 00:00:00 GMT+0800 (CST),台北一,null,null,30,72
Thu Apr 23 1998 00:00:00 GMT+0800 (CST),台北一,null,null,30,420
Sat Apr 25 1998 00:00:00 GMT+0800 (CST),台北一,null,null,30,240
Thu Apr 01 1999 00:00:00 GMT+0800 (CST),台北二,null,null,30,27
Fri Apr 02 1999 00:00:00 GMT+0800 (CST),台北二,null,null,30,407
Fri Apr 02 1999 00:00:00 GMT+0800 (CST),台北一,null,null,20,200
Sat Apr 03 1999 00:00:00 GMT+0800 (CST),台北二,null,null,30,27
Sun Apr 04 1999 00:00:00 GMT+0800 (CST),台北二,null,null,30,27
Sun Apr 04 1999 00:00:00 GMT+0800 (CST),台北一,null,null,20,100
Wed Apr 07 1999 00:00:00 GMT+0800 (CST),台北二,null,null,30,63
Thu Apr 08 1999 00:00:00 GMT+0800 (CST),台北二,null,null,30,78
Fri Apr 09 1999 00:00:00 GMT+0800 (CST),台北二,null,null,30,27
Sat Apr 10 1999 00:00:00 GMT+0800 (CST),台北二,null,null,30,27
Mon Apr 12 1999 00:00:00 GMT+0800 (CST),台北二,null,null,30,48
Tue Apr 13 1999 00:00:00 GMT+0800 (CST),台北二,null,null,30,12
Wed Apr 14 1999 00:00:00 GMT+0800 (CST),台北二,null,null,30,60
Thu Apr 15 1999 00:00:00 GMT+0800 (CST),台北二,null,null,30,36
Fri Apr 16 1999 00:00:00 GMT+0800 (CST),台北二,null,null,30,48
Sat Apr 17 1999 00:00:00 GMT+0800 (CST),台北二,null,null,30,60
Sat Apr 17 1999 00:00:00 GMT+0800 (CST),台北一,null,null,20,120
Mon Apr 19 1999 00:00:00 GMT+0800 (CST),台北二,null,null,30,36
Tue Apr 20 1999 00:00:00 GMT+0800 (CST),台北二,null,null,30,72
Wed Apr 21 1999 00:00:00 GMT+0800 (CST),台北二,null,null,30,75
Wed Apr 21 1999 00:00:00 GMT+0800 (CST),台北一,null,null,20,60
Thu Apr 22 1999 00:00:00 GMT+0800 (CST),台北二,null,null,30,27
Thu Apr 22 1999 00:00:00 GMT+0800 (CST),台北一,null,null,20,240
Fri Apr 23 1999 00:00:00 GMT+0800 (CST),台北二,null,null,30,108
Sat Apr 24 1999 00:00:00 GMT+0800 (CST),台北二,null,null,30,36
Mon Apr 26 1999 00:00:00 GMT+0800 (CST),台北二,null,null,30,72
Tue Apr 27 1999 00:00:00 GMT+0800 (CST),台北二,null,null,30,12
Wed Apr 28 1999 00:00:00 GMT+0800 (CST),台北二,null,null,30,36
Thu Apr 29 1999 00:00:00 GMT+0800 (CST),台北二,null,null,30,48
Fri Apr 30 1999 00:00:00 GMT+0800 (CST),台北二,null,null,30,48
Sat Apr 01 2000 00:00:00 GMT+0800 (CST),台北二,null,null,30,12
Mon Apr 03 2000 00:00:00 GMT+0800 (CST),台北二,null,null,30,36
Thu Apr 06 2000 00:00:00 GMT+0800 (CST),台北二,null,null,30,48
Fri Apr 07 2000 00:00:00 GMT+0800 (CST),台北二,null,null,30,72
Fri Apr 07 2000 00:00:00 GMT+0800 (CST),台北一,null,null,20,100
Sat Apr 08 2000 00:00:00 GMT+0800 (CST),台北二,null,null,30,36
Mon Apr 10 2000 00:00:00 GMT+0800 (CST),台北二,null,null,30,48
Tue Apr 11 2000 00:00:00 GMT+0800 (CST),台北二,null,null,30,24
Wed Apr 12 2000 00:00:00 GMT+0800 (CST),台北二,null,null,30,36
Thu Apr 13 2000 00:00:00 GMT+0800 (CST),台北二,null,null,30,48
Sat Apr 15 2000 00:00:00 GMT+0800 (CST),台北二,null,null,30,12
Sat Apr 15 2000 00:00:00 GMT+0800 (CST),台北一,null,null,20,160
Sun Apr 16 2000 00:00:00 GMT+0800 (CST),台北二,null,null,30,12
Mon Apr 17 2000 00:00:00 GMT+0800 (CST),台北二,null,null,30,36
Tue Apr 18 2000 00:00:00 GMT+0800 (CST),台北二,null,null,30,60
Wed Apr 19 2000 00:00:00 GMT+0800 (CST),台北一,null,null,20,120
Sat Apr 22 2000 00:00:00 GMT+0800 (CST),台北二,null,null,30,36
Sun Apr 23 2000 00:00:00 GMT+0800 (CST),台北二,null,null,30,36
Mon Apr 24 2000 00:00:00 GMT+0800 (CST),台北二,null,null,30,12
Tue Apr 25 2000 00:00:00 GMT+0800 (CST),台北一,null,null,20,60
Wed Apr 26 2000 00:00:00 GMT+0800 (CST),台北二,null,null,30,60
Thu Apr 27 2000 00:00:00 GMT+0800 (CST),台北一,null,null,20,100
Sun Apr 30 2000 00:00:00 GMT+0800 (CST),台北二,null,null,30,36
Sun Apr 30 2000 00:00:00 GMT+0800 (CST),台北一,null,null,20,60
Sun Apr 01 2001 00:00:00 GMT+0800 (CST),台北二,null,null,30,24
Mon Apr 02 2001 00:00:00 GMT+0800 (CST),台北二,null,null,30,36
Wed Apr 04 2001 00:00:00 GMT+0800 (CST),台北二,null,null,30,36
Sat Apr 07 2001 00:00:00 GMT+0800 (CST),台北一,null,null,20,180
Sun Apr 08 2001 00:00:00 GMT+0800 (CST),台北二,null,null,30,48
Mon Apr 09 2001 00:00:00 GMT+0800 (CST),台北二,null,null,30,24
Wed Apr 11 2001 00:00:00 GMT+0800 (CST),台北二,null,null,30,51
Wed Apr 11 2001 00:00:00 GMT+0800 (CST),台北一,null,null,20,60
Fri Apr 13 2001 00:00:00 GMT+0800 (CST),台北二,null,null,30,60
Sat Apr 14 2001 00:00:00 GMT+0800 (CST),台北二,null,null,30,15
Sat Apr 14 2001 00:00:00 GMT+0800 (CST),台北一,null,null,20,120
Sun Apr 15 2001 00:00:00 GMT+0800 (CST),台北二,null,null,30,51
Mon Apr 16 2001 00:00:00 GMT+0800 (CST),台北二,null,null,30,15
Tue Apr 17 2001 00:00:00 GMT+0800 (CST),台北二,null,null,30,108
Tue Apr 17 2001 00:00:00 GMT+0800 (CST),台北一,null,null,20,60
Tue Apr 17 2001 00:00:00 GMT+0800 (CST),高雄市,null,null,12.2,162
Thu Apr 19 2001 00:00:00 GMT+0800 (CST),台北二,null,null,30,36
Fri Apr 20 2001 00:00:00 GMT+0800 (CST),台北二,null,null,30,72
Sun Apr 22 2001 00:00:00 GMT+0800 (CST),台北二,null,null,30,60
Mon Apr 23 2001 00:00:00 GMT+0800 (CST),台北二,null,null,30,15
Mon Apr 23 2001 00:00:00 GMT+0800 (CST),高雄市,null,null,10,54
Tue Apr 24 2001 00:00:00 GMT+0800 (CST),台北二,null,null,30,36
Tue Apr 24 2001 00:00:00 GMT+0800 (CST),台北一,null,null,20,120
