date,mktname,sbtype,transformation,middleprice,quantity
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台中市,null,null,5.5,137381
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),鳳山區,null,null,13.3,1500
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),屏東市,null,null,15.2,72111
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),花蓮市,null,null,15,857
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台中市,null,null,5.5,128399
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),永靖鄉,null,null,10.5,6581
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),鳳山區,null,null,6.9,1917
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),屏東市,null,null,15.2,72738
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),花蓮市,null,null,20,593
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台中市,null,null,5.5,124798
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),永靖鄉,null,null,10.5,5151
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),鳳山區,null,null,11.4,3680
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),屏東市,null,null,14.3,71269
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),花蓮市,null,null,40,323
Thu Apr 04 1996 00:00:00 GMT+0800 (CST),台中市,null,null,5.5,130221.5
Thu Apr 04 1996 00:00:00 GMT+0800 (CST),屏東市,null,null,14.4,64844
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台中市,null,null,5.5,171848.5
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),永靖鄉,null,null,11,1603
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),鳳山區,null,null,8.2,1822
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),屏東市,null,null,15.4,74268
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),花蓮市,null,null,10,774
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台中市,null,null,5.5,119981
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),永靖鄉,null,null,12,4775
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),鳳山區,null,null,8.7,1643
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),屏東市,null,null,15.1,73592
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),花蓮市,null,null,10,418
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台中市,null,null,5.5,129794.5
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),永靖鄉,null,null,12,5085
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),鳳山區,null,null,8.5,2295
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),屏東市,null,null,16.4,71001
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),花蓮市,null,null,10,1125
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台中市,null,null,5.5,175821.5
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),永靖鄉,null,null,12,6403
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),鳳山區,null,null,6.9,3779
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),屏東市,null,null,13.7,75270
