date,mktname,sbtype,transformation,middleprice,quantity
Fri Aug 18 2006 00:00:00 GMT+0800 (CST),高雄市,進口,null,6.4,480
Thu Aug 24 2006 00:00:00 GMT+0800 (CST),高雄市,進口,null,13,200
Fri Aug 25 2006 00:00:00 GMT+0800 (CST),高雄市,進口,null,14,480
Sun Aug 27 2006 00:00:00 GMT+0800 (CST),高雄市,進口,null,21.7,275
Wed Aug 30 2006 00:00:00 GMT+0800 (CST),高雄市,進口,null,14.7,720
Thu Aug 31 2006 00:00:00 GMT+0800 (CST),高雄市,進口,null,12.9,999
Thu Aug 14 2008 00:00:00 GMT+0800 (CST),高雄市,進口,null,20,210
Fri Aug 15 2008 00:00:00 GMT+0800 (CST),高雄市,進口,null,21,300
Tue Aug 19 2008 00:00:00 GMT+0800 (CST),高雄市,進口,null,13.1,350
Thu Aug 21 2008 00:00:00 GMT+0800 (CST),高雄市,進口,null,12,320
Sat Aug 23 2008 00:00:00 GMT+0800 (CST),高雄市,進口,null,12,200
Sun Aug 31 2008 00:00:00 GMT+0800 (CST),高雄市,進口,null,15,40
Tue Aug 18 2009 00:00:00 GMT+0800 (CST),高雄市,進口,null,10,7
Fri Dec 29 2006 00:00:00 GMT+0800 (CST),高雄市,進口,null,7,200
Fri Dec 14 2007 00:00:00 GMT+0800 (CST),高雄市,進口,null,15,36
Sat Dec 22 2007 00:00:00 GMT+0800 (CST),高雄市,進口,null,2.8,450
Tue Dec 09 2008 00:00:00 GMT+0800 (CST),高雄市,進口,null,8,120
Thu Dec 25 2008 00:00:00 GMT+0800 (CST),高雄市,進口,null,8,100
Sat Dec 12 2009 00:00:00 GMT+0800 (CST),高雄市,進口,null,0.5,855
Thu Feb 28 2008 00:00:00 GMT+0800 (CST),高雄市,進口,null,20,40
Fri Feb 29 2008 00:00:00 GMT+0800 (CST),高雄市,進口,null,20,84
Thu Feb 05 2009 00:00:00 GMT+0800 (CST),高雄市,進口,null,20,39
Wed Jul 12 2006 00:00:00 GMT+0800 (CST),高雄市,進口,null,20,40
Thu Jul 13 2006 00:00:00 GMT+0800 (CST),高雄市,進口,null,12.8,600
Fri Jul 14 2006 00:00:00 GMT+0800 (CST),高雄市,進口,null,25,60
Sat Jul 15 2006 00:00:00 GMT+0800 (CST),高雄市,進口,null,30.4,130
Sun Jul 16 2006 00:00:00 GMT+0800 (CST),高雄市,進口,null,10.9,260
Fri Jul 10 2009 00:00:00 GMT+0800 (CST),高雄市,進口,null,4,150
Sun Jul 12 2009 00:00:00 GMT+0800 (CST),高雄市,進口,null,1,90
Sun Jul 03 2011 00:00:00 GMT+0800 (CST),高雄市,進口,null,25,288
Thu Jun 11 2009 00:00:00 GMT+0800 (CST),高雄市,進口,null,15,150
Tue Nov 07 2006 00:00:00 GMT+0800 (CST),高雄市,進口,null,10,200
Tue Nov 14 2006 00:00:00 GMT+0800 (CST),高雄市,進口,null,6,200
Wed Nov 15 2006 00:00:00 GMT+0800 (CST),高雄市,進口,null,6,40
Sat Nov 03 2007 00:00:00 GMT+0800 (CST),高雄市,進口,null,21,100
Wed Nov 07 2007 00:00:00 GMT+0800 (CST),高雄市,進口,null,30,300
Fri Nov 09 2007 00:00:00 GMT+0800 (CST),高雄市,進口,null,21.5,515
Sun Nov 18 2007 00:00:00 GMT+0800 (CST),高雄市,進口,null,25,300
Wed Nov 28 2007 00:00:00 GMT+0800 (CST),高雄市,進口,null,20,180
Fri Nov 30 2007 00:00:00 GMT+0800 (CST),高雄市,進口,null,15,105
Sat Nov 01 2008 00:00:00 GMT+0800 (CST),高雄市,進口,null,28,75
Thu Nov 06 2008 00:00:00 GMT+0800 (CST),高雄市,進口,null,22,280
Fri Nov 07 2008 00:00:00 GMT+0800 (CST),高雄市,進口,null,30,45
Sat Nov 08 2008 00:00:00 GMT+0800 (CST),高雄市,進口,null,18,400
Sun Nov 09 2008 00:00:00 GMT+0800 (CST),高雄市,進口,null,16,200
Tue Nov 11 2008 00:00:00 GMT+0800 (CST),高雄市,進口,null,15,60
Fri Nov 21 2008 00:00:00 GMT+0800 (CST),高雄市,進口,null,25.6,95
Sun Nov 23 2008 00:00:00 GMT+0800 (CST),高雄市,進口,null,15,340
Tue Nov 25 2008 00:00:00 GMT+0800 (CST),高雄市,進口,null,12.2,780
Thu Nov 27 2008 00:00:00 GMT+0800 (CST),高雄市,進口,null,14,750
Fri Nov 28 2008 00:00:00 GMT+0800 (CST),高雄市,進口,null,15,190
Sat Nov 29 2008 00:00:00 GMT+0800 (CST),高雄市,進口,null,12,190
Thu Oct 05 2006 00:00:00 GMT+0800 (CST),高雄市,進口,null,10.5,300
Fri Oct 06 2006 00:00:00 GMT+0800 (CST),高雄市,進口,null,9.4,565
Wed Oct 11 2006 00:00:00 GMT+0800 (CST),高雄市,進口,null,7.5,245
Tue Oct 17 2006 00:00:00 GMT+0800 (CST),高雄市,進口,null,11,140
Wed Oct 18 2006 00:00:00 GMT+0800 (CST),高雄市,進口,null,12,200
Fri Oct 20 2006 00:00:00 GMT+0800 (CST),高雄市,進口,null,10.6,265
Sat Oct 21 2006 00:00:00 GMT+0800 (CST),高雄市,進口,null,10,200
Sun Oct 22 2006 00:00:00 GMT+0800 (CST),高雄市,進口,null,8,200
Tue Oct 24 2006 00:00:00 GMT+0800 (CST),高雄市,進口,null,9.7,800
Wed Oct 25 2006 00:00:00 GMT+0800 (CST),高雄市,進口,null,9,240
Thu Oct 26 2006 00:00:00 GMT+0800 (CST),高雄市,進口,null,9,380
Fri Oct 27 2006 00:00:00 GMT+0800 (CST),高雄市,進口,null,9,500
Sat Oct 28 2006 00:00:00 GMT+0800 (CST),高雄市,進口,null,12,300
Sun Oct 29 2006 00:00:00 GMT+0800 (CST),高雄市,進口,null,8,400
Wed Oct 17 2007 00:00:00 GMT+0800 (CST),高雄市,進口,null,40,75
Thu Oct 25 2007 00:00:00 GMT+0800 (CST),高雄市,進口,null,31.8,7800
Thu Oct 30 2008 00:00:00 GMT+0800 (CST),高雄市,進口,null,26,400
Fri Oct 31 2008 00:00:00 GMT+0800 (CST),高雄市,進口,null,26,280
Sat Oct 17 2009 00:00:00 GMT+0800 (CST),高雄市,進口,null,10,390
Sun Oct 18 2009 00:00:00 GMT+0800 (CST),高雄市,進口,null,20,30
Tue Oct 27 2009 00:00:00 GMT+0800 (CST),高雄市,進口,null,15,200
Wed Oct 28 2009 00:00:00 GMT+0800 (CST),高雄市,進口,null,15,400
Fri Oct 30 2009 00:00:00 GMT+0800 (CST),高雄市,進口,null,2,200
Fri Sep 01 2006 00:00:00 GMT+0800 (CST),高雄市,進口,null,13.7,899
Sat Sep 02 2006 00:00:00 GMT+0800 (CST),高雄市,進口,null,10.9,798
Sun Sep 03 2006 00:00:00 GMT+0800 (CST),高雄市,進口,null,14.5,935
Tue Sep 05 2006 00:00:00 GMT+0800 (CST),高雄市,進口,null,20,215
Wed Sep 06 2006 00:00:00 GMT+0800 (CST),高雄市,進口,null,20.6,170
Fri Sep 08 2006 00:00:00 GMT+0800 (CST),高雄市,進口,null,15.5,815
Sat Sep 09 2006 00:00:00 GMT+0800 (CST),高雄市,進口,null,12,50
Tue Sep 12 2006 00:00:00 GMT+0800 (CST),高雄市,進口,null,20,60
Thu Sep 21 2006 00:00:00 GMT+0800 (CST),高雄市,進口,null,12.8,300
Fri Sep 22 2006 00:00:00 GMT+0800 (CST),高雄市,進口,null,21,400
Sat Sep 23 2006 00:00:00 GMT+0800 (CST),高雄市,進口,null,15,200
Tue Sep 26 2006 00:00:00 GMT+0800 (CST),高雄市,進口,null,16.7,1450
Wed Sep 27 2006 00:00:00 GMT+0800 (CST),高雄市,進口,null,15,545
Thu Sep 28 2006 00:00:00 GMT+0800 (CST),高雄市,進口,null,12,350
Fri Sep 29 2006 00:00:00 GMT+0800 (CST),高雄市,進口,null,10.9,640
Sat Sep 30 2006 00:00:00 GMT+0800 (CST),高雄市,進口,null,10,300
Tue Sep 18 2007 00:00:00 GMT+0800 (CST),高雄市,進口,null,17,75
