date,mktname,sbtype,transformation,middleprice,quantity
Thu Apr 03 1997 00:00:00 GMT+0800 (CST),台北一,其他,null,8,18
Fri Apr 04 1997 00:00:00 GMT+0800 (CST),台北一,其他,null,7,40
Mon Apr 07 1997 00:00:00 GMT+0800 (CST),台北一,其他,null,10,45
Tue Apr 08 1997 00:00:00 GMT+0800 (CST),台北一,其他,null,9,54
Wed Apr 09 1997 00:00:00 GMT+0800 (CST),台北一,其他,null,10,60
Thu Apr 10 1997 00:00:00 GMT+0800 (CST),台北一,其他,null,10,90
Sat Apr 12 1997 00:00:00 GMT+0800 (CST),台北一,其他,null,9,100
Sun Apr 20 1997 00:00:00 GMT+0800 (CST),台北一,其他,null,8,18
Mon Apr 21 1997 00:00:00 GMT+0800 (CST),台北一,其他,null,8,36
Tue Apr 22 1997 00:00:00 GMT+0800 (CST),台北一,其他,null,9,36
Thu Apr 24 1997 00:00:00 GMT+0800 (CST),台北一,其他,null,10,45
Fri Apr 25 1997 00:00:00 GMT+0800 (CST),台北一,其他,null,10,36
Sat Apr 26 1997 00:00:00 GMT+0800 (CST),台北一,其他,null,10,36
Sun Apr 27 1997 00:00:00 GMT+0800 (CST),台北一,其他,null,10,36
Tue Apr 29 1997 00:00:00 GMT+0800 (CST),台北一,其他,null,15,27
Mon Apr 01 2002 00:00:00 GMT+0800 (CST),台北一,其他,null,4.8,350
Mon Apr 01 2002 00:00:00 GMT+0800 (CST),三重市,其他,null,7,300
Tue Apr 02 2002 00:00:00 GMT+0800 (CST),台北一,其他,null,4.2,225
Wed Apr 03 2002 00:00:00 GMT+0800 (CST),台北一,其他,null,5,100
Thu Apr 04 2002 00:00:00 GMT+0800 (CST),台北一,其他,null,5,100
Sun Apr 07 2002 00:00:00 GMT+0800 (CST),三重市,其他,null,7.3,125
Mon Apr 08 2002 00:00:00 GMT+0800 (CST),三重市,其他,null,6,400
Tue Apr 09 2002 00:00:00 GMT+0800 (CST),三重市,其他,null,7,240
Wed Apr 10 2002 00:00:00 GMT+0800 (CST),台北一,其他,null,12,450
Wed Apr 10 2002 00:00:00 GMT+0800 (CST),三重市,其他,null,17,80
Thu Apr 11 2002 00:00:00 GMT+0800 (CST),三重市,其他,null,20,120
Fri Apr 12 2002 00:00:00 GMT+0800 (CST),台北一,其他,null,7,60
Sat Apr 13 2002 00:00:00 GMT+0800 (CST),台北一,其他,null,20,60
Sat Apr 13 2002 00:00:00 GMT+0800 (CST),三重市,其他,null,8.4,540
Sun Apr 14 2002 00:00:00 GMT+0800 (CST),台北一,其他,null,7,180
Sun Apr 14 2002 00:00:00 GMT+0800 (CST),三重市,其他,null,9.5,360
Tue Apr 16 2002 00:00:00 GMT+0800 (CST),台北一,其他,null,5.1,160
Tue Apr 16 2002 00:00:00 GMT+0800 (CST),三重市,其他,null,7.1,600
Wed Apr 17 2002 00:00:00 GMT+0800 (CST),台北一,其他,null,5,80
Wed Apr 17 2002 00:00:00 GMT+0800 (CST),三重市,其他,null,5.9,260
Thu Apr 18 2002 00:00:00 GMT+0800 (CST),台北一,其他,null,7,80
Thu Apr 18 2002 00:00:00 GMT+0800 (CST),三重市,其他,null,14,400
Fri Apr 19 2002 00:00:00 GMT+0800 (CST),台北一,其他,null,5.6,220
Fri Apr 19 2002 00:00:00 GMT+0800 (CST),三重市,其他,null,10,500
Sat Apr 20 2002 00:00:00 GMT+0800 (CST),台北一,其他,null,4,100
Sun Apr 21 2002 00:00:00 GMT+0800 (CST),三重市,其他,null,7.9,600
Tue Apr 23 2002 00:00:00 GMT+0800 (CST),三重市,其他,null,8,300
Wed Apr 24 2002 00:00:00 GMT+0800 (CST),三重市,其他,null,6,600
Fri Apr 26 2002 00:00:00 GMT+0800 (CST),三重市,其他,null,5.5,400
Sat Apr 27 2002 00:00:00 GMT+0800 (CST),三重市,其他,null,8,200
Sun Apr 28 2002 00:00:00 GMT+0800 (CST),三重市,其他,null,9,400
Thu Apr 03 2003 00:00:00 GMT+0800 (CST),台北一,其他,null,16.9,28
Fri Apr 04 2003 00:00:00 GMT+0800 (CST),台北一,其他,null,12,224
Sun Apr 13 2003 00:00:00 GMT+0800 (CST),台北一,其他,null,8,185
Tue Apr 15 2003 00:00:00 GMT+0800 (CST),台北一,其他,null,8,231
Wed Apr 16 2003 00:00:00 GMT+0800 (CST),台北一,其他,null,5,210
Tue Apr 22 2003 00:00:00 GMT+0800 (CST),台北一,其他,null,8,150
Wed Apr 23 2003 00:00:00 GMT+0800 (CST),三重市,其他,null,21,60
Sun Apr 27 2003 00:00:00 GMT+0800 (CST),三重市,其他,null,7,100
Tue Apr 29 2003 00:00:00 GMT+0800 (CST),台北一,其他,null,5,150
Wed Apr 30 2003 00:00:00 GMT+0800 (CST),台北一,其他,null,7,60
Wed Apr 30 2003 00:00:00 GMT+0800 (CST),三重市,其他,null,5,140
Thu Apr 14 2005 00:00:00 GMT+0800 (CST),三重市,其他,null,5,100
Wed Apr 12 2006 00:00:00 GMT+0800 (CST),台北一,其他,null,9,400
Tue Apr 01 2008 00:00:00 GMT+0800 (CST),台北一,其他,null,2,180
Sun Apr 06 2008 00:00:00 GMT+0800 (CST),台北一,其他,null,2.6,300
Mon Apr 07 2008 00:00:00 GMT+0800 (CST),台北一,其他,null,3,402
Tue Apr 08 2008 00:00:00 GMT+0800 (CST),台北一,其他,null,2,330
Wed Apr 09 2008 00:00:00 GMT+0800 (CST),台北一,其他,null,1.5,270
Fri Apr 11 2008 00:00:00 GMT+0800 (CST),台北一,其他,null,10,46
Wed Apr 16 2008 00:00:00 GMT+0800 (CST),台北一,其他,null,10,400
Wed Apr 23 2008 00:00:00 GMT+0800 (CST),台北一,其他,null,12.8,124
Thu Apr 24 2008 00:00:00 GMT+0800 (CST),台北一,其他,null,20,44
Sun Apr 27 2008 00:00:00 GMT+0800 (CST),台北一,其他,null,52,20
Tue Apr 29 2008 00:00:00 GMT+0800 (CST),台北一,其他,null,37,119
Sat Apr 09 2011 00:00:00 GMT+0800 (CST),台北一,其他,null,15,20
Wed Apr 20 2011 00:00:00 GMT+0800 (CST),台北一,其他,null,8,40
Fri Apr 13 2012 00:00:00 GMT+0800 (CST),台北一,其他,null,5,20
Sun Apr 29 2012 00:00:00 GMT+0800 (CST),台北二,其他,null,6,90
Sun Apr 29 2012 00:00:00 GMT+0800 (CST),台北一,其他,null,10,90
Sun Apr 29 2012 00:00:00 GMT+0800 (CST),三重市,其他,null,2,90
Thu Aug 20 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,20,600
Sat Aug 22 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,16,525
Sun Aug 23 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,14.4,900
Tue Aug 25 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,16,600
Fri Aug 28 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,14,530
Thu Aug 03 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,25,75
Fri Aug 04 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,30,500
Sat Aug 12 2000 00:00:00 GMT+0800 (CST),高雄市,其他,null,45,260
Sun Aug 13 2000 00:00:00 GMT+0800 (CST),高雄市,其他,null,47,200
Mon Aug 14 2000 00:00:00 GMT+0800 (CST),高雄市,其他,null,41.5,900
Thu Aug 17 2000 00:00:00 GMT+0800 (CST),高雄市,其他,null,47,300
Fri Aug 16 2002 00:00:00 GMT+0800 (CST),三重市,其他,null,5,200
Sun Aug 18 2002 00:00:00 GMT+0800 (CST),台北一,其他,null,2,108
Fri Aug 30 2002 00:00:00 GMT+0800 (CST),台北一,其他,null,2,90
Sun Aug 17 2003 00:00:00 GMT+0800 (CST),台北一,其他,null,2,20
Sun Aug 12 2007 00:00:00 GMT+0800 (CST),南投市,其他,null,21,562
Wed Aug 22 2007 00:00:00 GMT+0800 (CST),南投市,其他,null,19,641
Sat Aug 16 2008 00:00:00 GMT+0800 (CST),台北一,其他,null,40,10
Wed Aug 20 2008 00:00:00 GMT+0800 (CST),南投市,其他,null,13,821
Fri Aug 14 2009 00:00:00 GMT+0800 (CST),屏東市,其他,null,4.2,60
Sat Aug 15 2009 00:00:00 GMT+0800 (CST),屏東市,其他,null,4.2,24
Tue Aug 30 2011 00:00:00 GMT+0800 (CST),鳳山區,其他,null,18,4020
Sun Dec 01 1996 00:00:00 GMT+0800 (CST),台北一,其他,null,20,120
Fri Dec 06 1996 00:00:00 GMT+0800 (CST),台北一,其他,null,20,10
Mon Dec 09 1996 00:00:00 GMT+0800 (CST),台北一,其他,null,40,20
Sat Dec 21 1996 00:00:00 GMT+0800 (CST),台北一,其他,null,35,24
Wed Dec 25 1996 00:00:00 GMT+0800 (CST),台北一,其他,null,42,26
Thu Dec 26 1996 00:00:00 GMT+0800 (CST),台北一,其他,null,41,42
Sun Dec 29 1996 00:00:00 GMT+0800 (CST),台北一,其他,null,35,28
Tue Dec 31 1996 00:00:00 GMT+0800 (CST),台北一,其他,null,30.2,79
Sat Dec 26 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,6,15
Wed Dec 30 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,7,175
Fri Dec 31 1999 00:00:00 GMT+0800 (CST),台北一,其他,null,10,230
Wed Dec 06 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,14,150
Fri Dec 08 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,15,200
Sat Dec 09 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,15,330
Tue Dec 19 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,10,60
Thu Dec 21 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,8,30
Sun Dec 24 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,4,58
Mon Dec 25 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,5,29
Wed Dec 27 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,20,66
Sun Dec 02 2001 00:00:00 GMT+0800 (CST),台北一,其他,null,3,1700
Mon Dec 03 2001 00:00:00 GMT+0800 (CST),台北一,其他,null,2.6,1200
Tue Dec 04 2001 00:00:00 GMT+0800 (CST),台北一,其他,null,4,160
Wed Dec 05 2001 00:00:00 GMT+0800 (CST),台北一,其他,null,4,168
Thu Dec 06 2001 00:00:00 GMT+0800 (CST),台北一,其他,null,4,180
Sun Dec 16 2001 00:00:00 GMT+0800 (CST),台北一,其他,null,6,560
Wed Dec 19 2001 00:00:00 GMT+0800 (CST),台北一,其他,null,3,1140
Fri Dec 21 2001 00:00:00 GMT+0800 (CST),台北一,其他,null,7,90
Sat Dec 22 2001 00:00:00 GMT+0800 (CST),台北一,其他,null,7,90
Sun Dec 23 2001 00:00:00 GMT+0800 (CST),台北一,其他,null,5,460
Sun Dec 23 2001 00:00:00 GMT+0800 (CST),三重市,其他,null,8,200
Tue Dec 25 2001 00:00:00 GMT+0800 (CST),台北一,其他,null,5.1,660
Wed Dec 26 2001 00:00:00 GMT+0800 (CST),台北一,其他,null,7.8,330
Fri Dec 28 2001 00:00:00 GMT+0800 (CST),台北一,其他,null,7.5,200
Fri Dec 28 2001 00:00:00 GMT+0800 (CST),三重市,其他,null,6,27
Sat Dec 29 2001 00:00:00 GMT+0800 (CST),台北一,其他,null,7,190
Sun Dec 30 2001 00:00:00 GMT+0800 (CST),台北一,其他,null,7,300
Tue Dec 03 2002 00:00:00 GMT+0800 (CST),台北一,其他,null,10,318
Tue Dec 03 2002 00:00:00 GMT+0800 (CST),三重市,其他,null,8,280
Wed Dec 04 2002 00:00:00 GMT+0800 (CST),台北一,其他,null,8.1,280
Wed Dec 04 2002 00:00:00 GMT+0800 (CST),三重市,其他,null,5.8,600
Thu Dec 05 2002 00:00:00 GMT+0800 (CST),台北一,其他,null,7,140
Thu Dec 05 2002 00:00:00 GMT+0800 (CST),三重市,其他,null,7.1,370
Fri Dec 06 2002 00:00:00 GMT+0800 (CST),台北一,其他,null,5.2,240
Fri Dec 06 2002 00:00:00 GMT+0800 (CST),三重市,其他,null,5.6,160
Sun Dec 08 2002 00:00:00 GMT+0800 (CST),三重市,其他,null,2.4,220
Tue Dec 10 2002 00:00:00 GMT+0800 (CST),台北二,其他,null,4,140
Tue Dec 10 2002 00:00:00 GMT+0800 (CST),台北一,其他,null,8.8,75
Tue Dec 10 2002 00:00:00 GMT+0800 (CST),三重市,其他,null,6,160
Wed Dec 11 2002 00:00:00 GMT+0800 (CST),台北一,其他,null,8,100
Wed Dec 11 2002 00:00:00 GMT+0800 (CST),三重市,其他,null,5.6,300
Thu Dec 12 2002 00:00:00 GMT+0800 (CST),台北二,其他,null,2,120
Thu Dec 12 2002 00:00:00 GMT+0800 (CST),台北一,其他,null,4,128
Thu Dec 12 2002 00:00:00 GMT+0800 (CST),三重市,其他,null,4,120
Fri Dec 13 2002 00:00:00 GMT+0800 (CST),台北一,其他,null,7.1,210
Fri Dec 13 2002 00:00:00 GMT+0800 (CST),三重市,其他,null,3,40
Sat Dec 14 2002 00:00:00 GMT+0800 (CST),台北一,其他,null,3.3,160
Sat Dec 14 2002 00:00:00 GMT+0800 (CST),三重市,其他,null,4.6,120
Sun Dec 15 2002 00:00:00 GMT+0800 (CST),台北一,其他,null,6.2,775
Sun Dec 15 2002 00:00:00 GMT+0800 (CST),三重市,其他,null,3,60
Tue Dec 17 2002 00:00:00 GMT+0800 (CST),台北一,其他,null,3,40
Tue Dec 17 2002 00:00:00 GMT+0800 (CST),三重市,其他,null,3,100
Wed Dec 18 2002 00:00:00 GMT+0800 (CST),台北一,其他,null,9,415
Wed Dec 18 2002 00:00:00 GMT+0800 (CST),三重市,其他,null,9,310
Thu Dec 19 2002 00:00:00 GMT+0800 (CST),台北一,其他,null,6.2,975
Thu Dec 19 2002 00:00:00 GMT+0800 (CST),三重市,其他,null,12,360
Fri Dec 20 2002 00:00:00 GMT+0800 (CST),台北一,其他,null,8,40
Sun Dec 22 2002 00:00:00 GMT+0800 (CST),台北一,其他,null,8,195
Tue Dec 24 2002 00:00:00 GMT+0800 (CST),台北一,其他,null,5.8,225
Wed Dec 25 2002 00:00:00 GMT+0800 (CST),台北一,其他,null,4.4,700
Wed Dec 25 2002 00:00:00 GMT+0800 (CST),三重市,其他,null,6,1140
Thu Dec 26 2002 00:00:00 GMT+0800 (CST),台北一,其他,null,4.4,2675
Thu Dec 26 2002 00:00:00 GMT+0800 (CST),三重市,其他,null,5.5,600
Fri Dec 27 2002 00:00:00 GMT+0800 (CST),台北一,其他,null,3.8,1200
Fri Dec 27 2002 00:00:00 GMT+0800 (CST),三重市,其他,null,4,1200
Sun Dec 29 2002 00:00:00 GMT+0800 (CST),台北一,其他,null,7.5,900
Sun Dec 29 2002 00:00:00 GMT+0800 (CST),三重市,其他,null,4,900
Tue Dec 31 2002 00:00:00 GMT+0800 (CST),台北一,其他,null,9,920
Wed Dec 03 2003 00:00:00 GMT+0800 (CST),三重市,其他,null,10,42
Wed Dec 10 2003 00:00:00 GMT+0800 (CST),台北一,其他,null,10,108
Wed Dec 10 2003 00:00:00 GMT+0800 (CST),三重市,其他,null,8,108
Thu Dec 11 2003 00:00:00 GMT+0800 (CST),台北一,其他,null,5,8
Thu Dec 11 2003 00:00:00 GMT+0800 (CST),三重市,其他,null,10.2,140
Fri Dec 12 2003 00:00:00 GMT+0800 (CST),三重市,其他,null,7,120
Sat Dec 13 2003 00:00:00 GMT+0800 (CST),台北一,其他,null,10.4,242
Sat Dec 13 2003 00:00:00 GMT+0800 (CST),三重市,其他,null,11,42
Sun Dec 14 2003 00:00:00 GMT+0800 (CST),台北一,其他,null,9.4,338
Sun Dec 14 2003 00:00:00 GMT+0800 (CST),三重市,其他,null,11,45
Sun Dec 14 2003 00:00:00 GMT+0800 (CST),台中市,其他,null,13,30
Tue Dec 16 2003 00:00:00 GMT+0800 (CST),台北一,其他,null,8,40
Tue Dec 16 2003 00:00:00 GMT+0800 (CST),台中市,其他,null,10.7,45
Wed Dec 17 2003 00:00:00 GMT+0800 (CST),台北二,其他,null,4,180
Wed Dec 17 2003 00:00:00 GMT+0800 (CST),台北一,其他,null,9.5,270
Wed Dec 17 2003 00:00:00 GMT+0800 (CST),三重市,其他,null,8,225
Wed Dec 17 2003 00:00:00 GMT+0800 (CST),台中市,其他,null,12.3,45
Thu Dec 18 2003 00:00:00 GMT+0800 (CST),台北一,其他,null,12,240
Thu Dec 18 2003 00:00:00 GMT+0800 (CST),三重市,其他,null,7,300
Fri Dec 19 2003 00:00:00 GMT+0800 (CST),台北二,其他,null,14,19
Fri Dec 19 2003 00:00:00 GMT+0800 (CST),台北一,其他,null,11,411
Fri Dec 19 2003 00:00:00 GMT+0800 (CST),三重市,其他,null,7.3,83
Fri Dec 19 2003 00:00:00 GMT+0800 (CST),台中市,其他,null,8,60
Fri Dec 19 2003 00:00:00 GMT+0800 (CST),高雄市,其他,null,10,30
Sat Dec 20 2003 00:00:00 GMT+0800 (CST),台北一,其他,null,10,840
