date,mktname,sbtype,transformation,middleprice,quantity
Sun Apr 22 2012 00:00:00 GMT+0800 (CST),台中市,白玉蘿蔔,null,1.5,270
Fri Apr 27 2012 00:00:00 GMT+0800 (CST),台中市,白玉蘿蔔,null,10,1080
Sat Dec 01 2012 00:00:00 GMT+0800 (CST),台北二,白玉蘿蔔,null,17,79
Sat Dec 01 2012 00:00:00 GMT+0800 (CST),台北一,白玉蘿蔔,null,10.6,637
Sat Dec 01 2012 00:00:00 GMT+0800 (CST),三重市,白玉蘿蔔,null,8,392
Sat Dec 01 2012 00:00:00 GMT+0800 (CST),台中市,白玉蘿蔔,null,12.7,376
Sun Dec 02 2012 00:00:00 GMT+0800 (CST),台北二,白玉蘿蔔,null,8.9,126
Sun Dec 02 2012 00:00:00 GMT+0800 (CST),台北一,白玉蘿蔔,null,19.5,569
Sun Dec 02 2012 00:00:00 GMT+0800 (CST),三重市,白玉蘿蔔,null,7,338
Sun Dec 02 2012 00:00:00 GMT+0800 (CST),台中市,白玉蘿蔔,null,12,398
Tue Dec 04 2012 00:00:00 GMT+0800 (CST),台北二,白玉蘿蔔,null,8,56
Tue Dec 04 2012 00:00:00 GMT+0800 (CST),台北一,白玉蘿蔔,null,16.8,355
Tue Dec 04 2012 00:00:00 GMT+0800 (CST),三重市,白玉蘿蔔,null,15,14
Wed Dec 05 2012 00:00:00 GMT+0800 (CST),台北二,白玉蘿蔔,null,10.5,107
Wed Dec 05 2012 00:00:00 GMT+0800 (CST),台北一,白玉蘿蔔,null,22.1,197
Wed Dec 05 2012 00:00:00 GMT+0800 (CST),三重市,白玉蘿蔔,null,8.8,456
Wed Dec 05 2012 00:00:00 GMT+0800 (CST),台中市,白玉蘿蔔,null,17.5,98
Thu Dec 06 2012 00:00:00 GMT+0800 (CST),台北二,白玉蘿蔔,null,30.3,99
Thu Dec 06 2012 00:00:00 GMT+0800 (CST),台北一,白玉蘿蔔,null,16.9,162
Thu Dec 06 2012 00:00:00 GMT+0800 (CST),三重市,白玉蘿蔔,null,12.8,221
Thu Dec 06 2012 00:00:00 GMT+0800 (CST),台中市,白玉蘿蔔,null,13.5,163
Fri Dec 07 2012 00:00:00 GMT+0800 (CST),台中市,白玉蘿蔔,null,12,126
Fri Dec 07 2012 00:00:00 GMT+0800 (CST),台北二,白玉蘿蔔,null,24.9,78
Fri Dec 07 2012 00:00:00 GMT+0800 (CST),台北一,白玉蘿蔔,null,19.1,354
Fri Dec 07 2012 00:00:00 GMT+0800 (CST),三重市,白玉蘿蔔,null,15.3,294
Sat Dec 08 2012 00:00:00 GMT+0800 (CST),台中市,白玉蘿蔔,null,8,118
Sat Dec 08 2012 00:00:00 GMT+0800 (CST),台北二,白玉蘿蔔,null,23.9,98
Sat Dec 08 2012 00:00:00 GMT+0800 (CST),台北一,白玉蘿蔔,null,10,522
Sat Dec 08 2012 00:00:00 GMT+0800 (CST),三重市,白玉蘿蔔,null,7.4,232
Sun Dec 09 2012 00:00:00 GMT+0800 (CST),台北二,白玉蘿蔔,null,20,105
