date,mktname,sbtype,transformation,middleprice,quantity
Sat Apr 13 2002 00:00:00 GMT+0800 (CST),台北二,進口,null,2,500
Sat Apr 13 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,1.5,1000
Wed Apr 16 2003 00:00:00 GMT+0800 (CST),台北二,進口,null,10,105
Fri Apr 18 2003 00:00:00 GMT+0800 (CST),台北二,進口,null,12,123
Fri Apr 02 2004 00:00:00 GMT+0800 (CST),台北一,進口,null,15,2000
Sat Apr 03 2004 00:00:00 GMT+0800 (CST),台北一,進口,null,15,600
Tue Apr 06 2004 00:00:00 GMT+0800 (CST),台北二,進口,null,10,1000
Tue Apr 06 2004 00:00:00 GMT+0800 (CST),台北一,進口,null,15,1720
Wed Apr 07 2004 00:00:00 GMT+0800 (CST),台北一,進口,null,15,600
Thu Apr 08 2004 00:00:00 GMT+0800 (CST),台北一,進口,null,15,400
Fri Apr 09 2004 00:00:00 GMT+0800 (CST),台北一,進口,null,15,300
Sat Apr 10 2004 00:00:00 GMT+0800 (CST),台北一,進口,null,7,2400
Sat Apr 10 2004 00:00:00 GMT+0800 (CST),三重市,進口,null,8,800
Sun Apr 11 2004 00:00:00 GMT+0800 (CST),台北二,進口,null,7,400
Sun Apr 11 2004 00:00:00 GMT+0800 (CST),台北一,進口,null,14.9,5734
Sun Apr 11 2004 00:00:00 GMT+0800 (CST),三重市,進口,null,7,800
Tue Apr 13 2004 00:00:00 GMT+0800 (CST),台北一,進口,null,10.4,3600
Tue Apr 13 2004 00:00:00 GMT+0800 (CST),三重市,進口,null,11,800
Wed Apr 14 2004 00:00:00 GMT+0800 (CST),台北二,進口,null,10,600
Wed Apr 14 2004 00:00:00 GMT+0800 (CST),台北一,進口,null,11,2200
Wed Apr 14 2004 00:00:00 GMT+0800 (CST),三重市,進口,null,11,800
Thu Apr 15 2004 00:00:00 GMT+0800 (CST),台北二,進口,null,10,600
Thu Apr 15 2004 00:00:00 GMT+0800 (CST),台北一,進口,null,10,1320
Thu Apr 15 2004 00:00:00 GMT+0800 (CST),三重市,進口,null,7,800
Fri Apr 16 2004 00:00:00 GMT+0800 (CST),台北二,進口,null,7.1,1380
Fri Apr 16 2004 00:00:00 GMT+0800 (CST),台北一,進口,null,6.9,3300
Fri Apr 16 2004 00:00:00 GMT+0800 (CST),三重市,進口,null,5.6,1260
Fri Apr 16 2004 00:00:00 GMT+0800 (CST),台中市,進口,null,5.5,120
Fri Apr 16 2004 00:00:00 GMT+0800 (CST),高雄市,進口,null,6,400
Sat Apr 17 2004 00:00:00 GMT+0800 (CST),台北二,進口,null,12,800
Sat Apr 17 2004 00:00:00 GMT+0800 (CST),台北一,進口,null,7,2360
Sun Apr 18 2004 00:00:00 GMT+0800 (CST),台北二,進口,null,12,600
Sun Apr 18 2004 00:00:00 GMT+0800 (CST),台北一,進口,null,14,200
Sun Apr 18 2004 00:00:00 GMT+0800 (CST),三重市,進口,null,5,300
Tue Apr 20 2004 00:00:00 GMT+0800 (CST),台北二,進口,null,12,600
Tue Apr 20 2004 00:00:00 GMT+0800 (CST),台北一,進口,null,11.4,1780
Wed Apr 21 2004 00:00:00 GMT+0800 (CST),台北二,進口,null,12,800
Wed Apr 21 2004 00:00:00 GMT+0800 (CST),台北一,進口,null,10.6,1020
Thu Apr 22 2004 00:00:00 GMT+0800 (CST),台北二,進口,null,12,600
Thu Apr 22 2004 00:00:00 GMT+0800 (CST),台北一,進口,null,15,180
Fri Apr 23 2004 00:00:00 GMT+0800 (CST),台北一,進口,null,15,540
Sat Apr 24 2004 00:00:00 GMT+0800 (CST),台北二,進口,null,12,600
Sat Apr 24 2004 00:00:00 GMT+0800 (CST),台北一,進口,null,15,20
Sun Apr 25 2004 00:00:00 GMT+0800 (CST),台北一,進口,null,15,40
Tue Apr 27 2004 00:00:00 GMT+0800 (CST),台北二,進口,null,12,600
Tue Apr 27 2004 00:00:00 GMT+0800 (CST),三重市,進口,null,6,400
Wed Apr 28 2004 00:00:00 GMT+0800 (CST),台北二,進口,null,12,600
Wed Apr 28 2004 00:00:00 GMT+0800 (CST),台北一,進口,null,4.5,1000
Wed Apr 28 2004 00:00:00 GMT+0800 (CST),三重市,進口,null,6,400
Thu Apr 29 2004 00:00:00 GMT+0800 (CST),台北二,進口,null,8,400
Thu Apr 29 2004 00:00:00 GMT+0800 (CST),台北一,進口,null,15,600
Thu Apr 29 2004 00:00:00 GMT+0800 (CST),三重市,進口,null,5,400
Fri Apr 30 2004 00:00:00 GMT+0800 (CST),台北二,進口,null,8,400
Fri Apr 30 2004 00:00:00 GMT+0800 (CST),台北一,進口,null,14,600
Fri Apr 30 2004 00:00:00 GMT+0800 (CST),三重市,進口,null,5,400
Sun Apr 17 2005 00:00:00 GMT+0800 (CST),台北一,進口,null,14,1400
Wed Apr 20 2005 00:00:00 GMT+0800 (CST),台北一,進口,null,15,1200
Thu Apr 21 2005 00:00:00 GMT+0800 (CST),台北一,進口,null,14,1200
Fri Apr 22 2005 00:00:00 GMT+0800 (CST),台北一,進口,null,15,1000
Sat Apr 23 2005 00:00:00 GMT+0800 (CST),台北二,進口,null,5,600
Sat Apr 23 2005 00:00:00 GMT+0800 (CST),台北一,進口,null,15,2400
Sun Apr 24 2005 00:00:00 GMT+0800 (CST),台北二,進口,null,16,600
Sun Apr 24 2005 00:00:00 GMT+0800 (CST),台北一,進口,null,10.3,4400
Tue Apr 26 2005 00:00:00 GMT+0800 (CST),台北二,進口,null,18,600
Tue Apr 26 2005 00:00:00 GMT+0800 (CST),台北一,進口,null,14,2380
Wed Apr 27 2005 00:00:00 GMT+0800 (CST),台北二,進口,null,18,600
Wed Apr 27 2005 00:00:00 GMT+0800 (CST),台北一,進口,null,15,2400
Thu Apr 28 2005 00:00:00 GMT+0800 (CST),台北二,進口,null,20,600
Thu Apr 28 2005 00:00:00 GMT+0800 (CST),台北一,進口,null,15,1940
Fri Apr 29 2005 00:00:00 GMT+0800 (CST),台北二,進口,null,18,500
Fri Apr 29 2005 00:00:00 GMT+0800 (CST),台北一,進口,null,15,2500
Sat Apr 30 2005 00:00:00 GMT+0800 (CST),台北二,進口,null,12,600
Sat Apr 30 2005 00:00:00 GMT+0800 (CST),台北一,進口,null,14.9,3640
Fri Apr 07 2006 00:00:00 GMT+0800 (CST),台北二,進口,null,14,800
Fri Apr 07 2006 00:00:00 GMT+0800 (CST),台北一,進口,null,16.2,1800
Sat Apr 08 2006 00:00:00 GMT+0800 (CST),台北二,進口,null,14,1600
Sat Apr 08 2006 00:00:00 GMT+0800 (CST),台北一,進口,null,15,1800
Sun Apr 09 2006 00:00:00 GMT+0800 (CST),台北二,進口,null,14,600
Sun Apr 09 2006 00:00:00 GMT+0800 (CST),台北一,進口,null,17,600
Tue Apr 11 2006 00:00:00 GMT+0800 (CST),台北二,進口,null,14,600
Tue Apr 11 2006 00:00:00 GMT+0800 (CST),台北一,進口,null,13,3200
Wed Apr 12 2006 00:00:00 GMT+0800 (CST),台北二,進口,null,5,600
Wed Apr 12 2006 00:00:00 GMT+0800 (CST),台北一,進口,null,17,1000
Thu Apr 13 2006 00:00:00 GMT+0800 (CST),台北二,進口,null,14,600
Thu Apr 13 2006 00:00:00 GMT+0800 (CST),台北一,進口,null,16.6,1200
Fri Apr 14 2006 00:00:00 GMT+0800 (CST),台北二,進口,null,15,600
Fri Apr 14 2006 00:00:00 GMT+0800 (CST),台北一,進口,null,15,3500
Sat Apr 15 2006 00:00:00 GMT+0800 (CST),台北二,進口,null,14,500
Sat Apr 15 2006 00:00:00 GMT+0800 (CST),台北一,進口,null,17,2800
