date,mktname,sbtype,transformation,middleprice,quantity
Mon Apr 02 2001 00:00:00 GMT+0800 (CST),台北一,青色,未洗,8,60
Tue Apr 03 2001 00:00:00 GMT+0800 (CST),台北一,青色,未洗,7,60
Wed Apr 04 2001 00:00:00 GMT+0800 (CST),台北一,青色,未洗,7,60
Sun Apr 08 2001 00:00:00 GMT+0800 (CST),台北一,青色,未洗,8,450
Thu Apr 12 2001 00:00:00 GMT+0800 (CST),台北一,青色,未洗,10,180
Fri Apr 13 2001 00:00:00 GMT+0800 (CST),台北一,青色,未洗,12,300
Sat Apr 14 2001 00:00:00 GMT+0800 (CST),台北一,青色,未洗,7.6,390
Sun Apr 15 2001 00:00:00 GMT+0800 (CST),台北一,青色,未洗,10,360
Thu Apr 19 2001 00:00:00 GMT+0800 (CST),台北一,青色,未洗,11.4,450
Sun Apr 22 2001 00:00:00 GMT+0800 (CST),台北一,青色,未洗,20,30
Thu Apr 26 2001 00:00:00 GMT+0800 (CST),台北一,青色,未洗,12,20
Wed Apr 13 2005 00:00:00 GMT+0800 (CST),台北一,青色,未洗,13,20
Sun Apr 17 2005 00:00:00 GMT+0800 (CST),台北一,青色,未洗,12,20
Sat Apr 23 2005 00:00:00 GMT+0800 (CST),台北一,青色,未洗,10,20
Fri Apr 29 2005 00:00:00 GMT+0800 (CST),台北一,青色,未洗,15,20
Sat Apr 01 2006 00:00:00 GMT+0800 (CST),台北一,青色,未洗,8,20
Fri Apr 07 2006 00:00:00 GMT+0800 (CST),台北一,青色,未洗,8,20
Sat Apr 08 2006 00:00:00 GMT+0800 (CST),台北一,青色,未洗,7,20
Tue Apr 11 2006 00:00:00 GMT+0800 (CST),台北一,青色,未洗,9,20
Wed Apr 12 2006 00:00:00 GMT+0800 (CST),台北一,青色,未洗,9,20
Sat Apr 15 2006 00:00:00 GMT+0800 (CST),台北一,青色,未洗,10,20
Thu Apr 20 2006 00:00:00 GMT+0800 (CST),台北一,青色,未洗,12,20
Sat Apr 22 2006 00:00:00 GMT+0800 (CST),台北一,青色,未洗,15,40
Sat Apr 25 2009 00:00:00 GMT+0800 (CST),台北一,青色,未洗,14,20
Fri Apr 01 2011 00:00:00 GMT+0800 (CST),台北一,青色,未洗,10,120
Sat Apr 02 2011 00:00:00 GMT+0800 (CST),台北一,青色,未洗,10.2,120
Sun Apr 03 2011 00:00:00 GMT+0800 (CST),台北一,青色,未洗,9,160
Mon Apr 04 2011 00:00:00 GMT+0800 (CST),台北一,青色,未洗,8.6,180
Sun Apr 10 2011 00:00:00 GMT+0800 (CST),台北一,青色,未洗,15,20
Fri Apr 22 2011 00:00:00 GMT+0800 (CST),台北一,青色,未洗,16,40
Wed Apr 11 2012 00:00:00 GMT+0800 (CST),台北一,青色,未洗,12,20
Sat Apr 21 2012 00:00:00 GMT+0800 (CST),台北一,青色,未洗,14,20
Sat Apr 28 2012 00:00:00 GMT+0800 (CST),台北一,青色,未洗,2,240
Wed Apr 03 2013 00:00:00 GMT+0800 (CST),台北一,青色,未洗,9,20
Sun Apr 14 2013 00:00:00 GMT+0800 (CST),台北一,青色,未洗,12,20
