date,mktname,sbtype,transformation,middleprice,quantity
Mon Dec 06 1999 00:00:00 GMT+0800 (CST),高雄市,其他,null,16.7,180
Sat Dec 11 1999 00:00:00 GMT+0800 (CST),高雄市,其他,null,16.1,300
Mon Dec 13 1999 00:00:00 GMT+0800 (CST),高雄市,其他,null,17.5,100
Tue Dec 14 1999 00:00:00 GMT+0800 (CST),高雄市,其他,null,7,100
Thu Dec 16 1999 00:00:00 GMT+0800 (CST),高雄市,其他,null,6,100
Tue Dec 21 1999 00:00:00 GMT+0800 (CST),高雄市,其他,null,5,100
Sat Jun 03 2000 00:00:00 GMT+0800 (CST),高雄市,其他,null,10,2000
Sat Nov 06 1999 00:00:00 GMT+0800 (CST),高雄市,其他,null,5,20
Wed Oct 13 1999 00:00:00 GMT+0800 (CST),高雄市,其他,null,6.4,300
Sat Oct 16 1999 00:00:00 GMT+0800 (CST),高雄市,其他,null,11,2600
Fri Oct 27 2000 00:00:00 GMT+0800 (CST),高雄市,其他,null,15,100
Thu Sep 09 1999 00:00:00 GMT+0800 (CST),高雄市,其他,null,10,980
Fri Sep 24 1999 00:00:00 GMT+0800 (CST),高雄市,其他,null,8,200
Mon Sep 27 1999 00:00:00 GMT+0800 (CST),高雄市,其他,null,7.2,260
Wed Sep 27 2000 00:00:00 GMT+0800 (CST),高雄市,其他,null,12.5,400
