date,mktname,sbtype,transformation,middleprice,quantity
Sat Apr 01 2000 00:00:00 GMT+0800 (CST),台北一,進口,null,12,300
Sun Apr 02 2000 00:00:00 GMT+0800 (CST),台北一,進口,null,12,375
Mon Apr 03 2000 00:00:00 GMT+0800 (CST),台北一,進口,null,12,300
Sat Apr 08 2000 00:00:00 GMT+0800 (CST),台北一,進口,null,12,240
Sun Apr 09 2000 00:00:00 GMT+0800 (CST),台北一,進口,null,12,300
Mon Apr 10 2000 00:00:00 GMT+0800 (CST),台北一,進口,null,12,300
Tue Apr 11 2000 00:00:00 GMT+0800 (CST),台北一,進口,null,12,150
Wed Apr 12 2000 00:00:00 GMT+0800 (CST),台北一,進口,null,12,195
Thu Apr 13 2000 00:00:00 GMT+0800 (CST),台北一,進口,null,12,150
Sat Apr 15 2000 00:00:00 GMT+0800 (CST),台北一,進口,null,12,300
Mon Apr 17 2000 00:00:00 GMT+0800 (CST),台北一,進口,null,12,315
Tue Apr 18 2000 00:00:00 GMT+0800 (CST),台北一,進口,null,12,300
Thu Apr 20 2000 00:00:00 GMT+0800 (CST),台北一,進口,null,12,270
Sat Apr 22 2000 00:00:00 GMT+0800 (CST),台北一,進口,null,12,300
Sun Apr 23 2000 00:00:00 GMT+0800 (CST),台北一,進口,null,12,300
Mon Apr 24 2000 00:00:00 GMT+0800 (CST),台北一,進口,null,12,300
Wed Apr 26 2000 00:00:00 GMT+0800 (CST),台北一,進口,null,12,300
Thu Apr 27 2000 00:00:00 GMT+0800 (CST),台北一,進口,null,12,300
Fri Apr 28 2000 00:00:00 GMT+0800 (CST),台北一,進口,null,12,150
Sun Apr 30 2000 00:00:00 GMT+0800 (CST),台北一,進口,null,12,300
Sun Apr 01 2001 00:00:00 GMT+0800 (CST),台北二,進口,null,12,1366
Sun Apr 01 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,18,1380
Mon Apr 02 2001 00:00:00 GMT+0800 (CST),台北二,進口,null,11.3,1396
Mon Apr 02 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,18,450
Tue Apr 03 2001 00:00:00 GMT+0800 (CST),台北二,進口,null,10.1,1400
Tue Apr 03 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,18,350
Wed Apr 04 2001 00:00:00 GMT+0800 (CST),台北二,進口,null,9.4,1480
Wed Apr 04 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,18,730
Sat Apr 07 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,18,750
Sun Apr 08 2001 00:00:00 GMT+0800 (CST),台北二,進口,null,22,60
Sun Apr 08 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,18,880
Mon Apr 09 2001 00:00:00 GMT+0800 (CST),台北二,進口,null,15.1,760
Mon Apr 09 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,18,725
Wed Apr 11 2001 00:00:00 GMT+0800 (CST),台北二,進口,null,12.8,650
Wed Apr 11 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,18,800
Thu Apr 12 2001 00:00:00 GMT+0800 (CST),台北二,進口,null,12.7,800
Thu Apr 12 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,18,800
Fri Apr 13 2001 00:00:00 GMT+0800 (CST),台北二,進口,null,13.6,400
Fri Apr 13 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,18,775
Sat Apr 14 2001 00:00:00 GMT+0800 (CST),台北二,進口,null,19.2,700
Sat Apr 14 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,18,1075
Sun Apr 15 2001 00:00:00 GMT+0800 (CST),台北二,進口,null,11,850
Sun Apr 15 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,18,1295
Mon Apr 16 2001 00:00:00 GMT+0800 (CST),台北二,進口,null,21.4,210
Mon Apr 16 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,18,500
Tue Apr 17 2001 00:00:00 GMT+0800 (CST),台北二,進口,null,12,150
Tue Apr 17 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,18,1125
Thu Apr 19 2001 00:00:00 GMT+0800 (CST),台北二,進口,null,14.8,250
Thu Apr 19 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,18,775
Fri Apr 20 2001 00:00:00 GMT+0800 (CST),台北二,進口,null,20,2500
