date,mktname,sbtype,transformation,middleprice,quantity
Thu Apr 01 1999 00:00:00 GMT+0800 (CST),台北一,進口,null,18,8454
Fri Apr 02 1999 00:00:00 GMT+0800 (CST),台北一,進口,null,18,9470
Sun Apr 04 1999 00:00:00 GMT+0800 (CST),台北一,進口,null,18,10074
Wed Apr 07 1999 00:00:00 GMT+0800 (CST),台北一,進口,null,18,10942
Thu Apr 08 1999 00:00:00 GMT+0800 (CST),台北一,進口,null,18,10160
Fri Apr 09 1999 00:00:00 GMT+0800 (CST),台北一,進口,null,18,11775
Sat Apr 10 1999 00:00:00 GMT+0800 (CST),台北一,進口,null,18,10092
Thu Apr 15 1999 00:00:00 GMT+0800 (CST),台北一,進口,null,18,9344
Sun Apr 02 2000 00:00:00 GMT+0800 (CST),台北一,進口,null,10,230
Fri Apr 07 2000 00:00:00 GMT+0800 (CST),台北一,進口,null,10,115
Sun Apr 09 2000 00:00:00 GMT+0800 (CST),台北一,進口,null,10,115
Thu Apr 20 2000 00:00:00 GMT+0800 (CST),高雄市,進口,null,114.3,70
Sun Apr 30 2000 00:00:00 GMT+0800 (CST),台北一,進口,null,12,230
Mon Apr 02 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,20,200
Wed Apr 04 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,20,200
Wed Apr 11 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,20,200
Thu Apr 12 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,20,200
Tue Apr 09 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,12,200
Fri Apr 02 2004 00:00:00 GMT+0800 (CST),台北一,進口,null,19.7,800
Sat Apr 03 2004 00:00:00 GMT+0800 (CST),台北一,進口,null,19.5,400
Tue Apr 06 2004 00:00:00 GMT+0800 (CST),台北二,進口,null,22,320
Tue Apr 06 2004 00:00:00 GMT+0800 (CST),台北一,進口,null,18.7,1100
Wed Apr 07 2004 00:00:00 GMT+0800 (CST),台北一,進口,null,22,200
Sun Apr 11 2004 00:00:00 GMT+0800 (CST),台北一,進口,null,19.5,400
Sat Apr 17 2004 00:00:00 GMT+0800 (CST),台北一,進口,null,18.1,1400
Tue Apr 20 2004 00:00:00 GMT+0800 (CST),台北一,進口,null,20.7,380
Wed Apr 21 2004 00:00:00 GMT+0800 (CST),台北一,進口,null,19.3,600
Fri Apr 23 2004 00:00:00 GMT+0800 (CST),台北一,進口,null,18.3,600
Sun Apr 25 2004 00:00:00 GMT+0800 (CST),台北一,進口,null,18.5,400
Wed Apr 28 2004 00:00:00 GMT+0800 (CST),台北一,進口,null,17.4,560
Sat Apr 01 2006 00:00:00 GMT+0800 (CST),台北一,進口,null,18,260
Sun Apr 02 2006 00:00:00 GMT+0800 (CST),台北一,進口,null,15.8,292
Mon Apr 03 2006 00:00:00 GMT+0800 (CST),台北一,進口,null,18,740
Mon Apr 03 2006 00:00:00 GMT+0800 (CST),高雄市,進口,null,25,96
Tue Apr 04 2006 00:00:00 GMT+0800 (CST),台北二,進口,null,18,500
Tue Apr 04 2006 00:00:00 GMT+0800 (CST),台北一,進口,null,15.3,315
Wed Apr 05 2006 00:00:00 GMT+0800 (CST),高雄市,進口,null,25,192
Fri Apr 07 2006 00:00:00 GMT+0800 (CST),台北二,進口,null,19,420
Fri Apr 07 2006 00:00:00 GMT+0800 (CST),台北一,進口,null,19.6,300
Sat Apr 08 2006 00:00:00 GMT+0800 (CST),台北一,進口,null,16.2,550
Sun Apr 09 2006 00:00:00 GMT+0800 (CST),台北一,進口,null,15.3,562
Tue Apr 11 2006 00:00:00 GMT+0800 (CST),台北二,進口,null,19,210
Tue Apr 11 2006 00:00:00 GMT+0800 (CST),台北一,進口,null,18,240
Wed Apr 12 2006 00:00:00 GMT+0800 (CST),台北二,進口,null,9.4,1036
Thu Apr 13 2006 00:00:00 GMT+0800 (CST),台北一,進口,null,18.3,500
Fri Apr 14 2006 00:00:00 GMT+0800 (CST),台北一,進口,null,20,400
Sat Apr 15 2006 00:00:00 GMT+0800 (CST),台北二,進口,null,19,110
Sat Apr 15 2006 00:00:00 GMT+0800 (CST),台北一,進口,null,18,500
Sun Apr 16 2006 00:00:00 GMT+0800 (CST),台北一,進口,null,13.7,456
Tue Apr 18 2006 00:00:00 GMT+0800 (CST),台北一,進口,null,20,720
Wed Apr 19 2006 00:00:00 GMT+0800 (CST),台北二,進口,null,7.8,415
Wed Apr 19 2006 00:00:00 GMT+0800 (CST),台北一,進口,null,10.4,880
Thu Apr 20 2006 00:00:00 GMT+0800 (CST),台北二,進口,null,18,75
Thu Apr 20 2006 00:00:00 GMT+0800 (CST),台北一,進口,null,20,700
Fri Apr 21 2006 00:00:00 GMT+0800 (CST),台北二,進口,null,20,340
Fri Apr 21 2006 00:00:00 GMT+0800 (CST),台北一,進口,null,17.7,960
Sat Apr 22 2006 00:00:00 GMT+0800 (CST),台北一,進口,null,18,560
Sun Apr 23 2006 00:00:00 GMT+0800 (CST),台北一,進口,null,18.7,540
Tue Apr 25 2006 00:00:00 GMT+0800 (CST),三重市,進口,null,5,120
Wed Apr 26 2006 00:00:00 GMT+0800 (CST),台北一,進口,null,20,830
Thu Apr 27 2006 00:00:00 GMT+0800 (CST),台北一,進口,null,16.7,200
Fri Apr 28 2006 00:00:00 GMT+0800 (CST),台北一,進口,null,19.3,626
Sat Apr 29 2006 00:00:00 GMT+0800 (CST),台北一,進口,null,17.8,480
Sun Apr 30 2006 00:00:00 GMT+0800 (CST),台北一,進口,null,16.8,1860
Sun Apr 01 2007 00:00:00 GMT+0800 (CST),台北一,進口,null,30,640
Tue Apr 03 2007 00:00:00 GMT+0800 (CST),台北一,進口,null,29.2,760
Wed Apr 04 2007 00:00:00 GMT+0800 (CST),台北一,進口,null,27.6,560
Sat Apr 07 2007 00:00:00 GMT+0800 (CST),台北一,進口,null,27.7,1160
Sun Apr 08 2007 00:00:00 GMT+0800 (CST),台北一,進口,null,28,880
Tue Apr 10 2007 00:00:00 GMT+0800 (CST),台北二,進口,null,23,2400
Tue Apr 10 2007 00:00:00 GMT+0800 (CST),台北一,進口,null,26.9,2020
Wed Apr 11 2007 00:00:00 GMT+0800 (CST),台北一,進口,null,26.8,1360
Thu Apr 12 2007 00:00:00 GMT+0800 (CST),台北一,進口,null,28.1,780
Fri Apr 13 2007 00:00:00 GMT+0800 (CST),台北一,進口,null,28.8,680
Sat Apr 14 2007 00:00:00 GMT+0800 (CST),台北一,進口,null,26.7,580
Sun Apr 15 2007 00:00:00 GMT+0800 (CST),台北一,進口,null,28,240
Tue Apr 17 2007 00:00:00 GMT+0800 (CST),台北二,進口,null,25,48
Tue Apr 17 2007 00:00:00 GMT+0800 (CST),台北一,進口,null,27.6,1260
Wed Apr 18 2007 00:00:00 GMT+0800 (CST),台北二,進口,null,25,48
Wed Apr 18 2007 00:00:00 GMT+0800 (CST),台北一,進口,null,29.6,480
Thu Apr 19 2007 00:00:00 GMT+0800 (CST),台北一,進口,null,28.7,360
Fri Apr 20 2007 00:00:00 GMT+0800 (CST),台北一,進口,null,26.4,1120
Sat Apr 21 2007 00:00:00 GMT+0800 (CST),台北一,進口,null,27.3,560
Sun Apr 22 2007 00:00:00 GMT+0800 (CST),台北一,進口,null,28,502
Tue Apr 24 2007 00:00:00 GMT+0800 (CST),台北二,進口,null,18,20
Tue Apr 24 2007 00:00:00 GMT+0800 (CST),台北一,進口,null,28.6,360
Wed Apr 25 2007 00:00:00 GMT+0800 (CST),台北二,進口,null,15.5,460
Wed Apr 25 2007 00:00:00 GMT+0800 (CST),台北一,進口,null,24,1210
Wed Apr 25 2007 00:00:00 GMT+0800 (CST),三重市,進口,null,18,460
Thu Apr 26 2007 00:00:00 GMT+0800 (CST),台北二,進口,null,15,240
Thu Apr 26 2007 00:00:00 GMT+0800 (CST),台北一,進口,null,21.4,990
Thu Apr 26 2007 00:00:00 GMT+0800 (CST),三重市,進口,null,16,460
Fri Apr 27 2007 00:00:00 GMT+0800 (CST),台北二,進口,null,14,230
Fri Apr 27 2007 00:00:00 GMT+0800 (CST),台北一,進口,null,25.5,2930
Fri Apr 27 2007 00:00:00 GMT+0800 (CST),三重市,進口,null,16,460
Sat Apr 28 2007 00:00:00 GMT+0800 (CST),台北二,進口,null,10.3,552
Sat Apr 28 2007 00:00:00 GMT+0800 (CST),台北一,進口,null,17.5,1180
Sun Apr 29 2007 00:00:00 GMT+0800 (CST),台北二,進口,null,14,250
Sun Apr 29 2007 00:00:00 GMT+0800 (CST),台北一,進口,null,14.9,1320
Sun Apr 29 2007 00:00:00 GMT+0800 (CST),三重市,進口,null,14,460
Tue Apr 01 2008 00:00:00 GMT+0800 (CST),台北二,進口,null,25,360
Tue Apr 01 2008 00:00:00 GMT+0800 (CST),台北一,進口,null,11,500
Wed Apr 02 2008 00:00:00 GMT+0800 (CST),台北二,進口,null,25,200
Wed Apr 02 2008 00:00:00 GMT+0800 (CST),台北一,進口,null,23.1,494
Wed Apr 02 2008 00:00:00 GMT+0800 (CST),高雄市,進口,null,21.8,1440
Thu Apr 03 2008 00:00:00 GMT+0800 (CST),台北二,進口,null,28,260
Thu Apr 03 2008 00:00:00 GMT+0800 (CST),台北一,進口,null,25,330
Sun Apr 06 2008 00:00:00 GMT+0800 (CST),台北二,進口,null,25,360
Sun Apr 06 2008 00:00:00 GMT+0800 (CST),台北一,進口,null,25.4,382
Mon Apr 07 2008 00:00:00 GMT+0800 (CST),台北二,進口,null,25,160
Mon Apr 07 2008 00:00:00 GMT+0800 (CST),台北一,進口,null,25,230
Tue Apr 08 2008 00:00:00 GMT+0800 (CST),台北二,進口,null,28,100
Tue Apr 08 2008 00:00:00 GMT+0800 (CST),台北一,進口,null,16.3,204
Tue Apr 08 2008 00:00:00 GMT+0800 (CST),高雄市,進口,null,30,200
Wed Apr 09 2008 00:00:00 GMT+0800 (CST),台北二,進口,null,25,300
Wed Apr 09 2008 00:00:00 GMT+0800 (CST),台北一,進口,null,25,60
Wed Apr 09 2008 00:00:00 GMT+0800 (CST),高雄市,進口,null,25,480
Thu Apr 10 2008 00:00:00 GMT+0800 (CST),台北一,進口,null,22.8,200
Fri Apr 11 2008 00:00:00 GMT+0800 (CST),台北二,進口,null,25,400
Fri Apr 11 2008 00:00:00 GMT+0800 (CST),台北一,進口,null,24.2,781
Sat Apr 12 2008 00:00:00 GMT+0800 (CST),台北二,進口,null,25,60
Sat Apr 12 2008 00:00:00 GMT+0800 (CST),台北一,進口,null,22.4,460
Sun Apr 13 2008 00:00:00 GMT+0800 (CST),台北二,進口,null,24.2,200
Sun Apr 13 2008 00:00:00 GMT+0800 (CST),台北一,進口,null,23.7,480
Tue Apr 15 2008 00:00:00 GMT+0800 (CST),台北二,進口,null,25,440
Tue Apr 15 2008 00:00:00 GMT+0800 (CST),台北一,進口,null,22,200
Tue Apr 15 2008 00:00:00 GMT+0800 (CST),高雄市,進口,null,25,200
Wed Apr 16 2008 00:00:00 GMT+0800 (CST),台北一,進口,null,27.1,220
Wed Apr 16 2008 00:00:00 GMT+0800 (CST),高雄市,進口,null,20,480
Thu Apr 17 2008 00:00:00 GMT+0800 (CST),台北一,進口,null,15.2,700
Fri Apr 18 2008 00:00:00 GMT+0800 (CST),台北二,進口,null,25,460
Fri Apr 18 2008 00:00:00 GMT+0800 (CST),台北一,進口,null,24.2,1260
Sat Apr 19 2008 00:00:00 GMT+0800 (CST),台北二,進口,null,25,200
Sat Apr 19 2008 00:00:00 GMT+0800 (CST),台北一,進口,null,25,40
Sun Apr 20 2008 00:00:00 GMT+0800 (CST),台北一,進口,null,24.2,280
Sun Apr 20 2008 00:00:00 GMT+0800 (CST),高雄市,進口,null,25,480
Tue Apr 22 2008 00:00:00 GMT+0800 (CST),台北二,進口,null,25,370
Tue Apr 22 2008 00:00:00 GMT+0800 (CST),台北一,進口,null,22,200
Wed Apr 23 2008 00:00:00 GMT+0800 (CST),台北二,進口,null,25,400
Wed Apr 23 2008 00:00:00 GMT+0800 (CST),台北一,進口,null,25.7,490
Wed Apr 23 2008 00:00:00 GMT+0800 (CST),高雄市,進口,null,25,480
Thu Apr 24 2008 00:00:00 GMT+0800 (CST),台北二,進口,null,25,160
Thu Apr 24 2008 00:00:00 GMT+0800 (CST),台北一,進口,null,25,310
Fri Apr 25 2008 00:00:00 GMT+0800 (CST),台北二,進口,null,25,200
Fri Apr 25 2008 00:00:00 GMT+0800 (CST),台北一,進口,null,22.4,280
Sat Apr 26 2008 00:00:00 GMT+0800 (CST),台北二,進口,null,25,100
Sat Apr 26 2008 00:00:00 GMT+0800 (CST),台北一,進口,null,19.1,360
Sun Apr 27 2008 00:00:00 GMT+0800 (CST),台北二,進口,null,25,200
Sun Apr 27 2008 00:00:00 GMT+0800 (CST),台北一,進口,null,25.4,470
Sun Apr 27 2008 00:00:00 GMT+0800 (CST),高雄市,進口,null,25,250
Tue Apr 29 2008 00:00:00 GMT+0800 (CST),台北二,進口,null,25,300
Tue Apr 29 2008 00:00:00 GMT+0800 (CST),台北一,進口,null,19.9,730
Wed Apr 30 2008 00:00:00 GMT+0800 (CST),台北二,進口,null,23.9,300
Wed Apr 30 2008 00:00:00 GMT+0800 (CST),台北一,進口,null,26.3,280
Wed Apr 01 2009 00:00:00 GMT+0800 (CST),台北二,進口,null,28,182
Wed Apr 01 2009 00:00:00 GMT+0800 (CST),台北一,進口,null,29.1,170
Thu Apr 02 2009 00:00:00 GMT+0800 (CST),台北二,進口,null,28,114
Thu Apr 02 2009 00:00:00 GMT+0800 (CST),台北一,進口,null,28,140
Fri Apr 03 2009 00:00:00 GMT+0800 (CST),台北二,進口,null,28,114
Fri Apr 03 2009 00:00:00 GMT+0800 (CST),台北一,進口,null,34.9,190
Tue Apr 07 2009 00:00:00 GMT+0800 (CST),台北二,進口,null,28,759
Tue Apr 07 2009 00:00:00 GMT+0800 (CST),台北一,進口,null,28.3,560
Wed Apr 08 2009 00:00:00 GMT+0800 (CST),台北一,進口,null,29.7,655
Thu Apr 09 2009 00:00:00 GMT+0800 (CST),台北二,進口,null,20,227
Thu Apr 09 2009 00:00:00 GMT+0800 (CST),台北一,進口,null,32.2,360
Fri Apr 10 2009 00:00:00 GMT+0800 (CST),台北二,進口,null,28,158
Fri Apr 10 2009 00:00:00 GMT+0800 (CST),台北一,進口,null,32.7,250
Sat Apr 11 2009 00:00:00 GMT+0800 (CST),台北二,進口,null,27.7,568
Sat Apr 11 2009 00:00:00 GMT+0800 (CST),台北一,進口,null,33.4,360
Sun Apr 12 2009 00:00:00 GMT+0800 (CST),台北二,進口,null,28,124
Sun Apr 12 2009 00:00:00 GMT+0800 (CST),台北一,進口,null,28,100
Tue Apr 14 2009 00:00:00 GMT+0800 (CST),台北二,進口,null,28,1459
Tue Apr 14 2009 00:00:00 GMT+0800 (CST),台北一,進口,null,15.5,80
Wed Apr 15 2009 00:00:00 GMT+0800 (CST),台北二,進口,null,28,68
Wed Apr 15 2009 00:00:00 GMT+0800 (CST),台北一,進口,null,29.1,510
Thu Apr 16 2009 00:00:00 GMT+0800 (CST),台北二,進口,null,28,228
Thu Apr 16 2009 00:00:00 GMT+0800 (CST),台北一,進口,null,34.6,260
