date,mktname,sbtype,transformation,middleprice,quantity
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北二,本產,null,6.1,975
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北一,本產,null,7.5,17600
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台中市,本產,null,8.1,270
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),西螺鎮,本產,null,6,7200
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),高雄市,本產,null,8,3620
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),鳳山區,本產,null,6,2250
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),屏東市,本產,null,6.9,3640
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北二,本產,null,6,4500
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北一,本產,null,7.5,20070
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台中市,本產,null,8.2,90
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),西螺鎮,本產,null,6,7200
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),高雄市,本產,null,10,3000
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),屏東市,本產,null,7.2,4830
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北二,本產,null,5,5730
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北一,本產,null,7.5,15005
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台中市,本產,null,8.7,150
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),西螺鎮,本產,null,6,5400
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),高雄市,本產,null,8,5030
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),鳳山區,本產,null,15,1700
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),屏東市,本產,null,7.8,3180
Thu Apr 04 1996 00:00:00 GMT+0800 (CST),台中市,本產,null,8.7,60
Thu Apr 04 1996 00:00:00 GMT+0800 (CST),屏東市,本產,null,8.8,2490
Fri Apr 05 1996 00:00:00 GMT+0800 (CST),西螺鎮,本產,null,6,7335
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北二,本產,null,5.2,4515
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北一,本產,null,7.5,24987
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台中市,本產,null,6.4,915
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),西螺鎮,本產,null,6,7500
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),屏東市,本產,null,7.7,3240
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北一,本產,null,7.5,6015
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台中市,本產,null,7.7,720
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),西螺鎮,本產,null,6,7305
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),屏東市,本產,null,7.7,3020
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北二,本產,null,6,4470
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北一,本產,null,7.5,23595
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台中市,本產,null,5.3,3360
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),西螺鎮,本產,null,6,7275
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),高雄市,本產,null,15,3970
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),屏東市,本產,null,8.1,3000
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北一,本產,null,7.5,9060
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台中市,本產,null,8.5,330
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),西螺鎮,本產,null,6,7230
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),高雄市,本產,null,6,6590
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),屏東市,本產,null,7.8,3160
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北二,本產,null,3.8,13650
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北一,本產,null,6.5,26265
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台中市,本產,null,8.6,245
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),西螺鎮,本產,null,6,7200
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),高雄市,本產,null,7,3940
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),屏東市,本產,null,7.8,3260
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台北一,本產,null,6.5,21705
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台中市,本產,null,7.3,420
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),西螺鎮,本產,null,6,7230
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),屏東市,本產,null,7.9,3350
Fri Apr 12 1996 00:00:00 GMT+0800 (CST),台中市,本產,null,7,540
Fri Apr 12 1996 00:00:00 GMT+0800 (CST),西螺鎮,本產,null,6,9750
Fri Apr 12 1996 00:00:00 GMT+0800 (CST),高雄市,本產,null,5,5000
Fri Apr 12 1996 00:00:00 GMT+0800 (CST),屏東市,本產,null,8.2,2880
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),台北一,本產,null,6.5,17920
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),台中市,本產,null,8.1,180
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),西螺鎮,本產,null,6,10099
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),高雄市,本產,null,6,7480
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),鳳山區,本產,null,8,1800
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),屏東市,本產,null,8.7,2790
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),台北一,本產,null,6,14880
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),台中市,本產,null,8.7,30
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),西螺鎮,本產,null,6,8925
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),屏東市,本產,null,7.6,4075
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),台北二,本產,null,6,1455
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),台北一,本產,null,6,12045
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),台中市,本產,null,8.3,285
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),西螺鎮,本產,null,6,11575
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),高雄市,本產,null,6,3200
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),屏東市,本產,null,8.7,2770
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),台北一,本產,null,6,10350
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),台中市,本產,null,6.4,270
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),西螺鎮,本產,null,6,6215
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),高雄市,本產,null,8,540
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),屏東市,本產,null,7.8,3090
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),台北二,本產,null,5.8,4650
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),台北一,本產,null,6,15765
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),台中市,本產,null,7.9,370
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),西螺鎮,本產,null,6,7425
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),高雄市,本產,null,6,5380
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),屏東市,本產,null,7.8,3130
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),台北二,本產,null,5.5,1320
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),台北一,本產,null,6,27525
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),台中市,本產,null,5.7,1245
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),西螺鎮,本產,null,6,5535
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),高雄市,本產,null,4,4500
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),屏東市,本產,null,8.4,3600
Fri Apr 19 1996 00:00:00 GMT+0800 (CST),台北二,本產,null,4,6000
Sat Apr 20 1996 00:00:00 GMT+0800 (CST),西螺鎮,本產,null,6,5430
Sat Apr 20 1996 00:00:00 GMT+0800 (CST),屏東市,本產,null,9.2,2580
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),台北二,本產,null,6,6000
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),台北一,本產,null,6,47430
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),台中市,本產,null,8.7,75
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),西螺鎮,本產,null,6,8205
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),屏東市,本產,null,8.9,2550
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),台北一,本產,null,6,16425
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),台中市,本產,null,8.6,255
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),西螺鎮,本產,null,6,8040
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),高雄市,本產,null,6,4500
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),屏東市,本產,null,7.7,2810
Tue Apr 23 1996 00:00:00 GMT+0800 (CST),台北二,本產,null,5.7,4485
Tue Apr 23 1996 00:00:00 GMT+0800 (CST),台北一,本產,null,6,23460
Tue Apr 23 1996 00:00:00 GMT+0800 (CST),台中市,本產,null,7.9,645
Tue Apr 23 1996 00:00:00 GMT+0800 (CST),西螺鎮,本產,null,6,5370
Tue Apr 23 1996 00:00:00 GMT+0800 (CST),高雄市,本產,null,8,4060
Tue Apr 23 1996 00:00:00 GMT+0800 (CST),屏東市,本產,null,8.9,2560
Wed Apr 24 1996 00:00:00 GMT+0800 (CST),台北一,本產,null,6,11745
Wed Apr 24 1996 00:00:00 GMT+0800 (CST),台中市,本產,null,8,1130
Wed Apr 24 1996 00:00:00 GMT+0800 (CST),西螺鎮,本產,null,6,8130
