date,mktname,sbtype,transformation,middleprice,quantity
Tue Apr 01 1997 00:00:00 GMT+0800 (CST),台北一,進口,null,12,3120
Wed Apr 02 1997 00:00:00 GMT+0800 (CST),台北一,進口,null,12,1380
Thu Apr 03 1997 00:00:00 GMT+0800 (CST),台北一,進口,null,12,660
Fri Apr 04 1997 00:00:00 GMT+0800 (CST),台北一,進口,null,12,460
Mon Apr 07 1997 00:00:00 GMT+0800 (CST),台北一,進口,null,12,4005
Tue Apr 08 1997 00:00:00 GMT+0800 (CST),台北一,進口,null,12,1154
Wed Apr 09 1997 00:00:00 GMT+0800 (CST),台北一,進口,null,12,2782
Thu Apr 10 1997 00:00:00 GMT+0800 (CST),台北一,進口,null,12,1150
Fri Apr 11 1997 00:00:00 GMT+0800 (CST),台北一,進口,null,12,690
Sat Apr 12 1997 00:00:00 GMT+0800 (CST),台北一,進口,null,12,1230
Sun Apr 13 1997 00:00:00 GMT+0800 (CST),台北一,進口,null,12,1400
Mon Apr 14 1997 00:00:00 GMT+0800 (CST),台北一,進口,null,12,230
Tue Apr 15 1997 00:00:00 GMT+0800 (CST),台北一,進口,null,12,115
Thu Apr 17 1997 00:00:00 GMT+0800 (CST),台北一,進口,null,12,840
Fri Apr 18 1997 00:00:00 GMT+0800 (CST),台北一,進口,null,12,460
Sat Apr 19 1997 00:00:00 GMT+0800 (CST),台北一,進口,null,12,2139
Mon Apr 21 1997 00:00:00 GMT+0800 (CST),台北一,進口,null,12,460
Tue Apr 22 1997 00:00:00 GMT+0800 (CST),台北一,進口,null,12,690
Thu Apr 24 1997 00:00:00 GMT+0800 (CST),台北一,進口,null,12,1605
Sat Apr 26 1997 00:00:00 GMT+0800 (CST),台北一,進口,null,12,5690
Mon Apr 28 1997 00:00:00 GMT+0800 (CST),台北一,進口,null,12,3680
Tue Apr 29 1997 00:00:00 GMT+0800 (CST),台北一,進口,null,12,3960
Wed Apr 30 1997 00:00:00 GMT+0800 (CST),台北一,進口,null,12,690
Fri Apr 03 1998 00:00:00 GMT+0800 (CST),台北一,進口,null,16,1800
Sat Apr 04 1998 00:00:00 GMT+0800 (CST),台北一,進口,null,16,2300
Wed Apr 08 1998 00:00:00 GMT+0800 (CST),台北一,進口,null,16,1145
Thu Apr 09 1998 00:00:00 GMT+0800 (CST),台北一,進口,null,21,1000
Fri Apr 10 1998 00:00:00 GMT+0800 (CST),台北一,進口,null,21,200
Sat Apr 11 1998 00:00:00 GMT+0800 (CST),台北一,進口,null,16,2200
Sun Apr 12 1998 00:00:00 GMT+0800 (CST),台北一,進口,null,16,1020
Tue Apr 14 1998 00:00:00 GMT+0800 (CST),台北一,進口,null,16,15950
Wed Apr 15 1998 00:00:00 GMT+0800 (CST),台北一,進口,null,16,3800
Thu Apr 16 1998 00:00:00 GMT+0800 (CST),台北一,進口,null,16,4300
Fri Apr 17 1998 00:00:00 GMT+0800 (CST),台北一,進口,null,16,1000
Sat Apr 18 1998 00:00:00 GMT+0800 (CST),台北一,進口,null,21,400
Wed Apr 22 1998 00:00:00 GMT+0800 (CST),台北一,進口,null,16,11300
Thu Apr 23 1998 00:00:00 GMT+0800 (CST),台北一,進口,null,16,3300
Fri Apr 24 1998 00:00:00 GMT+0800 (CST),台北一,進口,null,16,3200
Sat Apr 25 1998 00:00:00 GMT+0800 (CST),台北一,進口,null,16,13800
Sun Apr 26 1998 00:00:00 GMT+0800 (CST),台北一,進口,null,21,300
Wed Apr 29 1998 00:00:00 GMT+0800 (CST),台北一,進口,null,16,400
Thu Apr 30 1998 00:00:00 GMT+0800 (CST),台北一,進口,null,16,1000
Wed Apr 07 1999 00:00:00 GMT+0800 (CST),台北二,進口,null,16,1150
Wed Apr 07 1999 00:00:00 GMT+0800 (CST),台北一,進口,null,16,1835
Thu Apr 29 1999 00:00:00 GMT+0800 (CST),台北二,進口,null,16,1200
Thu Apr 29 1999 00:00:00 GMT+0800 (CST),台北一,進口,null,16,1400
Thu Apr 27 2000 00:00:00 GMT+0800 (CST),台北二,進口,null,3.5,1265
Fri Apr 28 2000 00:00:00 GMT+0800 (CST),台北二,進口,null,2.8,1265
Fri Apr 28 2000 00:00:00 GMT+0800 (CST),台北一,進口,null,12,4865
Tue Apr 03 2001 00:00:00 GMT+0800 (CST),台北二,進口,null,15.4,216
Tue Apr 03 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,15,6500
Sun Apr 08 2001 00:00:00 GMT+0800 (CST),台北二,進口,null,12.6,444
Sun Apr 08 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,15,5660
Wed Apr 11 2001 00:00:00 GMT+0800 (CST),台北二,進口,null,15,16240
Wed Apr 11 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,15,18600
Thu Apr 12 2001 00:00:00 GMT+0800 (CST),台北二,進口,null,15,9600
Thu Apr 12 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,15,8000
Mon Apr 16 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,15,120
Thu Apr 19 2001 00:00:00 GMT+0800 (CST),台北二,進口,null,15,18528
Thu Apr 19 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,15,5400
Mon Apr 23 2001 00:00:00 GMT+0800 (CST),台北二,進口,null,9.7,204
Mon Apr 23 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,15,400
Tue Apr 24 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,15,3800
Fri Apr 27 2001 00:00:00 GMT+0800 (CST),台北二,進口,null,15,50
Sat Apr 28 2001 00:00:00 GMT+0800 (CST),台北二,進口,null,10,50
Mon Apr 01 2002 00:00:00 GMT+0800 (CST),台北二,進口,null,12,146
Mon Apr 01 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,9.2,2796
Mon Apr 01 2002 00:00:00 GMT+0800 (CST),台中市,進口,null,6,90
Tue Apr 02 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,9.7,1520
Thu Apr 04 2002 00:00:00 GMT+0800 (CST),台北二,進口,null,2.4,1456
Thu Apr 04 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,8.3,6090
Thu Apr 04 2002 00:00:00 GMT+0800 (CST),台中市,進口,null,5,534
Sun Apr 07 2002 00:00:00 GMT+0800 (CST),台北二,進口,null,13,2240
Sun Apr 07 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,8.4,22060
Mon Apr 08 2002 00:00:00 GMT+0800 (CST),台北二,進口,null,3.5,1204
Mon Apr 08 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,6.1,6870
Tue Apr 09 2002 00:00:00 GMT+0800 (CST),台北二,進口,null,9.7,215
Tue Apr 09 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,4,2300
Thu Apr 11 2002 00:00:00 GMT+0800 (CST),台北二,進口,null,6.9,268
Thu Apr 11 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,4.9,3770
Fri Apr 12 2002 00:00:00 GMT+0800 (CST),台北二,進口,null,6.2,799
Fri Apr 12 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,3.5,2271
Sat Apr 13 2002 00:00:00 GMT+0800 (CST),台北二,進口,null,13,3770
Sat Apr 13 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,8.3,9800
